ticker,name,ISIN,CUSIP,Inception Date,Gross Expense Ratio,* Net Expense Ratio,Asset Class,Distribution Frequency,Primary Exchange,Primary Index,Primary Index Ticker,infer
SRLN,SPDR® Blackstone / GSO Senior Loan ETF,US78467V6083,78467V608,Apr 03 2013,0.70%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Markit iBoxx USD Liquid Leveraged Loan Index,IBOXLCPI,spdr
TIPX,SPDR® Bloomberg Barclays 1-10 Year TIPS ETF,US78468R8613,78468R861,May 29 2013,0.15%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays 1-10 Year U.S. Government Inflation-Linked Bond Index,BCIT3T,spdr
BIL,SPDR® Bloomberg Barclays 1-3 Month T-Bill ETF,US78468R6633,78468R663,May 25 2007,0.1359%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays 1-3 Month U.S. Treasury Bill Index,LD12TRUU,spdr
BILS,SPDR® Bloomberg Barclays 3-12 Month T-Bill ETF,US78468R5239,78468R523,Sep 23 2020,0.1357%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays 3-12 Month U.S. Treasury Bill Index,BC35620,spdr
CWB,SPDR® Bloomberg Barclays Convertible Securities ETF,US78464A3591,78464A359,Apr 14 2009,0.40%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Convertible Liquid Bond Index,BCS5TRUU,spdr
EBND,SPDR® Bloomberg Barclays Emerging Markets Local Bond ETF,US78464A3914,78464A391,Feb 23 2011,0.30%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays EM Local Currency Government Diversified Index,BLCDTRUU,spdr
JNK,SPDR® Bloomberg Barclays High Yield Bond ETF,US78468R6229,78468R622,Nov 28 2007,0.40%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays High Yield Very Liquid Index,LHVLTRUU,spdr
IBND,SPDR® Bloomberg Barclays International Corporate Bond ETF,US78464A1512,78464A151,May 19 2010,0.50%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays Global Aggregate ex-USD >$1B: Corporate Bond Index,BG1BTRUU,spdr
BWX,SPDR® Bloomberg Barclays International Treasury Bond ETF,US78464A5166,78464A516,Oct 02 2007,0.35%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays Global Treasury ex-US Capped Index,LTXUTRUU,spdr
FLRN,SPDR® Bloomberg Barclays Investment Grade Floating Rate ETF,US78468R2004,78468R200,Nov 30 2011,0.15%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Dollar Floating Rate Note < 5 Years Index,BFU5TRUU,spdr
SJNK,SPDR® Bloomberg Barclays Short Term High Yield Bond ETF,US78468R4083,78468R408,Mar 14 2012,0.40%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays US High Yield 350mn Cash Pay 0-5 Yr 2% Capped Index,BHY5TRUU,spdr
BWZ,SPDR® Bloomberg Barclays Short Term International Treasury Bond ETF,US78464A3344,78464A334,Jan 15 2009,0.35%,-,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays 1-3 Year Global Treasury ex-US Capped Index,LGT3TRUU,spdr
DWFI,SPDR® Dorsey Wright® Fixed Income Allocation ETF,US78468R7136,78468R713,Jun 01 2016,0.60%,-,Fixed Income,Monthly,NASDAQ REGULAR MARKET,Dorsey Wright Fixed Income Allocation Index,DWAFIR,spdr
EMTL,SPDR® DoubleLine® Emerging Markets Fixed Income ETF,US78470P3091,78470P309,Apr 13 2016,0.75%,0.65%,Fixed Income,Monthly,Bats Global Markets,JP Morgan Corporate Emerging Market Bond Index Broad Diversified,JBCDCPPI,spdr
STOT,SPDR® DoubleLine® Short Duration Total Return Tactical ETF,US78470P2002,78470P200,Apr 13 2016,0.50%,0.45%,Fixed Income,Monthly,Bats Global Markets,Bloomberg Barclays U.S. Aggregate 1-3 Year Index,LU13TRUU,spdr
TOTL,SPDR® DoubleLine® Total Return Tactical ETF,US78467V8485,78467V848,Feb 23 2015,0.65%,0.55%,Fixed Income,Monthly,NYSE ARCA EXCHANGE,Bloomberg Barclays U.S. Aggregate Bond Index,LBUSTRUU,spdr
RWO,SPDR® Dow Jones® Global Real Estate ETF,US78463X7497,78463X749,May 07 2008,0.50%,-,Alternative,Quarterly,NYSE ARCA EXCHANGE,Dow Jones Global Select Real Estate Securities Index,DWGRSAN,spdr
DIA,SPDR® Dow Jones® Industrial Average ETF Trust,US78467X1090,78467X109,Jan 14 1998,0.16%,-,Equity,Monthly,NYSE ARCA EXCHANGE,Dow Jones Industrial Average,DJITR,spdr
RWX,SPDR® Dow Jones® International Real Estate ETF,US78463X8636,78463X863,Dec 15 2006,0.59%,-,Alternative,Quarterly,NYSE ARCA EXCHANGE,Dow Jones Global ex-U.S. Select Real Estate Securities Index,DWXRSN,spdr
RWR,SPDR® Dow Jones® REIT ETF,US78464A6073,78464A607,Apr 23 2001,0.25%,-,Alternative,Quarterly,NYSE ARCA EXCHANGE,Dow Jones U.S. Select REIT Index,DWRTFT,spdr
FEZ,SPDR® EURO STOXX 50® ETF,US78463X2027,78463X202,Oct 15 2002,0.29%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,EURO STOXX 50 Index,SX5U,spdr
SMEZ,SPDR® EURO STOXX® Small Cap ETF,US78463X3926,78463X392,Jun 04 2014,0.45%,-,Equity,Semi-Annually,NYSE ARCA EXCHANGE,EURO STOXX Small Index,SCXU,spdr
XITK,SPDR® FactSet Innovative Technology ETF,US78464A1108,78464A110,Jan 13 2016,0.45%,-,Equity,Quarterly,NYSE ARCA EXCHANGE,FactSet Innovative Technology Index,FDSITTR,spdr
