Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
ADRE,874039100,TSM ,"338,341","30,037,913.98",20.998,Taiwan Semiconductor Manufacturing Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
ADRE,01609W102,BABA ,"98,350","29,479,429.00",20.608,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ADRE,47215P106,JD ,"85,897","6,853,721.63",4.791,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ADRE,40415F101,HDB ,"121,207","6,814,257.54",4.764,HDFC Bank Ltd ADR,American Depository Receipt,Financials,10/09/2020
ADRE,456788108,INFY ,"358,801","5,453,775.20",3.812,Infosys Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
ADRE,91912E105,VALE ,"333,589","3,732,860.91",2.609,Vale SA ADR,American Depository Receipt,Materials,10/09/2020
ADRE,64110W102,NTES ,"38,921","3,526,242.60",2.465,NetEase Inc ADR,American Depository Receipt,Communication Services,10/09/2020
ADRE,16941M109,CHL ,"107,370","3,477,714.30",2.431,China Mobile Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
ADRE,056752108,BIDU ,"26,475","3,348,822.75",2.341,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
ADRE,874080104,TAL ,"38,784","3,078,673.92",2.152,TAL Education Group ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ADRE,45104G104,IBN ,"247,693","2,734,530.72",1.912,ICICI Bank Ltd ADR,American Depository Receipt,Financials,10/09/2020
ADRE,722304102,PDD ,"32,814","2,610,025.56",1.825,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ADRE,647581107,EDU ,"13,385","2,276,654.65",1.592,New Oriental Education & Technology Group Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ADRE,62914V106,NIO ,"103,677","2,225,945.19",1.556,NIO Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
ADRE,465562106,ITUB ,"470,328","2,027,113.68",1.417,Itau Unibanco Holding SA ADR,American Depository Receipt,Financials,10/09/2020
ADRE,16939P106,LFC ,"144,809","1,700,057.66",1.188,China Life Insurance Co Ltd ADR,American Depository Receipt,Financials,10/09/2020
