date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/12/2020,ARKF,"SQUARE INC - A",SQ,852234103,532496.00,98602284.32,11.73
10/12/2020,ARKF,"MERCADOLIBRE INC",MELI,58733R102,32272.00,39234684.00,4.67
10/12/2020,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,786938.00,34656749.52,4.12
10/12/2020,ARKF,"SEA LTD-ADR",SE,81141R100,200167.00,33463919.06,3.98
10/12/2020,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,440185.00,32168719.80,3.83
10/12/2020,ARKF,"ADYEN NV",ADYEN,BZ1HM42,15594.00,31943668.56,3.80
10/12/2020,ARKF,"LENDINGTREE INC","TREE UW",52603B107,97343.00,31864257.62,3.79
10/12/2020,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,293447.00,29641081.47,3.53
10/12/2020,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,287986.00,29651038.56,3.53
10/12/2020,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,95335.00,29204923.90,3.47
10/12/2020,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,132750.00,26750452.50,3.18
10/12/2020,ARKF,"Z HOLDINGS CORP",4689,6084848,3470712.00,25634536.82,3.05
10/12/2020,ARKF,"MEITUAN DIANPING-CLASS B",3690,BGJW376,703015.00,24963674.82,2.97
10/12/2020,ARKF,"AMAZON.COM INC",AMZN,023135106,7031.00,24207240.83,2.88
10/12/2020,ARKF,"TWILIO INC - A",TWLO,90138F102,72419.00,23877992.68,2.84
10/12/2020,ARKF,"APPLE INC",AAPL,037833100,187419.00,23314923.60,2.77
10/12/2020,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,71530.00,19724397.50,2.35
10/12/2020,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,3390585.00,18177793.27,2.16
10/12/2020,ARKF,"SPLUNK INC",SPLK,848637104,82798.00,17829721.32,2.12
10/12/2020,ARKF,"SNAP INC - A",SNAP,83304A106,571900.00,15418424.00,1.83
10/12/2020,ARKF,"DOCUSIGN INC",DOCU,256163106,65722.00,15238302.92,1.81
10/12/2020,ARKF,"INTUIT INC",INTU,461202103,43122.00,15132803.46,1.80
10/12/2020,ARKF,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,401094.00,12750778.26,1.52
10/12/2020,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,54479.00,12431563.01,1.48
10/12/2020,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,327396.00,12169695.01,1.45
10/12/2020,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,122080.00,11098292.80,1.32
10/12/2020,ARKF,"LENDINGCLUB CORP",LC,52603A208,1879598.00,10300197.04,1.23
10/12/2020,ARKF,"SBI HOLDINGS INC",8473,6309466,410174.00,10077659.96,1.20
10/12/2020,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,85205.00,9872703.35,1.17
10/12/2020,ARKF,"NVIDIA CORP",NVDA,67066G104,16717.00,9512641.68,1.13
10/12/2020,ARKF,"INTERACTIVE BROKERS GRO-CL A",IBKR,45841N107,181614.00,9344040.30,1.11
10/12/2020,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,234608.00,9025369.76,1.07
10/12/2020,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,158369.00,8829071.75,1.05
10/12/2020,ARKF,"DISCOVERY LTD",DSY,6177878,1118743.00,8739253.47,1.04
10/12/2020,ARKF,"YEAHKA LTD",9923,BL58D39,1236800.00,8458061.56,1.01
10/12/2020,ARKF,"ZSCALER INC",ZS,98980G102,55223.00,8346956.45,0.99
10/12/2020,ARKF,TRANSUNION,TRU,89400J107,92317.00,8240215.42,0.98
10/12/2020,ARKF,"JD.COM INC-ADR",JD,47215P106,95594.00,8060486.08,0.96
10/12/2020,ARKF,"PINDUODUO INC-ADR",PDD,722304102,89416.00,7575323.52,0.90
10/12/2020,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,37362.00,7201525.50,0.86
10/12/2020,ARKF,"TCS GROUP HOLDING-GDR REG S",,87238U203,276879.00,6811223.40,0.81
10/12/2020,ARKF,"SALESFORCE.COM INC",CRM,79466L302,22767.00,6080382.69,0.72
10/12/2020,ARKF,"SOCIAL CAPITAL HEDOSOPHIA-A",IPOB,G8250T109,191938.00,4452961.60,0.53
