date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/12/2020,ARKG,"INVITAE CORP",NVTA,46185L103,6298765.00,322055854.45,11.09
10/12/2020,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,2442162.00,242750902.80,8.36
10/12/2020,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,14495457.00,190180395.84,6.55
10/12/2020,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,2784003.00,146215837.56,5.04
10/12/2020,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,1574604.00,142233979.32,4.90
10/12/2020,ARKG,"CAREDX INC",CDNA,14167L103,2073890.00,108941441.70,3.75
10/12/2020,ARKG,"COMPUGEN LTD",CGEN,M25722105,6177420.00,107795979.00,3.71
10/12/2020,ARKG,"PERSONALIS INC",PSNL,71535D106,3673329.00,104175610.44,3.59
10/12/2020,ARKG,"SERES THERAPEUTICS INC",MCRB,81750R102,3170032.00,100965519.20,3.48
10/12/2020,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,2869805.00,89136143.30,3.07
10/12/2020,ARKG,"ILLUMINA INC",ILMN,452327109,242037.00,85274475.84,2.94
10/12/2020,ARKG,"CELLECTIS - ADR",CLLS,15117K103,4114896.00,83285495.04,2.87
10/12/2020,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,377095.00,82206710.00,2.83
10/12/2020,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,1606203.00,78302396.25,2.70
10/12/2020,ARKG,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4179781.00,73731336.84,2.54
10/12/2020,ARKG,"INCYTE CORP",INCY,45337C102,724350.00,70768995.00,2.44
10/12/2020,ARKG,"VERACYTE INC",VCYT,92337F107,1677067.00,70101400.60,2.41
10/12/2020,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,2033669.00,65524815.18,2.26
