date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/12/2020,ARKK,"TESLA INC",TSLA,88160R101,2362762.00,1045049632.60,10.28
10/12/2020,ARKK,"INVITAE CORP",NVTA,46185L103,17697147.00,904855126.11,8.90
10/12/2020,ARKK,"SQUARE INC - A",SQ,852234103,3615048.00,669398438.16,6.59
10/12/2020,ARKK,"ROKU INC",ROKU,77543R102,2570853.00,569906693.04,5.61
10/12/2020,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,5333235.00,530123559.00,5.22
10/12/2020,ARKK,"PROTO LABS INC",PRLB,743713109,2454969.00,362549821.92,3.57
10/12/2020,ARKK,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,10265252.00,326332361.08,3.21
10/12/2020,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,3060020.00,309092620.20,3.04
10/12/2020,ARKK,"2U INC",TWOU,90214J101,8166273.00,300641340.50,2.96
10/12/2020,ARKK,"LENDINGTREE INC","TREE UW",52603B107,860400.00,281643336.00,2.77
10/12/2020,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,15374247.00,271201717.08,2.67
10/12/2020,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,1196957.00,260936626.00,2.57
10/12/2020,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,8070287.00,257038640.95,2.53
10/12/2020,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,7180572.00,231358029.84,2.28
10/12/2020,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,4911026.00,218245995.44,2.15
10/12/2020,ARKK,"PAGERDUTY INC",PD,69553P100,6896647.00,208761504.69,2.05
10/12/2020,ARKK,"ILLUMINA INC",ILMN,452327109,583310.00,205511779.20,2.02
10/12/2020,ARKK,"COMPUGEN LTD",CGEN,M25722105,11001519.00,191976506.55,1.89
10/12/2020,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,750912.00,188809313.28,1.86
10/12/2020,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,6015325.00,186835994.50,1.84
10/12/2020,ARKK,"VERACYTE INC",VCYT,92337F107,4081035.00,170587263.00,1.68
10/12/2020,ARKK,"TWILIO INC - A",TWLO,90138F102,507507.00,167335208.04,1.65
10/12/2020,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6860952.00,164045362.32,1.61
10/12/2020,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,1739312.00,158120853.92,1.56
10/12/2020,ARKK,"SPLUNK INC",SPLK,848637104,715592.00,154095581.28,1.52
10/12/2020,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,1597712.00,144321324.96,1.42
10/12/2020,ARKK,"CERUS CORP",CERS,157085101,19325753.00,128902772.51,1.27
10/12/2020,ARKK,"DOCUSIGN INC",DOCU,256163106,534360.00,123896709.60,1.22
10/12/2020,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,2639772.00,116255558.88,1.14
