date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/12/2020,ARKW,"TESLA INC",TSLA,88160R101,671700.00,297092910.00,10.41
10/12/2020,ARKW,"ROKU INC",ROKU,77543R102,888335.00,196926102.80,6.90
10/12/2020,ARKW,"SQUARE INC - A",SQ,852234103,1003809.00,185875312.53,6.51
10/12/2020,ARKW,"FACEBOOK INC-CLASS A",FB,30303M102,332736.00,91751952.00,3.22
10/12/2020,ARKW,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,2721265.00,86509014.35,3.03
10/12/2020,ARKW,"PINTEREST INC- CLASS A",PINS,72352L106,1881837.00,82876101.48,2.90
10/12/2020,ARKW,"PURE STORAGE INC - CLASS A",PSTG,74624M102,4528640.00,79885209.60,2.80
10/12/2020,ARKW,"PAGERDUTY INC",PD,69553P100,2519135.00,76254216.45,2.67
10/12/2020,ARKW,"LENDINGTREE INC","TREE UW",52603B107,229978.00,75280998.52,2.64
10/12/2020,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,297373.00,74771467.12,2.62
10/12/2020,ARKW,"TWILIO INC - A",TWLO,90138F102,222777.00,73454032.44,2.57
10/12/2020,ARKW,"2U INC",TWOU,90214J101,1932824.00,71156915.56,2.49
10/12/2020,ARKW,"SEA LTD-ADR",SE,81141R100,425469.00,71129907.42,2.49
10/12/2020,ARKW,"HUYA INC-ADR",HUYA,44852D108,2911922.00,66712133.02,2.34
10/12/2020,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,647579.00,65411954.79,2.29
10/12/2020,ARKW,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,883392.00,64558287.36,2.26
10/12/2020,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,283319.00,61763542.00,2.16
10/12/2020,ARKW,"SNAP INC - A",SNAP,83304A106,2244420.00,60509563.20,2.12
10/12/2020,ARKW,"VERACYTE INC",VCYT,92337F107,1439965.00,60190537.00,2.11
10/12/2020,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,4659348.00,59010642.42,2.07
10/12/2020,ARKW,"AMAZON.COM INC",AMZN,023135106,15772.00,54301891.96,1.90
10/12/2020,ARKW,"SPLUNK INC",SPLK,848637104,243069.00,52342478.46,1.83
10/12/2020,ARKW,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,163436.00,50066984.24,1.75
10/12/2020,ARKW,"MERCADOLIBRE INC",MELI,58733R102,40778.00,49575853.50,1.74
10/12/2020,ARKW,"NETFLIX INC",NFLX,64110L106,88433.00,47737017.73,1.67
10/12/2020,ARKW,"TRADE DESK INC/THE -CLASS A",TTD,88339J105,70905.00,44433327.30,1.56
