Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BAB,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"95,835,716",9.583571638E7,4.52,10/09/2020
BAB,,01728VVW7,County of Allegheny PA,2.34,11/01/2037,08/12/2020,11/01/2030,AA-/Aa3,"38,000,000",3.793692E7,1.79,10/09/2020
BAB,,13063A5G5,State of California,7.55,04/01/2039,04/28/2009,N/A,AA-/Aa2,"18,860,000",3.26553356E7,1.54,10/09/2020
BAB,,91412GXY6,University of California,4.13,05/15/2045,03/25/2015,N/A,AA-/Aa3,"24,670,000",2.94665881E7,1.39,10/09/2020
BAB,,74442CCF9,Public Finance Authority,3.09,06/01/2050,10/01/2020,N/A,AA/NR,"25,000,000",2.4345E7,1.15,10/09/2020
BAB,,13063A7D0,State of California,7.30,10/01/2039,10/15/2009,N/A,AA-/Aa2,"14,160,000",2.30543208E7,1.09,10/09/2020
BAB,,73358W4V3,Port Authority of New York & New Jersey,1.09,07/01/2023,07/08/2020,N/A,A+/Aa3,"22,500,000",2.2762125E7,1.07,10/09/2020
BAB,,20281PKV3,Commonwealth Financing Authority,3.66,06/01/2038,05/22/2019,N/A,AA/A1,"20,000,000",2.2688E7,1.07,10/09/2020
BAB,,347622CT7,City of Fort Lauderdale FL,.75,01/01/2024,08/04/2020,N/A,AAA/Aa2,"22,600,000",2.2687914E7,1.07,10/09/2020
BAB,,2350367A2,Dallas Fort Worth International Airport,2.92,11/01/2050,08/01/2020,N/A,A/A1,"20,000,000",1.9198E7,0.91,10/09/2020
BAB,,13063A5E0,State of California,7.50,04/01/2034,04/28/2009,N/A,AA-/Aa2,"11,460,000",1.8872901E7,0.89,10/09/2020
BAB,,02765UEK6,American Municipal Power Inc,8.08,02/15/2050,12/21/2010,N/A,A/A2,"9,930,000",1.82439918E7,0.86,10/09/2020
BAB,,01728VVT4,County of Allegheny PA,2.09,11/01/2033,08/12/2020,11/01/2030,AA-/Aa3,"18,000,000",1.818684E7,0.86,10/09/2020
BAB,,91412HFG3,University of California,3.35,07/01/2029,03/19/2019,N/A,AA/Aa2,"15,000,000",1.70949E7,0.81,10/09/2020
BAB,,362835CG3,City of Gainesville FL,3.05,10/01/2040,09/29/2020,10/01/2030,NR/Aa3,"17,000,000",1.701224E7,0.80,10/09/2020
BAB,,544495VY7,Los Angeles Department of Water & Power Power System Revenue,6.57,07/01/2045,12/02/2010,N/A,AA-/Aa2,"10,000,000",1.67491E7,0.79,10/09/2020
BAB,,73358WJA3,Port Authority of New York & New Jersey,4.46,10/01/2062,10/10/2012,N/A,A+/Aa3,"13,200,000",1.6626456E7,0.78,10/09/2020
BAB,,495290CU0,County of King WA Sewer Revenue,1.30,01/01/2028,08/04/2020,N/A,AA+/Aa1,"15,990,000",1.61340699E7,0.76,10/09/2020
BAB,,13063BNT5,State of California,6.51,04/01/2039,04/01/2009,10/01/2021,AA-/Aa2,"14,890,000",1.56814035E7,0.74,10/09/2020
BAB,,64966QCA6,City of New York NY,2.13,08/01/2024,08/13/2019,N/A,AA/Aa2,"15,000,000",1.54866E7,0.73,10/09/2020
BAB,,73358WEK6,Port Authority of New York & New Jersey,4.93,10/01/2051,10/06/2011,N/A,A+/Aa3,"11,485,000",1.527792125E7,0.72,10/09/2020
BAB,,419792ZA7,State of Hawaii,2.06,08/01/2035,08/12/2020,08/01/2030,AA+/Aa2,"15,000,000",1.497855E7,0.71,10/09/2020
BAB,,606092ET7,Missouri Joint Municipal Electric Utility Commission,6.89,01/01/2042,12/17/2009,N/A,NR/A2,"10,000,000",1.49457E7,0.70,10/09/2020
BAB,,88283LHU3,Texas Transportation Commission State Highway Fund,5.18,04/01/2030,08/05/2010,N/A,AAA/Aaa,"11,715,000",1.494189675E7,0.70,10/09/2020
BAB,,452152BK6,State of Illinois,5.56,02/01/2021,02/04/2010,N/A,BBB-/Baa3,"14,795,000",1.488480565E7,0.70,10/09/2020
BAB,,882722KF7,State of Texas,5.52,04/01/2039,08/26/2009,N/A,AAA/Aaa,"9,680,000",1.43547624E7,0.68,10/09/2020
BAB,,64987DUC6,New York State Housing Finance Agency,.16,11/01/2045,01/17/2019,10/13/2020,NR/Aa2,"14,100,000",1.41E7,0.66,10/09/2020
