Fund Ticker, Holding Ticker, Security Identifier, Name, ShortName, CouponRate, MaturityDate, Effective Date, rating, PercentageOfFund, PositionDate, Market Value, Shares/Par Value
BKLN,,31740MAC5,"""Financial & Risk US Holdings, """,Senior Loan ETF,3.40,10/01/2025,10/01/2018,B/B2,1.9682431,10/09/2020,"79,090,404","79,445,126"
BKLN,,24702NBE9,Dell International LLC ,Senior Loan ETF,2.75,09/19/2025,09/07/2016,BBB-/Baa3,1.7718834,10/09/2020,"71,200,033","71,244,561"
BKLN,,15669GAH7,"""CenturyLink, Inc.""",Senior Loan ETF,2.40,03/15/2027,06/19/2017,BBB-/Ba3,1.70923756,10/09/2020,"68,682,719","70,458,629"
BKLN,,C6901LAH0,BurgerKing ,Senior Loan ETF,1.90,11/19/2026,11/07/2019,BB+/Ba2,1.68780198,10/09/2020,"67,821,368","69,975,205"
BKLN,,16117LBX6,Charter Communications Operati,Senior Loan ETF,1.90,02/01/2027,08/24/2015,BBB-/Ba1,1.68365316,10/09/2020,"67,654,655","68,579,101"
BKLN,,98919XAB7,"""Zayo Group, LLC""",Senior Loan ETF,3.15,02/20/2027,01/27/2020,B/B1,1.66504333,10/09/2020,"66,906,852","68,315,867"
BKLN,,04649VAV2,ASURION,Senior Loan ETF,3.15,11/03/2023,05/24/2011,B+/Ba3,1.66239395,10/09/2020,"66,800,391","67,602,837"
BKLN,,12769LAB5,Caesars Resort Collection,Senior Loan ETF,2.90,12/23/2024,12/22/2017,B+/B1,1.55538323,10/09/2020,"62,500,353","65,968,307"
BKLN,,89364MBR4,TransDigm (,Senior Loan ETF,2.40,12/09/2025,02/14/2011,B+/Ba3,1.55085904,10/09/2020,"62,318,556","64,752,270"
BKLN,,64072UAE2,"""CSC Holdings, LLC ",Senior Loan ETF,2.40,07/17/2025,10/09/2015,BB/Ba3,1.53744177,10/09/2020,"61,779,406","63,479,710"
BKLN,,28414BAF3,Elanco Animal Health Incorpora,Senior Loan ETF,1.90,02/04/2027,01/27/2020,BB+/Baa3,1.45568904,10/09/2020,"58,494,316","59,366,107"
BKLN,,07014QAK7,Bass Pro Group ,Senior Loan ETF,5.75,09/25/2024,12/16/2016,B/B1,1.44931646,10/09/2020,"58,238,245","58,279,915"
BKLN,,08579JBF8,"""Berry Global, Inc ",Senior Loan ETF,2.16,07/01/2026,12/09/2019,BBB-/Ba2,1.44908802,10/09/2020,"58,229,066","59,434,698"
BKLN,,C8000CAB9,Panther BF Aggregator ,Senior Loan ETF,3.65,04/30/2026,02/27/2019,B/B1,1.44892078,10/09/2020,"58,222,345","59,229,242"
BKLN,,95810DAQ4,Western Digital,Senior Loan ETF,1.65,02/27/2023,04/29/2016,BBB-/Baa2,1.44156944,10/09/2020,"57,926,945","58,660,197"
BKLN,,29373UAC5,Envision Healthcare Corporatio,Senior Loan ETF,3.90,10/10/2025,10/11/2018,CCC/Caa1,1.36502316,10/09/2020,"54,851,067","76,447,479"
BKLN,,N8232NAB3,AkzoNobel Specialty Chemicals,Senior Loan ETF,3.15,10/01/2025,10/01/2018,B+/B1,1.36050351,10/09/2020,"54,669,452","55,860,966"
BKLN,,75915TAD4,"""LifePoint Health, Inc. ",Senior Loan ETF,3.90,11/16/2025,11/16/2018,B/B1,1.33536023,10/09/2020,"53,659,113","54,416,868"
BKLN,,15911AAC7,CHANGE HEALTHCARE,Senior Loan ETF,3.50,03/01/2024,03/01/2017,B+/B1,1.33528239,10/09/2020,"53,655,986","54,300,808"
BKLN,,04649VAU4,Asurion LLC ,Senior Loan ETF,6.65,08/04/2025,03/03/2014,B/B3,1.32552421,10/09/2020,"53,263,870","52,887,050"
BKLN,,C9413PAZ6,"""Valeant Pharmaceuticals Intl, """,Senior Loan ETF,3.15,06/02/2025,10/20/2011,BB/Ba2,1.24993119,10/09/2020,"50,226,297","50,867,224"
BKLN,,04685YAK5,"""Athenahealth, Inc.""",Senior Loan ETF,4.75,02/11/2026,02/11/2019,B/B2,1.23929626,10/09/2020,"49,798,951","50,206,882"
BKLN,,80875AAP6,Scientific Games,Senior Loan ETF,3.47,08/14/2024,10/18/2013,B+/B1,1.21568284,10/09/2020,"48,850,087","51,346,827"
BKLN,,44332EAP1,Hub International Limited,Senior Loan ETF,3.26,04/25/2025,04/25/2018,B/B2,1.16221328,10/09/2020,"46,701,506","47,952,097"
BKLN,,47009YAK3,Pharmaceutical Product Dev,Senior Loan ETF,3.50,08/18/2022,08/18/2015,B+/Ba2,1.13748732,10/09/2020,"45,707,937","45,756,210"
BKLN,,52729KAP1,Level ,Senior Loan ETF,1.90,03/01/2027,03/13/2007,BBB-/Ba1,1.13407191,10/09/2020,"45,570,695","46,664,511"
BKLN,,05988HAB3,Boxer Parent Company Inc.,Senior Loan ETF,4.40,10/02/2025,10/02/2018,B-/B2,1.13195836,10/09/2020,"45,485,765","46,249,812"
BKLN,,02034DAC1,Almonde Inc,Senior Loan ETF,4.50,06/13/2024,06/13/2017,CCC+/B2,1.11621158,10/09/2020,"44,853,009","46,961,338"
BKLN,,G9368PBC7,Virgin Media Bristol LLC ,Senior Loan ETF,2.65,01/31/2028,10/15/2019,BB-/Ba3,1.10084755,10/09/2020,"44,235,632","45,266,578"
BKLN,,57906PAG4,"""MCAFEE, LLC""",Senior Loan ETF,3.90,09/30/2024,09/29/2017,B/B2,1.09287545,10/09/2020,"43,915,287","44,105,160"
BKLN,,L2968EAB8,Endo,Senior Loan ETF,5.00,04/29/2024,04/27/2017,B+/B2,1.07987591,10/09/2020,"43,392,923","45,090,818"
BKLN,,11284EAL7,Brookfield WEC Refinancing Ter,Senior Loan ETF,3.75,08/01/2025,08/01/2018,B/B2,1.05876617,10/09/2020,"42,544,665","43,013,295"
BKLN,,65336RAW8,"""Nexstar Broadcasting, Inc. 06/""",Senior Loan ETF,2.90,09/18/2026,01/17/2017,BB/Ba3,1.04319349,10/09/2020,"41,918,904","42,516,689"
BKLN,,00488PAL9,"""Acrisure, LLC ",Senior Loan ETF,3.65,01/31/2027,11/22/2016,B/B2,1.01834851,10/09/2020,"40,920,553","41,800,025"
