Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSAE,,71568QAA5,Perusahaan Perseroan Persero PT Perusahaan Listrik Negara,5.50,11/22/2021,11/22/2011,N/A,BBB/Baa2,"400,000",420250.0,4.19,10/09/2020
BSAE,,445545AE6,Hungary Government International Bond,6.38,03/29/2021,03/29/2011,N/A,BBB/Baa3,"400,000",411189.6,4.10,10/09/2020
BSAE,,857524AA0,Republic of Poland Government International Bond,5.12,04/21/2021,04/21/2011,N/A,A-/A2,"400,000",410348.0,4.09,10/09/2020
BSAE,,EI5454885,Eskom Holdings SOC Ltd,5.75,01/26/2021,01/26/2011,N/A,CCC+/Caa1,"400,000",395996.0,3.95,10/09/2020
BSAE,,195325BN4,Colombia Government International Bond,4.38,07/12/2021,07/12/2011,N/A,BBB-/Baa2,"300,000",307810.5,3.07,10/09/2020
BSAE,,168863AW8,Chile Government International Bond,3.25,09/14/2021,09/14/2011,N/A,A+/A1,"300,000",307053.0,3.06,10/09/2020
BSAE,,71654QAX0,Petroleos Mexicanos,5.50,01/21/2021,09/30/2010,N/A,BBB/Ba2,"300,000",303600.0,3.03,10/09/2020
BSAE,,QZ5417048,Foxconn Far East Ltd,2.25,09/23/2021,09/23/2016,N/A,A-/NR,"300,000",302806.5,3.02,10/09/2020
BSAE,,00386SAJ1,Abu Dhabi National Energy Co PJSC,5.88,12/13/2021,12/13/2011,N/A,NR/Aa3,"200,000",212425.6,2.12,10/09/2020
BSAE,,256853AB8,Dolphin Energy Ltd LLC,5.50,12/15/2021,02/14/2012,N/A,NR/A2,"200,000",210969.0,2.10,10/09/2020
BSAE,,05971V2A2,Banco de Credito del Peru,2.70,01/11/2025,09/11/2019,12/11/2024,BBB+/NR,"200,000",208750.0,2.08,10/09/2020
BSAE,,EI6447722,Alfa Bank AO Via Alfa Bond Issuance PLC,7.75,04/28/2021,04/28/2011,N/A,BB+/Ba1,"200,000",206824.0,2.06,10/09/2020
BSAE,,01538RAB5,Alfa Bank AO Via Alfa Bond Issuance PLC,7.75,04/28/2021,04/28/2011,N/A,BB+/Ba1,"200,000",206824.0,2.06,10/09/2020
BSAE,,EI6960666,Indian Oil Corp Ltd,5.62,08/02/2021,08/02/2011,N/A,NR/Baa3,"200,000",206064.11,2.06,10/09/2020
