Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSBE,,857524AB8,Republic of Poland Government International Bond,5.00,03/23/2022,11/03/2011,N/A,A-/A2,"300,000",320833.2,3.13,10/09/2020
BSBE,,759470AY3,Reliance Industries Ltd,5.40,02/14/2022,02/14/2012,N/A,BBB+/Baa2,"250,000",263466.61,2.57,10/09/2020
BSBE,,91086QAJ7,Mexico Government International Bond,8.00,09/24/2022,09/24/2002,N/A,BBB/Baa1,"200,000",225752.0,2.20,10/09/2020
BSBE,,716743AB5,Petronas Capital Ltd,7.88,05/22/2022,05/22/2002,N/A,A-/A2,"200,000",221926.61,2.17,10/09/2020
BSBE,,AV1198341,JBS Investments II GmbH,7.00,01/15/2026,10/26/2018,01/15/2022,BB/Ba2,"200,000",215078.0,2.10,10/09/2020
BSBE,,44985GAD3,MDGH - GMTN BV,5.50,03/01/2022,11/01/2011,N/A,AA/Aa2,"200,000",213500.0,2.09,10/09/2020
BSBE,,92909MAF7,VTB Bank OJSC Via VTB Capital SA,6.95,10/17/2022,10/17/2012,N/A,B-/Ba2,"200,000",212791.8,2.08,10/09/2020
BSBE,,69369EAC3,Pertamina Persero PT,4.88,05/03/2022,05/03/2012,N/A,BBB/Baa2,"200,000",211736.46,2.07,10/09/2020
BSBE,,78406JAB0,Sberbank of Russia Via SB Capital SA,6.12,02/07/2022,02/07/2012,N/A,NR/Baa3,"200,000",211212.8,2.06,10/09/2020
BSBE,,78406JAC8,Sberbank of Russia Via SB Capital SA,5.12,10/29/2022,10/29/2012,N/A,NR/Ba1,"200,000",210680.0,2.06,10/09/2020
BSBE,,46556LAH7,Itau Unibanco Holding SA/Cayman Island,5.50,08/06/2022,08/06/2012,N/A,NR/Ba3,"200,000",210650.0,2.06,10/09/2020
BSBE,,EJ3715103,Bangkok Bank PCL/Hong Kong,3.88,09/27/2022,09/27/2012,N/A,BBB+/Baa1,"200,000",210411.0,2.06,10/09/2020
BSBE,,71567PAA8,Perusahaan Penerbit SBSN Indonesia III,3.30,11/21/2022,11/21/2012,N/A,BBB/Baa2,"200,000",210221.0,2.05,10/09/2020
BSBE,,05958AAD0,Banco do Brasil SA/Cayman,5.88,01/26/2022,05/26/2011,N/A,NR/Ba3,"200,000",210090.0,2.05,10/09/2020
BSBE,,78307ADC4,Russian Foreign Bond - Eurobond,4.50,04/04/2022,04/04/2012,N/A,BBB-/Baa3,"200,000",209906.2,2.05,10/09/2020
BSBE,,EJ1943855,Sinopec Group Overseas Development 2012 Ltd,3.90,05/17/2022,05/17/2012,N/A,A+/A1,"200,000",208850.21,2.04,10/09/2020
BSBE,,82937JAB0,Sinopec Group Overseas Development 2012 Ltd,3.90,05/17/2022,05/17/2012,N/A,A+/A1,"200,000",208850.21,2.04,10/09/2020
BSBE,,12623UAA3,CNOOC Finance 2012 Ltd,3.88,05/02/2022,05/02/2012,N/A,A+/A1,"200,000",208842.24,2.04,10/09/2020
BSBE,,455780BK1,Indonesia Government International Bond,3.75,04/25/2022,04/25/2012,N/A,BBB/Baa2,"200,000",208771.0,2.04,10/09/2020
BSBE,,02364WBD6,America Movil SAB de CV,3.12,07/16/2022,07/16/2012,N/A,BBB+/A3,"200,000",208291.88,2.03,10/09/2020
BSBE,,29135LAC4,Abu Dhabi Government International Bond,2.50,10/11/2022,10/11/2017,N/A,AA/Aa2,"200,000",207558.0,2.03,10/09/2020
BSBE,,AP4164210,Abu Dhabi Government International Bond,2.50,10/11/2022,10/11/2017,N/A,AA/NR,"200,000",207558.0,2.03,10/09/2020
BSBE,,71567PAG5,Perusahaan Penerbit SBSN Indonesia III,3.40,03/29/2022,03/29/2017,N/A,BBB/Baa2,"200,000",207439.0,2.03,10/09/2020
BSBE,,AM1929240,DIB Sukuk Ltd,3.66,02/14/2022,02/14/2017,N/A,NR/A3,"200,000",206409.2,2.02,10/09/2020
BSBE,,40053FAB4,Grupo Aval Ltd,4.75,09/26/2022,09/26/2012,N/A,NR/Ba2,"200,000",206275.0,2.01,10/09/2020
BSBE,,716743AH2,Petronas Capital Ltd,3.12,03/18/2022,03/18/2015,N/A,A-/A2,"200,000",206244.0,2.01,10/09/2020
BSBE,,045167ED1,Asian Development Bank,1.75,09/13/2022,09/13/2017,N/A,AAA/Aaa,"200,000",205912.11,2.01,10/09/2020
BSBE,,77819RAA7,Rosneft Oil Co Via Rosneft International Finance DAC,4.20,03/06/2022,12/06/2012,N/A,BBB-/Baa3,"200,000",205885.8,2.01,10/09/2020
BSBE,,55377XAC0,MTN Mauritius Investments Ltd,5.37,02/13/2022,10/13/2016,N/A,BB-/Ba1,"200,000",205832.0,2.01,10/09/2020
BSBE,,857006AE0,State Grid Overseas Investment 2016 Ltd,2.75,05/04/2022,05/04/2017,N/A,A+/A1,"200,000",205351.76,2.01,10/09/2020
BSBE,,045167DX8,Asian Development Bank,2.00,02/16/2022,02/16/2017,N/A,AAA/Aaa,"200,000",204795.51,2.00,10/09/2020
BSBE,,06034LAA8,Banistmo SA,3.65,09/19/2022,09/19/2017,N/A,BB+/Baa3,"200,000",204125.0,1.99,10/09/2020
