Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCE,,78307ADG5,Russian Foreign Bond - Eurobond,4.88,09/16/2023,09/16/2013,N/A,BBB-/Baa3,"400,000",439650.4,4.24,10/09/2020
BSCE,,91086QBC1,Mexico Government International Bond,4.00,10/02/2023,10/02/2013,N/A,BBB/Baa1,"350,000",380833.25,3.68,10/09/2020
BSCE,,69369EAE9,Pertamina Persero PT,4.30,05/20/2023,05/20/2013,N/A,BBB/Baa2,"300,000",322965.0,3.12,10/09/2020
BSCE,,045167EH2,Asian Development Bank,2.75,03/17/2023,03/20/2018,N/A,AAA/Aaa,"300,000",318083.45,3.07,10/09/2020
BSCE,,EJ5266394,Colombia Government International Bond,2.62,03/15/2023,01/29/2013,12/15/2022,BBB-/Baa2,"300,000",309496.5,2.99,10/09/2020
BSCE,,445545AJ5,Hungary Government International Bond,5.75,11/22/2023,11/22/2013,N/A,BBB/Baa3,"200,000",229500.0,2.22,10/09/2020
BSCE,,455780BP0,Indonesia Government International Bond,5.38,10/17/2023,07/17/2013,N/A,BBB/Baa2,"200,000",226192.89,2.18,10/09/2020
BSCE,,358070AA8,Fresnillo PLC,5.50,11/13/2023,11/13/2013,N/A,BBB/Baa2,"200,000",221800.0,2.14,10/09/2020
BSCE,,445545AH9,Hungary Government International Bond,5.38,02/21/2023,02/19/2013,N/A,BBB/Baa3,"200,000",221122.0,2.13,10/09/2020
BSCE,,EJ8270005,Russian Foreign Bond - Eurobond,4.88,09/16/2023,09/16/2013,N/A,BBB-/Baa3,"200,000",219825.2,2.12,10/09/2020
BSCE,,EJ7171295,Indian Oil Corp Ltd,5.75,08/01/2023,08/01/2013,N/A,NR/Baa3,"200,000",219160.08,2.12,10/09/2020
BSCE,,82937VAB3,Sinopec Group Overseas Development 2013 Ltd,4.38,10/17/2023,10/17/2013,N/A,A+/A1,"200,000",219149.0,2.12,10/09/2020
BSCE,,05958AAH1,Banco do Brasil SA/Cayman,5.88,01/19/2023,06/19/2012,N/A,B-/Ba3,"200,000",216100.0,2.09,10/09/2020
BSCE,,05990GAA3,Banco de Credito del Peru,4.25,04/01/2023,04/01/2013,N/A,BBB+/Baa1,"200,000",214450.0,2.07,10/09/2020
BSCE,,857006AL4,State Grid Overseas Investment 2016 Ltd,3.75,05/02/2023,05/02/2018,N/A,A+/A1,"200,000",214245.0,2.07,10/09/2020
BSCE,,55377WAB4,Mobile Telesystems OJSC Via MTS International Funding DAC,5.00,05/30/2023,05/30/2013,N/A,BBB-/Baa3u,"200,000",213617.2,2.06,10/09/2020
BSCE,,EJ5698547,ADCB Finance Cayman Ltd,4.50,03/06/2023,03/06/2013,N/A,A-/NR,"200,000",213432.0,2.06,10/09/2020
BSCE,,549876AH3,Lukoil International Finance BV,4.56,04/24/2023,04/24/2013,N/A,BBB/Baa2,"200,000",213100.6,2.06,10/09/2020
BSCE,,46128MAF8,Inversiones CMPC SA/Cayman Islands Branch,4.38,05/15/2023,05/13/2013,02/15/2023,BBB-/NA,"200,000",213068.0,2.06,10/09/2020
BSCE,,05956NAE2,Banco de Credito e Inversiones SA,4.00,02/11/2023,02/11/2013,N/A,A/A2,"200,000",213041.0,2.06,10/09/2020
BSCE,,00653MAA9,ADCB Finance Cayman Ltd,4.00,03/29/2023,03/29/2018,N/A,A/NR,"200,000",212889.0,2.06,10/09/2020
BSCE,,26139PAA1,DP World Crescent Ltd,3.91,05/31/2023,05/31/2016,N/A,NA/Baa3,"200,000",212784.0,2.05,10/09/2020
BSCE,,46556LAJ3,Itau Unibanco Holding SA/Cayman Island,5.12,05/13/2023,11/13/2012,N/A,NR/Ba3,"200,000",212550.0,2.05,10/09/2020
BSCE,,731011AT9,Republic of Poland Government International Bond,3.00,03/17/2023,09/17/2012,N/A,A-/A2,"200,000",212396.0,2.05,10/09/2020
BSCE,,455780BL9,Indonesia Government International Bond,3.38,04/15/2023,04/15/2013,N/A,BBB/Baa2,"200,000",211915.0,2.05,10/09/2020
BSCE,,00386SAL6,Abu Dhabi National Energy Co PJSC,3.62,01/12/2023,12/12/2012,N/A,NR/Aa3,"200,000",211615.0,2.04,10/09/2020
BSCE,,12623TAE8,CNPC General Capital Ltd,3.40,04/16/2023,04/16/2013,N/A,A/A2,"200,000",211193.0,2.04,10/09/2020
BSCE,,AR5949987,Rizal Commercial Banking Corp,4.12,03/16/2023,03/15/2018,N/A,NR/Baa2,"200,000",211000.0,2.04,10/09/2020
BSCE,,EJ5038918,Export-Import Bank of India,4.00,01/14/2023,01/14/2013,N/A,BBB-/Baa3,"200,000",210987.79,2.04,10/09/2020
BSCE,,78386FAA4,Falabella SA,3.75,04/30/2023,04/30/2013,N/A,BBB/NA,"200,000",210329.0,2.03,10/09/2020
BSCE,,12625GAC8,CNOOC Finance 2013 Ltd,3.00,05/09/2023,05/09/2013,N/A,A+/A1,"200,000",209594.42,2.02,10/09/2020
BSCE,,55276VAF9,MDGH - GMTN BV,2.75,05/11/2023,05/12/2016,N/A,AA/Aa2,"200,000",209130.0,2.02,10/09/2020
BSCE,,AQ7343165,Banco Internacional del Peru SAA Interbank,3.38,01/18/2023,01/18/2018,10/18/2022,NR/Baa1,"200,000",208575.0,2.01,10/09/2020
BSCE,,AP9689864,Siam Commercial Bank PCL/Cayman Islands,2.75,05/16/2023,11/16/2017,N/A,BBB+/Baa1,"200,000",207742.57,2.01,10/09/2020
BSCE,,105756BU3,Brazilian Government International Bond,2.62,01/05/2023,09/12/2012,N/A,BB-/Ba2,"200,000",206750.0,2.00,10/09/2020
BSCE,,49989AAB5,KOC Holding AS,5.25,03/15/2023,03/15/2016,12/15/2022,BB-/B2,"200,000",200940.2,1.94,10/09/2020
