Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCK,,9127963A5,United States Treasury Bill,.00,11/19/2020,05/21/2020,N/A,AA+u/Aaa,"432,000,000",4.3196226048E8,30.56,10/09/2020
BSCK,,9127962S7,United States Treasury Bill,.00,10/22/2020,04/23/2020,N/A,AA+u/Aaa,"250,866,000",2.5086098268E8,17.75,10/09/2020
BSCK,,9127963J6,United States Treasury Bill,.00,12/10/2020,06/11/2020,N/A,AA+u/Aaa,"145,000,000",1.449801437E8,10.26,10/09/2020
BSCK,,92826CAB8,Visa Inc,2.20,12/14/2020,12/14/2015,11/14/2020,AA-/Aa3,"27,333,000",2.737937727E7,1.94,10/09/2020
BSCK,,172967KB6,Citigroup Inc,2.65,10/26/2020,10/26/2015,N/A,BBB+/A3,"27,185,000",2.720538875E7,1.92,10/09/2020
BSCK,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"27,005,815",2.700581505E7,1.91,10/09/2020
BSCK,,46625HHU7,JPMorgan Chase & Co,4.25,10/15/2020,10/21/2010,N/A,A-/A2,"26,697,000",2.669994415E7,1.89,10/09/2020
BSCK,,06051GFT1,Bank of America Corp,2.62,10/19/2020,10/19/2015,N/A,A-/A2,"22,001,000",2.200827771E7,1.56,10/09/2020
BSCK,,94974BGR5,Wells Fargo & Co,2.55,12/07/2020,12/07/2015,N/A,BBB+/A2,"19,834,000",1.989958945E7,1.41,10/09/2020
BSCK,,78013GKN4,Royal Bank of Canada,2.15,10/26/2020,10/26/2017,N/A,AA-/Aa2,"19,765,000",1.977813266E7,1.40,10/09/2020
BSCK,,89114QBC1,Toronto-Dominion Bank/The,2.50,12/14/2020,12/14/2015,N/A,AA-/Aa1,"18,719,000",1.879856717E7,1.33,10/09/2020
BSCK,,38141GWG5,Goldman Sachs Group Inc/The,2.60,12/27/2020,03/27/2017,06/27/2020,BBB+/A3,"17,466,000",1.754703508E7,1.24,10/09/2020
BSCK,,046353AK4,AstraZeneca PLC,2.38,11/16/2020,11/16/2015,N/A,BBB+/A3,"15,600,000",1.562878621E7,1.11,10/09/2020
BSCK,,78012KJA6,Royal Bank of Canada,2.35,10/30/2020,10/30/2015,N/A,AA-/Aa2,"14,412,000",1.442591479E7,1.02,10/09/2020
BSCK,,80283LAP8,Santander UK PLC,2.12,11/03/2020,11/03/2017,N/A,A/Aa3,"13,000,000",1.301284946E7,0.92,10/09/2020
BSCK,,00440EAT4,Chubb INA Holdings Inc,2.30,11/03/2020,11/03/2015,11/02/2020,A/A3,"12,885,000",1.289886233E7,0.91,10/09/2020
BSCK,,931142EA7,Walmart Inc,1.90,12/15/2020,10/20/2017,N/A,AA/Aa2,"12,140,000",1.217572486E7,0.86,10/09/2020
BSCK,,166764AY6,Chevron Corp,2.42,11/17/2020,11/17/2015,11/09/2020,AA/Aa2,"12,144,000",1.216283765E7,0.86,10/09/2020
BSCK,,191216BT6,Coca-Cola Co/The,1.88,10/27/2020,10/27/2015,N/A,A+/A1,"11,899,000",1.190701564E7,0.84,10/09/2020
BSCK,,064159GW0,Bank of Nova Scotia/The,2.35,10/21/2020,10/21/2015,N/A,A+/Aa2,"10,690,000",1.069454614E7,0.76,10/09/2020
BSCK,,666807BL5,Northrop Grumman Corp,2.08,10/15/2020,10/13/2017,N/A,BBB/Baa2,"10,667,000",1.066755628E7,0.75,10/09/2020
BSCK,,191216BG4,Coca-Cola Co/The,2.45,11/01/2020,11/01/2013,N/A,A+/A1,"10,319,000",1.032999201E7,0.73,10/09/2020
BSCK,,06739GBP3,Barclays Bank PLC,5.14,10/14/2020,10/14/2010,N/A,BBB-/Baa3,"9,996,000",9996000.0,0.71,10/09/2020
BSCK,,58013MEX8,McDonald's Corp,2.75,12/09/2020,12/09/2015,11/09/2020,BBB+/Baa1,"9,853,000",9870046.28,0.70,10/09/2020
