Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCL,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"49,439,254",4.943925448E7,2.41,10/09/2020
BSCL,,68389XBK0,Oracle Corp,1.90,09/15/2021,07/07/2016,08/15/2021,A/A3,"24,852,000",2.518930924E7,1.23,10/09/2020
BSCL,,38141GGQ1,Goldman Sachs Group Inc/The,5.25,07/27/2021,07/27/2011,N/A,BBB+/A3,"23,585,000",2.450374471E7,1.19,10/09/2020
BSCL,,251526BX6,Deutsche Bank AG/New York NY,4.25,10/14/2021,06/01/2018,N/A,BBB-/Baa3,"20,825,000",2.143958094E7,1.04,10/09/2020
BSCL,,61746BED4,Morgan Stanley,2.62,11/17/2021,11/17/2016,N/A,BBB+/A2,"19,867,000",2.036242854E7,0.99,10/09/2020
BSCL,,05567LT31,BNP Paribas SA,5.00,01/15/2021,01/18/2011,N/A,A+/Aa3,"18,482,000",1.8701159E7,0.91,10/09/2020
BSCL,,037833AR1,Apple Inc,2.85,05/06/2021,05/06/2014,N/A,AA+/Aa1,"17,978,000",1.825264685E7,0.89,10/09/2020
BSCL,,949746SA0,Wells Fargo & Co,2.10,07/26/2021,07/25/2016,N/A,BBB+/A2,"17,862,000",1.811640507E7,0.88,10/09/2020
BSCL,,037833BS8,Apple Inc,2.25,02/23/2021,02/23/2016,01/23/2021,AA+/Aa1,"17,917,000",1.801544818E7,0.88,10/09/2020
BSCL,,94988J5N3,Wells Fargo Bank NA,2.60,01/15/2021,01/23/2018,N/A,A+/Aa2,"16,600,000",1.670050055E7,0.81,10/09/2020
BSCL,,594918BP8,Microsoft Corp,1.55,08/08/2021,08/08/2016,07/08/2021,AAA/Aaa,"16,498,000",1.66651518E7,0.81,10/09/2020
BSCL,,61746BEA0,Morgan Stanley,2.50,04/21/2021,04/21/2016,N/A,BBB+/A2,"15,955,000",1.61403904E7,0.79,10/09/2020
BSCL,,949746RS2,Wells Fargo & Co,2.50,03/04/2021,03/04/2016,N/A,BBB+/A2,"15,994,000",1.613258417E7,0.79,10/09/2020
BSCL,,172967LC3,Citigroup Inc,2.90,12/08/2021,12/08/2016,11/08/2021,BBB+/A3,"15,416,000",1.582964489E7,0.77,10/09/2020
BSCL,,94974BEV8,Wells Fargo & Co,4.60,04/01/2021,03/29/2011,N/A,BBB+/A2,"15,504,000",1.581174789E7,0.77,10/09/2020
BSCL,,61747WAF6,Morgan Stanley,5.75,01/25/2021,01/25/2011,N/A,BBB+/A2,"15,499,000",1.573620057E7,0.77,10/09/2020
BSCL,,172967KK6,Citigroup Inc,2.70,03/30/2021,03/30/2016,N/A,BBB+/A3,"15,459,000",1.563130385E7,0.76,10/09/2020
BSCL,,17275RBD3,Cisco Systems Inc,2.20,02/28/2021,02/29/2016,N/A,AA-/A1,"14,718,000",1.482881064E7,0.72,10/09/2020
