Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCM,,38141GGS7,Goldman Sachs Group Inc/The,5.75,01/24/2022,01/24/2012,N/A,BBB+/A3,"25,600,000",2.733644134E7,1.33,10/09/2020
BSCM,,95000U2B8,Wells Fargo & Co,2.62,07/22/2022,07/24/2017,N/A,BBB+/A2,"21,343,000",2.215982585E7,1.07,10/09/2020
BSCM,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"19,796,268",1.979626813E7,0.96,10/09/2020
BSCM,,61744YAH1,Morgan Stanley,2.75,05/19/2022,05/19/2017,N/A,BBB+/A2,"18,591,000",1.927429715E7,0.93,10/09/2020
BSCM,,06740L8C2,Barclays Bank PLC,7.62,11/21/2022,11/21/2012,N/A,BB+/NR,"17,350,000",1.917465161E7,0.93,10/09/2020
BSCM,,38141GWC4,Goldman Sachs Group Inc/The,3.00,04/26/2022,01/26/2017,04/26/2021,BBB+/A3,"18,475,000",1.874194952E7,0.91,10/09/2020
BSCM,,00287YAL3,AbbVie Inc,2.90,11/06/2022,08/05/2013,N/A,BBB+/Baa2,"17,452,000",1.830131641E7,0.89,10/09/2020
BSCM,,46625HJE1,JPMorgan Chase & Co,3.25,09/23/2022,09/24/2012,N/A,A-/A2,"17,208,000",1.81993312E7,0.88,10/09/2020
BSCM,,161175BB9,Charter Communications Operating LLC / Charter Communication,4.46,07/23/2022,12/01/2016,05/23/2022,BBB-/Ba1,"17,025,000",1.808373555E7,0.88,10/09/2020
BSCM,,21685WDD6,Cooperatieve Rabobank UA,3.88,02/08/2022,02/08/2012,N/A,A+/Aa3,"17,215,000",1.801747206E7,0.87,10/09/2020
BSCM,,11134LAD1,Broadcom Corp / Broadcom Cayman Finance Ltd,3.00,01/15/2022,02/14/2018,12/15/2021,BBB-/Baa3,"16,512,000",1.70056307E7,0.82,10/09/2020
BSCM,,94974BFC9,Wells Fargo & Co,3.50,03/08/2022,03/08/2012,N/A,BBB+/A2,"14,713,000",1.535072145E7,0.74,10/09/2020
BSCM,,172967FT3,Citigroup Inc,4.50,01/14/2022,11/01/2011,N/A,BBB+/A3,"14,229,000",1.495291859E7,0.72,10/09/2020
BSCM,,438516CC8,Honeywell International Inc,.48,08/19/2022,08/19/2020,08/19/2021,A/A2,"14,465,000",1.449162616E7,0.70,10/09/2020
BSCM,,68389XAP0,Oracle Corp,2.50,10/15/2022,10/25/2012,N/A,A/A3,"13,877,000",1.447936477E7,0.70,10/09/2020
BSCM,,68389XBB0,Oracle Corp,2.50,05/15/2022,05/05/2015,03/15/2022,A/A3,"13,875,000",1.430685799E7,0.69,10/09/2020
BSCM,,694308JE8,Pacific Gas and Electric Co,1.75,06/16/2022,06/19/2020,06/16/2021,BBB-/Baa3,"14,128,000",1.414643125E7,0.69,10/09/2020
BSCM,,606822BL7,Mitsubishi UFJ Financial Group Inc,2.62,07/18/2022,07/18/2019,N/A,A-/A1,"13,100,000",1.357173388E7,0.66,10/09/2020
BSCM,,92826CAC6,Visa Inc,2.80,12/14/2022,12/14/2015,10/14/2022,AA-/Aa3,"12,823,000",1.348560301E7,0.65,10/09/2020
BSCM,,172967LG4,Citigroup Inc,2.75,04/25/2022,04/25/2017,03/25/2022,BBB+/A3,"12,991,000",1.342958188E7,0.65,10/09/2020
BSCM,,90261AAB8,UBS AG/Stamford CT,7.62,08/17/2022,08/17/2012,N/A,BBB+/NR,"11,600,000",1.294309034E7,0.63,10/09/2020
BSCM,,6174824M3,Morgan Stanley,4.88,11/01/2022,10/23/2012,N/A,BBB/Baa1,"11,382,000",1.235251412E7,0.60,10/09/2020
BSCM,,718546AC8,Phillips 66,4.30,04/01/2022,01/18/2013,N/A,BBB+/A3,"11,680,000",1.23125457E7,0.60,10/09/2020
BSCM,,606822AP9,Mitsubishi UFJ Financial Group Inc,2.67,07/25/2022,07/25/2017,N/A,A-/A1,"11,562,000",1.197470305E7,0.58,10/09/2020
BSCM,,404280AN9,HSBC Holdings PLC,4.00,03/30/2022,03/30/2012,N/A,A-/A2,"11,317,000",1.188223402E7,0.58,10/09/2020
BSCM,,86562MAQ3,Sumitomo Mitsui Financial Group Inc,2.78,07/12/2022,07/12/2017,N/A,A-/A1,"11,357,000",1.181094031E7,0.57,10/09/2020
BSCM,,166764AB6,Chevron Corp,2.35,12/05/2022,12/05/2012,09/05/2022,AA/Aa2,"11,358,000",1.178806613E7,0.57,10/09/2020
BSCM,,377373AD7,GlaxoSmithKline Capital PLC,2.85,05/08/2022,05/09/2012,N/A,A/A2,"11,320,000",1.177331698E7,0.57,10/09/2020
BSCM,,06051GFZ7,Bank of America Corp,2.50,10/21/2022,10/21/2016,10/21/2021,A-/A2,"11,379,000",1.162652022E7,0.56,10/09/2020
BSCM,,00206RCM2,AT&T Inc,3.00,06/30/2022,05/04/2015,04/30/2022,BBB/Baa2,"11,071,000",1.151105199E7,0.56,10/09/2020
BSCM,,02209SAN3,Altria Group Inc,2.85,08/09/2022,08/09/2012,N/A,BBB/A3,"10,872,000",1.133953612E7,0.55,10/09/2020
BSCM,,585055BR6,Medtronic Inc,3.15,03/15/2022,08/31/2015,N/A,A/A3,"10,668,000",1.109801695E7,0.54,10/09/2020
BSCM,,025816BM0,American Express Co,2.50,08/01/2022,08/01/2017,07/01/2022,BBB+/A3,"10,520,000",1.089694401E7,0.53,10/09/2020
BSCM,,075887BT5,Becton Dickinson and Co,2.89,06/06/2022,06/06/2017,05/06/2022,BBB/Ba1,"10,114,000",1.046765604E7,0.51,10/09/2020
BSCM,,594918BW3,Microsoft Corp,2.40,02/06/2022,02/06/2017,01/06/2022,AAA/Aaa,"10,174,000",1.044911422E7,0.51,10/09/2020
BSCM,,172967LQ2,Citigroup Inc,2.70,10/27/2022,10/27/2017,09/27/2022,BBB+/A3,"9,974,000",1.040844151E7,0.50,10/09/2020
BSCM,,0258M0EG0,American Express Credit Corp,2.70,03/03/2022,03/03/2017,01/31/2022,A-/A2,"9,921,000",1.023038301E7,0.50,10/09/2020
BSCM,,278062AC8,Eaton Corp,2.75,11/02/2022,11/07/2013,N/A,A-/Baa1,"9,276,000",9729791.66,0.47,10/09/2020
BSCM,,747525AE3,QUALCOMM Inc,3.00,05/20/2022,05/20/2015,N/A,A-/A2,"9,163,000",9560550.32,0.46,10/09/2020
BSCM,,026874CU9,American International Group Inc,4.88,06/01/2022,05/24/2012,N/A,BBB+/Baa1,"8,506,000",9110096.72,0.44,10/09/2020
BSCM,,22550L2B6,Credit Suisse AG/New York NY,2.80,04/08/2022,04/09/2020,N/A,A+/A1,"8,750,000",9065725.29,0.44,10/09/2020
BSCM,,21685WDF1,Cooperatieve Rabobank UA,3.95,11/09/2022,11/09/2012,N/A,BBB+/Baa1,"8,500,000",9051094.7,0.44,10/09/2020
BSCM,,037833CM0,Apple Inc,2.50,02/09/2022,02/09/2017,01/09/2022,AA+/Aa1,"8,781,000",9025232.28,0.44,10/09/2020
BSCM,,458140AM2,Intel Corp,2.70,12/15/2022,12/11/2012,N/A,A+/A1,"8,562,000",9007543.62,0.44,10/09/2020
