Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCN,,126650CV0,CVS Health Corp,3.70,03/09/2023,03/09/2018,02/09/2023,BBB/Baa2,"22,247,000",2.3871031E7,1.72,10/09/2020
BSCN,,037833AK6,Apple Inc,2.40,05/03/2023,05/03/2013,N/A,AA+/Aa1,"20,686,000",2.177999793E7,1.57,10/09/2020
BSCN,,06051GEU9,Bank of America Corp,3.30,01/11/2023,01/11/2013,N/A,A-/A2,"16,490,000",1.752486573E7,1.26,10/09/2020
BSCN,,92343VBR4,Verizon Communications Inc,5.15,09/15/2023,09/18/2013,N/A,BBB+/Baa1,"14,900,000",1.692931325E7,1.22,10/09/2020
BSCN,,949746SK8,Wells Fargo & Co,3.07,01/24/2023,01/24/2017,01/24/2022,BBB+/A2,"14,504,000",1.496594979E7,1.08,10/09/2020
BSCN,,097023CS2,Boeing Co/The,4.51,05/01/2023,05/04/2020,04/01/2023,BBB-/Baa2,"11,518,000",1.220027587E7,0.88,10/09/2020
BSCN,,931142EK5,Walmart Inc,3.40,06/26/2023,06/27/2018,05/26/2023,AA/Aa2,"10,591,000",1.142269333E7,0.82,10/09/2020
BSCN,,46625HJH4,JPMorgan Chase & Co,3.20,01/25/2023,01/25/2013,N/A,A-/A2,"10,597,000",1.127096962E7,0.81,10/09/2020
BSCN,,94988J5R4,Wells Fargo Bank NA,3.55,08/14/2023,08/14/2018,07/14/2023,A+/Aa2,"10,300,000",1.116684687E7,0.80,10/09/2020
BSCN,,30231GBL5,Exxon Mobil Corp,1.57,04/15/2023,04/15/2020,N/A,AA/Aa1,"10,591,000",1.091152782E7,0.79,10/09/2020
BSCN,,780097BD2,Natwest Group PLC,3.88,09/12/2023,09/12/2016,N/A,BBB/Baa2,"10,000,000",1.07847764E7,0.78,10/09/2020
BSCN,,61746BDJ2,Morgan Stanley,3.75,02/25/2023,02/25/2013,N/A,BBB+/A2,"9,570,000",1.02887425E7,0.74,10/09/2020
BSCN,,035242AL0,Anheuser-Busch InBev Finance Inc,3.30,02/01/2023,01/25/2016,12/01/2022,BBB+/Baa1,"9,671,000",1.028191281E7,0.74,10/09/2020
BSCN,,61744YAN8,Morgan Stanley,3.12,01/23/2023,01/23/2018,N/A,BBB+/A2,"9,672,000",1.023147413E7,0.74,10/09/2020
BSCN,,68389XBL8,Oracle Corp,2.40,09/15/2023,07/07/2016,07/15/2023,A/A3,"9,380,000",9880238.5,0.71,10/09/2020
BSCN,,82481LAC3,Shire Acquisitions Investments Ireland DAC,2.88,09/23/2023,09/23/2016,07/23/2023,BBB+/Baa2,"9,263,000",9841257.13,0.71,10/09/2020
BSCN,,38141GRD8,Goldman Sachs Group Inc/The,3.62,01/22/2023,01/22/2013,N/A,BBB+/A3,"8,745,000",9351232.7,0.67,10/09/2020
BSCN,,166764AH3,Chevron Corp,3.19,06/24/2023,06/24/2013,03/24/2023,AA/Aa2,"8,643,000",9242166.81,0.67,10/09/2020
BSCN,,606822BA1,Mitsubishi UFJ Financial Group Inc,3.76,07/26/2023,07/26/2018,N/A,A-/A1,"8,295,000",8997053.21,0.65,10/09/2020
BSCN,,125523AF7,Cigna Corp,3.75,07/15/2023,08/27/2019,06/15/2023,A-/Baa2,"8,111,000",8794597.03,0.63,10/09/2020
BSCN,,780097AZ4,Natwest Group PLC,6.00,12/19/2023,12/19/2013,N/A,BB+/Baa3,"7,726,000",8728119.06,0.63,10/09/2020
BSCN,,06053FAA7,Bank of America Corp,4.10,07/24/2023,07/23/2013,N/A,A-/A2,"7,749,000",8509063.22,0.61,10/09/2020
