Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCO,,15135BAT8,Centene Corp,4.62,12/15/2029,05/06/2020,12/15/2024,BBB-/Ba1,"13,770,000",1.50031035E7,1.36,10/09/2020
BSCO,,06051GFH7,Bank of America Corp,4.20,08/26/2024,08/26/2014,N/A,BBB+/Baa1,"11,809,000",1.318213907E7,1.19,10/09/2020
BSCO,,61761JVL0,Morgan Stanley,3.70,10/23/2024,10/23/2014,N/A,BBB+/A2,"11,812,000",1.313175346E7,1.19,10/09/2020
BSCO,,61746BDQ6,Morgan Stanley,3.88,04/29/2024,04/28/2014,N/A,BBB+/A2,"11,817,000",1.308770316E7,1.18,10/09/2020
BSCO,,22546QAP2,Credit Suisse AG/New York NY,3.62,09/09/2024,09/09/2014,N/A,A+/A1,"11,750,000",1.303860676E7,1.18,10/09/2020
BSCO,,38141GVM3,Goldman Sachs Group Inc/The,4.00,03/03/2024,03/03/2014,N/A,BBB+/A3,"11,812,000",1.303425119E7,1.18,10/09/2020
BSCO,,46625HJY7,JPMorgan Chase & Co,3.88,09/10/2024,09/10/2014,N/A,BBB+/A3,"11,716,000",1.301928245E7,1.18,10/09/2020
BSCO,,06051GFB0,Bank of America Corp,4.12,01/22/2024,01/21/2014,N/A,A-/A2,"9,812,000",1.08844987E7,0.98,10/09/2020
BSCO,,037833AS9,Apple Inc,3.45,05/06/2024,05/06/2014,N/A,AA+/Aa1,"9,692,000",1.070217051E7,0.97,10/09/2020
BSCO,,06051GFF1,Bank of America Corp,4.00,04/01/2024,04/01/2014,N/A,A-/A2,"9,095,000",1.00969957E7,0.91,10/09/2020
BSCO,,11134LAF6,Broadcom Corp / Broadcom Cayman Finance Ltd,3.62,01/15/2024,02/14/2018,11/15/2023,BBB-/Baa3,"9,332,000",1.005644213E7,0.91,10/09/2020
BSCO,,38141EC23,Goldman Sachs Group Inc/The,3.85,07/08/2024,07/08/2014,04/08/2024,BBB+/A3,"8,881,000",9753279.92,0.88,10/09/2020
BSCO,,780099CH8,Natwest Group PLC,5.12,05/28/2024,05/28/2014,N/A,BB+/Baa3,"8,800,000",9707406.02,0.88,10/09/2020
BSCO,,94974BGA2,Wells Fargo & Co,3.30,09/09/2024,09/09/2014,N/A,BBB+/A2,"8,884,000",9702237.63,0.88,10/09/2020
BSCO,,594918BX1,Microsoft Corp,2.88,02/06/2024,02/06/2017,12/06/2023,AAA/Aaa,"8,659,000",9335608.98,0.84,10/09/2020
BSCO,,66989HAG3,Novartis Capital Corp,3.40,05/06/2024,02/21/2014,N/A,AA-/A1,"8,305,000",9170423.77,0.83,10/09/2020
BSCO,,92343VCR3,Verizon Communications Inc,3.50,11/01/2024,10/29/2014,08/01/2024,BBB+/Baa1,"8,028,000",8876433.32,0.80,10/09/2020
BSCO,,785592AJ5,Sabine Pass Liquefaction LLC,5.75,05/15/2024,11/19/2014,02/15/2024,BBB-/Baa3,"7,810,000",8826503.76,0.80,10/09/2020
BSCO,,404119BN8,HCA Inc,5.00,03/15/2024,03/17/2014,N/A,BBB-/Baa3,"7,812,000",8776598.57,0.79,10/09/2020
BSCO,,931427AH1,Walgreens Boots Alliance Inc,3.80,11/18/2024,11/18/2014,08/18/2024,BBB/Baa2,"7,906,000",8769615.55,0.79,10/09/2020
BSCO,,46625HJX9,JPMorgan Chase & Co,3.62,05/13/2024,05/13/2014,N/A,A-/A2,"7,911,000",8753159.57,0.79,10/09/2020
BSCO,,92857WBH2,Vodafone Group PLC,3.75,01/16/2024,05/30/2018,N/A,BBB/Baa2,"7,909,000",8647632.58,0.78,10/09/2020
BSCO,,023135AZ9,Amazon.com Inc,2.80,08/22/2024,06/06/2018,06/22/2024,AA-/A2,"7,885,000",8553292.62,0.77,10/09/2020
BSCO,,68389XAU9,Oracle Corp,3.40,07/08/2024,07/08/2014,04/08/2024,A/A3,"7,765,000",8517527.66,0.77,10/09/2020
BSCO,,404280AP4,HSBC Holdings PLC,4.25,03/14/2024,03/12/2014,N/A,BBB/A3,"7,850,000",8493665.7,0.77,10/09/2020
BSCO,,68389XBS3,Oracle Corp,2.95,11/15/2024,11/09/2017,09/15/2024,A/A3,"7,746,000",8442121.32,0.76,10/09/2020
