Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCP,,00206RCN0,AT&T Inc,3.40,05/15/2025,05/04/2015,02/15/2025,BBB/Baa2,"8,556,000",9465991.43,1.42,10/09/2020
BSCP,,126650CW8,CVS Health Corp,4.10,03/25/2025,03/09/2018,01/25/2025,BBB/Baa2,"8,331,000",9422296.52,1.41,10/09/2020
BSCP,,161175AY0,Charter Communications Operating LLC / Charter Communication,4.91,07/23/2025,12/01/2016,04/23/2025,BBB-/Ba1,"7,177,000",8322513.43,1.25,10/09/2020
BSCP,,585055BS4,Medtronic Inc,3.50,03/15/2025,08/31/2015,N/A,A/A3,"6,774,000",7650168.6,1.15,10/09/2020
BSCP,,92826CAD4,Visa Inc,3.15,12/14/2025,12/14/2015,09/14/2025,AA-/Aa3,"6,718,000",7530523.36,1.13,10/09/2020
BSCP,,00287YAQ2,AbbVie Inc,3.60,05/14/2025,05/14/2015,02/14/2025,BBB+/Baa2,"6,470,000",7175829.12,1.08,10/09/2020
BSCP,,92343VEN0,Verizon Communications Inc,3.38,02/15/2025,01/19/2018,N/A,BBB+/Baa1,"5,867,000",6549092.08,0.98,10/09/2020
BSCP,,594918BJ2,Microsoft Corp,3.12,11/03/2025,11/03/2015,08/03/2025,AAA/Aaa,"5,369,000",6007980.47,0.90,10/09/2020
BSCP,,097023CT0,Boeing Co/The,4.88,05/01/2025,05/04/2020,04/01/2025,BBB-/Baa2,"5,475,000",5994879.61,0.90,10/09/2020
BSCP,,126650CL2,CVS Health Corp,3.88,07/20/2025,07/20/2015,04/20/2025,BBB/Baa2,"5,056,000",5693285.39,0.85,10/09/2020
BSCP,,822582BD3,Shell International Finance BV,3.25,05/11/2025,05/11/2015,N/A,AA-/Aa2,"4,954,000",5503009.12,0.83,10/09/2020
BSCP,,6174468C6,Morgan Stanley,4.00,07/23/2025,07/23/2015,N/A,BBB+/A2,"4,637,000",5280008.43,0.79,10/09/2020
BSCP,,38148LAC0,Goldman Sachs Group Inc/The,3.50,01/23/2025,01/23/2015,10/23/2024,BBB+/A3,"4,540,000",4980289.43,0.75,10/09/2020
BSCP,,68389XBC8,Oracle Corp,2.95,05/15/2025,05/05/2015,02/15/2025,A/A3,"4,518,000",4945414.0,0.74,10/09/2020
BSCP,,761713BG0,Reynolds American Inc,4.45,06/12/2025,06/12/2015,03/12/2025,BBB+/Baa2,"4,362,000",4938821.28,0.74,10/09/2020
BSCP,,42824CAW9,Hewlett Packard Enterprise Co,4.90,10/15/2025,12/30/2016,07/15/2025,BBB/Baa2,"4,215,000",4864625.79,0.73,10/09/2020
BSCP,,458140AS9,Intel Corp,3.70,07/29/2025,07/29/2015,04/29/2025,A+/A1,"4,206,000",4778354.67,0.72,10/09/2020
