Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCQ,,594918BR4,Microsoft Corp,2.40,08/08/2026,08/08/2016,05/08/2026,AAA/Aaa,"3,769,000",4121484.68,1.37,10/09/2020
BSCQ,,949746SH5,Wells Fargo & Co,3.00,10/23/2026,10/25/2016,N/A,BBB+/A2,"3,284,000",3607339.85,1.20,10/09/2020
BSCQ,,949746RW3,Wells Fargo & Co,3.00,04/22/2026,04/22/2016,N/A,BBB+/A2,"3,236,000",3545193.0,1.18,10/09/2020
BSCQ,,037833BY5,Apple Inc,3.25,02/23/2026,02/23/2016,11/23/2025,AA+/Aa1,"3,009,000",3382242.62,1.13,10/09/2020
BSCQ,,404280AW9,HSBC Holdings PLC,4.30,03/08/2026,03/08/2016,N/A,A-/A2,"2,800,000",3187585.16,1.06,10/09/2020
BSCQ,,61746BDZ6,Morgan Stanley,3.88,01/27/2026,01/27/2016,N/A,BBB+/A2,"2,755,000",3141927.52,1.05,10/09/2020
BSCQ,,68389XBM6,Oracle Corp,2.65,07/15/2026,07/07/2016,04/15/2026,A/A3,"2,829,000",3099071.11,1.03,10/09/2020
BSCQ,,82481LAD1,Shire Acquisitions Investments Ireland DAC,3.20,09/23/2026,09/23/2016,06/23/2026,BBB+/Baa2,"2,765,000",3098419.96,1.03,10/09/2020
BSCQ,,61761J3R8,Morgan Stanley,3.12,07/27/2026,07/25/2016,N/A,BBB+/A2,"2,774,000",3080368.85,1.03,10/09/2020
BSCQ,,46625HRV4,JPMorgan Chase & Co,2.95,10/01/2026,07/21/2016,07/01/2026,A-/A2,"2,778,000",3060342.25,1.02,10/09/2020
BSCQ,,172967KY6,Citigroup Inc,3.20,10/21/2026,10/21/2016,07/21/2026,BBB+/A3,"2,721,000",3010324.8,1.00,10/09/2020
BSCQ,,904764AU1,Unilever Capital Corp,2.00,07/28/2026,07/28/2016,N/A,A+/A1,"2,703,000",2882626.89,0.96,10/09/2020
BSCQ,,38145GAH3,Goldman Sachs Group Inc/The,3.50,11/16/2026,11/16/2016,11/16/2025,BBB+/A3,"2,595,000",2881422.53,0.96,10/09/2020
BSCQ,,00206RCT7,AT&T Inc,4.12,02/17/2026,02/09/2016,11/17/2025,BBB/Baa2,"2,480,000",2853975.79,0.95,10/09/2020
BSCQ,,375558BF9,Gilead Sciences Inc,3.65,03/01/2026,09/14/2015,12/01/2025,A/A3,"2,495,000",2834782.82,0.94,10/09/2020
