Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCR,,11134LAH2,Broadcom Corp / Broadcom Cayman Finance Ltd,3.88,01/15/2027,02/14/2018,10/15/2026,BBB-/Baa3,"3,911,000",4348948.81,1.84,10/09/2020
BSCR,,172967KA8,Citigroup Inc,4.45,09/29/2027,09/29/2015,N/A,BBB/Baa2,"3,186,000",3713745.32,1.57,10/09/2020
BSCR,,594918BY9,Microsoft Corp,3.30,02/06/2027,02/06/2017,11/06/2026,AAA/Aaa,"3,251,000",3713669.61,1.57,10/09/2020
BSCR,,023135BC9,Amazon.com Inc,3.15,08/22/2027,06/06/2018,05/22/2027,AA-/A2,"2,854,000",3252990.83,1.38,10/09/2020
BSCR,,92343VDY7,Verizon Communications Inc,4.12,03/16/2027,03/16/2017,N/A,BBB+/Baa1,"2,701,000",3184347.62,1.35,10/09/2020
BSCR,,38141GWB6,Goldman Sachs Group Inc/The,3.85,01/26/2027,01/26/2017,01/26/2026,BBB+/A3,"2,469,000",2787857.08,1.18,10/09/2020
BSCR,,61746BEF9,Morgan Stanley,3.62,01/20/2027,01/20/2017,N/A,BBB+/A2,"2,343,000",2658095.22,1.13,10/09/2020
BSCR,,68389XBN4,Oracle Corp,3.25,11/15/2027,11/09/2017,08/15/2027,A/A3,"2,190,000",2481343.21,1.05,10/09/2020
BSCR,,06051GGA1,Bank of America Corp,3.25,10/21/2027,10/21/2016,10/21/2026,A-/A2,"2,032,000",2258526.65,0.96,10/09/2020
BSCR,,94974BGL8,Wells Fargo & Co,4.30,07/22/2027,07/22/2015,N/A,BBB/A3,"1,946,000",2249510.09,0.95,10/09/2020
BSCR,,15135BAR2,Centene Corp,4.25,12/15/2027,05/06/2020,12/15/2022,BBB-/Ba1,"2,000,000",2114659.8,0.90,10/09/2020
BSCR,,037833CJ7,Apple Inc,3.35,02/09/2027,02/09/2017,11/09/2026,AA+/Aa1,"1,810,000",2063423.46,0.87,10/09/2020
BSCR,,06051GGC7,Bank of America Corp,4.18,11/25/2027,11/25/2016,11/25/2026,BBB+/Baa1,"1,663,000",1919271.13,0.81,10/09/2020
BSCR,,00206RDQ2,AT&T Inc,4.25,03/01/2027,02/09/2017,12/01/2026,BBB/Baa2,"1,644,000",1908171.19,0.81,10/09/2020
BSCR,,0258M0EL9,American Express Credit Corp,3.30,05/03/2027,05/03/2017,04/03/2027,A-/A2,"1,676,000",1898594.97,0.80,10/09/2020
BSCR,,68389XBU8,Oracle Corp,2.80,04/01/2027,04/01/2020,02/01/2027,A/A3,"1,720,000",1889214.82,0.80,10/09/2020
