Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCS,,126650CX6,CVS Health Corp,4.30,03/25/2028,03/09/2018,12/25/2027,BBB/Baa2,"5,267,000",6167249.49,4.59,10/09/2020
BSCS,,125523AH3,Cigna Corp,4.38,10/15/2028,08/27/2019,07/15/2028,A-/Baa2,"3,156,000",3753290.52,2.79,10/09/2020
BSCS,,92857WBK5,Vodafone Group PLC,4.38,05/30/2028,05/30/2018,N/A,BBB/Baa2,"2,464,000",2931712.73,2.18,10/09/2020
BSCS,,913017CY3,Raytheon Technologies Corp,4.12,11/16/2028,08/16/2018,08/16/2028,A-/Baa1,"2,465,000",2921055.05,2.17,10/09/2020
BSCS,,931142EE9,Walmart Inc,3.70,06/26/2028,06/27/2018,03/26/2028,AA/Aa2,"2,277,000",2687275.05,2.00,10/09/2020
BSCS,,035240AL4,Anheuser-Busch InBev Worldwide Inc,4.00,04/13/2028,04/04/2018,01/13/2028,BBB+/Baa1,"2,047,000",2376428.91,1.77,10/09/2020
BSCS,,172967KU4,Citigroup Inc,4.12,07/25/2028,07/25/2016,N/A,BBB/Baa2,"1,751,000",2022318.12,1.50,10/09/2020
BSCS,,06738EAW5,Barclays PLC,4.84,05/09/2028,05/09/2017,05/07/2027,BB+/Baa3,"1,700,000",1862703.19,1.39,10/09/2020
BSCS,,00206RKG6,AT&T Inc,1.65,02/01/2028,08/04/2020,12/01/2027,BBB/Baa2,"1,850,000",1858191.3,1.38,10/09/2020
BSCS,,666807BN1,Northrop Grumman Corp,3.25,01/15/2028,10/13/2017,10/15/2027,BBB/Baa2,"1,633,000",1828294.49,1.36,10/09/2020
BSCS,,874060AW6,Takeda Pharmaceutical Co Ltd,5.00,11/26/2028,12/13/2019,08/26/2028,BBB+/Baa2,"1,400,000",1737170.33,1.29,10/09/2020
BSCS,,377372AN7,GlaxoSmithKline Capital Inc,3.88,05/15/2028,05/15/2018,N/A,A/A2,"1,443,000",1712565.5,1.27,10/09/2020
BSCS,,25470DAR0,Discovery Communications LLC,3.95,03/20/2028,09/21/2017,12/20/2027,BBB-/Baa3,"1,393,000",1583550.32,1.18,10/09/2020
BSCS,,20030NCA7,Comcast Corp,3.15,02/15/2028,08/07/2017,11/15/2027,A-/A3,"1,350,000",1520321.71,1.13,10/09/2020
BSCS,,907818EY0,Union Pacific Corp,3.95,09/10/2028,06/08/2018,06/10/2028,A-/Baa1,"1,258,000",1490875.0,1.11,10/09/2020
BSCS,,79466LAF1,salesforce.com Inc,3.70,04/11/2028,04/11/2018,01/11/2028,A/A2,"1,252,000",1477812.11,1.10,10/09/2020
BSCS,,539439AR0,Lloyds Banking Group PLC,4.38,03/22/2028,03/22/2018,N/A,BBB+/A3,"1,225,000",1427521.19,1.06,10/09/2020
BSCS,,478160CK8,Johnson & Johnson,2.90,01/15/2028,11/10/2017,10/15/2027,AAA/Aaa,"1,263,000",1418381.83,1.06,10/09/2020
BSCS,,110122DE5,Bristol Myers Squibb Co,3.90,02/20/2028,07/15/2020,11/20/2027,A+/A2,"1,190,000",1410645.17,1.05,10/09/2020
BSCS,,370334CG7,General Mills Inc,4.20,04/17/2028,04/17/2018,01/17/2028,BBB/Baa2,"1,171,000",1382183.97,1.03,10/09/2020
BSCS,,89352HAW9,TransCanada PipeLines Ltd,4.25,05/15/2028,05/07/2018,02/15/2028,BBB+/Baa1,"1,148,000",1324239.83,0.99,10/09/2020
BSCS,,14040HBW4,Capital One Financial Corp,3.80,01/31/2028,01/30/2018,12/31/2027,BBB/Baa1,"1,157,000",1310398.24,0.98,10/09/2020
BSCS,,606822AV6,Mitsubishi UFJ Financial Group Inc,3.96,03/02/2028,03/02/2018,N/A,A-/A1,"1,075,000",1237257.14,0.92,10/09/2020
BSCS,,256746AH1,Dollar Tree Inc,4.20,05/15/2028,04/19/2018,02/15/2028,BBB-/Baa2,"1,025,000",1206195.09,0.90,10/09/2020
BSCS,,960386AM2,Westinghouse Air Brake Technologies Corp,4.95,09/15/2028,09/14/2018,06/15/2028,BBB-/Ba1,"1,031,000",1198311.23,0.89,10/09/2020
BSCS,,785592AU0,Sabine Pass Liquefaction LLC,4.20,03/15/2028,07/17/2017,09/15/2027,BBB-/Baa3,"1,095,000",1190084.08,0.89,10/09/2020
BSCS,,60687YAR0,Mizuho Financial Group Inc,4.02,03/05/2028,03/05/2018,N/A,A-/A1,"1,025,000",1183816.94,0.88,10/09/2020
BSCS,,55336VAR1,MPLX LP,4.00,03/15/2028,02/08/2018,12/15/2027,BBB/Baa2,"1,077,000",1183814.91,0.88,10/09/2020
BSCS,,036752AG8,Anthem Inc,4.10,03/01/2028,03/02/2018,12/01/2027,A/Baa2,"1,012,000",1179527.62,0.88,10/09/2020
BSCS,,161175BK9,Charter Communications Operating LLC / Charter Communication,4.20,03/15/2028,11/27/2017,12/15/2027,BBB-/Ba1,"1,022,000",1167264.71,0.87,10/09/2020
BSCS,,49456BAP6,Kinder Morgan Inc,4.30,03/01/2028,03/01/2018,12/01/2027,BBB/Baa2,"1,021,000",1166673.75,0.87,10/09/2020
BSCS,,11134LAR0,Broadcom Corp / Broadcom Cayman Finance Ltd,3.50,01/15/2028,02/14/2018,10/15/2027,BBB-/Baa3,"1,078,000",1166408.46,0.87,10/09/2020
BSCS,,904764BC0,Unilever Capital Corp,3.50,03/22/2028,03/22/2018,12/22/2027,A+/A1,"1,000,000",1159021.88,0.86,10/09/2020
BSCS,,05964HAJ4,Banco Santander SA,4.38,04/12/2028,04/12/2018,N/A,A-/Baa1,"1,000,000",1136127.61,0.85,10/09/2020
BSCS,,91324PDK5,UnitedHealth Group Inc,3.85,06/15/2028,06/19/2018,N/A,A+/A3,"958,000",1131900.61,0.84,10/09/2020
BSCS,,69349LAR9,PNC Bank NA,4.05,07/26/2028,07/26/2018,N/A,A-/A3,"950,000",1112862.95,0.83,10/09/2020
BSCS,,58013MFF6,McDonald's Corp,3.80,04/01/2028,03/16/2018,01/01/2028,BBB+/Baa1,"864,000",1010400.23,0.75,10/09/2020
BSCS,,25466AAP6,Discover Bank,4.65,09/13/2028,09/13/2018,06/13/2028,BBB/Baa2,"850,000",1000807.31,0.74,10/09/2020
BSCS,,717081EP4,Pfizer Inc,3.60,09/15/2028,09/07/2018,06/15/2028,AA-/A1,"842,000",993603.29,0.74,10/09/2020
BSCS,,801060AD6,Sanofi,3.62,06/19/2028,06/19/2018,03/19/2028,AA/A1,"842,000",985796.42,0.73,10/09/2020
BSCS,,369550BC1,General Dynamics Corp,3.75,05/15/2028,05/11/2018,02/15/2028,A/A2,"838,000",978978.62,0.73,10/09/2020
BSCS,,134429BG3,Campbell Soup Co,4.15,03/15/2028,03/16/2018,12/15/2027,BBB-/Baa2,"842,000",977500.16,0.73,10/09/2020
BSCS,,22822VAK7,Crown Castle International Corp,3.80,02/15/2028,01/16/2018,11/15/2027,BBB-/Baa3,"837,000",946393.47,0.70,10/09/2020
BSCS,,816851BG3,Sempra Energy,3.40,02/01/2028,01/12/2018,11/01/2027,BBB+/Baa2,"849,000",932419.94,0.69,10/09/2020
BSCS,,161175BJ2,Charter Communications Operating LLC / Charter Communication,3.75,02/15/2028,11/27/2017,11/15/2027,BBB-/Ba1,"832,000",925303.11,0.69,10/09/2020
BSCS,,20030NCH2,Comcast Corp,3.55,05/01/2028,02/08/2018,02/01/2028,A-/A3,"787,000",910070.4,0.68,10/09/2020
BSCS,,20605PAK7,Concho Resources Inc,4.30,08/15/2028,07/02/2018,05/15/2028,BBB-/Baa3,"814,000",903720.16,0.67,10/09/2020
BSCS,,06406RAH0,Bank of New York Mellon Corp/The,3.85,04/28/2028,04/30/2018,N/A,A/A1,"742,000",891931.13,0.66,10/09/2020
BSCS,,29446MAB8,Equinor ASA,3.62,09/10/2028,09/10/2018,06/10/2028,AA-/Aa2,"749,000",873998.86,0.65,10/09/2020
BSCS,,254687FW1,Walt Disney Co/The,2.20,01/13/2028,05/13/2020,N/A,A-/A2,"823,000",869599.76,0.65,10/09/2020
BSCS,,606822BC7,Mitsubishi UFJ Financial Group Inc,4.05,09/11/2028,09/11/2018,N/A,A-/A1,"742,000",866906.02,0.65,10/09/2020
BSCS,,29278NAF0,Energy Transfer Operating LP,4.95,06/15/2028,06/08/2018,03/15/2028,BBB-/Baa3,"814,000",865918.36,0.64,10/09/2020
BSCS,,970648AG6,Willis North America Inc,4.50,09/15/2028,09/10/2018,06/15/2028,BBB/Baa3,"707,000",849765.71,0.63,10/09/2020
BSCS,,413875AW5,L3Harris Technologies Inc,4.40,06/15/2028,06/04/2018,03/15/2028,BBB/Baa3,"705,000",838689.94,0.62,10/09/2020
BSCS,,30212PAP0,Expedia Group Inc,3.80,02/15/2028,12/28/2017,11/15/2027,BBB-/Baa3,"818,000",830679.85,0.62,10/09/2020
BSCS,,91159HHS2,US Bancorp,3.90,04/26/2028,04/26/2018,03/24/2028,A+/A1,"695,000",828042.44,0.62,10/09/2020
BSCS,,776743AF3,Roper Technologies Inc,4.20,09/15/2028,08/28/2018,06/15/2028,BBB+/Baa2,"693,000",827580.78,0.62,10/09/2020
BSCS,,00037BAF9,ABB Finance USA Inc,3.80,04/03/2028,04/03/2018,01/03/2028,A/A3,"693,000",821046.55,0.61,10/09/2020
BSCS,,682680AU7,ONEOK Inc,4.55,07/15/2028,07/02/2018,04/15/2028,BBB/Baa3,"760,000",810192.34,0.60,10/09/2020
BSCS,,86562MBC3,Sumitomo Mitsui Financial Group Inc,3.94,07/19/2028,07/19/2018,N/A,A-/A1,"685,000",790726.18,0.59,10/09/2020
BSCS,,855244AR0,Starbucks Corp,4.00,11/15/2028,08/10/2018,08/15/2028,BBB+/Baa1,"647,000",763260.45,0.57,10/09/2020
BSCS,,760759AT7,Republic Services Inc,3.95,05/15/2028,05/14/2018,02/15/2028,BBB+/Baa2,"647,000",761667.69,0.57,10/09/2020
BSCS,,026874DK0,American International Group Inc,4.20,04/01/2028,03/26/2018,01/01/2028,BBB+/Baa1,"647,000",757255.22,0.56,10/09/2020
BSCS,,126408HJ5,CSX Corp,3.80,03/01/2028,02/20/2018,12/01/2027,BBB+/Baa1,"647,000",754832.05,0.56,10/09/2020
BSCS,,95040QAD6,Welltower Inc,4.25,04/15/2028,04/10/2018,01/15/2028,BBB+/Baa1,"652,000",744749.63,0.55,10/09/2020
BSCS,,212015AS0,Continental Resources Inc/OK,4.38,01/15/2028,05/23/2018,10/15/2027,BB+/Ba1u,"818,000",742580.4,0.55,10/09/2020
BSCS,,05565QDH8,BP Capital Markets PLC,3.72,11/28/2028,11/28/2016,08/28/2028,A-/A1,"647,000",741192.47,0.55,10/09/2020
BSCS,,694308JK4,Pacific Gas and Electric Co,3.75,07/01/2028,07/01/2020,N/A,BBB-/Baa3,"700,000",733527.87,0.55,10/09/2020
BSCS,,71713UAW2,Pharmacia LLC,6.60,12/01/2028,03/20/2000,N/A,AA-/A1,"525,000",730070.28,0.54,10/09/2020
BSCS,,21036PAY4,Constellation Brands Inc,3.60,02/15/2028,02/07/2018,11/15/2027,BBB/Baa3,"647,000",728494.7,0.54,10/09/2020
BSCS,,718546AR5,Phillips 66,3.90,03/15/2028,03/01/2018,12/15/2027,BBB+/A3,"647,000",728194.1,0.54,10/09/2020
BSCS,,91913YAV2,Valero Energy Corp,4.35,06/01/2028,06/01/2018,03/01/2028,BBB/Baa2,"650,000",726266.99,0.54,10/09/2020
BSCS,,609207AM7,Mondelez International Inc,4.12,05/07/2028,05/07/2018,02/07/2028,BBB/Baa1,"602,000",719407.12,0.54,10/09/2020
BSCS,,49326EEG4,KeyCorp,4.10,04/30/2028,04/30/2018,N/A,BBB+/Baa1,"608,000",715512.57,0.53,10/09/2020
BSCS,,06406RAF4,Bank of New York Mellon Corp/The,3.40,01/29/2028,01/29/2018,10/29/2027,A/A1,"608,000",703603.78,0.52,10/09/2020
BSCS,,25243YAZ2,Diageo Capital PLC,3.88,05/18/2028,05/18/2018,02/18/2028,A-/A3,"600,000",702124.97,0.52,10/09/2020
BSCS,,620076BL2,Motorola Solutions Inc,4.60,02/23/2028,02/23/2018,11/23/2027,BBB-/Baa3,"600,000",701610.05,0.52,10/09/2020
BSCS,,637432NP6,National Rural Utilities Cooperative Finance Corp,3.40,02/07/2028,02/07/2018,11/07/2027,A/A1,"600,000",691560.71,0.51,10/09/2020
BSCS,,12541WAA8,CH Robinson Worldwide Inc,4.20,04/15/2028,04/11/2018,01/15/2028,BBB+/Baa2,"581,000",682967.53,0.51,10/09/2020
BSCS,,808513AU9,Charles Schwab Corp/The,3.20,01/25/2028,12/07/2017,10/25/2027,A/A2,"600,000",675256.65,0.50,10/09/2020
BSCS,,37045VAS9,General Motors Co,5.00,10/01/2028,09/10/2018,07/01/2028,BBB/Baa3,"594,000",672743.88,0.50,10/09/2020
BSCS,,25389JAT3,Digital Realty Trust LP,4.45,07/15/2028,06/21/2018,04/15/2028,BBB/Baa2,"557,000",664632.86,0.49,10/09/2020
BSCS,,693506BP1,PPG Industries Inc,3.75,03/15/2028,02/27/2018,12/15/2027,BBB+/A3,"550,000",662586.8,0.49,10/09/2020
BSCS,,86562MAY6,Sumitomo Mitsui Financial Group Inc,3.54,01/17/2028,01/17/2018,N/A,A-/A1,"589,000",659120.69,0.49,10/09/2020
BSCS,,292480AL4,Enable Midstream Partners LP,4.95,05/15/2028,05/10/2018,02/15/2028,BBB-/Baa3,"676,000",656469.91,0.49,10/09/2020
BSCS,,927804FZ2,Virginia Electric and Power Co,3.80,04/01/2028,03/22/2018,01/01/2028,BBB+/A2,"552,000",651501.71,0.48,10/09/2020
BSCS,,03027XAR1,American Tower Corp,3.60,01/15/2028,12/08/2017,10/15/2027,BBB-/Baa3,"561,000",630962.13,0.47,10/09/2020
BSCS,,101137AS6,Boston Scientific Corp,4.00,03/01/2028,02/26/2018,12/01/2027,BBB-/Baa2,"546,000",629542.28,0.47,10/09/2020
BSCS,,88579YBC4,3M Co,3.62,09/14/2028,09/14/2018,06/14/2028,A+/A1,"534,000",622223.87,0.46,10/09/2020
BSCS,,69353RFJ2,PNC Bank NA,3.25,01/22/2028,01/22/2018,12/23/2027,A/A2,"550,000",621971.34,0.46,10/09/2020
BSCS,,26444HAE1,Duke Energy Florida LLC,3.80,07/15/2028,06/21/2018,04/15/2028,A/A1,"517,000",609358.96,0.45,10/09/2020
BSCS,,98389BAV2,Xcel Energy Inc,4.00,06/15/2028,06/25/2018,12/15/2027,BBB+/Baa1,"516,000",603789.66,0.45,10/09/2020
BSCS,,316773CV0,Fifth Third Bancorp,3.95,03/14/2028,03/14/2018,02/14/2028,BBB+/Baa1,"518,000",601909.62,0.45,10/09/2020
BSCS,,863667AQ4,Stryker Corp,3.65,03/07/2028,03/07/2018,12/07/2027,A-/Baa1,"515,000",596764.27,0.44,10/09/2020
