Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCT,,035240AQ3,Anheuser-Busch InBev Worldwide Inc,4.75,01/23/2029,01/23/2019,10/23/2028,BBB+/Baa1,"700,000",860295.56,2.99,10/09/2020
BSCT,,92343VEU4,Verizon Communications Inc,4.02,12/03/2029,09/10/2019,09/03/2029,BBB+/Baa1,"650,000",782211.75,2.72,10/09/2020
BSCT,,459200KA8,International Business Machines Corp,3.50,05/15/2029,05/15/2019,N/A,A/A2,"550,000",632653.62,2.20,10/09/2020
BSCT,,02209SBD4,Altria Group Inc,4.80,02/14/2029,02/14/2019,11/14/2028,BBB/A3,"510,000",607168.01,2.11,10/09/2020
BSCT,,00206RHJ4,AT&T Inc,4.35,03/01/2029,02/19/2019,12/01/2028,BBB/Baa2,"510,000",600519.51,2.09,10/09/2020
BSCT,,337738AU2,Fiserv Inc,3.50,07/01/2029,06/24/2019,04/01/2029,BBB/Baa2,"504,000",574648.76,2.00,10/09/2020
BSCT,,606822BM5,Mitsubishi UFJ Financial Group Inc,3.19,07/18/2029,07/18/2019,N/A,A-/A1,"400,000",443328.26,1.54,10/09/2020
BSCT,,86562MBP4,Sumitomo Mitsui Financial Group Inc,3.04,07/16/2029,07/16/2019,N/A,A-/A1,"400,000",436533.52,1.52,10/09/2020
BSCT,,95000U2D4,Wells Fargo & Co,4.15,01/24/2029,01/24/2019,10/24/2028,BBB+/A2,"363,000",427022.14,1.48,10/09/2020
BSCT,,208251AE8,ConocoPhillips Co,6.95,04/15/2029,04/20/1999,N/A,A/A3,"300,000",415257.92,1.44,10/09/2020
BSCT,,404119BX6,HCA Inc,4.12,06/15/2029,06/12/2019,03/15/2029,BBB-/Baa3,"280,000",321947.6,1.12,10/09/2020
BSCT,,458140BH2,Intel Corp,2.45,11/15/2029,11/21/2019,08/15/2029,A+/A1,"277,000",301629.12,1.05,10/09/2020
BSCT,,254687FL5,Walt Disney Co/The,2.00,09/01/2029,09/06/2019,06/01/2029,A-/A2,"280,000",290058.36,1.01,10/09/2020
BSCT,,717081ET6,Pfizer Inc,3.45,03/15/2029,03/11/2019,12/15/2028,AA-/A1,"230,000",270417.83,0.94,10/09/2020
BSCT,,126408HM8,CSX Corp,4.25,03/15/2029,11/15/2018,12/15/2028,BBB+/Baa1,"224,000",269495.36,0.94,10/09/2020
BSCT,,037833DP2,Apple Inc,2.20,09/11/2029,09/11/2019,06/11/2029,AA+/Aa1,"250,000",269493.35,0.94,10/09/2020
BSCT,,58933YAX3,Merck & Co Inc,3.40,03/07/2029,03/07/2019,12/07/2028,AA-/A1,"230,000",268154.35,0.93,10/09/2020
BSCT,,046353AT5,AstraZeneca PLC,4.00,01/17/2029,08/17/2018,10/17/2028,BBB+/A3,"225,000",267564.69,0.93,10/09/2020
BSCT,,11271LAD4,Brookfield Finance Inc,4.85,03/29/2029,01/29/2019,12/29/2028,A-/Baa1,"224,000",267208.77,0.93,10/09/2020
BSCT,,92343VES9,Verizon Communications Inc,3.88,02/08/2029,02/08/2019,11/08/2028,BBB+/Baa1,"225,000",266655.1,0.93,10/09/2020
BSCT,,03027XAW0,American Tower Corp,3.80,08/15/2029,06/13/2019,05/15/2029,BBB-/Baa3,"230,000",264580.5,0.92,10/09/2020
BSCT,,437076BY7,Home Depot Inc/The,2.95,06/15/2029,06/17/2019,03/15/2029,A/A2,"233,000",263261.09,0.92,10/09/2020
