Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSCU,,097023CY9,Boeing Co/The,5.15,05/01/2030,05/04/2020,02/01/2030,BBB-/Baa2,"200,000",226686.6,3.85,10/09/2020
BSCU,,694308JM0,Pacific Gas and Electric Co,4.55,07/01/2030,07/01/2020,01/01/2030,BBB-/Baa3,"140,000",153524.2,2.60,10/09/2020
BSCU,,09857LAR9,Booking Holdings Inc,4.62,04/13/2030,04/13/2020,01/13/2030,A-/A3,"100,000",120424.98,2.04,10/09/2020
BSCU,,026874DR5,American International Group Inc,3.40,06/30/2030,05/11/2020,03/30/2030,BBB+/Baa1,"100,000",111509.03,1.89,10/09/2020
BSCU,,571903BE2,Marriott International Inc/MD,4.62,06/15/2030,06/01/2020,03/15/2030,BBB-/Baa3,"100,000",109685.73,1.86,10/09/2020
BSCU,,609207AT2,Mondelez International Inc,2.75,04/13/2030,04/13/2020,01/13/2030,BBB/Baa1,"100,000",108992.55,1.85,10/09/2020
BSCU,,969457BX7,Williams Cos Inc/The,3.50,11/15/2030,05/14/2020,08/15/2030,BBB/Baa3,"100,000",108946.62,1.85,10/09/2020
BSCU,,30231GBN1,Exxon Mobil Corp,2.61,10/15/2030,04/15/2020,07/15/2030,AA/Aa1,"100,000",107860.77,1.83,10/09/2020
BSCU,,337738BC1,Fiserv Inc,2.65,06/01/2030,05/13/2020,03/01/2030,BBB/Baa2,"100,000",107252.76,1.82,10/09/2020
BSCU,,101137BA4,Boston Scientific Corp,2.65,06/01/2030,05/18/2020,03/01/2030,BBB-/Baa2,"100,000",106987.16,1.82,10/09/2020
BSCU,,031162CU2,Amgen Inc,2.45,02/21/2030,02/21/2020,11/21/2029,A-/Baa1,"100,000",106813.81,1.81,10/09/2020
BSCU,,37940XAD4,Global Payments Inc,2.90,05/15/2030,05/15/2020,02/15/2030,BBB-/Baa3,"100,000",106677.82,1.81,10/09/2020
BSCU,,70450YAH6,PayPal Holdings Inc,2.30,06/01/2030,05/18/2020,03/01/2030,BBB+/A3,"100,000",106415.86,1.81,10/09/2020
BSCU,,855244AZ2,Starbucks Corp,2.55,11/15/2030,05/07/2020,08/15/2030,BBB+/Baa1,"100,000",106242.28,1.80,10/09/2020
BSCU,,29379VBX0,Enterprise Products Operating LLC,2.80,01/31/2030,01/15/2020,10/31/2029,BBB+/Baa1,"100,000",106216.04,1.80,10/09/2020
BSCU,,166764BY5,Chevron Corp,2.24,05/11/2030,05/11/2020,02/11/2030,AA/Aa2,"100,000",106050.18,1.80,10/09/2020
BSCU,,75513EAD3,Raytheon Technologies Corp,2.25,07/01/2030,05/18/2020,04/01/2030,A-/Baa1,"100,000",105292.04,1.79,10/09/2020
BSCU,,37045XCY0,General Motors Financial Co Inc,3.60,06/21/2030,06/22/2020,03/21/2030,BBB/Baa3,"100,000",105200.7,1.78,10/09/2020
BSCU,,747525BK8,QUALCOMM Inc,2.15,05/20/2030,05/08/2020,02/20/2030,A-/A2,"100,000",105197.83,1.78,10/09/2020
BSCU,,438516BZ8,Honeywell International Inc,1.95,06/01/2030,05/18/2020,03/01/2030,A/A2,"100,000",105151.39,1.78,10/09/2020
BSCU,,91324PDX7,UnitedHealth Group Inc,2.00,05/15/2030,05/18/2020,02/15/2030,A+/A3,"100,000",105054.54,1.78,10/09/2020
BSCU,,369604BW2,General Electric Co,3.62,05/01/2030,04/22/2020,02/01/2030,BBB+/Baa1,"100,000",104550.66,1.77,10/09/2020
BSCU,,125523CL2,Cigna Corp,2.40,03/15/2030,03/16/2020,12/15/2029,A-/Baa2,"100,000",104334.15,1.77,10/09/2020
BSCU,,65339KBR0,NextEra Energy Capital Holdings Inc,2.25,06/01/2030,05/12/2020,03/01/2030,BBB+/Baa1,"100,000",104327.3,1.77,10/09/2020
BSCU,,15135BAV3,Centene Corp,3.38,02/15/2030,05/06/2020,02/15/2025,BBB-/Ba1,"100,000",103906.5,1.76,10/09/2020
BSCU,,036752AN3,Anthem Inc,2.25,05/15/2030,05/05/2020,02/15/2030,A/Baa2,"100,000",103661.64,1.76,10/09/2020
BSCU,,037833DU1,Apple Inc,1.65,05/11/2030,05/11/2020,02/11/2030,AA+/Aa1,"100,000",103474.65,1.76,10/09/2020
BSCU,,191216CV0,Coca-Cola Co/The,1.65,06/01/2030,05/01/2020,03/01/2030,A+/A1,"100,000",103284.67,1.75,10/09/2020
BSCU,,440452AF7,Hormel Foods Corp,1.80,06/11/2030,06/11/2020,03/11/2030,A/A1,"100,000",103261.26,1.75,10/09/2020
BSCU,,459200KJ9,International Business Machines Corp,1.95,05/15/2030,05/07/2020,02/15/2030,A/A2,"100,000",102620.28,1.74,10/09/2020
BSCU,,09062XAH6,Biogen Inc,2.25,05/01/2030,04/30/2020,02/01/2030,A-/Baa1,"100,000",102309.43,1.74,10/09/2020
BSCU,,023135BS4,Amazon.com Inc,1.50,06/03/2030,06/03/2020,03/03/2030,AA-/A2,"100,000",102227.23,1.73,10/09/2020
BSCU,,22160KAP0,Costco Wholesale Corp,1.60,04/20/2030,04/20/2020,01/20/2030,A+/Aa3,"100,000",101851.78,1.73,10/09/2020
BSCU,,58933YAZ8,Merck & Co Inc,1.45,06/24/2030,06/24/2020,03/24/2030,AA-/A1,"100,000",101477.52,1.72,10/09/2020
BSCU,,806854AJ4,Schlumberger Investment SA,2.65,06/26/2030,06/26/2020,03/26/2030,A/A2,"100,000",101242.81,1.72,10/09/2020
BSCU,,65473PAJ4,NiSource Inc,3.60,05/01/2030,04/13/2020,02/01/2030,BBB+/Baa2,"80,000",91299.69,1.55,10/09/2020
BSCU,,25470DBJ7,Discovery Communications LLC,3.62,05/15/2030,05/18/2020,02/15/2030,BBB-/Baa3,"80,000",89307.77,1.52,10/09/2020
BSCU,,665859AV6,Northern Trust Corp,1.95,05/01/2030,05/01/2020,02/01/2030,A+/A2,"80,000",83202.14,1.41,10/09/2020
BSCU,,983919AK7,Xilinx Inc,2.38,06/01/2030,05/19/2020,03/01/2030,A-/A3,"80,000",81482.75,1.38,10/09/2020
BSCU,,91159HJA9,US Bancorp,1.38,07/22/2030,07/20/2020,04/22/2030,A+/A1,"80,000",79327.66,1.35,10/09/2020
