Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSDE,,045167EL3,Asian Development Bank,2.62,01/30/2024,01/30/2019,N/A,AAA/Aaa,"450,000",484033.37,3.14,10/09/2020
BSDE,,71567RAC0,Perusahaan Penerbit SBSN Indonesia III,4.35,09/10/2024,09/10/2014,N/A,BBB/Baa2,"400,000",448662.0,2.91,10/09/2020
BSDE,,857524AC6,Republic of Poland Government International Bond,4.00,01/22/2024,01/22/2014,N/A,A-/A2,"400,000",446095.2,2.90,10/09/2020
BSDE,,EK1867952,OCP SA,5.62,04/25/2024,04/25/2014,N/A,BBB-/NR,"400,000",438353.2,2.85,10/09/2020
BSDE,,EK5706768,Empresa Nacional del Petroleo,4.38,10/30/2024,10/30/2014,N/A,BBB-/Baa3,"400,000",434729.73,2.82,10/09/2020
BSDE,,EJ8914859,Comision Federal de Electricidad,4.88,01/15/2024,10/24/2013,N/A,BBB/Baa1,"400,000",433962.0,2.82,10/09/2020
BSDE,,ZR7470225,Abu Dhabi Government International Bond,2.12,09/30/2024,09/30/2019,N/A,AA/Aa2u,"400,000",420056.0,2.73,10/09/2020
BSDE,,AN2921665,Turkiye Is Bankasi AS,6.12,04/25/2024,04/25/2017,N/A,NR/B3,"400,000",382818.4,2.49,10/09/2020
BSDE,,105756AR1,Brazilian Government International Bond,8.88,04/15/2024,03/22/2001,N/A,BB-/Ba2,"300,000",373093.5,2.42,10/09/2020
BSDE,,445545AL0,Hungary Government International Bond,5.38,03/25/2024,03/25/2014,N/A,BBB/Baa3,"300,000",344352.0,2.24,10/09/2020
BSDE,,718286BY2,Philippine Government International Bond,4.20,01/21/2024,01/21/2014,N/A,BBB+/Baa2,"300,000",334945.5,2.18,10/09/2020
BSDE,,73933BAB0,Power Sector Assets & Liabilities Management Corp,7.39,12/02/2024,12/02/2009,N/A,BBB+/Baa2,"200,000",251166.5,1.63,10/09/2020
BSDE,,195325BD6,Colombia Government International Bond,8.12,05/21/2024,01/21/2004,N/A,BBB-/Baa2,"200,000",243729.0,1.58,10/09/2020
BSDE,,455780BQ8,Indonesia Government International Bond,5.88,01/15/2024,01/15/2014,N/A,BBB/Baa2,"200,000",230947.84,1.50,10/09/2020
BSDE,,EK0152380,Indonesia Government International Bond,5.88,01/15/2024,01/15/2014,N/A,BBB/Baa2,"200,000",230947.84,1.50,10/09/2020
BSDE,,EK5684809,King Power Capital Ltd,5.62,11/03/2024,11/03/2014,N/A,A-/A3,"200,000",229319.0,1.49,10/09/2020
BSDE,,12517MAA0,Cemig Geracao e Transmissao SA,9.25,12/05/2024,12/05/2017,12/05/2023,B/NR,"200,000",226750.0,1.47,10/09/2020
BSDE,,EK5906749,Vietnam Government International Bond,4.80,11/19/2024,11/19/2014,N/A,BB/Ba3,"200,000",224692.52,1.46,10/09/2020
BSDE,,71647NAM1,Petrobras Global Finance BV,6.25,03/17/2024,03/17/2014,N/A,BB-/Ba2,"200,000",223650.0,1.45,10/09/2020
BSDE,,455780CG9,Indonesia Government International Bond,4.45,02/11/2024,12/11/2018,N/A,BBB/Baa2,"200,000",222231.0,1.44,10/09/2020
BSDE,,EK0560087,Minsur SA,6.25,02/07/2024,02/07/2014,N/A,BB+/Ba3u,"200,000",222000.0,1.44,10/09/2020
BSDE,,12591DAC5,CNOOC Finance 2014 ULC,4.25,04/30/2024,04/30/2014,N/A,A+/A1,"200,000",221268.9,1.44,10/09/2020
BSDE,,EK2443365,GTL Trade Finance Inc / Gerdau Holdings Inc,5.89,04/29/2024,04/29/2014,01/29/2024,BBB-/Ba1,"200,000",220875.0,1.43,10/09/2020
BSDE,,EK2695477,Perusahaan Gas Negara Tbk PT,5.12,05/16/2024,05/16/2014,N/A,BBB-/Baa2,"200,000",220796.49,1.43,10/09/2020
BSDE,,69367PAA4,Perusahaan Gas Negara Tbk PT,5.12,05/16/2024,05/16/2014,N/A,BBB-/Baa2,"200,000",220796.49,1.43,10/09/2020
BSDE,,EK2476571,State Grid Overseas Investment 2014 Ltd,4.12,05/07/2024,05/07/2014,N/A,A+/A1,"200,000",220344.29,1.43,10/09/2020
BSDE,,857004AC9,State Grid Overseas Investment 2014 Ltd,4.12,05/07/2024,05/07/2014,N/A,A+/A1,"200,000",220344.29,1.43,10/09/2020
BSDE,,01609WAQ5,Alibaba Group Holding Ltd,3.60,11/28/2024,11/25/2015,08/28/2024,A+/A1,"200,000",219705.66,1.43,10/09/2020
BSDE,,40052VAC8,Grupo Bimbo SAB de CV,3.88,06/27/2024,06/27/2014,N/A,BBB/NR,"200,000",218931.84,1.42,10/09/2020
BSDE,,EK4068509,Export-Import Bank of China/The,3.62,07/31/2024,07/31/2014,N/A,A+/A1,"200,000",218805.52,1.42,10/09/2020
BSDE,,EK1699199,Oil India Ltd,5.38,04/17/2024,04/17/2014,N/A,NR/Baa3,"200,000",218652.6,1.42,10/09/2020
BSDE,,00386SAM4,Abu Dhabi National Energy Co PJSC,3.88,05/06/2024,05/06/2014,N/A,NR/Aa3,"200,000",218202.0,1.42,10/09/2020
BSDE,,EK1766139,SURA Asset Management SA,4.88,04/17/2024,04/17/2014,N/A,NR/WR,"200,000",218005.0,1.42,10/09/2020
BSDE,,EK2693316,Bharti Airtel International Netherlands BV,5.35,05/20/2024,05/20/2014,N/A,BBB-/Ba1,"200,000",217534.36,1.41,10/09/2020
BSDE,,200447AD2,Comision Federal de Electricidad,4.88,01/15/2024,10/24/2013,N/A,BBB/Baa1,"200,000",216981.0,1.41,10/09/2020
BSDE,,EK4680857,Sharjah Sukuk Ltd,3.76,09/17/2024,09/17/2014,N/A,BBB/Baa2,"200,000",215995.0,1.40,10/09/2020
BSDE,,EK2480003,MAF Global Securities Ltd,4.75,05/07/2024,05/07/2014,N/A,BBB/NA,"200,000",215708.0,1.40,10/09/2020
BSDE,,EK0157041,ONGC Videsh Ltd,4.62,07/15/2024,07/15/2014,N/A,BBB-/Baa3,"200,000",215643.85,1.40,10/09/2020
BSDE,,195325BQ7,Colombia Government International Bond,4.00,02/26/2024,09/26/2013,11/26/2023,BBB-/Baa2,"200,000",214315.0,1.39,10/09/2020
BSDE,,88032XAL8,Tencent Holdings Ltd,3.28,04/11/2024,04/11/2019,03/11/2024,A+/A1,"200,000",213159.03,1.38,10/09/2020
BSDE,,AN2174075,MDGH - GMTN BV,3.00,04/19/2024,04/19/2017,N/A,AA/Aa2,"200,000",212701.0,1.38,10/09/2020
BSDE,,AZ2532127,Philippine National Bank,3.28,09/27/2024,06/27/2019,N/A,NA/Baa2,"200,000",210993.3,1.37,10/09/2020
BSDE,,ZQ3609331,MDGH - GMTN BV,2.50,11/07/2024,11/07/2019,10/07/2024,AA/Aa2,"200,000",210106.0,1.36,10/09/2020
BSDE,,EK3181816,EMG SUKUK Ltd,4.56,06/18/2024,06/18/2014,N/A,BB+/Baa2,"200,000",209408.0,1.36,10/09/2020
BSDE,,AX5195794,ReNew Power Synthetic,6.67,03/12/2024,03/12/2019,03/12/2021,BB-/NR,"200,000",208739.12,1.36,10/09/2020
BSDE,,EK4036571,ABJA Investment Co Pte Ltd,5.95,07/31/2024,07/31/2014,N/A,B+/NR,"200,000",208115.0,1.35,10/09/2020
BSDE,,AZ1269184,CNAC HK Finbridge Co Ltd,3.38,06/19/2024,06/19/2019,N/A,NR/Baa2,"200,000",207915.93,1.35,10/09/2020
BSDE,,836205AQ7,Republic of South Africa Government International Bond,4.67,01/17/2024,01/17/2012,N/A,BB-/Ba1,"200,000",207680.0,1.35,10/09/2020
BSDE,,55377XAA4,MTN Mauritius Investments Ltd,4.75,11/11/2024,11/10/2014,N/A,BB-/Ba1,"200,000",206650.0,1.34,10/09/2020
BSDE,,EK5829685,MTN Mauritius Investments Ltd,4.75,11/11/2024,11/10/2014,N/A,BB-/Ba1,"200,000",206650.0,1.34,10/09/2020
BSDE,,191229AB9,Coca-Cola Icecek AS,4.21,09/19/2024,09/19/2017,06/19/2024,NR/B2,"200,000",204294.0,1.33,10/09/2020
BSDE,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"204,267",204266.67,1.33,10/09/2020
BSDE,,900123CV0,Turkey Government International Bond,6.35,08/10/2024,07/10/2019,N/A,BB-u/B2,"200,000",201298.0,1.31,10/09/2020
BSDE,,80386WAA3,Sasol Financing USA LLC,5.88,03/27/2024,09/27/2018,02/27/2024,BB/Ba2,"200,000",199500.0,1.30,10/09/2020
BSDE,,900123CW8,Turkey Government International Bond,5.60,11/14/2024,11/14/2019,N/A,BB-u/B2,"200,000",195730.2,1.27,10/09/2020
BSDE,,90011QAB6,Turk Telekomunikasyon AS,4.88,06/19/2024,06/19/2014,N/A,BB-/NR,"200,000",195270.0,1.27,10/09/2020
BSDE,,EK6081567,Hazine Mustesarligi Varlik Kiralama AS,4.49,11/25/2024,11/25/2014,N/A,NA/B2,"200,000",190897.2,1.24,10/09/2020
BSDE,,EK3063865,Banco Inbursa SA Institucion De Banca Multiple Grupo Financi,4.12,06/06/2024,06/06/2014,N/A,BBB/NR,"150,000",157781.25,1.02,10/09/2020
BSDE,,05969LAA9,Banco Inbursa SA Institucion De Banca Multiple Grupo Financi,4.12,06/06/2024,06/06/2014,N/A,BBB/NA,"150,000",157781.25,1.02,10/09/2020
BSDE,,76716XAA0,Rio Oil Finance Trust Series 2014-1,9.25,07/06/2024,06/20/2014,N/A,BB-/NR,"121,940",133220.32,0.87,10/09/2020
BSDE,,92241TAM4,Vedanta Resources Ltd,6.12,08/09/2024,08/09/2017,08/09/2021,B-/B3,"200,000",131224.54,0.85,10/09/2020
BSDE,,04522KAA4,Asian Infrastructure Investment Bank/The,2.25,05/16/2024,05/16/2019,N/A,AAA/Aaa,"100,000",106789.27,0.69,10/09/2020
BSDE,,045167EQ2,Asian Development Bank,1.50,10/18/2024,10/18/2019,N/A,AAA/Aaa,"100,000",104607.42,0.68,10/09/2020
BSDE,,03439TAF8,Andrade Gutierrez International SA,9.50,12/30/2024,12/09/2019,12/09/2021,NR/NR,"100,000",67501.0,0.44,10/09/2020
BSDE,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"66,143",66143.17,0.43,10/09/2020
