Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJK,,9127963A5,United States Treasury Bill,.00,11/19/2020,05/21/2020,N/A,AA+u/Aaa,"464,585,000",4.6454441385E8,70.62,10/09/2020
BSJK,,9127962S7,United States Treasury Bill,.00,10/22/2020,04/23/2020,N/A,AA+u/Aaa,"128,777,000",1.2877442446E8,19.58,10/09/2020
BSJK,,9127963J6,United States Treasury Bill,.00,12/10/2020,06/11/2020,N/A,AA+u/Aaa,"16,000,000",1.599780896E7,2.43,10/09/2020
BSJK,,095370AD4,Blue Cube Spinco LLC,10.00,10/15/2025,10/03/2016,11/09/2020,BB-/Ba3,"9,149,000",9706402.83,1.48,10/09/2020
BSJK,,63938CAA6,Navient Corp,5.00,10/26/2020,11/06/2014,N/A,B+/Ba3,"9,059,000",9082009.86,1.38,10/09/2020
BSJK,,17302XAJ5,CITGO Petroleum Corp,6.25,08/15/2022,07/29/2014,11/09/2020,B+/B3,"7,000,000",6930000.0,1.05,10/09/2020
BSJK,,988498AG6,Yum! Brands Inc,3.88,11/01/2020,08/31/2010,11/01/2020,B+/B1,"5,890,000",5897362.5,0.90,10/09/2020
BSJK,,910047AG4,United Airlines Holdings Inc,6.00,12/01/2020,11/08/2013,N/A,B/Ba3,"5,348,000",5374071.5,0.82,10/09/2020
BSJK,,893830AY5,Transocean Inc,6.50,11/15/2020,09/21/2010,N/A,CCC-/C,"4,384,000",4055200.0,0.62,10/09/2020
BSJK,,87264AAM7,T-Mobile USA Inc,6.00,03/01/2023,09/05/2014,10/20/2020,BB/Ba3,"4,026,000",4027006.5,0.61,10/09/2020
BSJK,,095370AB8,Blue Cube Spinco LLC,9.75,10/15/2023,10/03/2016,11/09/2020,BB-/Ba3,"1,842,000",1890444.6,0.29,10/09/2020
BSJK,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"1,544,921",1544921.33,0.23,10/09/2020
BSJK,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"-35,758",-35758.5,-0.01,10/09/2020
