Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJL,,25470XAE5,DISH DBS Corp,6.75,06/01/2021,10/21/2011,N/A,B-/B2,"36,789,000",3.769952775E7,3.92,10/09/2020
BSJL,,1248EPBM4,CCO Holdings LLC / CCO Holdings Capital Corp,5.75,02/15/2026,11/20/2015,02/15/2021,BB/B1,"34,595,000",3.602204375E7,3.75,10/09/2020
BSJL,,345397VU4,Ford Motor Credit Co LLC,5.88,08/02/2021,08/01/2011,N/A,BB+/Ba2,"30,753,000",3.13926624E7,3.27,10/09/2020
BSJL,,67054KAA7,Altice France SA/France,7.38,05/01/2026,04/11/2016,05/01/2021,B/B2,"29,350,000",3.11324255E7,3.24,10/09/2020
BSJL,,156700AR7,CenturyLink Inc,6.45,06/15/2021,06/16/2011,N/A,B+/B2,"24,615,000",2.528575875E7,2.63,10/09/2020
BSJL,,91911KAK8,Bausch Health Cos Inc,7.00,03/15/2024,03/21/2017,11/09/2020,BB/Ba2,"24,114,000",2.49893382E7,2.60,10/09/2020
BSJL,,91911KAP7,Bausch Health Cos Inc,9.00,12/15/2025,12/18/2017,12/15/2021,B/B3,"21,575,000",2.40453375E7,2.50,10/09/2020
BSJL,,629377CC4,NRG Energy Inc,6.62,01/15/2027,04/18/2017,07/15/2021,BB+/Ba2,"21,754,000",2.319716036E7,2.41,10/09/2020
BSJL,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"20,443,699",2.044369868E7,2.13,10/09/2020
BSJL,,48250NAB1,KFC Holding Co/Pizza Hut Holdings LLC/Taco Bell of America L,5.25,06/01/2026,06/16/2016,06/01/2021,BB/Ba3,"19,509,000",2.035032563E7,2.12,10/09/2020
BSJL,,984121CD3,Xerox Corp,4.50,05/15/2021,05/18/2011,N/A,BB/Ba1,"19,886,000",2.022953065E7,2.11,10/09/2020
BSJL,,629377CA8,NRG Energy Inc,7.25,05/15/2026,02/14/2017,05/15/2021,BB+/Ba2,"18,775,000",2.012548575E7,2.09,10/09/2020
BSJL,,92840VAA0,Vistra Operations Co LLC,5.50,09/01/2026,08/22/2018,09/01/2021,BB+/Ba2,"18,887,000",1.990217625E7,2.07,10/09/2020
BSJL,,911365BE3,United Rentals North America Inc,5.88,09/15/2026,05/13/2016,09/15/2021,BB-/Ba3,"17,945,000",1.904655383E7,1.98,10/09/2020
BSJL,,126307AF4,CSC Holdings LLC,6.75,11/15/2021,11/15/2011,N/A,B/B3,"17,938,000",1.88573225E7,1.96,10/09/2020
BSJL,,82967NAW8,Sirius XM Radio Inc,5.38,07/15/2026,05/23/2016,07/15/2021,BB/Ba3,"17,851,000",1.878782048E7,1.96,10/09/2020
BSJL,,097751BP5,Bombardier Inc,8.75,12/01/2021,11/21/2016,N/A,CCC/Caa3,"18,000,000",1.827747E7,1.90,10/09/2020
BSJL,,345397ZH9,Ford Motor Credit Co LLC,3.81,10/12/2021,08/09/2018,N/A,BB+/Ba2,"17,492,000",1.76122575E7,1.83,10/09/2020
BSJL,,02154CAE3,Altice Financing SA,7.50,05/15/2026,05/03/2016,05/15/2021,B/B2,"16,603,000",1.760955688E7,1.83,10/09/2020
BSJL,,85572NAA6,Stars Group Holdings BV / Stars Group US Co-Borrower LLC,7.00,07/15/2026,07/10/2018,07/15/2021,BB-/Ba2,"16,418,000",1.751595375E7,1.82,10/09/2020
BSJL,,444454AA0,Hughes Satellite Systems Corp,7.62,06/15/2021,02/27/2012,N/A,BB/B2,"16,893,000",1.7484255E7,1.82,10/09/2020
BSJL,,85207UAE5,Sprint Corp,7.25,09/15/2021,11/14/2014,N/A,BB/B1,"16,299,000",1.711395E7,1.78,10/09/2020
BSJL,,74736KAF8,Qorvo Inc,5.50,07/15/2026,06/21/2019,10/16/2020,BB+/Ba1,"16,080,000",1.70846784E7,1.78,10/09/2020
BSJL,,683715AB2,Open Text Corp,5.88,06/01/2026,05/31/2016,06/01/2021,BB/Ba2,"15,584,000",1.63538496E7,1.70,10/09/2020
BSJL,,527298BK8,Level 3 Financing Inc,5.38,01/15/2024,05/25/2016,11/09/2020,BB/Ba3,"16,098,000",1.623716721E7,1.69,10/09/2020
BSJL,,25272KAU7,Dell International LLC / EMC Corp,5.88,06/15/2021,06/22/2016,10/26/2020,BB/Ba2,"15,581,000",1.56199525E7,1.63,10/09/2020
BSJL,,93369KAB1,Nationstar Mortgage Holdings Inc,9.12,07/15/2026,07/13/2018,07/15/2021,B/B2,"13,702,000",1.481960363E7,1.54,10/09/2020
