Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJM,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"43,835,302",4.383530173E7,6.61,10/09/2020
BSJM,,1248EPBT9,CCO Holdings LLC / CCO Holdings Capital Corp,5.12,05/01/2027,02/06/2017,05/01/2022,BB/B1,"17,558,000",1.852369E7,2.79,10/09/2020
BSJM,,852061AS9,Sprint Communications Inc,6.00,11/15/2022,11/14/2012,N/A,BB/B1,"14,926,000",1.61760525E7,2.44,10/09/2020
BSJM,,1248EPBX0,CCO Holdings LLC / CCO Holdings Capital Corp,5.00,02/01/2028,08/08/2017,08/01/2022,BB/B1,"13,504,000",1.423038016E7,2.14,10/09/2020
BSJM,,019576AA5,Allied Universal Holdco LLC / Allied Universal Finance Corp,6.62,07/15/2026,07/12/2019,07/15/2022,B-/B3,"12,498,000",1.343535E7,2.03,10/09/2020
BSJM,,25470XAJ4,DISH DBS Corp,5.88,07/15/2022,10/09/2012,N/A,B-/B2,"12,643,000",1.317716675E7,1.99,10/09/2020
BSJM,,91911XAW4,Bausch Health Americas Inc,8.50,01/31/2027,06/01/2018,07/31/2022,B/B3,"11,766,000",1.3089675E7,1.97,10/09/2020
BSJM,,02156LAA9,Altice France SA/France,8.12,02/01/2027,07/31/2018,02/01/2022,B/B2,"11,400,000",1.2712197E7,1.92,10/09/2020
BSJM,,02156TAB0,Altice France Holding SA,10.50,05/15/2027,02/27/2020,05/15/2022,CCC+/WR,"10,050,000",1.135021875E7,1.71,10/09/2020
BSJM,,460599AB9,International Game Technology PLC,6.25,02/15/2022,02/13/2015,08/15/2021,BB/Ba3,"10,500,000",1.07821875E7,1.63,10/09/2020
BSJM,,91911XAV6,Bausch Health Americas Inc,9.25,04/01/2026,03/26/2018,04/01/2022,B/B3,"9,467,000",1.05954664E7,1.60,10/09/2020
BSJM,,82967NBA5,Sirius XM Radio Inc,5.00,08/01/2027,07/05/2017,08/01/2022,BB/Ba3,"9,913,000",1.044473332E7,1.57,10/09/2020
BSJM,,95081QAN4,WESCO Distribution Inc,7.12,06/15/2025,06/12/2020,06/15/2022,BB-/B2,"9,490,000",1.040507325E7,1.57,10/09/2020
BSJM,,126307AQ0,CSC Holdings LLC,5.50,04/15/2027,09/23/2016,04/15/2022,BB/Ba3,"9,500,000",1.0032E7,1.51,10/09/2020
BSJM,,038522AR9,Aramark Services Inc,6.38,05/01/2025,04/27/2020,05/01/2022,B+/B1,"9,400,000",1.002275E7,1.51,10/09/2020
BSJM,,65409QBB7,Nielsen Finance LLC / Nielsen Finance Co,5.00,04/15/2022,04/11/2014,11/09/2020,BB-/B2,"9,971,000",9980971.0,1.50,10/09/2020
BSJM,,156700AS5,CenturyLink Inc,5.80,03/15/2022,03/12/2012,N/A,B+/B2,"9,089,000",9497660.53,1.43,10/09/2020
BSJM,,35671DAU9,Freeport-McMoRan Inc,3.55,03/01/2022,02/13/2012,12/01/2021,BB/Ba1,"8,721,000",8871219.23,1.34,10/09/2020
BSJM,,737446AM6,Post Holdings Inc,5.75,03/01/2027,02/14/2017,03/01/2022,B+/B2,"8,422,000",8864155.0,1.34,10/09/2020
BSJM,,983793AH3,XPO Logistics Inc,6.25,05/01/2025,04/28/2020,05/01/2022,BB-/Ba3,"7,500,000",8105775.0,1.22,10/09/2020
BSJM,,893647BK2,TransDigm Inc,8.00,12/15/2025,04/08/2020,04/08/2022,B+/Ba3,"7,160,000",7802610.0,1.18,10/09/2020
BSJM,,451102BJ5,Icahn Enterprises LP / Icahn Enterprises Finance Corp,6.25,02/01/2022,05/24/2017,11/09/2020,BB+/Ba3,"7,623,000",7725719.93,1.16,10/09/2020
BSJM,,983793AD2,XPO Logistics Inc,6.50,06/15/2022,06/09/2015,11/09/2020,BB-/Ba3,"7,596,000",7633790.1,1.15,10/09/2020
BSJM,,097751BJ9,Bombardier Inc,6.00,10/15/2022,04/03/2014,11/09/2020,CCC/Caa3,"7,747,000",7209551.88,1.09,10/09/2020
BSJM,,911365BF0,United Rentals North America Inc,5.50,05/15/2027,11/07/2016,05/15/2022,BB-/Ba3,"6,732,000",7199032.5,1.09,10/09/2020
BSJM,,85172FAK5,OneMain Finance Corp,6.12,05/15/2022,05/15/2017,N/A,BB-/Ba3,"6,631,000",6970838.75,1.05,10/09/2020
BSJM,,552953BX8,MGM Resorts International,7.75,03/15/2022,03/22/2012,N/A,BB-/Ba3,"6,540,000",6959050.5,1.05,10/09/2020
BSJM,,00101JAF3,ADT Security Corp/The,3.50,07/15/2022,04/29/2013,N/A,BB-/Ba3,"6,694,000",6886452.5,1.04,10/09/2020
BSJM,,63938CAF5,Navient Corp,6.50,06/15/2022,03/07/2017,N/A,B+/Ba3,"6,327,000",6564262.5,0.99,10/09/2020
BSJM,,345397WF6,Ford Motor Credit Co LLC,4.25,09/20/2022,09/25/2012,N/A,BB+/Ba2,"6,400,000",6507776.0,0.98,10/09/2020
BSJM,,01883LAA1,Alliant Holdings Intermediate LLC / Alliant Holdings Co-Issu,6.75,10/15/2027,10/11/2019,10/15/2022,CCC+/Caa2,"6,285,000",6507740.4,0.98,10/09/2020
BSJM,,82967NAY4,Sirius XM Radio Inc,3.88,08/01/2022,07/05/2017,11/09/2020,BB/Ba3,"6,324,000",6419239.44,0.97,10/09/2020
BSJM,,058498AR7,Ball Corp,5.00,03/15/2022,03/09/2012,N/A,BB+/Ba1,"5,876,000",6206378.1,0.94,10/09/2020
BSJM,,532716AU1,L Brands Inc,5.62,02/15/2022,02/07/2012,N/A,B+/B2,"5,445,000",5712213.38,0.86,10/09/2020
BSJM,,345397YQ0,Ford Motor Credit Co LLC,2.98,08/03/2022,08/03/2017,07/03/2022,BB+/Ba2,"5,600,000",5568500.0,0.84,10/09/2020
BSJM,,92658TAQ1,Videotron Ltd,5.00,07/15/2022,07/16/2012,N/A,BB+/Ba1,"5,255,000",5527603.13,0.83,10/09/2020
BSJM,,345397YL1,Ford Motor Credit Co LLC,3.34,03/28/2022,03/31/2017,02/28/2022,BB+/Ba2,"5,381,000",5397815.63,0.81,10/09/2020
BSJM,,78442FEL8,Navient Corp,7.25,01/25/2022,01/27/2012,N/A,B+/Ba3,"5,089,000",5289379.38,0.80,10/09/2020
BSJM,,64110LAJ5,Netflix Inc,5.50,02/15/2022,02/05/2015,N/A,BB/Ba3,"4,854,000",5093666.25,0.77,10/09/2020
BSJM,,674599CC7,Occidental Petroleum Corp,3.12,02/15/2022,08/18/2011,11/15/2021,BB+/Ba2,"5,190,000",5079453.0,0.77,10/09/2020
