Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJN,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"21,488,287",2.148828746E7,5.31,10/09/2020
BSJN,,85207UAF2,Sprint Corp,7.88,09/15/2023,11/14/2014,N/A,BB/B1,"16,155,000",1.866912188E7,4.62,10/09/2020
BSJN,,12543DAY6,CHS/Community Health Systems Inc,6.25,03/31/2023,03/16/2017,11/09/2020,B-/Caa2,"11,636,000",1.17587598E7,2.91,10/09/2020
BSJN,,345370CV0,Ford Motor Co,8.50,04/21/2023,04/22/2020,N/A,BB+/Ba2,"8,400,000",9323622.0,2.30,10/09/2020
BSJN,,69888XAA7,Par Pharmaceutical Inc,7.50,04/01/2027,03/28/2019,04/01/2022,B+/B2,"8,500,000",9201250.0,2.27,10/09/2020
BSJN,,88033GCN8,Tenet Healthcare Corp,6.75,06/15/2023,08/17/2015,N/A,CCC+/Caa1,"8,079,000",8656648.5,2.14,10/09/2020
BSJN,,35671DAZ8,Freeport-McMoRan Inc,3.88,03/15/2023,10/09/2013,12/15/2022,BB/Ba1,"7,023,000",7265293.5,1.80,10/09/2020
BSJN,,05352TAA7,Avantor Funding Inc,4.62,07/15/2028,07/17/2020,07/15/2023,B/B3,"6,600,000",6938250.0,1.72,10/09/2020
BSJN,,95081QAP9,WESCO Distribution Inc,7.25,06/15/2028,06/12/2020,06/15/2023,BB-/B2,"5,699,000",6345694.03,1.57,10/09/2020
BSJN,,651229AV8,Newell Brands Inc,4.35,04/01/2023,03/30/2016,02/01/2023,BB+/Ba1,"5,910,000",6250652.4,1.55,10/09/2020
BSJN,,25470XAL9,DISH DBS Corp,5.00,03/15/2023,05/09/2013,N/A,B-/B2,"5,876,000",6088417.4,1.51,10/09/2020
BSJN,,404121AG0,HCA Inc,5.88,05/01/2023,10/23/2012,N/A,BB-/Ba2,"5,252,000",5743298.34,1.42,10/09/2020
BSJN,,552953CC3,MGM Resorts International,6.00,03/15/2023,11/25/2014,N/A,BB-/Ba3,"5,247,000",5548702.5,1.37,10/09/2020
BSJN,,674599CE3,Occidental Petroleum Corp,2.70,02/15/2023,06/22/2012,11/15/2022,BB+/Ba2,"4,859,000",4628197.5,1.14,10/09/2020
BSJN,,26885BAD2,EQM Midstream Partners LP,4.75,07/15/2023,06/25/2018,06/15/2023,BB-/Ba3,"4,500,000",4564125.0,1.13,10/09/2020
BSJN,,097751BF7,Bombardier Inc,6.12,01/15/2023,01/14/2013,N/A,CCC/Caa3,"5,238,000",4545274.5,1.12,10/09/2020
BSJN,,058498AS5,Ball Corp,4.00,11/15/2023,05/16/2013,N/A,BB+/Ba1,"4,218,000",4527706.65,1.12,10/09/2020
BSJN,,228189AB2,Crown Americas LLC / Crown Americas Capital Corp IV,4.50,01/15/2023,11/19/2013,N/A,BB-/Ba3,"4,195,000",4426983.5,1.09,10/09/2020
BSJN,,78442FEQ7,Navient Corp,5.50,01/25/2023,01/28/2013,N/A,B+/Ba3,"4,309,000",4426666.29,1.09,10/09/2020
BSJN,,984121CQ4,Xerox Corp,4.38,03/15/2023,09/11/2017,02/15/2023,BB/Ba1,"4,169,000",4364421.88,1.08,10/09/2020
BSJN,,126307AS6,CSC Holdings LLC,5.38,02/01/2028,01/29/2018,02/01/2023,BB/Ba3,"4,000,000",4269160.0,1.06,10/09/2020
BSJN,,87264AAV7,T-Mobile USA Inc,4.75,02/01/2028,01/25/2018,02/01/2023,BB/Ba3,"3,943,000",4238725.0,1.05,10/09/2020
BSJN,,78472GAA7,SSL Robotics LLC,9.75,12/31/2023,12/02/2019,12/15/2021,B/B2,"3,759,000",4234381.94,1.05,10/09/2020
BSJN,,268648AN2,EMC Corp,3.38,06/01/2023,06/06/2013,03/01/2023,BB-/WR,"4,092,000",4224990.0,1.04,10/09/2020
BSJN,,382550BE0,Goodyear Tire & Rubber Co/The,5.12,11/15/2023,11/05/2015,11/09/2020,B+/B2,"4,188,000",4191936.72,1.04,10/09/2020
BSJN,,472141AA8,JBS USA LUX SA / JBS USA Finance Inc,6.75,02/15/2028,02/15/2018,02/15/2023,BB/Ba2,"3,663,000",4070655.27,1.01,10/09/2020
BSJN,,85172FAL3,OneMain Finance Corp,5.62,03/15/2023,12/08/2017,N/A,BB-/Ba3,"3,709,000",3938587.1,0.97,10/09/2020
BSJN,,50106GAA0,Kronos Acquisition Holdings Inc,9.00,08/15/2023,08/26/2015,11/09/2020,CCC/Caa1,"3,857,000",3934140.0,0.97,10/09/2020
BSJN,,398545AA1,Grinding Media Inc / Moly-Cop AltaSteel Ltd,7.38,12/15/2023,12/16/2016,11/09/2020,B/B3,"3,771,000",3874702.5,0.96,10/09/2020
BSJN,,163851AB4,Chemours Co/The,6.62,05/15/2023,05/17/2016,11/09/2020,B/B1,"3,810,000",3845737.8,0.95,10/09/2020
BSJN,,18539UAC9,Clearway Energy Operating LLC,4.75,03/15/2028,12/11/2019,03/15/2023,BB/Ba2,"3,562,000",3770163.28,0.93,10/09/2020
BSJN,,366651AC1,Gartner Inc,4.50,07/01/2028,06/22/2020,07/01/2023,BB/Ba3,"3,500,000",3713325.0,0.92,10/09/2020
BSJN,,345397A29,Ford Motor Credit Co LLC,3.09,01/09/2023,01/09/2020,N/A,BB+/Ba2,"3,700,000",3654120.0,0.90,10/09/2020
BSJN,,74819RAP1,Quebecor Media Inc,5.75,01/15/2023,05/14/2013,N/A,BB-/Ba2,"3,359,000",3627720.0,0.90,10/09/2020
BSJN,,69073TAT0,Owens-Brockway Glass Container Inc,6.62,05/13/2027,05/13/2020,05/15/2023,B/B1,"2,975,000",3267591.25,0.81,10/09/2020
BSJN,,69073TAR4,Owens-Brockway Glass Container Inc,5.88,08/15/2023,08/24/2015,N/A,B/B1,"3,056,000",3252730.0,0.80,10/09/2020
BSJN,,156700AX4,CenturyLink Inc,6.75,12/01/2023,11/27/2013,N/A,B+/B2,"2,910,000",3217368.75,0.80,10/09/2020
BSJN,,013092AD3,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Alber,3.50,02/15/2023,02/05/2020,12/15/2022,BB-/B2,"3,146,000",3215998.5,0.80,10/09/2020
BSJN,,00101JAH9,ADT Security Corp/The,4.12,06/15/2023,05/17/2013,N/A,BB-/Ba3,"2,969,000",3145343.76,0.78,10/09/2020
BSJN,,12527GAC7,CF Industries Inc,3.45,06/01/2023,05/23/2013,N/A,BB+/Ba2,"2,964,000",3094527.15,0.77,10/09/2020
BSJN,,28414HAE3,Elanco Animal Health Inc,5.27,08/28/2023,06/26/2019,07/28/2023,BB-/Ba2,"2,854,000",3066266.25,0.76,10/09/2020
BSJN,,226373AL2,Crestwood Midstream Partners LP / Crestwood Midstream Financ,6.25,04/01/2023,07/14/2016,10/26/2020,BB-/B1,"3,057,000",3011465.99,0.74,10/09/2020
BSJN,,23166MAA1,Cushman & Wakefield US Borrower LLC,6.75,05/15/2028,05/22/2020,05/15/2023,BB-/Ba3,"2,800,000",2948750.0,0.73,10/09/2020
BSJN,,05583PAA6,BCD Acquisition Inc,9.62,09/15/2023,08/24/2016,11/09/2020,B/Caa1,"2,865,000",2907975.0,0.72,10/09/2020
BSJN,,35804HAA4,Fresh Market Inc/The,9.75,05/01/2023,04/27/2016,11/09/2020,CCC+/Caa1,"3,000,000",2829375.0,0.70,10/09/2020
BSJN,,00404AAJ8,Acadia Healthcare Co Inc,5.62,02/15/2023,08/17/2015,11/09/2020,B-/B3,"2,776,000",2796903.28,0.69,10/09/2020
BSJN,,73179PAK2,Avient Corp,5.25,03/15/2023,10/10/2013,N/A,BB-/Ba3,"2,526,000",2698058.49,0.67,10/09/2020
BSJN,,345397WK5,Ford Motor Credit Co LLC,4.38,08/06/2023,08/06/2013,N/A,BB+/Ba2,"2,600,000",2673125.0,0.66,10/09/2020
BSJN,,172441AZ0,Cinemark USA Inc,4.88,06/01/2023,08/07/2013,11/09/2020,B+/Caa1,"2,996,000",2567197.5,0.63,10/09/2020
BSJN,,75281ABA6,Range Resources Corp,5.00,03/15/2023,10/05/2017,12/15/2022,B+/B3,"2,592,000",2528820.0,0.63,10/09/2020
BSJN,,87612BAP7,Targa Resources Partners LP / Targa Resources Partners Finan,4.25,11/15/2023,05/14/2013,11/09/2020,BB/Ba3,"2,442,000",2451413.91,0.61,10/09/2020
BSJN,,48088LAB3,Joseph T Ryerson & Son Inc,8.50,08/01/2028,07/22/2020,08/01/2023,B/B3,"2,250,000",2411718.75,0.60,10/09/2020
BSJN,,345397XZ1,Ford Motor Credit Co LLC,3.10,05/04/2023,05/04/2016,N/A,BB+/Ba2,"2,402,000",2399718.1,0.59,10/09/2020
BSJN,,27890GAB6,Montage Resources Corp,8.88,07/15/2023,06/10/2016,11/09/2020,B/B3,"2,332,000",2390300.0,0.59,10/09/2020
BSJN,,364760AL2,Gap Inc/The,8.38,05/15/2023,05/07/2020,N/A,BB/Ba2,"2,100,000",2358562.5,0.58,10/09/2020
BSJN,,23311VAD9,DCP Midstream Operating LP,3.88,03/15/2023,03/14/2013,12/15/2022,BB+/Ba2,"2,322,000",2322000.0,0.57,10/09/2020
BSJN,,12663QAA3,CVR Partners LP / CVR Nitrogen Finance Corp,9.25,06/15/2023,06/10/2016,10/26/2020,B+/B2,"2,401,000",2261441.88,0.56,10/09/2020
BSJN,,20341WAA3,Uniti Group LP / Uniti Group Finance Inc / CSL Capital LLC,6.00,04/15/2023,04/24/2015,11/09/2020,B/B2,"2,217,000",2257183.13,0.56,10/09/2020
BSJN,,63938CAE8,Navient Corp,7.25,09/25/2023,09/16/2016,N/A,B+/Ba3,"2,118,000",2243756.25,0.55,10/09/2020
BSJN,,81725WAG8,Sensata Technologies BV,4.88,10/15/2023,04/17/2013,N/A,BB+/Ba3,"2,116,000",2240315.0,0.55,10/09/2020
BSJN,,01741RAF9,Allegheny Technologies Inc,7.88,08/15/2023,07/12/2013,05/15/2023,B/B3,"2,158,000",2214118.79,0.55,10/09/2020
BSJN,,87612BAM4,Targa Resources Partners LP / Targa Resources Partners Finan,5.25,05/01/2023,10/25/2012,11/02/2020,BB/Ba3,"2,206,000",2212849.63,0.55,10/09/2020
BSJN,,345397A78,Ford Motor Credit Co LLC,3.37,11/17/2023,08/17/2020,N/A,BB+/Ba2,"2,200,000",2200000.0,0.54,10/09/2020
BSJN,,054303BA9,Avon Products Inc,7.00,03/15/2023,03/12/2013,N/A,B+/B3,"2,029,000",2197660.63,0.54,10/09/2020
BSJN,,983793AF7,XPO Logistics Inc,6.12,09/01/2023,08/25/2016,11/09/2020,BB-/Ba3,"2,144,000",2188220.0,0.54,10/09/2020
BSJN,,88104LAC7,TerraForm Power Operating LLC,4.25,01/31/2023,12/12/2017,10/31/2022,BB-/Ba3,"2,114,000",2178741.25,0.54,10/09/2020
BSJN,,44106MAR3,Service Properties Trust,4.50,06/15/2023,06/06/2013,12/15/2022,BB/Ba1,"2,180,000",2167737.5,0.54,10/09/2020
BSJN,,345397ZB2,Ford Motor Credit Co LLC,4.14,02/15/2023,05/03/2018,01/15/2023,BB+/Ba2,"2,100,000",2136750.0,0.53,10/09/2020
BSJN,,69318UAB1,PBF Logistics LP / PBF Logistics Finance Corp,6.88,05/15/2023,12/07/2015,11/09/2020,BB-/B2,"2,213,000",2111998.68,0.52,10/09/2020
BSJN,,118230AK7,Buckeye Partners LP,4.15,07/01/2023,06/10/2013,04/01/2023,BB/B1,"2,081,000",2097908.13,0.52,10/09/2020
BSJN,,47010BAA2,Jaguar Land Rover Automotive PLC,5.62,02/01/2023,01/28/2013,11/09/2020,B/B1,"2,103,000",2078005.85,0.51,10/09/2020
BSJN,,502160AM6,LSB Industries Inc,9.62,05/01/2023,04/25/2018,11/09/2020,CCC/Caa1,"2,087,000",2052867.12,0.51,10/09/2020
BSJN,,501797AJ3,L Brands Inc,5.62,10/15/2023,10/16/2013,N/A,B+/B2,"1,942,000",2037886.25,0.50,10/09/2020
BSJN,,55616XAH0,Macy's Retail Holdings LLC,2.88,02/15/2023,11/20/2012,11/15/2022,B/B1,"2,433,000",2025618.48,0.50,10/09/2020
BSJN,,92346LAB9,Veritas US Inc / Veritas Bermuda Ltd,7.50,02/01/2023,01/29/2016,10/20/2020,B/B2,"2,002,000",2019307.29,0.50,10/09/2020
BSJN,,01551UAC8,Algeco Global Finance Plc,8.00,02/15/2023,02/15/2018,10/20/2020,B-/B2,"2,000,000",2006230.0,0.50,10/09/2020
BSJN,,78573NAB8,Sabre GLBL Inc,5.25,11/15/2023,11/09/2015,11/09/2020,B/Ba3,"1,989,000",1994569.2,0.49,10/09/2020
BSJN,,88023UAD3,Tempur Sealy International Inc,5.62,10/15/2023,04/04/2016,11/09/2020,BB-/B1,"1,941,000",1982042.45,0.49,10/09/2020
BSJN,,30264DAA7,FS Energy and Power Fund,7.50,08/15/2023,08/16/2018,05/15/2023,B/Ba3,"2,125,000",1934918.75,0.48,10/09/2020
BSJN,,1248EPBZ5,CCO Holdings LLC / CCO Holdings Capital Corp,4.00,03/01/2023,10/17/2017,10/26/2020,BB/B1,"1,911,000",1926526.88,0.48,10/09/2020
BSJN,,983130AU9,Wynn Las Vegas LLC / Wynn Las Vegas Capital Corp,4.25,05/30/2023,05/22/2013,02/28/2023,BB-/NR,"1,972,000",1896817.5,0.47,10/09/2020
BSJN,,81211KAU4,Sealed Air Corp,5.25,04/01/2023,03/21/2013,01/01/2023,BB+/Ba3,"1,760,000",1872015.2,0.46,10/09/2020
BSJN,,727493AB4,Plantronics Inc,5.50,05/31/2023,05/27/2015,11/09/2020,B/B2,"2,049,000",1870972.64,0.46,10/09/2020
BSJN,,085790AY9,Berry Global Inc,5.12,07/15/2023,06/05/2015,11/09/2020,BB/B2,"1,839,000",1866585.0,0.46,10/09/2020
BSJN,,699320AH0,Seven Generations Energy Ltd,6.88,06/30/2023,06/05/2015,11/09/2020,BB-/Ba3,"1,880,000",1858652.6,0.46,10/09/2020
BSJN,,436440AM3,Hologic Inc,4.62,02/01/2028,01/19/2018,02/01/2023,BB-/Ba2,"1,741,000",1858517.5,0.46,10/09/2020
BSJN,,50177WAA9,LBC Tank Terminals Holding Netherlands BV,6.88,05/15/2023,05/14/2013,11/09/2020,B-/B3,"1,808,000",1820014.16,0.45,10/09/2020
BSJN,,45867XAG9,InterGen NV,7.00,06/30/2023,06/13/2013,11/09/2020,B+/B1,"1,902,000",1816410.0,0.45,10/09/2020
