Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJO,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"4,744,091",4744091.29,2.66,10/09/2020
BSJO,,85207UAH8,Sprint Corp,7.12,06/15/2024,11/14/2014,N/A,BB/B1,"3,704,000",4319827.04,2.43,10/09/2020
BSJO,,25470XAW5,DISH DBS Corp,5.88,11/15/2024,01/29/2015,N/A,B-/B2,"3,312,000",3414787.92,1.92,10/09/2020
BSJO,,46115HAT4,Intesa Sanpaolo SpA,5.02,06/26/2024,06/26/2014,N/A,BB+/Ba1,"3,200,000",3407117.86,1.91,10/09/2020
BSJO,,83422AAA1,Solera LLC / Solera Finance Inc,10.50,03/01/2024,03/03/2016,11/09/2020,CCC+/Caa1,"3,083,000",3248711.25,1.82,10/09/2020
BSJO,,88033GCS7,Tenet Healthcare Corp,4.62,07/15/2024,06/14/2017,11/09/2020,BB-/B1,"3,031,000",3087073.5,1.73,10/09/2020
BSJO,,126307AZ0,CSC Holdings LLC,6.50,02/01/2029,01/31/2019,02/01/2024,BB/Ba3,"2,700,000",3040245.36,1.71,10/09/2020
BSJO,,18451QAP3,Clear Channel Worldwide Holdings Inc,9.25,02/15/2024,05/08/2020,02/15/2021,CCC/Caa2,"2,948,000",2831273.94,1.59,10/09/2020
BSJO,,12429TAD6,Mauser Packaging Solutions Holding Co,5.50,04/15/2024,04/03/2017,11/09/2020,B/B3,"2,700,000",2764692.0,1.55,10/09/2020
BSJO,,82967NBE7,Sirius XM Radio Inc,4.62,07/15/2024,07/02/2019,07/15/2021,BB/Ba3,"2,640,000",2741745.6,1.54,10/09/2020
BSJO,,92769XAP0,Virgin Media Secured Finance PLC,5.50,05/15/2029,05/16/2019,05/15/2024,BB-/Ba3,"2,300,000",2503343.0,1.41,10/09/2020
BSJO,,553283AB8,MPH Acquisition Holdings LLC,7.12,06/01/2024,06/07/2016,11/09/2020,B-/Caa1,"2,406,000",2499184.38,1.40,10/09/2020
BSJO,,345397ZX4,Ford Motor Credit Co LLC,4.06,11/01/2024,11/01/2019,10/01/2024,BB+/Ba2,"2,400,000",2431740.0,1.37,10/09/2020
BSJO,,46590XAA4,JBS USA LUX SA / JBS USA Food Co / JBS USA Finance Inc,6.50,04/15/2029,04/15/2019,04/15/2024,BB/Ba2,"2,145,000",2421190.2,1.36,10/09/2020
BSJO,,05352AAA8,Avantor Inc,6.00,10/01/2024,10/02/2017,10/20/2020,BB-/Ba2,"2,306,000",2416641.88,1.36,10/09/2020
BSJO,,68245XAC3,1011778 BC ULC / New Red Finance Inc,4.25,05/15/2024,05/17/2017,11/09/2020,BB+/Ba2,"2,233,000",2277101.75,1.28,10/09/2020
BSJO,,1248EPCB7,CCO Holdings LLC / CCO Holdings Capital Corp,5.38,06/01/2029,05/23/2019,06/01/2024,BB/B1,"2,093,000",2273291.02,1.28,10/09/2020
BSJO,,25272KAW3,Dell International LLC / EMC Corp,7.12,06/15/2024,06/22/2016,10/26/2020,BB/Ba2,"2,072,000",2151772.0,1.21,10/09/2020
BSJO,,82967NBC1,Sirius XM Radio Inc,5.50,07/01/2029,06/07/2019,07/01/2024,BB/Ba3,"1,730,000",1888943.75,1.06,10/09/2020
BSJO,,38113YAE9,Golden Nugget Inc,6.75,10/15/2024,10/04/2016,11/09/2020,CCC/Caa2,"2,119,000",1864720.0,1.05,10/09/2020
BSJO,,893647AX5,TransDigm Inc,6.50,07/15/2024,10/06/2014,11/09/2020,B-/B3,"1,830,000",1843953.75,1.04,10/09/2020
BSJO,,451102BW6,Icahn Enterprises LP / Icahn Enterprises Finance Corp,4.75,09/15/2024,03/09/2020,06/15/2024,BB+/Ba3,"1,773,000",1842262.25,1.03,10/09/2020
BSJO,,55303XAC9,MGM Growth Properties Operating Partnership LP / MGP Finance,5.62,05/01/2024,03/03/2017,02/01/2024,BB-/B1,"1,698,000",1818473.1,1.02,10/09/2020
BSJO,,156700BA3,CenturyLink Inc,7.50,04/01/2024,04/06/2016,01/01/2024,B+/B2,"1,619,000",1817327.5,1.02,10/09/2020
BSJO,,12543DBB5,CHS/Community Health Systems Inc,8.62,01/15/2024,07/06/2018,01/15/2021,B-/Caa2,"1,706,000",1782394.68,1.00,10/09/2020
BSJO,,78388JAV8,SBA Communications Corp,4.88,09/01/2024,06/28/2017,11/09/2020,BB-/B1,"1,712,000",1759080.0,0.99,10/09/2020
BSJO,,817610AA6,ServiceMaster Co LLC/The,5.12,11/15/2024,11/08/2016,10/20/2020,BB-/B1,"1,656,000",1707460.2,0.96,10/09/2020
BSJO,,00164VAD5,AMC Networks Inc,5.00,04/01/2024,03/30/2016,11/09/2020,BB/Ba3,"1,650,000",1680937.5,0.94,10/09/2020
BSJO,,489399AG0,Kennedy-Wilson Inc,5.88,04/01/2024,03/25/2014,11/09/2020,BB/B1,"1,500,000",1505625.0,0.85,10/09/2020
BSJO,,432833AB7,Hilton Domestic Operating Co Inc,4.25,09/01/2024,08/07/2017,10/26/2020,BB/Ba2,"1,493,000",1504040.74,0.84,10/09/2020
BSJO,,45332JAA0,Rackspace Technology Global Inc,8.62,11/15/2024,11/03/2016,11/09/2020,B-/Caa1,"1,431,000",1500403.5,0.84,10/09/2020
BSJO,,74736KAH4,Qorvo Inc,4.38,10/15/2029,08/21/2020,10/15/2024,BB+/Ba1,"1,386,000",1494911.88,0.84,10/09/2020
BSJO,,019736AD9,Allison Transmission Inc,5.00,10/01/2024,09/23/2016,10/20/2020,NA/Ba3,"1,450,000",1472656.25,0.83,10/09/2020
BSJO,,00766TAD2,AECOM,5.88,10/15/2024,10/30/2015,07/15/2024,BB/Ba3,"1,336,000",1462920.0,0.82,10/09/2020
BSJO,,513272AA2,Lamb Weston Holdings Inc,4.62,11/01/2024,11/09/2016,11/01/2021,BB+/Ba2,"1,387,000",1456197.43,0.82,10/09/2020
BSJO,,410345AJ1,Hanesbrands Inc,4.62,05/15/2024,05/06/2016,02/15/2024,BB/Ba3,"1,382,000",1454969.6,0.82,10/09/2020
BSJO,,126307AH0,CSC Holdings LLC,5.25,06/01/2024,05/23/2014,N/A,B/B3,"1,277,000",1375169.38,0.77,10/09/2020
BSJO,,817565CE2,Service Corp International/US,5.12,06/01/2029,05/21/2019,06/01/2024,BB/Ba3,"1,200,000",1337028.0,0.75,10/09/2020
BSJO,,552697AQ7,MDC Partners Inc,6.50,05/01/2024,03/23/2016,11/09/2020,B/B3,"1,417,000",1330577.17,0.75,10/09/2020
BSJO,,071734AF4,Bausch Health Cos Inc,7.25,05/30/2029,05/23/2019,05/30/2024,B/B3,"1,161,000",1281744.0,0.72,10/09/2020
BSJO,,35671DBL8,Freeport-McMoRan Inc,4.55,11/14/2024,11/14/2014,08/14/2024,BB/Ba1,"1,174,000",1277452.88,0.72,10/09/2020
BSJO,,013822AA9,Alcoa Nederland Holding BV,6.75,09/30/2024,09/27/2016,11/09/2020,BB+/Ba1,"1,230,000",1273818.75,0.72,10/09/2020
BSJO,,83001AAB8,Six Flags Entertainment Corp,4.88,07/31/2024,06/16/2016,11/09/2020,CCC/B3,"1,327,000",1261804.49,0.71,10/09/2020
BSJO,,78442FET1,Navient Corp,6.12,03/25/2024,03/27/2014,08/18/2014,B+/Ba3,"1,174,000",1230117.2,0.69,10/09/2020
BSJO,,65342QAK8,NextEra Energy Operating Partners LP,4.25,07/15/2024,06/27/2019,04/15/2024,BB/Ba1,"1,127,000",1178532.08,0.66,10/09/2020
BSJO,,421924BK6,Encompass Health Corp,5.75,11/01/2024,09/11/2012,11/01/2020,B+/B1,"1,161,000",1163089.8,0.65,10/09/2020
BSJO,,629377CH3,NRG Energy Inc,5.25,06/15/2029,05/14/2019,06/15/2024,BB+/Ba2,"1,049,000",1161573.44,0.65,10/09/2020
BSJO,,92346LAA1,Veritas US Inc / Veritas Bermuda Ltd,10.50,02/01/2024,01/29/2016,10/20/2020,CCC/Caa2,"1,201,000",1157337.65,0.65,10/09/2020
