Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJP,,91831AAC5,Bausch Health Cos Inc,6.12,04/15/2025,03/27/2015,11/09/2020,B/B3,"2,518,000",2594169.5,2.01,10/09/2020
BSJP,,345370CW8,Ford Motor Co,9.00,04/22/2025,04/22/2020,03/22/2025,BB+/Ba2,"2,100,000",2475301.5,1.92,10/09/2020
BSJP,,404119BR9,HCA Inc,5.38,02/01/2025,01/16/2015,N/A,BB-/Ba2,"2,138,000",2412305.4,1.87,10/09/2020
BSJP,,68245XAE9,1011778 BC ULC / New Red Finance Inc,5.00,10/15/2025,08/28/2017,11/09/2020,B+/B2,"2,251,000",2308276.7,1.79,10/09/2020
BSJP,,28470RAH5,Caesars Entertainment Inc,6.25,07/01/2025,07/06/2020,07/01/2022,B/B1,"2,000,000",2114600.0,1.64,10/09/2020
BSJP,,91327AAA0,Uniti Group LP / Uniti Fiber Holdings Inc / CSL Capital LLC,7.88,02/15/2025,02/10/2020,02/15/2022,B/B2,"1,796,000",1925087.5,1.50,10/09/2020
BSJP,,03969AAL4,Ardagh Packaging Finance PLC / Ardagh Holdings USA Inc,6.00,02/15/2025,01/30/2017,10/20/2020,B/Caa1,"1,751,000",1818413.5,1.41,10/09/2020
BSJP,,023771S58,American Airlines Inc,11.75,07/15/2025,06/30/2020,N/A,B+/Ba3,"1,600,000",1594400.0,1.24,10/09/2020
BSJP,,88160RAE1,Tesla Inc,5.30,08/15/2025,08/18/2017,11/09/2020,B+/B3,"1,491,000",1551012.75,1.20,10/09/2020
BSJP,,85207UAJ4,Sprint Corp,7.62,02/15/2025,02/24/2015,11/15/2024,BB/B1,"1,234,000",1470773.75,1.14,10/09/2020
BSJP,,12543DBF6,CHS/Community Health Systems Inc,6.62,02/15/2025,02/06/2020,02/15/2022,B-/Caa2,"1,277,000",1291238.55,1.00,10/09/2020
BSJP,,91911KAN2,Bausch Health Cos Inc,5.50,11/01/2025,10/17/2017,11/09/2020,BB/Ba2,"1,207,000",1238382.0,0.96,10/09/2020
BSJP,,85172FAM1,OneMain Finance Corp,6.88,03/15/2025,03/12/2018,N/A,BB-/Ba3,"1,070,000",1222410.8,0.95,10/09/2020
BSJP,,460599AC7,International Game Technology PLC,6.50,02/15/2025,02/13/2015,08/15/2024,BB/Ba3,"1,100,000",1202080.0,0.93,10/09/2020
BSJP,,983130AV7,Wynn Las Vegas LLC / Wynn Las Vegas Capital Corp,5.50,03/01/2025,02/18/2015,12/01/2024,BB-/B1,"1,193,000",1156464.38,0.90,10/09/2020
BSJP,,577081BB7,Mattel Inc,6.75,12/31/2025,12/20/2017,12/31/2020,B+/B1,"1,083,000",1146019.77,0.89,10/09/2020
BSJP,,251525AP6,Deutsche Bank AG,4.50,04/01/2025,04/01/2015,N/A,BB+/Ba2,"1,100,000",1122001.45,0.87,10/09/2020
BSJP,,16411QAB7,Cheniere Energy Partners LP,5.25,10/01/2025,07/26/2018,11/09/2020,BB/Ba2,"1,072,000",1098532.0,0.85,10/09/2020
BSJP,,058498AT3,Ball Corp,5.25,07/01/2025,06/25/2015,N/A,BB+/Ba1,"934,000",1072717.68,0.83,10/09/2020
BSJP,,12652AAA1,Caesars Resort Collection LLC / CRC Finco Inc,5.25,10/15/2025,10/16/2017,10/20/2020,CCC+/Caa1,"1,072,000",1057565.52,0.82,10/09/2020
BSJP,,345397A60,Ford Motor Credit Co LLC,5.12,06/16/2025,06/19/2020,05/16/2025,BB+/Ba2,"1,000,000",1055000.0,0.82,10/09/2020
BSJP,,74840LAA0,Quicken Loans LLC,5.75,05/01/2025,05/06/2015,10/14/2020,BB/Ba1,"979,000",1007146.25,0.78,10/09/2020
BSJP,,88033GCU2,Tenet Healthcare Corp,5.12,05/01/2025,06/14/2017,11/09/2020,CCC+/B1,"985,000",1002217.8,0.78,10/09/2020
BSJP,,20337YAA5,CommScope Technologies LLC,6.00,06/15/2025,06/11/2015,10/20/2020,CCC+/B3,"995,000",1001845.6,0.78,10/09/2020
BSJP,,914906AS1,Univision Communications Inc,5.12,02/15/2025,02/19/2015,10/20/2020,B/B2,"985,000",946215.63,0.73,10/09/2020
BSJP,,073685AD1,Beacon Roofing Supply Inc,4.88,11/01/2025,10/25/2017,11/09/2020,B-/Caa1,"938,000",945677.53,0.73,10/09/2020
BSJP,,716768AC0,PetSmart Inc,5.88,06/01/2025,05/31/2017,11/09/2020,B/B2,"915,000",944636.85,0.73,10/09/2020
BSJP,,097751BM2,Bombardier Inc,7.50,03/15/2025,03/13/2015,11/09/2020,CCC/Caa3,"1,211,000",937011.25,0.73,10/09/2020
BSJP,,345397XL2,Ford Motor Credit Co LLC,4.13,08/04/2025,08/04/2015,N/A,BB+/Ba2,"900,000",910395.0,0.71,10/09/2020
BSJP,,12429TAE4,Mauser Packaging Solutions Holding Co,7.25,04/15/2025,04/03/2017,11/09/2020,CCC+/Caa3,"914,000",901249.7,0.70,10/09/2020
BSJP,AGPXX ,825252885,STIT - Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"893,071",893071.33,0.69,10/09/2020
BSJP,,80874YAW0,Scientific Games International Inc,5.00,10/15/2025,10/17/2017,11/09/2020,B+/B1,"868,000",888072.5,0.69,10/09/2020
BSJP,,84762LAU9,Spectrum Brands Inc,5.75,07/15/2025,02/08/2016,11/09/2020,B/B2,"851,000",880870.1,0.68,10/09/2020
BSJP,,253657AA8,Diebold Nixdorf Inc,9.38,07/15/2025,07/20/2020,07/15/2022,B-/B3,"800,000",864000.0,0.67,10/09/2020
BSJP,,15911NAA3,Change Healthcare Holdings LLC / Change Healthcare Finance I,5.75,03/01/2025,02/15/2017,10/20/2020,B-/Caa1,"841,000",859544.05,0.67,10/09/2020
BSJP,,228701AF5,CrownRock LP / CrownRock Finance Inc,5.62,10/15/2025,10/11/2017,11/09/2020,BB-/B2,"868,000",859320.0,0.67,10/09/2020
BSJP,,12770RAA1,Caesars Resort Collection LLC / CRC Finco Inc,5.75,07/01/2025,07/06/2020,07/01/2022,B+/B1,"800,000",844240.0,0.66,10/09/2020
BSJP,,644393AA8,New Fortress Energy Inc,6.75,09/15/2025,09/02/2020,09/15/2022,B+/B1,"800,000",839500.0,0.65,10/09/2020
BSJP,,78573NAF9,Sabre GLBL Inc,7.38,09/01/2025,08/27/2020,09/01/2022,B/Ba3,"800,000",836400.0,0.65,10/09/2020
BSJP,,595017AS3,Microchip Technology Inc,4.25,09/01/2025,05/29/2020,09/01/2022,NR/Ba2,"800,000",832388.89,0.65,10/09/2020
BSJP,,88023JAA4,Tempo Acquisition LLC / Tempo Acquisition Finance Corp,6.75,06/01/2025,05/01/2017,10/20/2020,CCC+/Caa1,"805,000",832168.75,0.65,10/09/2020
BSJP,,79546VAL0,Sally Holdings LLC / Sally Capital Inc,5.62,12/01/2025,12/03/2015,12/01/2020,B/Ba3,"808,000",828030.32,0.64,10/09/2020
BSJP,,26907YAA2,ESH Hospitality Inc,5.25,05/01/2025,05/15/2015,11/09/2020,BB-/Ba3,"780,000",799917.3,0.62,10/09/2020
BSJP,,02005NBF6,Ally Financial Inc,5.75,11/20/2025,11/20/2015,10/21/2025,BB+/NR,"695,000",788283.13,0.61,10/09/2020
BSJP,,432891AH2,Hilton Worldwide Finance LLC / Hilton Worldwide Finance Corp,4.62,04/01/2025,08/07/2017,10/26/2020,BB/Ba2,"728,000",743539.16,0.58,10/09/2020
BSJP,,912909AR9,United States Steel Corp,12.00,06/01/2025,05/29/2020,06/01/2022,B+/B2,"675,000",741453.75,0.58,10/09/2020
BSJP,,28228PAB7,eG Global Finance PLC,8.50,10/30/2025,10/21/2019,10/30/2021,B-/B2,"700,000",739375.0,0.57,10/09/2020
BSJP,,25525PAA5,Diversified Healthcare Trust,9.75,06/15/2025,06/02/2020,06/15/2022,BB+/Ba1,"650,000",730834.0,0.57,10/09/2020
BSJP,,404030AH1,H&E Equipment Services Inc,5.62,09/01/2025,03/19/2018,11/09/2020,BB-/B2,"678,000",707662.5,0.55,10/09/2020
BSJP,,013093AD1,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Alber,5.75,03/15/2025,08/01/2017,11/09/2020,BB-/B2,"683,000",706184.44,0.55,10/09/2020
BSJP,,92240MBF4,Vector Group Ltd,6.12,02/01/2025,01/27/2017,11/09/2020,BB-/Ba3,"693,000",703107.41,0.55,10/09/2020
BSJP,,90290MAC5,US Foods Inc,6.25,04/15/2025,04/28/2020,04/15/2022,BB-/B3,"650,000",689867.75,0.54,10/09/2020
BSJP,,52736RBG6,Levi Strauss & Co,5.00,05/01/2025,07/15/2015,11/09/2020,BB+/Ba2,"658,000",680618.75,0.53,10/09/2020
BSJP,,185899AJ0,Cleveland-Cliffs Inc,9.88,10/17/2025,04/17/2020,10/17/2022,B/Ba3,"600,000",680250.0,0.53,10/09/2020
BSJP,,05508RAE6,B&G Foods Inc,5.25,04/01/2025,04/03/2017,11/09/2020,B+/B2,"653,000",678956.75,0.53,10/09/2020
BSJP,,63934EAT5,Navistar International Corp,6.62,11/01/2025,11/06/2017,11/01/2020,CCC+/B3,"636,000",657862.5,0.51,10/09/2020
BSJP,,44267DAB3,Howard Hughes Corp/The,5.38,03/15/2025,03/16/2017,11/09/2020,BB-/Ba3,"637,000",652925.0,0.51,10/09/2020
BSJP,,958667AB3,Western Midstream Operating LP,4.10,02/01/2025,01/13/2020,01/01/2025,BB+/Ba2,"650,000",645320.0,0.50,10/09/2020
BSJP,,90353TAF7,Uber Technologies Inc,7.50,05/15/2025,05/15/2020,05/15/2022,CCC+/B3,"600,000",644274.0,0.50,10/09/2020
BSJP,,845467AL3,Southwestern Energy Co,6.45,01/23/2025,01/23/2015,10/23/2024,BB-/Ba3,"642,000",643226.22,0.50,10/09/2020
BSJP,,73939VAA2,PowerTeam Services LLC,9.03,12/04/2025,04/09/2020,02/04/2023,B-/B3,"600,000",641625.0,0.50,10/09/2020
BSJP,,245223AC6,Del Monte Foods Inc,11.88,05/15/2025,05/15/2020,05/15/2022,CCC+/Caa2,"600,000",639375.0,0.50,10/09/2020
BSJP,,150190AF3,Cedar Fair LP / Canada's Wonderland Co / Magnum Management C,5.50,05/01/2025,04/27/2020,05/01/2022,B/Ba2,"600,000",615750.0,0.48,10/09/2020
BSJP,,91739VAA6,USI Inc/NY,6.88,05/01/2025,04/18/2017,11/09/2020,CCC+/Caa2,"597,000",615277.16,0.48,10/09/2020
BSJP,,436440AK7,Hologic Inc,4.38,10/15/2025,10/10/2017,10/15/2020,BB-/Ba2,"599,000",612597.3,0.48,10/09/2020
BSJP,,18683KAM3,Cleveland-Cliffs Inc,5.75,03/01/2025,04/26/2018,11/09/2020,CCC/B2,"646,000",611681.25,0.48,10/09/2020
BSJP,,64073KAA1,Neptune Energy Bondco PLC,6.62,05/15/2025,05/11/2018,05/15/2021,BB-/B1,"700,000",610750.0,0.47,10/09/2020
BSJP,,68163PAA2,Intrado Corp,8.50,10/15/2025,10/10/2017,11/09/2020,CCC/Caa2,"678,000",604691.25,0.47,10/09/2020
BSJP,,48238TAA7,KAR Auction Services Inc,5.12,06/01/2025,05/31/2017,11/09/2020,B-/Caa1,"590,000",601800.0,0.47,10/09/2020
BSJP,,44157TAA3,Houghton Mifflin Harcourt Publishers Inc,9.00,02/15/2025,11/22/2019,02/15/2022,B/Caa1,"597,000",580021.32,0.45,10/09/2020
BSJP,,053773BD8,Avis Budget Car Rental LLC / Avis Budget Finance Inc,10.50,05/15/2025,05/12/2020,05/15/2022,BB-/Ba2,"500,000",577187.5,0.45,10/09/2020
BSJP,,038522AP3,Aramark Services Inc,5.00,04/01/2025,03/22/2017,11/09/2020,B+/B1,"556,000",574931.8,0.45,10/09/2020
BSJP,,10524PAB6,Brand Industrial Services Inc,8.50,07/15/2025,06/21/2017,11/09/2020,CCC/Caa2,"589,000",571035.5,0.44,10/09/2020
BSJP,,552953CE9,MGM Resorts International,5.75,06/15/2025,06/18/2018,03/15/2025,BB-/Ba3,"529,000",561731.88,0.44,10/09/2020
BSJP,,518613AJ3,Laureate Education Inc,8.25,05/01/2025,04/26/2017,11/09/2020,BB-/B3,"523,000",560768.45,0.44,10/09/2020
BSJP,,23311VAG2,DCP Midstream Operating LP,5.38,07/15/2025,07/17/2018,04/15/2025,BB+/Ba2,"529,000",560036.43,0.43,10/09/2020
BSJP,,78573NAC6,Sabre GLBL Inc,9.25,04/15/2025,04/17/2020,03/16/2025,B/Ba3,"500,000",555937.5,0.43,10/09/2020
BSJP,,50212YAB0,LPL Holdings Inc,5.75,09/15/2025,03/10/2017,10/20/2020,BB/B1,"523,000",545305.95,0.42,10/09/2020
BSJP,,33834YAA6,Five Point Operating Co LP / Five Point Capital Corp,7.88,11/15/2025,11/22/2017,11/15/2020,B/B3,"529,000",543878.13,0.42,10/09/2020
BSJP,,39807UAB2,Greystar Real Estate Partners LLC,5.75,12/01/2025,11/24/2017,12/01/2020,B+/B1,"529,000",539685.8,0.42,10/09/2020
BSJP,,03674XAJ5,Antero Resources Corp,5.00,03/01/2025,07/26/2017,11/09/2020,B/B3,"819,000",537980.63,0.42,10/09/2020
BSJP,,44988MAC9,IRB Holding Corp,7.00,06/15/2025,05/21/2020,06/15/2022,B/B3,"500,000",536907.5,0.42,10/09/2020
BSJP,,03217CAA4,ams AG,7.00,07/31/2025,07/06/2020,07/31/2022,(P)BB-/Ba3,"500,000",535437.5,0.42,10/09/2020
BSJP,,880779AZ6,Terex Corp,5.62,02/01/2025,01/31/2017,10/30/2020,BB-/B3,"523,000",535094.38,0.42,10/09/2020
BSJP,,382550BH3,Goodyear Tire & Rubber Co/The,9.50,05/31/2025,05/18/2020,05/31/2022,B+/B2,"475,000",533935.63,0.41,10/09/2020
BSJP,,14987KAA1,Core & Main LP,6.12,08/15/2025,08/01/2017,11/09/2020,CCC+/Caa2,"512,000",529697.28,0.41,10/09/2020
BSJP,,64110LAL0,Netflix Inc,5.88,02/15/2025,02/05/2015,N/A,BB/Ba3,"463,000",528688.13,0.41,10/09/2020
BSJP,,527298BH5,Level 3 Financing Inc,5.38,05/01/2025,01/12/2016,11/09/2020,BB/Ba3,"513,000",528328.44,0.41,10/09/2020
BSJP,,00489LAA1,Acrisure LLC / Acrisure Finance Inc,7.00,11/15/2025,11/17/2017,11/15/2020,CCC+/Caa2,"529,000",527346.88,0.41,10/09/2020
BSJP,,55303XAK1,MGM Growth Properties Operating Partnership LP / MGP Finance,4.62,06/15/2025,06/05/2020,03/15/2025,BB-/B1,"500,000",525100.0,0.41,10/09/2020
BSJP,,87612BBB7,Targa Resources Partners LP / Targa Resources Partners Finan,5.12,02/01/2025,10/06/2016,11/09/2020,BB/Ba3,"512,000",521274.88,0.40,10/09/2020
BSJP,,893647AZ0,TransDigm Inc,6.50,05/15/2025,03/01/2016,11/09/2020,B-/B3,"515,000",518695.13,0.40,10/09/2020
BSJP,,92564RAC9,VICI Properties LP / VICI Note Co Inc,3.50,02/15/2025,02/05/2020,02/15/2022,BB/Ba3,"513,000",516706.43,0.40,10/09/2020
BSJP,,552704AD0,MEG Energy Corp,6.50,01/15/2025,01/27/2017,11/09/2020,B/Ba3,"511,000",507566.08,0.39,10/09/2020
BSJP,,552953CG4,MGM Resorts International,6.75,05/01/2025,05/04/2020,05/01/2022,BB-/Ba3,"475,000",505435.63,0.39,10/09/2020
BSJP,,030981AK0,AmeriGas Partners LP / AmeriGas Finance Corp,5.50,05/20/2025,12/28/2016,02/20/2025,NR/Ba3,"463,000",503512.5,0.39,10/09/2020
BSJP,,364760AM0,Gap Inc/The,8.62,05/15/2025,05/07/2020,05/15/2022,BB/Ba2,"450,000",498093.75,0.39,10/09/2020
BSJP,,315292AS1,Ferrellgas LP / Ferrellgas Finance Corp,10.00,04/15/2025,04/16/2020,04/15/2022,CCC/B3,"450,000",490781.25,0.38,10/09/2020
BSJP,,674599CG8,Occidental Petroleum Corp,3.50,06/15/2025,06/23/2015,03/15/2025,BB+/Ba2,"555,000",489440.63,0.38,10/09/2020
BSJP,,00164VAE3,AMC Networks Inc,4.75,08/01/2025,07/28/2017,08/01/2021,BB/Ba3,"469,000",486707.1,0.38,10/09/2020
BSJP,,451102BQ9,Icahn Enterprises LP / Icahn Enterprises Finance Corp,6.38,12/15/2025,02/08/2018,12/15/2020,BB+/Ba3,"469,000",486399.9,0.38,10/09/2020
BSJP,,95616AAA1,West Street Merger Sub Inc,6.38,09/01/2025,08/24/2017,11/09/2020,CCC/Caa2,"469,000",481018.13,0.37,10/09/2020
BSJP,,65410CAC4,Nielsen Co Luxembourg SARL/The,5.00,02/01/2025,01/31/2017,11/09/2020,BB-/B2,"469,000",480605.41,0.37,10/09/2020
BSJP,,911365BH6,United Rentals North America Inc,4.62,10/15/2025,09/22/2017,10/15/2020,BB-/Ba3,"469,000",480420.15,0.37,10/09/2020
BSJP,,75281AAS8,Range Resources Corp,4.88,05/15/2025,04/08/2016,02/15/2025,B+/B3,"519,000",480100.95,0.37,10/09/2020
BSJP,,410345AN2,Hanesbrands Inc,5.38,05/15/2025,05/04/2020,05/15/2022,BB/Ba3,"450,000",479812.5,0.37,10/09/2020
BSJP,,221644AA5,Cott Holdings Inc,5.50,04/01/2025,03/22/2017,10/20/2020,B/B1,"463,000",478626.25,0.37,10/09/2020
BSJP,,35640YAB3,Freedom Mortgage Corp,8.25,04/15/2025,04/09/2018,04/15/2021,B-/B2,"465,000",476625.0,0.37,10/09/2020
BSJP,,1248EPBG7,CCO Holdings LLC / CCO Holdings Capital Corp,5.38,05/01/2025,04/21/2015,11/06/2020,BB/B1,"460,000",474227.8,0.37,10/09/2020
BSJP,,163851AD0,Chemours Co/The,7.00,05/15/2025,05/17/2016,11/09/2020,B/B1,"456,000",470136.0,0.37,10/09/2020
BSJP,,20914UAD8,Consolidated Energy Finance SA,6.88,06/15/2025,06/12/2017,11/09/2020,BB-/B2,"506,000",460148.81,0.36,10/09/2020
BSJP,,17027NAA0,Chobani LLC / Chobani Finance Corp Inc,7.50,04/15/2025,04/13/2017,11/09/2020,CCC/Caa2,"438,000",455607.6,0.35,10/09/2020
BSJP,,73179PAM8,Avient Corp,5.75,05/15/2025,05/13/2020,05/15/2022,BB-/Ba3,"425,000",455281.25,0.35,10/09/2020
BSJP,,59001AAY8,Meritage Homes Corp,6.00,06/01/2025,08/03/2015,03/01/2025,BB/Ba2,"399,000",455109.38,0.35,10/09/2020
BSJP,,63934EAW8,Navistar International Corp,9.50,05/01/2025,04/27/2020,05/01/2022,B+/B2,"400,000",452998.0,0.35,10/09/2020
BSJP,,81211KAX8,Sealed Air Corp,5.50,09/15/2025,06/16/2015,06/15/2025,BB+/Ba3,"399,000",447628.13,0.35,10/09/2020
BSJP,,81783QAC9,Seven Generations Energy Ltd,5.38,09/30/2025,10/02/2017,11/09/2020,BB-/Ba3,"457,000",435573.56,0.34,10/09/2020
BSJP,,12662PAB4,CVR Energy Inc,5.25,02/15/2025,01/27/2020,02/15/2022,BB-/B1,"501,000",430546.88,0.33,10/09/2020
BSJP,,53219LAT6,Legacy LifePoint Health LLC,6.75,04/15/2025,04/13/2020,04/15/2022,B/B1,"400,000",428000.0,0.33,10/09/2020
BSJP,,91879QAL3,Vail Resorts Inc,6.25,05/15/2025,05/04/2020,05/15/2022,BB/B2,"400,000",427620.0,0.33,10/09/2020
BSJP,,55616PAA2,Macy's Inc,8.38,06/15/2025,06/08/2020,06/15/2022,BB-/Ba1,"400,000",426856.0,0.33,10/09/2020
BSJP,,983133AB5,Wynn Resorts Finance LLC / Wynn Resorts Capital Corp,7.75,04/15/2025,04/14/2020,04/15/2022,BB-/B1,"400,000",425986.0,0.33,10/09/2020
BSJP,,70052LAA1,Park Intermediate Holdings LLC / PK Domestic Property LLC /,7.50,06/01/2025,05/29/2020,06/01/2022,BB-/B1,"400,000",425750.0,0.33,10/09/2020
BSJP,,81725WAJ2,Sensata Technologies BV,5.00,10/01/2025,03/26/2015,N/A,BB+/Ba3,"389,000",424739.38,0.33,10/09/2020
BSJP,,29260FAF7,Endeavor Energy Resources LP / EER Finance Inc,6.62,07/15/2025,06/05/2020,07/15/2022,BB-/B1,"400,000",421120.0,0.33,10/09/2020
BSJP,,210383AF2,Constellium SE,6.62,03/01/2025,02/16/2017,11/09/2020,B/B2,"403,000",417771.97,0.32,10/09/2020
BSJP,,26151AAA7,Drax Finco PLC,6.62,11/01/2025,04/26/2018,05/01/2021,BB+/NR,"400,000",417458.0,0.32,10/09/2020
BSJP,,12513GBE8,CDW LLC / CDW Finance Corp,4.12,05/01/2025,04/21/2020,05/01/2022,BB-/Ba2,"400,000",416750.0,0.32,10/09/2020
BSJP,,156504AH5,Century Communities Inc,5.88,07/15/2025,12/19/2017,11/09/2020,B+/B2,"395,000",415004.78,0.32,10/09/2020
BSJP,,7846ELAC1,SPCM SA,4.88,09/15/2025,04/20/2017,10/20/2020,BB+/Ba2,"400,000",414850.0,0.32,10/09/2020
BSJP,,345397ZJ5,Ford Motor Credit Co LLC,4.69,06/09/2025,08/09/2018,04/09/2025,BB+/Ba2,"400,000",412846.0,0.32,10/09/2020
BSJP,,466253AA9,j2 Cloud Services LLC / j2 Cloud Co-Obligor Inc,6.00,07/15/2025,06/27/2017,12/07/2020,BB/Ba3,"393,000",412650.0,0.32,10/09/2020
BSJP,,74759BAD5,QualityTech LP / QTS Finance Corp,4.75,11/15/2025,11/08/2017,11/15/2020,BB/Ba3,"395,000",408984.98,0.32,10/09/2020
BSJP,,02079UAA3,Atotech Alpha 3 BV / Alpha US Bidco Inc,6.25,02/01/2025,01/31/2017,11/09/2020,CCC/Caa2,"400,000",407500.0,0.32,10/09/2020
BSJP,,060335AA4,Banijay Entertainment SASU,5.38,03/01/2025,02/11/2020,03/01/2022,B/B1,"400,000",405750.0,0.32,10/09/2020
BSJP,,45031UCG4,iStar Inc,4.25,08/01/2025,12/16/2019,05/01/2025,BB/Ba3,"425,000",404812.5,0.31,10/09/2020
BSJP,,626717AJ1,Murphy Oil Corp,5.75,08/15/2025,08/18/2017,11/09/2020,BB/Ba3,"457,000",403709.23,0.31,10/09/2020
BSJP,,87264AAS4,T-Mobile USA Inc,5.12,04/15/2025,03/16/2017,10/20/2020,BB/Ba3,"390,000",402524.85,0.31,10/09/2020
BSJP,,02406PAR1,American Axle & Manufacturing Inc,6.25,04/01/2025,02/01/2018,11/09/2020,B-/B2,"389,000",396536.88,0.31,10/09/2020
