Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJQ,,25470XAY1,DISH DBS Corp,7.75,07/01/2026,10/03/2016,N/A,B-/B2,"1,050,000",1161578.25,2.06,10/09/2020
BSJQ,,404119BS7,HCA Inc,5.88,02/15/2026,11/13/2015,08/15/2025,BB-/Ba2,"1,004,000",1150835.0,2.04,10/09/2020
BSJQ,,88033GCY4,Tenet Healthcare Corp,4.88,01/01/2026,08/26/2019,03/01/2022,BB-/B1,"1,099,000",1144322.76,2.03,10/09/2020
BSJQ,,20752TAA2,Connect Finco SARL / Connect US Finco LLC,6.75,10/01/2026,10/07/2019,10/01/2022,B+/B1,"1,090,000",1133600.0,2.01,10/09/2020
BSJQ,,651229AW6,Newell Brands Inc,4.70,04/01/2026,03/30/2016,01/01/2026,BB+/Ba1,"1,054,000",1131922.22,2.00,10/09/2020
BSJQ,,85207UAK1,Sprint Corp,7.62,03/01/2026,02/22/2018,11/01/2025,BB/B1,"784,000",969898.16,1.72,10/09/2020
BSJQ,,85172FAN9,OneMain Finance Corp,7.12,03/15/2026,05/11/2018,N/A,BB-/Ba3,"842,000",965146.71,1.71,10/09/2020
BSJQ,,737446AK0,Post Holdings Inc,5.00,08/15/2026,08/03/2016,08/15/2021,B+/B2,"892,000",931091.9,1.65,10/09/2020
BSJQ,,44332PAD3,HUB International Ltd,7.00,05/01/2026,04/25/2018,05/01/2021,CCC+/Caa2,"871,000",912725.26,1.62,10/09/2020
BSJQ,,92564RAA3,VICI Properties LP / VICI Note Co Inc,4.25,12/01/2026,11/26/2019,12/01/2022,BB/Ba3,"863,000",881882.44,1.56,10/09/2020
BSJQ,,449934AD0,IQVIA Inc,5.00,10/15/2026,09/28/2016,10/15/2021,BB/Ba3,"800,000",840500.0,1.49,10/09/2020
BSJQ,,670001AC0,Novelis Corp,5.88,09/30/2026,09/14/2016,09/30/2021,B+/B2,"789,000",834454.29,1.48,10/09/2020
BSJQ,,05988LAA6,Banff Merger Sub Inc,9.75,09/01/2026,08/23/2018,09/01/2021,CCC+/Caa2,"776,000",834200.0,1.48,10/09/2020
BSJQ,,1248EPBR3,CCO Holdings LLC / CCO Holdings Capital Corp,5.50,05/01/2026,04/21/2016,05/01/2021,BB/B1,"782,000",820001.29,1.45,10/09/2020
BSJQ,,432833AD3,Hilton Domestic Operating Co Inc,5.12,05/01/2026,05/24/2019,05/01/2021,BB/Ba2,"791,000",817545.96,1.45,10/09/2020
BSJQ,,345397XU2,Ford Motor Credit Co LLC,4.39,01/08/2026,01/08/2016,N/A,BB+/Ba2,"800,000",814880.0,1.44,10/09/2020
BSJQ,,345370CR9,Ford Motor Co,4.35,12/08/2026,12/08/2016,09/08/2026,BB+/Ba2,"785,000",789757.1,1.40,10/09/2020
BSJQ,,589433AB7,Meredith Corp,6.88,02/01/2026,02/28/2019,02/01/2021,CCC+/Caa1,"838,000",721203.75,1.28,10/09/2020
BSJQ,,451102BT3,Icahn Enterprises LP / Icahn Enterprises Finance Corp,6.25,05/15/2026,10/21/2019,05/15/2022,BB+/Ba3,"658,000",699842.22,1.24,10/09/2020
BSJQ,,156700BB1,CenturyLink Inc,5.12,12/15/2026,12/16/2019,12/15/2022,B+/B2,"659,000",687307.35,1.22,10/09/2020
BSJQ,,131347CK0,Calpine Corp,5.25,06/01/2026,05/31/2016,06/01/2021,BB+/Ba2,"618,000",649100.85,1.15,10/09/2020
BSJQ,,92535WAA8,Verscend Escrow Corp,9.75,08/15/2026,08/27/2018,08/15/2021,CCC+/Caa2,"576,000",628920.0,1.11,10/09/2020
BSJQ,,16411QAD3,Cheniere Energy Partners LP,5.62,10/01/2026,07/26/2019,10/01/2021,BB/Ba2,"578,000",604732.5,1.07,10/09/2020
BSJQ,,404121AH8,HCA Inc,5.38,09/01/2026,08/23/2018,03/01/2026,BB-/Ba2,"527,000",598034.33,1.06,10/09/2020
BSJQ,,64110LAN6,Netflix Inc,4.38,11/15/2026,10/27/2016,N/A,BB/Ba3,"525,000",580072.5,1.03,10/09/2020
BSJQ,,444454AF9,Hughes Satellite Systems Corp,6.62,08/01/2026,05/11/2017,N/A,BB/B2,"504,000",554384.88,0.98,10/09/2020
BSJQ,,87612BBJ0,Targa Resources Partners LP / Targa Resources Partners Finan,5.88,04/15/2026,04/12/2018,04/15/2021,BB/Ba3,"520,000",539396.0,0.96,10/09/2020
BSJQ,,87264AAU9,T-Mobile USA Inc,4.50,02/01/2026,01/25/2018,02/01/2021,BB/Ba3,"522,000",538965.0,0.95,10/09/2020
BSJQ,,674599DC6,Occidental Petroleum Corp,5.55,03/15/2026,09/18/2019,12/15/2025,BB+/Ba2,"572,000",535632.24,0.95,10/09/2020
BSJQ,,410345AL6,Hanesbrands Inc,4.88,05/15/2026,05/06/2016,02/15/2026,BB/Ba3,"469,000",509697.48,0.90,10/09/2020
BSJQ,,893647BB2,TransDigm Inc,6.38,06/15/2026,02/23/2017,06/15/2021,B-/B3,"497,000",502901.88,0.89,10/09/2020
BSJQ,,674599CH6,Occidental Petroleum Corp,3.40,04/15/2026,04/04/2016,01/15/2026,BB+/Ba2,"607,000",502292.5,0.89,10/09/2020
BSJQ,,382550BF7,Goodyear Tire & Rubber Co/The,5.00,05/31/2026,05/13/2016,05/31/2021,B+/B2,"471,000",480090.3,0.85,10/09/2020
BSJQ,,845467AM1,Southwestern Energy Co,7.50,04/01/2026,09/25/2017,04/01/2021,BB-/Ba3,"476,000",479272.5,0.85,10/09/2020
BSJQ,,185899AG6,Cleveland-Cliffs Inc,6.75,03/15/2026,03/13/2020,03/15/2022,B/Ba3,"440,000",461450.0,0.82,10/09/2020
BSJQ,,513272AB0,Lamb Weston Holdings Inc,4.88,11/01/2026,11/09/2016,11/01/2021,BB+/Ba2,"432,000",454712.4,0.81,10/09/2020
BSJQ,,058498AV8,Ball Corp,4.88,03/15/2026,03/09/2018,12/15/2025,BB+/Ba1,"396,000",450133.2,0.80,10/09/2020
BSJQ,,428102AC1,Hess Midstream Operations LP,5.62,02/15/2026,12/16/2019,02/15/2021,BB+/NR,"417,000",428206.88,0.76,10/09/2020
BSJQ,,527298BM4,Level 3 Financing Inc,5.25,03/15/2026,03/23/2017,03/15/2021,BB/Ba3,"404,000",419655.0,0.74,10/09/2020
BSJQ,,92769XAM7,Virgin Media Secured Finance PLC,5.50,08/15/2026,04/26/2016,08/15/2021,BB-/Ba3,"390,000",407891.25,0.72,10/09/2020
BSJQ,,57165PAB1,Marriott Ownership Resorts Inc / ILG LLC,6.50,09/15/2026,06/25/2019,09/15/2021,B/B1,"393,000",406707.84,0.72,10/09/2020
BSJQ,,103304BM2,Boyd Gaming Corp,6.38,04/01/2026,02/10/2017,04/01/2021,B-/Caa1,"389,000",405586.96,0.72,10/09/2020
BSJQ,,69327RAJ0,PDC Energy Inc,5.75,05/15/2026,07/25/2018,05/15/2021,BB/Ba3,"417,000",401362.5,0.71,10/09/2020
BSJQ,,030981AJ3,AmeriGas Partners LP / AmeriGas Finance Corp,5.88,08/20/2026,06/27/2016,05/20/2026,NR/Ba3,"358,000",396418.77,0.70,10/09/2020
BSJQ,,50168AAB6,LABL Escrow Issuer LLC,6.75,07/15/2026,07/01/2019,07/15/2022,B/B2,"368,000",395922.0,0.70,10/09/2020
BSJQ,,30257WAA4,FAGE International SA / FAGE USA Dairy Industry Inc,5.62,08/15/2026,08/03/2016,08/15/2021,B+/B2,"400,000",389424.0,0.69,10/09/2020
BSJQ,,389375AJ5,Gray Television Inc,5.88,07/15/2026,06/14/2016,07/15/2021,B+/B3,"369,000",385374.38,0.68,10/09/2020
BSJQ,,87422VAE8,Talen Energy Supply LLC,10.50,01/15/2026,11/29/2017,01/15/2022,CCC+/B3,"516,000",383338.98,0.68,10/09/2020
BSJQ,,103304BQ3,Boyd Gaming Corp,6.00,08/15/2026,08/10/2018,08/15/2021,B-/Caa1,"361,000",379010.29,0.67,10/09/2020
BSJQ,,98310WAS7,Wyndham Destinations Inc,6.62,07/31/2026,07/24/2020,04/30/2026,BB-/Ba3,"350,000",375156.25,0.66,10/09/2020
BSJQ,,94107JAA1,Waste Pro USA Inc,5.50,02/15/2026,02/01/2018,02/15/2021,B/Caa1,"361,000",369268.71,0.65,10/09/2020
BSJQ,,205768AR5,Comstock Resources Inc,9.75,08/15/2026,06/23/2020,08/15/2021,B/Caa1,"350,000",368655.0,0.65,10/09/2020
BSJQ,,97789LAB2,Wolverine Escrow LLC,9.00,11/15/2026,11/27/2019,11/15/2022,CCC+/Caa3,"456,000",365655.0,0.65,10/09/2020
BSJQ,,72431PAA0,Cornerstone Building Brands Inc,8.00,04/15/2026,04/12/2018,04/15/2021,B-/Caa1,"341,000",361246.88,0.64,10/09/2020
BSJQ,,904311AA5,Under Armour Inc,3.25,06/15/2026,06/13/2016,03/15/2026,BB/B1,"374,000",359741.25,0.64,10/09/2020
BSJQ,,88827AAA1,Titan Acquisition Ltd / Titan Co-Borrower LLC,7.75,04/15/2026,03/28/2018,04/15/2021,CCC/Caa2,"336,000",339360.0,0.60,10/09/2020
BSJQ,,20451RAA0,Compass Group Diversified Holdings LLC,8.00,05/01/2026,04/18/2018,05/01/2021,B/B1,"318,000",336622.08,0.60,10/09/2020
BSJQ,,45569LAA9,Indigo Natural Resources LLC,6.88,02/15/2026,02/06/2018,02/15/2021,BB-/B3,"338,000",333775.0,0.59,10/09/2020
BSJQ,,024747AE7,American Builders & Contractors Supply Co Inc,5.88,05/15/2026,05/11/2018,05/15/2021,B+/B3,"318,000",332906.25,0.59,10/09/2020
BSJQ,,897051AA6,Tronox Inc,6.50,04/15/2026,04/06/2018,04/15/2021,B/B3,"323,000",330067.24,0.58,10/09/2020
BSJQ,,013822AB7,Alcoa Nederland Holding BV,7.00,09/30/2026,09/27/2016,09/30/2021,BB+/Ba1,"310,000",329181.25,0.58,10/09/2020
BSJQ,,88023UAG6,Tempur Sealy International Inc,5.50,06/15/2026,10/14/2016,06/15/2021,BB-/B1,"311,000",325966.88,0.58,10/09/2020
BSJQ,,056623AA9,Baffinland Iron Mines Corp / Baffinland Iron Mines LP,8.75,07/15/2026,06/27/2018,07/15/2021,B-/Caa1,"302,000",316289.13,0.56,10/09/2020
BSJQ,,031921AA7,AmWINS Group Inc,7.75,07/01/2026,07/06/2018,07/01/2021,B-/B3,"284,000",307021.04,0.54,10/09/2020
BSJQ,,29362UAB0,Entegris Inc,4.62,02/10/2026,11/10/2017,11/10/2020,BB/Ba2,"293,000",305953.53,0.54,10/09/2020
BSJQ,,36740LAA0,Gates Global LLC / Gates Corp,6.25,01/15/2026,11/22/2019,01/15/2022,B/Caa1,"293,000",305575.56,0.54,10/09/2020
