Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJR,,65343HAA9,Nexstar Broadcasting Inc,5.62,07/15/2027,07/03/2019,07/15/2022,B/B3,"518,000",554260.0,2.83,10/09/2020
BSJR,,98954NAA7,Ziggo BV,5.50,01/15/2027,09/23/2016,01/15/2022,B+/B1,"505,000",537153.35,2.74,10/09/2020
BSJR,,88033GDA5,Tenet Healthcare Corp,5.12,11/01/2027,08/26/2019,11/01/2022,BB-/B1,"405,000",429300.0,2.19,10/09/2020
BSJR,,98919VAA3,Zayo Group Holdings Inc,4.00,03/01/2027,03/09/2020,03/01/2021,B/B1,"425,000",423429.63,2.16,10/09/2020
BSJR,,013092AC5,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Alber,4.62,01/15/2027,11/22/2019,01/15/2023,BB-/B2,"400,000",419578.0,2.14,10/09/2020
BSJR,,92840VAF9,Vistra Operations Co LLC,5.00,07/31/2027,06/21/2019,07/31/2022,BB+/Ba2,"363,000",387139.5,1.97,10/09/2020
BSJR,,69346VAA7,Performance Food Group Inc,5.50,10/15/2027,09/27/2019,10/15/2022,B/B2,"365,000",382742.65,1.95,10/09/2020
BSJR,,42704LAA2,Herc Holdings Inc,5.50,07/15/2027,07/09/2019,07/15/2022,B+/B3,"338,000",358280.0,1.83,10/09/2020
BSJR,,18453HAA4,Clear Channel Worldwide Holdings Inc,5.12,08/15/2027,08/23/2019,08/15/2022,B/B1,"357,000",357000.0,1.82,10/09/2020
BSJR,,364760AN8,Gap Inc/The,8.88,05/15/2027,05/07/2020,05/15/2023,BB/Ba2,"300,000",346125.0,1.76,10/09/2020
BSJR,,26884LAF6,EQT Corp,3.90,10/01/2027,10/04/2017,07/01/2027,BB-/Ba3,"339,000",331160.63,1.69,10/09/2020
BSJR,,46284VAC5,Iron Mountain Inc,4.88,09/15/2027,09/18/2017,09/15/2022,BB-/Ba3,"308,000",318904.74,1.63,10/09/2020
BSJR,,552704AE8,MEG Energy Corp,7.12,02/01/2027,01/31/2020,02/01/2023,B-/B3,"345,000",316530.6,1.61,10/09/2020
BSJR,,12674TAA4,C&W Senior Financing DAC,6.88,09/15/2027,08/16/2017,09/15/2022,B+/B2,"300,000",314250.0,1.60,10/09/2020
BSJR,,00774CAB3,AECOM,5.12,03/15/2027,06/26/2017,12/15/2026,BB/Ba3,"268,000",297718.52,1.52,10/09/2020
BSJR,,019576AB3,Allied Universal Holdco LLC / Allied Universal Finance Corp,9.75,07/15/2027,07/12/2019,07/15/2022,CCC/Caa2,"268,000",295805.0,1.51,10/09/2020
BSJR,,88146LAA1,Terrier Media Buyer Inc,8.88,12/15/2027,12/17/2019,12/15/2022,CCC+/Caa1,"280,000",285425.0,1.46,10/09/2020
BSJR,,451102BZ9,Icahn Enterprises LP / Icahn Enterprises Finance Corp,5.25,05/15/2027,03/09/2020,11/15/2026,BB+/Ba3,"270,000",284681.25,1.45,10/09/2020
BSJR,,78410GAC8,SBA Communications Corp,3.88,02/15/2027,02/04/2020,02/15/2023,BB-/B1,"270,000",279139.5,1.42,10/09/2020
BSJR,,103304BU4,Boyd Gaming Corp,4.75,12/01/2027,08/14/2020,12/01/2022,B-/Caa1,"270,000",267181.2,1.36,10/09/2020
BSJR,,98954UAB9,Ziggo Bond Co BV,6.00,01/15/2027,09/23/2016,01/15/2022,B-/B3,"250,000",262656.25,1.34,10/09/2020
BSJR,,03969AAR1,Ardagh Packaging Finance PLC / Ardagh Holdings USA Inc,5.25,08/15/2027,06/02/2020,08/15/2022,B/Caa1,"250,000",260175.0,1.33,10/09/2020
BSJR,,538034AR0,Live Nation Entertainment Inc,4.75,10/15/2027,10/17/2019,10/15/2022,B/B3,"270,000",254897.55,1.30,10/09/2020
BSJR,,72147KAE8,Pilgrim's Pride Corp,5.88,09/30/2027,09/29/2017,09/30/2022,BB/B1,"227,000",242606.25,1.24,10/09/2020
BSJR,,55303XAJ4,MGM Growth Properties Operating Partnership LP / MGP Finance,5.75,02/01/2027,01/06/2020,11/01/2026,BB-/NR,"215,000",236027.0,1.20,10/09/2020
BSJR,,983130AX3,Wynn Las Vegas LLC / Wynn Las Vegas Capital Corp,5.25,05/15/2027,05/11/2017,02/15/2027,BB-/B1,"243,000",231128.24,1.18,10/09/2020
BSJR,,345397A45,Ford Motor Credit Co LLC,4.27,01/09/2027,01/09/2020,11/09/2026,BB+/Ba2,"225,000",226406.25,1.15,10/09/2020
BSJR,,538034AV1,Live Nation Entertainment Inc,6.50,05/15/2027,05/20/2020,05/15/2023,BB-/B1,"200,000",218256.0,1.11,10/09/2020
BSJR,,91740PAF5,USA Compression Partners LP / USA Compression Finance Corp,6.88,09/01/2027,12/17/2019,09/01/2022,B+/B3,"215,000",217861.65,1.11,10/09/2020
BSJR,,92564RAD7,VICI Properties LP / VICI Note Co Inc,3.75,02/15/2027,02/05/2020,02/15/2023,BB/Ba3,"215,000",216982.3,1.11,10/09/2020
BSJR,,87612BBL5,Targa Resources Partners LP / Targa Resources Partners Finan,6.50,07/15/2027,01/17/2019,07/15/2022,BB/Ba3,"202,000",214625.0,1.09,10/09/2020
BSJR,,44055PAA4,Horizon Therapeutics USA Inc,5.50,08/01/2027,07/16/2019,08/01/2022,B+/Ba3,"200,000",213838.0,1.09,10/09/2020
BSJR,,20338HAB9,CommScope Technologies LLC,5.00,03/15/2027,03/13/2017,03/15/2022,CCC+/B3,"215,000",206803.13,1.05,10/09/2020
BSJR,,835898AH0,Sotheby's,7.38,10/15/2027,10/02/2019,10/15/2022,B+/B1,"200,000",205658.0,1.05,10/09/2020
