Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSJS,,852060AD4,Sprint Capital Corp,6.88,11/15/2028,11/16/1998,N/A,BB/B1,"260,000",334912.5,4.57,10/09/2020
BSJS,,64110LAT3,Netflix Inc,5.88,11/15/2028,04/26/2018,N/A,BB/Ba3,"185,000",226530.65,3.09,10/09/2020
BSJS,,02156LAC5,Altice France SA/France,5.50,01/15/2028,09/27/2019,09/15/2022,B/B2,"200,000",207250.0,2.83,10/09/2020
BSJS,,02156TAA2,Altice France Holding SA,6.00,02/15/2028,02/06/2020,02/15/2023,CCC+/Caa1,"200,000",196629.0,2.68,10/09/2020
BSJS,,404121AJ4,HCA Inc,5.62,09/01/2028,08/23/2018,03/01/2028,BB-/Ba2,"150,000",176370.75,2.40,10/09/2020
BSJS,,911365BG8,United Rentals North America Inc,4.88,01/15/2028,08/11/2017,01/15/2023,BB-/Ba3,"160,000",171800.0,2.34,10/09/2020
BSJS,,131347CN4,Calpine Corp,5.12,03/15/2028,12/27/2019,03/15/2023,B+/B2,"140,000",146848.1,2.00,10/09/2020
BSJS,,131347CM6,Calpine Corp,4.50,02/15/2028,12/20/2019,02/15/2023,BB+/Ba2,"125,000",130800.0,1.78,10/09/2020
BSJS,,74166MAE6,Prime Security Services Borrower LLC / Prime Finance Inc,6.25,01/15/2028,01/28/2020,01/15/2023,B-/B3,"125,000",130292.5,1.78,10/09/2020
BSJS,,65342RAD2,NFP Corp,6.88,08/15/2028,08/10/2020,08/15/2023,CCC+/Caa2,"120,000",123574.8,1.68,10/09/2020
BSJS,,527298BR3,Level 3 Financing Inc,4.25,07/01/2028,06/15/2020,07/01/2023,BB/Ba3,"120,000",122670.0,1.67,10/09/2020
BSJS,,071734AH0,Bausch Health Cos Inc,5.00,01/30/2028,12/30/2019,01/30/2023,B/B3,"120,000",121125.6,1.65,10/09/2020
BSJS,,038522AQ1,Aramark Services Inc,5.00,02/01/2028,01/18/2018,02/01/2023,B+/B1,"115,000",118018.75,1.61,10/09/2020
BSJS,,98919VAB1,Zayo Group Holdings Inc,6.12,03/01/2028,03/09/2020,03/01/2023,CCC+/Caa1,"100,000",103672.0,1.41,10/09/2020
BSJS,,092174AA9,Black Knight InfoServ LLC,3.62,09/01/2028,08/26/2020,09/01/2023,B+/Ba3,"100,000",101812.5,1.39,10/09/2020
BSJS,,74840LAB8,Quicken Loans LLC,5.25,01/15/2028,12/08/2017,01/15/2023,BB/Ba1,"95,000",101234.38,1.38,10/09/2020
BSJS,,29260FAE0,Endeavor Energy Resources LP / EER Finance Inc,5.75,01/30/2028,12/07/2017,01/30/2023,BB-/B1,"95,000",99453.13,1.36,10/09/2020
BSJS,,737446AN4,Post Holdings Inc,5.62,01/15/2028,12/01/2017,12/01/2022,B+/B2,"90,000",96246.57,1.31,10/09/2020
BSJS,,87901JAE5,TEGNA Inc,4.62,03/15/2028,01/09/2020,03/15/2023,BB-/Ba3,"95,000",94762.5,1.29,10/09/2020
BSJS,,69331CAH1,PG&E Corp,5.00,07/01/2028,06/23/2020,07/01/2023,BB-/B1,"95,000",94463.25,1.29,10/09/2020
BSJS,,46284VAE1,Iron Mountain Inc,5.25,03/15/2028,12/27/2017,12/27/2022,BB-/Ba3,"90,000",94218.75,1.28,10/09/2020
BSJS,,037411BE4,Apache Corp,4.38,10/15/2028,08/23/2018,07/15/2028,BB+/Ba1,"95,000",90755.4,1.24,10/09/2020
BSJS,,26885BAC4,EQM Midstream Partners LP,5.50,07/15/2028,06/25/2018,04/15/2028,BB-/Ba3,"85,000",88793.55,1.21,10/09/2020
BSJS,,63861CAC3,Nationstar Mortgage Holdings Inc,5.50,08/15/2028,08/06/2020,08/15/2023,B/B2,"85,000",86646.88,1.18,10/09/2020
BSJS,,60855RAJ9,Molina Healthcare Inc,4.38,06/15/2028,06/02/2020,06/15/2023,BB-/Ba3,"80,000",83478.4,1.14,10/09/2020
BSJS,,28414HAG8,Elanco Animal Health Inc,5.90,08/28/2028,06/26/2019,05/28/2028,BB-/Ba2,"70,000",81243.75,1.11,10/09/2020
BSJS,,28035QAA0,Edgewell Personal Care Co,5.50,06/01/2028,05/22/2020,06/01/2023,BB/Ba3,"75,000",79791.38,1.09,10/09/2020
BSJS,,88104LAE3,TerraForm Power Operating LLC,5.00,01/31/2028,12/12/2017,07/31/2027,BB-/Ba3,"70,000",77656.25,1.06,10/09/2020
BSJS,,68245XAJ8,1011778 BC ULC / New Red Finance Inc,4.38,01/15/2028,11/19/2019,11/15/2022,B+/B2,"75,000",77479.5,1.06,10/09/2020
BSJS,,75041VAA2,Radiology Partners Inc,9.25,02/01/2028,01/31/2020,02/01/2023,CCC/Caa3,"70,000",74375.0,1.01,10/09/2020
BSJS,,47010LAA0,Jaguar Holding Co II / PPD Development LP,5.00,06/15/2028,06/05/2020,06/15/2023,B/B2,"70,000",74025.0,1.01,10/09/2020
BSJS,,203372AV9,CommScope Inc,7.12,07/01/2028,07/01/2020,07/01/2023,CCC+/B3,"70,000",72532.6,0.99,10/09/2020
BSJS,,80874YBC3,Scientific Games International Inc,7.00,05/15/2028,11/26/2019,05/15/2023,B-/Caa2,"70,000",71806.7,0.98,10/09/2020
BSJS,,70339PAA7,Pattern Energy Operations LP / Pattern Energy Operations Inc,4.50,08/15/2028,07/28/2020,08/15/2023,BB-/Ba3,"65,000",68453.13,0.93,10/09/2020
BSJS,,68752DAA6,Ortho-Clinical Diagnostics Inc / Ortho-Clinical Diagnostics,7.25,02/01/2028,01/27/2020,02/01/2023,CCC/Caa2,"65,000",68046.88,0.93,10/09/2020
BSJS,,552848AG8,MGIC Investment Corp,5.25,08/15/2028,08/12/2020,08/15/2023,BB+/Ba1,"65,000",68046.88,0.93,10/09/2020
BSJS,,25470XBB0,DISH DBS Corp,7.38,07/01/2028,09/29/2020,07/01/2023,B-/B2,"65,000",67843.75,0.93,10/09/2020
BSJS,,35671DCE3,Freeport-McMoRan Inc,4.12,03/01/2028,03/04/2020,03/01/2023,BB/Ba1,"65,000",67559.38,0.92,10/09/2020
BSJS,,345370BY5,Ford Motor Co,6.62,10/01/2028,09/30/1998,N/A,BB+/Ba2,"60,000",66225.0,0.90,10/09/2020
BSJS,,14739LAB8,Cascades Inc/Cascades USA Inc,5.38,01/15/2028,11/26/2019,01/15/2023,BB-/Ba3,"60,000",63412.5,0.86,10/09/2020
BSJS,,03966VAA5,Arconic Corp,6.12,02/15/2028,02/07/2020,02/15/2023,B+/Ba3,"60,000",63293.24,0.86,10/09/2020
BSJS,,29272WAC3,Energizer Holdings Inc,4.75,06/15/2028,07/01/2020,06/15/2023,B+/B2,"60,000",63234.0,0.86,10/09/2020
BSJS,,69318FAH1,PBF Holding Co LLC / PBF Finance Corp,6.00,02/15/2028,01/24/2020,02/15/2023,BB/B1,"95,000",62046.88,0.85,10/09/2020
BSJS,,827048AW9,Silgan Holdings Inc,4.12,02/01/2028,07/22/2020,10/01/2022,BB/Ba3,"60,000",61800.0,0.84,10/09/2020
BSJS,,576323AP4,MasTec Inc,4.50,08/15/2028,08/04/2020,08/15/2023,BB/Ba3,"60,000",61575.0,0.84,10/09/2020
BSJS,,857691AG4,Station Casinos LLC,4.50,02/15/2028,02/07/2020,02/15/2023,B-/Caa1,"65,000",61384.38,0.84,10/09/2020
BSJS,,417558AA1,Harvest Midstream I LP,7.50,09/01/2028,08/10/2020,09/01/2023,BB-/B1,"60,000",60750.0,0.83,10/09/2020
BSJS,,87422VAG3,Talen Energy Supply LLC,6.62,01/15/2028,07/08/2019,01/15/2023,BB-/Ba3,"60,000",58826.1,0.80,10/09/2020
BSJS,,85205TAK6,Spirit AeroSystems Inc,4.60,06/15/2028,05/30/2018,03/15/2028,CCC+/Caa1,"70,000",58475.55,0.80,10/09/2020
BSJS,,156686AM9,CenturyLink Inc,6.88,01/15/2028,01/15/1998,N/A,B+/B2,"50,000",56515.0,0.77,10/09/2020
BSJS,,00191UAA0,ASGN Inc,4.62,05/15/2028,11/22/2019,05/15/2023,BB-/Ba3,"55,000",56419.55,0.77,10/09/2020
BSJS,,428104AA1,Hess Midstream Operations LP,5.12,06/15/2028,12/10/2019,06/15/2023,BB+/Ba3,"55,000",55601.7,0.76,10/09/2020
BSJS,,98421MAB2,Xerox Holdings Corp,5.50,08/15/2028,08/06/2020,07/15/2028,BB/Ba1,"55,000",55515.63,0.76,10/09/2020
BSJS,,513272AC8,Lamb Weston Holdings Inc,4.88,05/15/2028,05/12/2020,11/15/2027,BB+/Ba2,"50,000",55468.75,0.76,10/09/2020
BSJS,,45232TAA9,Illuminate Buyer LLC / Illuminate Holdings IV Inc,9.00,07/01/2028,06/30/2020,07/01/2023,B-/Caa1,"50,000",54062.5,0.74,10/09/2020
BSJS,,432833AH4,Hilton Domestic Operating Co Inc,5.75,05/01/2028,04/21/2020,05/01/2023,BB/Ba2,"50,000",53468.75,0.73,10/09/2020
BSJS,,384701AA6,Graham Packaging Co Inc,7.12,08/15/2028,08/04/2020,08/15/2023,CCC+/Caa1,"50,000",52906.25,0.72,10/09/2020
BSJS,,57665RAN6,Match Group Holdings II LLC,4.62,06/01/2028,05/19/2020,06/01/2023,BB/Ba3,"50,000",52218.75,0.71,10/09/2020
BSJS,,879369AG1,Teleflex Inc,4.25,06/01/2028,05/27/2020,06/01/2023,BB/Ba3,"50,000",52187.5,0.71,10/09/2020
BSJS,,171484AE8,Churchill Downs Inc,4.75,01/15/2028,12/27/2017,01/15/2023,B+/B1,"50,000",52124.5,0.71,10/09/2020
BSJS,,69370CAC4,PTC Inc,4.00,02/15/2028,02/13/2020,02/15/2023,BB-/Ba3,"50,000",51843.75,0.71,10/09/2020
BSJS,,46284VAG6,Iron Mountain Inc,5.00,07/15/2028,06/22/2020,07/15/2023,BB-/Ba3,"50,000",51813.0,0.71,10/09/2020
BSJS,,14180LAA4,Cargo Aircraft Management Inc,4.75,02/01/2028,01/28/2020,02/01/2023,B+/Ba3,"50,000",51233.75,0.70,10/09/2020
BSJS,,38869AAB3,Graphic Packaging International LLC,3.50,03/15/2028,03/06/2020,N/A,BB+/Ba2,"50,000",50370.0,0.69,10/09/2020
BSJS,,98311AAB1,Wyndham Hotels & Resorts Inc,4.38,08/15/2028,08/13/2020,08/15/2023,B+/Ba2,"50,000",50343.75,0.69,10/09/2020
BSJS,,00119LAA9,AG Issuer LLC,6.25,03/01/2028,02/13/2020,03/01/2023,B-/B2,"50,000",50125.0,0.68,10/09/2020
BSJS,,501797AN4,L Brands Inc,5.25,02/01/2028,01/23/2018,N/A,B+/B2,"50,000",49656.25,0.68,10/09/2020
BSJS,,483007AJ9,Kaiser Aluminum Corp,4.62,03/01/2028,11/26/2019,03/01/2023,BB+/B1,"50,000",49415.5,0.67,10/09/2020
BSJS,,435765AH5,Holly Energy Partners LP / Holly Energy Finance Corp,5.00,02/01/2028,02/04/2020,02/01/2023,BB/B1,"50,000",49226.25,0.67,10/09/2020
BSJS,,45174HBG1,iHeartCommunications Inc,4.75,01/15/2028,11/22/2019,01/15/2023,B+/B1,"50,000",48334.5,0.66,10/09/2020
BSJS,,03959KAC4,Archrock Partners LP / Archrock Partners Finance Corp,6.25,04/01/2028,12/20/2019,04/01/2023,B+/B2,"50,000",47750.0,0.65,10/09/2020
BSJS,,00404AAN9,Acadia Healthcare Co Inc,5.50,07/01/2028,06/24/2020,07/01/2023,B-/B3,"45,000",47570.63,0.65,10/09/2020
BSJS,,125581GX0,CIT Group Inc,6.12,03/09/2028,03/09/2018,N/A,BB/Ba1,"40,000",47212.0,0.64,10/09/2020
BSJS,,29089QAC9,Emergent BioSolutions Inc,3.88,08/15/2028,08/07/2020,08/15/2023,BB-/Ba3,"45,000",45703.13,0.62,10/09/2020
BSJS,,81721MAM1,Diversified Healthcare Trust,4.75,02/15/2028,02/12/2018,08/15/2027,BB/Ba2,"50,000",44937.5,0.61,10/09/2020
BSJS,,667449AA0,Northwest Fiber LLC / Northwest Fiber Finance Sub Inc,10.75,06/01/2028,06/05/2020,06/01/2023,CCC/Caa1,"40,000",43800.0,0.60,10/09/2020
BSJS,,235825AG1,Dana Inc,5.62,06/15/2028,06/19/2020,06/15/2023,BB-/B2,"40,000",42296.6,0.58,10/09/2020
