Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSML,,79765RUT4,City of San Francisco CA Public Utilities Commission Water R,5.00,11/01/2037,08/04/2011,11/01/2021,AA-/Aa2,"600,000",630570.0,2.52,10/09/2020
BSML,,13063BNA6,State of California,5.25,09/01/2024,09/28/2011,09/01/2021,AA-/Aa2,"600,000",626532.0,2.50,10/09/2020
BSML,,403760JE2,Gwinnett County Water & Sewerage Authority,5.00,08/01/2024,07/01/2011,08/01/2021,AAA/Aaa,"510,000",529655.4,2.12,10/09/2020
BSML,,5446462X9,Los Angeles Unified School District/CA,5.00,07/01/2021,05/28/2015,N/A,A+/Aa3,"500,000",517295.0,2.07,10/09/2020
BSML,,64986DDC6,New York State Environmental Facilities Corp,5.00,06/15/2021,04/13/2017,N/A,AAA/Aaa,"500,000",516355.0,2.06,10/09/2020
BSML,,64971XDB1,New York City Transitional Finance Authority Future Tax Secu,5.00,05/01/2021,05/30/2018,N/A,AAA/Aa1,"500,000",513035.0,2.05,10/09/2020
BSML,,64971QAM5,New York City Transitional Finance Authority Future Tax Secu,5.00,02/01/2031,02/10/2011,02/01/2021,AAA/Aa1,"500,000",506975.0,2.03,10/09/2020
BSML,,73358WQK3,Port Authority of New York & New Jersey,5.00,12/01/2021,11/27/2013,N/A,A+/Aa3,"470,000",494910.0,1.98,10/09/2020
BSML,,64972F7M2,New York City Water & Sewer System,5.00,06/15/2021,06/28/2012,N/A,AA+/Aa1,"415,000",428491.65,1.71,10/09/2020
BSML,,794665FY0,Sales Tax Asset Receivable Corp,5.00,10/15/2021,10/15/2014,N/A,AA+/Aa2,"400,000",419556.0,1.68,10/09/2020
BSML,,575579E60,Massachusetts Bay Transportation Authority,4.00,12/01/2021,10/12/2017,N/A,AA/Aa3,"400,000",417344.0,1.67,10/09/2020
BSML,,040654TV7,Arizona Department of Transportation State Highway Fund Reve,5.00,07/01/2036,11/29/2011,07/01/2021,AA+/Aa2,"400,000",413864.0,1.65,10/09/2020
BSML,,04780TDR2,City of Atlanta GA Airport Passenger Facility Charge,5.00,07/01/2021,10/29/2019,N/A,A+/Aa3,"400,000",413572.0,1.65,10/09/2020
BSML,,442331T53,City of Houston TX,5.00,03/01/2021,12/13/2017,N/A,NR/Aa3,"400,000",407376.0,1.63,10/09/2020
BSML,,59259YTQ2,Metropolitan Transportation Authority,5.00,11/15/2021,09/28/2012,N/A,BBB+/A3,"400,000",407048.0,1.63,10/09/2020
BSML,,0524762F4,City of Austin TX Water & Wastewater System Revenue,5.00,11/15/2021,08/22/2017,N/A,AA/Aa2,"375,000",394773.75,1.58,10/09/2020
BSML,,469487CY6,City of Jacksonville FL,5.00,10/01/2021,09/16/2010,N/A,AA/A1,"355,000",371578.5,1.49,10/09/2020
BSML,,93978HDP7,Washington Health Care Facilities Authority,5.00,02/01/2041,11/10/2011,02/01/2021,BBB+/Baa1,"335,000",339703.4,1.36,10/09/2020
BSML,,59524KAB4,Mid-Bay Bridge Authority,7.25,10/01/2034,02/10/2011,10/01/2021,NR/NR,"300,000",320235.0,1.28,10/09/2020
BSML,,717893YC9,City of Philadelphia PA Water & Wastewater Revenue,5.00,01/01/2021,08/22/2013,N/A,A+/A1,"315,000",318071.25,1.27,10/09/2020
BSML,,68607DTJ4,State of Oregon Department of Transportation,5.00,11/15/2021,09/06/2017,N/A,AAA/Aa1,"300,000",315852.0,1.26,10/09/2020
BSML,,180848QK2,County of Clark NV,5.00,11/01/2021,03/03/2016,N/A,AA+/Aa1,"300,000",315285.0,1.26,10/09/2020
BSML,,2350365N6,Dallas Fort Worth International Airport,5.00,11/01/2021,08/01/2020,N/A,A/A1,"300,000",314862.0,1.26,10/09/2020
BSML,,213185FK2,County of Cook IL,5.25,11/15/2024,10/27/2011,11/15/2021,A+/A2,"300,000",314136.0,1.26,10/09/2020
BSML,,646136B91,New Jersey Transportation Trust Fund Authority,6.00,06/15/2035,05/12/2011,06/15/2021,BBB+/Baa1,"300,000",311760.0,1.25,10/09/2020
BSML,,20774U8A6,Connecticut State Health & Educational Facilities Authority,5.38,07/01/2041,07/13/2011,07/01/2021,A-/NR,"300,000",311202.0,1.24,10/09/2020
BSML,,1994915V9,City of Columbus OH,5.00,07/01/2021,03/21/2012,N/A,AAA/Aaa,"300,000",310422.0,1.24,10/09/2020
BSML,,917542UX8,State of Utah,5.00,07/01/2021,02/28/2018,N/A,AAA/Aaa,"300,000",310422.0,1.24,10/09/2020
BSML,,70914PTD4,Commonwealth of Pennsylvania,5.00,07/01/2021,08/09/2012,N/A,A+/Aa3,"300,000",310311.0,1.24,10/09/2020
BSML,,97705LY68,State of Wisconsin,3.00,05/01/2026,11/01/2012,05/01/2021,AA/Aa1,"300,000",304608.0,1.22,10/09/2020
BSML,,92778VCM8,Virginia College Building Authority,5.00,02/01/2021,06/01/2016,N/A,AA+/Aa1,"300,000",304341.0,1.22,10/09/2020
BSML,,64971QJS3,New York City Transitional Finance Authority Future Tax Secu,5.00,02/01/2025,08/28/2002,02/01/2021,AAA/Aa1,"300,000",304230.0,1.22,10/09/2020
BSML,,604115CU7,Minnesota Public Facilities Authority,3.00,03/01/2021,03/03/2016,N/A,AAA/Aaa,"300,000",303273.0,1.21,10/09/2020
BSML,,45204EJX7,Illinois Finance Authority,5.00,01/01/2021,09/12/2016,N/A,AAA/NR,"300,000",303090.0,1.21,10/09/2020
BSML,,574193GZ5,State of Maryland,4.00,03/01/2026,03/15/2013,03/01/2021,AAA/Aaa,"265,000",268911.4,1.07,10/09/2020
BSML,,545909CG6,Loudoun County Economic Development Authority,5.00,06/01/2031,06/28/2011,06/01/2021,AA+/Aa1,"255,000",262509.75,1.05,10/09/2020
