Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMM,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"1,201,165",1201164.88,3.57,10/09/2020
BSMM,,64990GF72,New York State Dormitory Authority,5.00,10/01/2022,06/17/2020,N/A,AA/A1,"1,000,000",1095280.0,3.26,10/09/2020
BSMM,,725209JW1,City of Pittsburgh PA,5.00,09/01/2026,02/28/2012,09/01/2022,AA-/A1,"1,000,000",1090250.0,3.24,10/09/2020
BSMM,,64990FXK5,New York State Dormitory Authority,5.00,09/15/2022,10/15/2020,N/A,NR/Aa2,"1,000,000",1089225.0,3.24,10/09/2020
BSMM,,59334PEL7,County of Miami-Dade FL Transit System,5.00,07/01/2042,08/01/2012,07/01/2022,AA/A1,"1,000,000",1082260.0,3.22,10/09/2020
BSMM,,40727TCR3,County of Hamilton OH,5.00,06/01/2042,06/26/2012,06/01/2022,A-/A3,"1,000,000",1077410.0,3.21,10/09/2020
BSMM,,400653GQ8,Guam Power Authority,5.00,10/01/2030,10/18/2012,10/01/2022,AA/A2,"1,000,000",1075520.0,3.20,10/09/2020
BSMM,,79765RXP9,City of San Francisco CA Public Utilities Commission Water R,5.00,11/01/2043,06/07/2012,05/01/2022,AA-/Aa2,"1,000,000",1075090.0,3.20,10/09/2020
BSMM,,735389RL4,Port of Seattle WA,5.00,08/01/2031,03/14/2012,08/01/2022,A+/A1,"1,000,000",1073250.0,3.19,10/09/2020
BSMM,,797299GF5,San Diego Public Facilities Financing Authority,5.00,04/15/2037,07/03/2012,04/15/2022,AA-/NR,"1,000,000",1072930.0,3.19,10/09/2020
BSMM,,59334KHK7,Miami-Dade County Expressway Authority,5.00,07/01/2029,04/23/2013,07/01/2022,A/A3,"1,000,000",1071500.0,3.19,10/09/2020
BSMM,,5178405S9,Las Vegas Valley Water District,5.00,06/01/2037,07/31/2012,06/01/2022,AA/Aa1,"1,000,000",1067220.0,3.18,10/09/2020
BSMM,,650009ZA4,New York State Thruway Authority,5.00,01/01/2037,07/11/2012,01/01/2022,A/A1,"800,000",847040.0,2.52,10/09/2020
BSMM,,34153PQ84,State of Florida,4.00,06/01/2026,08/23/2012,06/01/2022,AAA/Aaa,"700,000",741937.0,2.21,10/09/2020
BSMM,,794665GC7,Sales Tax Asset Receivable Corp,5.00,10/15/2022,10/15/2014,N/A,AA+/Aa2,"600,000",658554.0,1.96,10/09/2020
BSMM,,64983QHV4,New York State Dormitory Authority,5.50,05/15/2022,06/15/2005,N/A,AA-/Aa3,"600,000",649932.0,1.93,10/09/2020
