Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMN,,544495ZW7,Los Angeles Department of Water & Power Power System Revenue,5.00,07/01/2029,06/04/2013,07/01/2023,AA-/Aa2,"540,000",607986.0,3.45,10/09/2020
BSMN,,13067WRQ7,State of California Department of Water Resources,5.00,12/01/2023,08/06/2020,N/A,AAA/Aa1,"500,000",575195.0,3.26,10/09/2020
BSMN,,46613P3C8,JEA Water & Sewer System Revenue,5.00,10/01/2023,12/21/2017,N/A,AA+/Aa3,"500,000",569725.0,3.23,10/09/2020
BSMN,,574193LE6,State of Maryland,4.00,08/01/2023,03/17/2015,N/A,AAA/Aaa,"500,000",553000.0,3.13,10/09/2020
BSMN,,64966L4Z1,City of New York NY,5.00,08/01/2023,03/10/2016,N/A,AA/Aa2,"445,000",500843.05,2.84,10/09/2020
BSMN,,07133AGN6,Battery Park City Authority,5.00,11/01/2025,10/23/2013,11/01/2023,NR/Aaa,"400,000",458612.0,2.60,10/09/2020
BSMN,,419792JY3,State of Hawaii,5.00,10/01/2023,04/14/2016,N/A,AA+/Aa2,"400,000",456420.0,2.59,10/09/2020
BSMN,,088281MK3,County of Bexar TX,5.00,06/15/2043,07/15/2013,06/15/2023,AAA/Aaa,"400,000",451092.0,2.56,10/09/2020
BSMN,,79062WAA6,St Joseph County Hospital Authority,4.00,08/15/2044,05/21/2013,08/15/2023,AA-/NR,"400,000",418180.0,2.37,10/09/2020
BSMN,,602366XZ4,City of Milwaukee WI,5.00,02/01/2023,02/08/2018,N/A,A/NR,"375,000",414187.5,2.35,10/09/2020
BSMN,,29270CJ30,Energy Northwest,5.00,07/01/2023,05/21/2015,N/A,AA-/Aa2,"300,000",338817.0,1.92,10/09/2020
BSMN,,57582RDL7,Commonwealth of Massachusetts,5.00,05/01/2023,05/07/2015,N/A,AA/Aa1,"300,000",336807.0,1.91,10/09/2020
BSMN,,235036R44,Dallas Fort Worth International Airport,5.25,11/01/2033,09/01/2013,11/01/2023,A/A1,"270,000",301965.3,1.71,10/09/2020
BSMN,,646039UK1,State of New Jersey,4.00,06/01/2028,05/23/2013,06/01/2023,A-/A3,"265,000",285447.4,1.62,10/09/2020
BSMN,,70914PB35,Commonwealth of Pennsylvania,5.00,09/15/2023,06/17/2016,N/A,A+/Aa3,"235,000",267068.1,1.51,10/09/2020
BSMN,,452152SW2,State of Illinois,5.25,07/01/2028,07/10/2013,07/01/2023,BBB-/Baa3,"250,000",260725.0,1.48,10/09/2020
BSMN,,91514ADX0,Board of Regents of the University of Texas System,5.00,08/15/2023,07/01/2016,N/A,AAA/Aaa,"200,000",227446.0,1.29,10/09/2020
BSMN,,938823BD2,State of Washington,5.00,09/01/2023,09/30/2013,N/A,AA/A2,"200,000",226504.0,1.28,10/09/2020
BSMN,,64990ACQ6,New York State Dormitory Authority,5.00,03/15/2023,10/23/2014,N/A,AA+/Aa2,"200,000",222456.0,1.26,10/09/2020
