Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMO,,2350364Z0,Dallas Fort Worth International Airport,5.00,11/01/2024,08/01/2020,N/A,A/A1,"500,000",589450.0,3.89,10/09/2020
BSMO,,650009B69,New York State Thruway Authority,5.00,01/01/2036,02/06/2014,01/01/2024,A/A1,"300,000",334077.0,2.21,10/09/2020
BSMO,,650035W79,New York State Urban Development Corp,5.00,03/15/2024,03/17/2016,N/A,AA+/Aa2,"275,000",317996.25,2.10,10/09/2020
BSMO,,914302CA0,University of Houston,5.00,02/15/2024,02/01/2017,N/A,AA/Aa2,"275,000",317174.0,2.09,10/09/2020
BSMO,,594615BD7,Michigan State Building Authority,5.00,04/15/2024,08/31/2015,N/A,AA-/Aa2,"225,000",262264.5,1.73,10/09/2020
BSMO,,13063CJG6,State of California,5.00,12/01/2024,03/27/2014,12/01/2023,AA-/Aa2,"225,000",258151.5,1.70,10/09/2020
BSMO,,833221WE0,Snohomish County School District No 201 Snohomish,5.00,12/01/2024,03/15/2016,N/A,AA+/Aaa,"200,000",238614.0,1.58,10/09/2020
BSMO,,64972GUL6,New York City Water & Sewer System,5.00,06/15/2026,07/17/2019,12/15/2024,AA+/Aa1,"200,000",237934.0,1.57,10/09/2020
BSMO,,13077CL69,California State University,5.00,11/01/2029,08/20/2014,11/01/2024,AA-/Aa2,"200,000",236398.0,1.56,10/09/2020
BSMO,,57582P7B0,Commonwealth of Massachusetts,5.00,08/01/2024,09/24/2014,N/A,AA/Aa1,"200,000",236112.0,1.56,10/09/2020
BSMO,,677522NZ3,State of Ohio,5.00,03/15/2033,01/25/2017,03/15/2024,AA+/Aa1,"205,000",235903.75,1.56,10/09/2020
BSMO,,70914PYQ9,Commonwealth of Pennsylvania,5.00,08/15/2024,06/16/2015,N/A,A+/Aa3,"200,000",235456.0,1.55,10/09/2020
BSMO,,5446465L2,Los Angeles Unified School District/CA,5.00,07/01/2024,05/25/2017,N/A,NR/Aa3,"200,000",235030.0,1.55,10/09/2020
BSMO,,64990CN72,New York State Dormitory Authority,5.00,10/01/2024,11/09/2017,N/A,NR/A1,"200,000",233050.0,1.54,10/09/2020
BSMO,,20774YRJ8,Connecticut State Health & Educational Facilities Authority,5.00,07/01/2024,06/23/2014,N/A,AA-/Aa3,"200,000",232606.0,1.54,10/09/2020
BSMO,,54473EQT4,Los Angeles County Public Works Financing Authority,5.00,12/01/2039,02/04/2015,12/01/2024,AA+/Aa2,"200,000",231464.0,1.53,10/09/2020
BSMO,,93974DDL9,State of Washington,5.00,02/01/2028,02/05/2014,02/01/2024,AA+/Aaa,"200,000",230688.0,1.52,10/09/2020
BSMO,,84247PHN4,Southern California Public Power Authority,5.00,07/01/2037,03/26/2014,07/01/2024,AA-/NR,"200,000",230054.0,1.52,10/09/2020
BSMO,,650035N53,New York State Urban Development Corp,5.00,03/15/2031,12/18/2014,03/15/2024,AA+/Aa2,"200,000",229708.0,1.52,10/09/2020
BSMO,,544495L36,Los Angeles Department of Water & Power Power System Revenue,5.00,07/01/2044,01/08/2015,07/01/2024,AA-/Aa2,"200,000",229186.0,1.51,10/09/2020
BSMO,,86476PTY4,County of Suffolk NY,4.00,02/01/2024,04/25/2017,N/A,AA/NR,"200,000",221762.0,1.46,10/09/2020
BSMO,,452152VW8,State of Illinois,5.25,02/01/2029,02/13/2014,02/01/2024,BBB-/Baa3,"210,000",220422.3,1.46,10/09/2020
BSMO,,57582RQV1,Commonwealth of Massachusetts,5.00,11/01/2024,10/26/2017,N/A,AA/Aa1,"175,000",208556.25,1.38,10/09/2020
BSMO,,70914PD82,Commonwealth of Pennsylvania,5.00,09/15/2024,08/19/2016,N/A,A+/Aa3,"175,000",206662.75,1.36,10/09/2020
BSMO,,040654WS0,Arizona Department of Transportation State Highway Fund Reve,5.00,07/01/2032,01/28/2015,07/01/2024,AA+/Aa1,"170,000",195950.5,1.29,10/09/2020
BSMO,,546589J52,Louisville and Jefferson County Metropolitan Sewer District,5.00,05/15/2024,08/29/2017,N/A,AA/Aa3,"150,000",175233.0,1.16,10/09/2020
BSMO,,29270CG25,Energy Northwest,5.00,07/01/2027,08/21/2014,07/01/2024,AA-/Aa2,"150,000",174877.5,1.15,10/09/2020
BSMO,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"174,397",174397.36,1.15,10/09/2020
BSMO,,167562PH4,Chicago Midway International Airport,5.00,01/01/2027,06/11/2014,01/01/2024,A-/A3,"150,000",168450.0,1.11,10/09/2020
BSMO,,010685JZ9,Alachua County Health Facilities Authority,4.00,12/01/2044,10/22/2014,12/01/2024,A/A3,"145,000",153817.45,1.02,10/09/2020
BSMO,,13063CYD6,State of California,5.00,09/01/2024,11/03/2015,N/A,AA-/Aa2,"125,000",147776.25,0.98,10/09/2020
BSMO,,66285WSC1,North Texas Tollway Authority,5.00,01/01/2024,06/01/2016,N/A,A+/A1,"125,000",143541.25,0.95,10/09/2020
BSMO,,13063DPR3,State of California,4.00,10/01/2024,09/17/2019,N/A,AA-/Aa2,"125,000",143316.25,0.95,10/09/2020
BSMO,,59333FPK0,County of Miami-Dade FL,5.00,07/01/2029,01/21/2015,07/01/2024,AA/Aa2,"110,000",128331.5,0.85,10/09/2020
BSMO,,13067WKS0,State of California Department of Water Resources,5.00,12/01/2026,10/30/2014,12/01/2024,AAA/NR,"100,000",119489.0,0.79,10/09/2020
BSMO,,882723SV2,State of Texas,5.00,10/01/2030,12/18/2014,10/01/2024,AAA/Aaa,"100,000",118680.0,0.78,10/09/2020
BSMO,,13063CLW8,State of California,5.00,10/01/2024,10/07/2014,N/A,AA-/Aa2,"100,000",118593.0,0.78,10/09/2020
BSMO,,70914PB43,Commonwealth of Pennsylvania,5.00,09/15/2024,06/17/2016,N/A,A+/Aa3,"100,000",118093.0,0.78,10/09/2020
BSMO,,59266TQV6,Metropolitan Water District of Southern California,5.00,07/01/2024,06/27/2019,N/A,AA+/NR,"100,000",117718.0,0.78,10/09/2020
BSMO,,373385DY6,State of Georgia,5.00,07/01/2024,07/18/2019,N/A,AAA/Aaa,"100,000",117718.0,0.78,10/09/2020
BSMO,,341507R78,State of Florida Lottery Revenue,5.00,07/01/2024,12/07/2017,N/A,AAA/Aa3,"100,000",117515.0,0.78,10/09/2020
BSMO,,13068LMK8,California State Public Works Board,5.00,09/01/2033,04/03/2014,09/01/2024,A+/Aa3,"100,000",116323.0,0.77,10/09/2020
BSMO,,717813WM7,City of Philadelphia PA,5.00,08/01/2024,05/14/2019,N/A,A/A2,"100,000",116157.0,0.77,10/09/2020
