Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMP,,70914PXB3,Commonwealth of Pennsylvania,5.00,03/15/2028,02/12/2015,03/15/2025,A+/Aa3,"500,000",596780.0,4.69,10/09/2020
BSMP,,79574CBB8,Salt River Project Agricultural Improvement & Power District,5.00,12/01/2045,06/02/2015,06/01/2025,AA+/Aa1,"500,000",591565.0,4.65,10/09/2020
BSMP,,45204EFK9,Illinois Finance Authority,5.00,02/15/2025,08/16/2016,N/A,AA+/Aa2,"475,000",564708.5,4.44,10/09/2020
BSMP,,545149JP2,Los Angeles County Sanitation Districts Financing Authority,5.00,10/01/2034,07/08/2015,10/01/2025,AA-/NR,"400,000",484476.0,3.81,10/09/2020
BSMP,,89602N4G6,Triborough Bridge & Tunnel Authority,5.00,11/15/2034,03/27/2008,11/15/2025,AA-/Aa3,"405,000",480577.05,3.78,10/09/2020
BSMP,,882854WR9,Texas Water Development Board,5.00,10/15/2030,11/04/2015,10/15/2025,AAA/NR,"305,000",371828.55,2.92,10/09/2020
BSMP,,64971WWQ9,New York City Transitional Finance Authority Future Tax Secu,5.00,08/01/2031,09/29/2015,08/01/2025,AAA/Aa1,"300,000",356955.0,2.81,10/09/2020
BSMP,,93974DY36,State of Washington,5.00,08/01/2025,12/20/2017,N/A,AA+/Aaa,"250,000",305615.0,2.40,10/09/2020
BSMP,,20772JA44,State of Connecticut,5.00,03/15/2028,03/25/2015,03/15/2025,A/A1,"210,000",246304.8,1.94,10/09/2020
BSMP,,65819GKX5,North Carolina Capital Facilities Finance Agency,5.00,10/01/2055,11/18/2015,10/01/2025,AA+/Aa1,"200,000",245504.0,1.93,10/09/2020
BSMP,,246381KQ9,State of Delaware,5.00,01/01/2025,12/14/2017,N/A,AAA/Aaa,"200,000",239878.0,1.89,10/09/2020
BSMP,,160429TZ9,City of Charleston SC Waterworks & Sewer System Revenue,5.00,01/01/2040,07/29/2015,01/01/2025,AAA/Aaa,"200,000",239518.0,1.88,10/09/2020
BSMP,,20772JA36,State of Connecticut,5.00,03/15/2027,03/25/2015,03/15/2025,A/A1,"200,000",235730.0,1.85,10/09/2020
BSMP,,64971WXJ4,New York City Transitional Finance Authority Future Tax Secu,5.00,11/01/2032,11/05/2015,11/01/2025,AAA/Aa1,"180,000",214770.6,1.69,10/09/2020
BSMP,,13080SLL6,California Statewide Communities Development Authority,5.00,02/01/2045,12/02/2015,08/01/2025,BB/NR,"200,000",197022.0,1.55,10/09/2020
BSMP,,438670Y62,City & County of Honolulu HI,5.00,10/01/2027,04/02/2015,10/01/2025,NR/Aa1,"150,000",182661.0,1.44,10/09/2020
BSMP,,047870NE6,City of Atlanta GA Water & Wastewater Revenue,5.00,11/01/2040,03/12/2015,05/01/2025,AA-/Aa2,"150,000",176518.5,1.39,10/09/2020
BSMP,,546475RE6,State of Louisiana Gasoline & Fuels Tax Revenue,5.00,05/01/2041,02/19/2015,05/01/2025,AA-/Aa2,"150,000",174093.0,1.37,10/09/2020
BSMP,,917567FA2,Utah Transit Authority,5.00,06/15/2037,02/25/2015,06/15/2025,NR/NR,"140,000",170633.4,1.34,10/09/2020
BSMP,,70914PB50,Commonwealth of Pennsylvania,5.00,09/15/2025,06/17/2016,N/A,A+/Aa3,"120,000",146641.2,1.15,10/09/2020
