Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMQ,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"1,963,614",1963613.95,10.29,10/09/2020
BSMQ,,13063CZ60,State of California,5.00,09/01/2032,09/13/2016,09/01/2026,AA-/Aa2,"420,000",517221.6,2.71,10/09/2020
BSMQ,,64972GKF0,New York City Water & Sewer System,5.00,06/15/2037,03/17/2016,12/15/2026,AA+/Aa1,"415,000",506789.7,2.65,10/09/2020
BSMQ,,914302CN2,University of Houston,5.00,02/15/2036,02/01/2017,02/15/2026,AA/Aa2,"395,000",466562.15,2.44,10/09/2020
BSMQ,,452152Q61,State of Illinois,5.00,11/01/2026,11/08/2017,N/A,BBB-/Baa3,"400,000",431084.0,2.26,10/09/2020
BSMQ,,59259RS47,Metropolitan Transportation Authority,5.25,11/15/2026,12/20/2006,N/A,AA/A2,"350,000",427570.5,2.24,10/09/2020
BSMQ,,57582RLK0,Commonwealth of Massachusetts,3.00,09/01/2046,09/01/2016,09/01/2026,AA/Aa1,"400,000",416428.0,2.18,10/09/2020
BSMQ,,57584YZK8,Massachusetts Development Finance Agency,5.00,10/15/2026,04/29/2020,N/A,AAA/Aaa,"300,000",381108.0,2.00,10/09/2020
BSMQ,,70914PZU9,Commonwealth of Pennsylvania,5.00,02/01/2029,06/17/2016,02/01/2026,A+/Aa3,"300,000",365571.0,1.92,10/09/2020
BSMQ,,645790FR2,New Jersey Health Care Facilities Financing Authority,5.00,07/01/2043,11/02/2016,07/01/2026,AA-/A1,"280,000",323579.2,1.70,10/09/2020
BSMQ,,13068LYZ2,California State Public Works Board,4.00,11/01/2032,10/13/2016,11/01/2026,A+/Aa3,"220,000",254804.0,1.33,10/09/2020
BSMQ,,249183YG3,City & County of Denver CO,5.38,06/01/2043,08/21/2018,06/01/2026,AA+/Aa2,"215,000",251534.95,1.32,10/09/2020
BSMQ,,97709TBS4,State of Wisconsin Environmental Improvement Fund Revenue,5.00,06/01/2026,09/13/2018,N/A,AAA/NR,"200,000",250998.0,1.31,10/09/2020
BSMQ,,8827234J5,State of Texas,5.00,04/01/2026,11/02/2016,N/A,AAA/Aaa,"200,000",249224.0,1.31,10/09/2020
BSMQ,,92778UBY5,Virginia Commonwealth Transportation Board,5.00,03/15/2026,12/07/2017,N/A,AA+/Aa1,"200,000",249034.0,1.30,10/09/2020
BSMQ,,91523NRL2,University of Washington,5.25,12/01/2046,11/09/2016,12/01/2026,AA+/Aaa,"200,000",240086.0,1.26,10/09/2020
BSMQ,,04048RQN9,Arizona State University,5.00,07/01/2042,09/14/2016,07/01/2026,AA/Aa2,"200,000",236804.0,1.24,10/09/2020
BSMQ,,64577BE26,New Jersey Economic Development Authority,5.00,11/01/2026,01/23/2017,N/A,BBB+/Baa1,"200,000",232754.0,1.22,10/09/2020
BSMQ,,15276PNC9,Central Unified School District,4.00,08/01/2048,12/12/2018,08/01/2026,NR/Aa3,"200,000",223840.0,1.17,10/09/2020
