Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMR,,938782FQ7,Washington Metropolitan Area Transit Authority,5.00,07/01/2035,08/17/2017,07/01/2027,AA-/NR,"600,000",731022.0,4.90,10/09/2020
BSMR,,3733846H4,State of Georgia,5.00,01/01/2027,11/17/2016,N/A,AAA/Aaa,"540,000",687468.6,4.61,10/09/2020
BSMR,,57584XMH1,Massachusetts Development Finance Agency,5.00,07/01/2027,05/12/2016,07/01/2026,A/A3,"465,000",563612.55,3.78,10/09/2020
BSMR,,44420RBE9,Hudson Yards Infrastructure Corp,5.00,02/15/2042,05/30/2017,02/15/2027,A+/Aa3,"450,000",516064.5,3.46,10/09/2020
BSMR,,13063DUH9,State of California,3.00,03/01/2027,04/22/2020,N/A,AA-/Aa2,"370,000",423860.9,2.84,10/09/2020
BSMR,,544525WJ3,Los Angeles Department of Water,5.00,07/01/2044,05/11/2017,01/01/2027,AA+/Aa2,"300,000",361695.0,2.42,10/09/2020
BSMR,,875301FP3,Tampa-Hillsborough County Expressway Authority,5.00,07/01/2047,09/07/2017,07/01/2027,A+/A2,"305,000",360933.95,2.42,10/09/2020
BSMR,,797258AE0,San Diego Association of Governments,1.80,11/15/2027,08/14/2019,11/15/2026,A-/NR,"250,000",255800.0,1.71,10/09/2020
BSMR,,79574CBS1,Salt River Project Agricultural Improvement & Power District,5.00,01/01/2027,12/01/2016,N/A,AA+/Aa1,"200,000",254618.0,1.71,10/09/2020
BSMR,,13063DPF9,State of California,5.00,04/01/2027,04/18/2019,N/A,AA-/Aa2,"200,000",254614.0,1.71,10/09/2020
BSMR,,3733846W1,State of Georgia,5.00,12/01/2027,11/17/2016,12/01/2026,AAA/Aaa,"200,000",252562.0,1.69,10/09/2020
BSMR,,60637AMZ2,Health & Educational Facilities Authority of the State of Mi,5.00,06/01/2027,11/08/2018,N/A,A+/A1,"200,000",250550.0,1.68,10/09/2020
BSMR,,769125GY5,Riverside County Transportation Commission,5.00,06/01/2038,12/28/2017,12/01/2027,AA+/NR,"200,000",249752.0,1.67,10/09/2020
BSMR,,54466HFC5,Los Angeles County Metropolitan Transportation Authority,5.00,07/01/2042,02/08/2017,07/01/2027,AAA/Aa1,"200,000",244044.0,1.64,10/09/2020
BSMR,,64990FKJ2,New York State Dormitory Authority,5.00,03/15/2027,06/28/2019,N/A,NR/Aa2,"195,000",243985.95,1.64,10/09/2020
BSMR,,44420RBD1,Hudson Yards Infrastructure Corp,5.00,02/15/2039,05/30/2017,02/15/2027,A+/Aa3,"200,000",231000.0,1.55,10/09/2020
BSMR,,8827237B9,State of Texas,5.00,10/01/2033,02/01/2017,10/01/2027,AAA/Aaa,"175,000",220783.5,1.48,10/09/2020
BSMR,,167486ZY8,City of Chicago IL,6.00,01/01/2038,02/01/2017,01/01/2027,BBB+/NR,"200,000",217432.0,1.46,10/09/2020
BSMR,,59261ANK9,Metropolitan Transportation Authority,5.00,11/15/2027,09/28/2017,N/A,BBB+/A3,"205,000",216389.8,1.45,10/09/2020
BSMR,,452152P96,State of Illinois,5.00,11/01/2027,11/08/2017,N/A,BBB-/Baa3,"200,000",216382.0,1.45,10/09/2020
BSMR,,297667BA4,Etiwanda School District,5.00,08/01/2046,05/31/2017,02/01/2027,AA-/Aa2,"180,000",213802.2,1.43,10/09/2020
BSMR,,915217WN9,University of Virginia,5.00,04/01/2039,02/22/2017,04/01/2027,AAA/Aaa,"160,000",196064.0,1.31,10/09/2020
BSMR,,79625GAE3,City of San Antonio TX Electric & Gas Systems Revenue,5.00,02/01/2027,11/01/2018,N/A,AA/Aa1,"150,000",190657.5,1.28,10/09/2020
BSMR,,64990FWX8,New York State Dormitory Authority,5.00,02/15/2041,10/13/2017,08/15/2027,AA+/Aa2,"150,000",180886.5,1.21,10/09/2020
BSMR,,13032UMR6,California Health Facilities Financing Authority,5.00,11/01/2027,05/03/2017,N/A,AA-/NR,"135,000",173211.75,1.16,10/09/2020
BSMR,,64990FAZ7,New York State Dormitory Authority,5.00,02/15/2032,07/13/2017,02/15/2027,AA+/Aa2,"140,000",171435.6,1.15,10/09/2020
BSMR,,353202FL3,County of Franklin OH,4.00,12/01/2046,01/19/2017,06/01/2027,AA-/Aa3,"145,000",159292.65,1.07,10/09/2020
BSMR,,088023MX1,Beverly Hills Unified School District CA,3.00,08/01/2044,06/27/2019,08/01/2027,AA+/Aaa,"150,000",159075.0,1.07,10/09/2020
BSMR,,70914PK27,Commonwealth of Pennsylvania,5.00,01/01/2027,11/16/2017,N/A,A+/Aa3,"125,000",157740.0,1.06,10/09/2020
BSMR,,900190HY8,Turlock Irrigation District,5.00,01/01/2046,10/04/2016,01/01/2027,AA-/NR,"130,000",154693.5,1.04,10/09/2020
BSMR,,040588H24,State of Arizona,5.00,10/01/2027,07/09/2019,N/A,AA-/Aa2,"100,000",128766.0,0.86,10/09/2020
BSMR,,5742182Q5,Maryland Health & Higher Educational Facilities Authority,5.00,05/15/2045,06/29/2017,05/15/2027,A/A2,"110,000",126927.9,0.85,10/09/2020
BSMR,,625482GX6,Multnomah & Clackamas Counties School District No 10JT Gresh,5.00,06/15/2031,02/28/2017,06/15/2027,AA+/Aa1,"100,000",125856.0,0.84,10/09/2020
BSMR,,70914PE32,Commonwealth of Pennsylvania,5.00,09/15/2027,08/19/2016,09/15/2026,A+/Aa3,"100,000",124689.0,0.84,10/09/2020
BSMR,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"124,646",124646.48,0.84,10/09/2020
BSMR,,5464152C3,State of Louisiana,5.00,08/01/2027,04/28/2016,08/01/2026,AA-/NR,"100,000",124236.0,0.83,10/09/2020
BSMR,,91802REK1,Utility Debt Securitization Authority,5.00,12/15/2039,11/21/2017,12/15/2027,AAA/Aaa,"100,000",124039.0,0.83,10/09/2020
BSMR,,64971W6Y1,New York City Transitional Finance Authority Future Tax Secu,5.00,05/01/2036,06/29/2017,05/01/2027,AAA/Aa1,"100,000",121954.0,0.82,10/09/2020
BSMR,,89952PFD2,Tulsa County Industrial Authority,5.00,09/01/2027,03/07/2019,N/A,AA-/NR,"95,000",121126.9,0.81,10/09/2020
BSMR,,73358WP57,Port Authority of New York & New Jersey,5.25,11/15/2057,08/17/2017,11/15/2027,A+/Aa3,"100,000",119563.0,0.80,10/09/2020
BSMR,,914233L41,University of Connecticut,5.00,01/15/2033,01/19/2017,01/15/2027,A+/A1,"100,000",119506.0,0.80,10/09/2020
BSMR,,64577BC85,New Jersey Economic Development Authority,5.00,11/01/2027,01/23/2017,N/A,BBB+/Baa1,"100,000",117995.0,0.79,10/09/2020
BSMR,,368497HP1,Geisinger Authority,5.00,02/15/2045,05/09/2017,02/15/2027,AA-/A1,"100,000",117453.0,0.79,10/09/2020
BSMR,,59259N6Q1,Metropolitan Transportation Authority,5.00,11/15/2047,02/23/2017,05/15/2027,AA/NR,"100,000",114525.0,0.77,10/09/2020
BSMR,,41422EFR9,Metropolitan Transit Authority of Harris County Sales & Use,5.00,11/01/2027,04/27/2016,11/01/2026,AAA/Aa2,"90,000",114353.1,0.77,10/09/2020
