Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMS,,544525YH5,Los Angeles Department of Water,5.00,07/01/2043,11/29/2018,07/01/2028,AA+/Aa2,"200,000",249734.0,4.96,10/09/2020
BSMS,,709221VF9,Pennsylvania Turnpike Commission,5.00,12/01/2048,06/05/2018,12/01/2028,NR/Aa3,"200,000",246374.0,4.89,10/09/2020
BSMS,,6461364X6,New Jersey Transportation Trust Fund Authority,5.25,06/15/2043,01/16/2019,12/15/2028,BBB+/Baa1,"200,000",228122.0,4.53,10/09/2020
BSMS,,576000WD1,Massachusetts School Building Authority,4.00,02/15/2043,02/15/2018,02/15/2028,AA/Aa3,"200,000",226654.0,4.50,10/09/2020
BSMS,,64972GSK1,New York City Water & Sewer System,4.00,06/15/2049,01/24/2019,06/15/2028,AA+/Aa1,"200,000",223422.0,4.44,10/09/2020
BSMS,,45506DR80,Indiana Finance Authority,5.00,02/01/2033,10/24/2018,02/01/2028,AAA/Aaa,"175,000",222290.25,4.41,10/09/2020
BSMS,,956622N91,West Virginia Hospital Finance Authority,4.00,06/01/2051,07/11/2018,06/01/2028,A/A2,"200,000",220218.0,4.37,10/09/2020
BSMS,,79574CCW1,Salt River Project Agricultural Improvement & Power District,5.00,01/01/2037,11/21/2017,01/01/2028,AA+/Aa1,"175,000",218531.25,4.34,10/09/2020
BSMS,,574193QU5,State of Maryland,5.00,08/01/2031,08/15/2018,08/01/2028,AAA/Aaa,"125,000",161698.75,3.21,10/09/2020
BSMS,,447819EL3,Hurst-Euless-Bedford Independent School District,5.00,08/15/2028,09/01/2017,08/15/2027,AA+/NR,"120,000",153308.4,3.04,10/09/2020
BSMS,,64990C7N5,New York State Dormitory Authority,5.00,07/01/2039,05/17/2018,07/01/2028,AA-/Aa2,"120,000",146306.4,2.90,10/09/2020
BSMS,,13080SWK6,California Statewide Communities Development Authority,4.00,03/01/2048,09/27/2018,03/01/2028,A/NR,"120,000",131901.6,2.62,10/09/2020
BSMS,,13063DPG7,State of California,5.00,04/01/2028,04/18/2019,N/A,AA-/Aa2,"100,000",129971.0,2.58,10/09/2020
BSMS,,64971XRP5,New York City Transitional Finance Authority Future Tax Secu,5.00,11/01/2028,09/01/2020,N/A,AAA/Aa1,"100,000",129845.0,2.58,10/09/2020
BSMS,,20772KHC6,State of Connecticut,5.00,02/15/2028,08/07/2019,N/A,A/A1,"100,000",127969.0,2.54,10/09/2020
BSMS,,29270CU52,Energy Northwest,5.00,07/01/2028,05/03/2017,07/01/2027,AA-/Aa2,"100,000",127696.0,2.53,10/09/2020
BSMS,,914767AC2,University of Oregon,5.00,04/01/2048,01/24/2018,04/01/2028,AA-/Aa2,"105,000",126177.45,2.50,10/09/2020
BSMS,,838530RJ4,South Jersey Port Corp,5.00,01/01/2049,12/05/2017,01/01/2028,NR/Baa1,"115,000",125478.8,2.49,10/09/2020
BSMS,,73358WW26,Port Authority of New York & New Jersey,5.00,07/15/2036,05/04/2018,07/15/2028,A+/Aa3,"100,000",122306.0,2.43,10/09/2020
BSMS,,64990AJA4,New York State Dormitory Authority,5.00,03/15/2045,03/23/2018,03/15/2028,AA+/Aa2,"100,000",119823.0,2.38,10/09/2020
BSMS,,13077DEX6,California State University,5.00,11/01/2043,08/02/2018,11/01/2028,AA-/Aa2,"95,000",119016.0,2.36,10/09/2020
BSMS,,57585JVZ1,Massachusetts Health & Educational Facilities Authority,5.20,01/01/2028,01/15/1998,N/A,AAA/Aaa,"90,000",118999.8,2.36,10/09/2020
BSMS,,79765R2H1,City of San Francisco CA Public Utilities Commission Water R,5.00,11/01/2028,12/28/2017,11/01/2027,AA-/Aa2,"85,000",110208.45,2.19,10/09/2020
BSMS,,64966MZN2,City of New York NY,5.00,04/01/2033,04/19/2018,04/01/2028,AA/Aa2,"90,000",109937.7,2.18,10/09/2020
BSMS,,362848UA9,City of Gainesville FL Utilities System Revenue,5.00,10/01/2028,11/07/2017,10/01/2027,AA-/Aa3,"85,000",108913.05,2.16,10/09/2020
BSMS,,452152Q20,State of Illinois,5.00,11/01/2028,11/08/2017,11/01/2027,BBB-/Baa3,"100,000",107228.0,2.13,10/09/2020
BSMS,,64971XDK1,New York City Transitional Finance Authority Future Tax Secu,5.00,05/01/2036,05/30/2018,05/01/2028,AAA/Aa1,"75,000",91744.5,1.82,10/09/2020
BSMS,,92778UCC2,Virginia Commonwealth Transportation Board,5.00,03/15/2028,12/07/2017,09/15/2027,AA+/Aa1,"60,000",77293.8,1.53,10/09/2020
BSMS,,38611TBJ5,Grand Parkway Transportation Corp,5.00,10/01/2033,05/30/2018,04/01/2028,AA+/NR,"60,000",75846.0,1.51,10/09/2020
BSMS,,59261ATD9,Metropolitan Transportation Authority,5.00,11/15/2035,12/21/2017,05/15/2028,BBB+/A3,"70,000",72956.8,1.45,10/09/2020
BSMS,,54466HHB5,Los Angeles County Metropolitan Transportation Authority,5.00,07/01/2031,02/20/2019,07/01/2028,AAA/Aa1,"55,000",71536.85,1.42,10/09/2020
