Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
BSMT,,271014J60,East Bay Municipal Utility District Water System Revenue,5.00,06/01/2049,06/27/2019,06/01/2029,AAA/Aa1,"200,000",253810.0,5.07,10/09/2020
BSMT,,696550G63,Palm Beach County School District,5.00,08/01/2029,02/28/2018,08/01/2028,NR/Aa3,"150,000",195184.5,3.90,10/09/2020
BSMT,,6461364A6,New Jersey Transportation Trust Fund Authority,5.00,12/15/2029,10/17/2018,12/15/2028,BBB+/Baa1,"150,000",177513.0,3.54,10/09/2020
BSMT,,56756TAK0,Maricopa County Special Health Care District,5.00,07/01/2029,10/30/2018,07/01/2028,NR/Aa3,"125,000",157797.5,3.15,10/09/2020
BSMT,,66285WZA7,North Texas Tollway Authority,5.00,01/01/2038,08/15/2019,01/01/2029,A+/A1,"125,000",154841.25,3.09,10/09/2020
BSMT,,623040KE1,Mount San Antonio Community College District,4.00,08/01/2049,04/04/2019,08/01/2029,AA/Aa1,"125,000",145453.75,2.90,10/09/2020
BSMT,,762197A76,Rhode Island Health and Educational Building Corp,5.00,09/01/2029,07/18/2019,N/A,AA+/Aa1,"100,000",134046.0,2.68,10/09/2020
BSMT,,25476FXJ2,District of Columbia,5.00,10/15/2031,02/21/2019,04/15/2029,AA+/Aaa,"100,000",131059.0,2.62,10/09/2020
BSMT,,89453PH44,County of Travis TX,5.00,03/01/2032,04/01/2019,03/01/2029,AAA/Aaa,"100,000",130204.0,2.60,10/09/2020
BSMT,,07133AHW5,Battery Park City Authority,5.00,11/01/2038,08/06/2019,11/01/2029,NR/Aaa,"100,000",129217.0,2.58,10/09/2020
BSMT,,594615GX8,Michigan State Building Authority,5.00,04/15/2036,07/30/2019,10/15/2029,AA-/Aa2,"100,000",128808.0,2.57,10/09/2020
BSMT,,362848UQ4,City of Gainesville FL Utilities System Revenue,5.00,10/01/2047,04/12/2019,10/01/2029,AA-/Aa3,"100,000",126251.0,2.52,10/09/2020
BSMT,,13077DHF2,California State University,5.00,11/01/2049,08/01/2019,11/01/2029,AA-/Aa2,"100,000",124920.0,2.49,10/09/2020
BSMT,,5444956T6,Los Angeles Department of Water & Power Power System Revenue,5.00,07/01/2045,02/07/2019,01/01/2029,AA-/Aa2,"100,000",124087.0,2.48,10/09/2020
BSMT,,717813XM6,City of Philadelphia PA,5.00,02/01/2037,08/08/2019,08/01/2029,A/A2,"100,000",123989.0,2.47,10/09/2020
BSMT,,64971XLE6,New York City Transitional Finance Authority Future Tax Secu,5.00,05/01/2037,08/15/2019,05/01/2029,AAA/Aa1,"100,000",123794.0,2.47,10/09/2020
BSMT,,5444956U3,Los Angeles Department of Water & Power Power System Revenue,5.00,07/01/2049,02/07/2019,01/01/2029,AA-/Aa2,"100,000",123605.0,2.47,10/09/2020
BSMT,,64990FKV5,New York State Dormitory Authority,5.00,03/15/2038,06/28/2019,03/15/2029,NR/Aa2,"100,000",123207.0,2.46,10/09/2020
BSMT,,452252NP0,Illinois State Toll Highway Authority,5.00,01/01/2044,07/11/2019,07/01/2029,AA-/A1,"100,000",122885.0,2.45,10/09/2020
BSMT,,64966QCT5,City of New York NY,5.00,08/01/2039,08/13/2019,08/01/2029,AA/Aa2,"100,000",122451.0,2.44,10/09/2020
BSMT,,45528UZK0,Indianapolis Local Public Improvement Bond Bank,5.00,02/01/2054,04/04/2019,02/01/2029,NR/Aa1,"100,000",121796.0,2.43,10/09/2020
BSMT,,914367FX0,University of Kansas Hospital Authority,5.00,09/01/2048,02/21/2019,03/01/2029,AA-/NR,"100,000",120856.0,2.41,10/09/2020
BSMT,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"120,653",120652.6,2.41,10/09/2020
BSMT,,89602RFL4,Triborough Bridge & Tunnel Authority,5.00,11/15/2049,05/23/2019,05/15/2029,AA-/Aa3,"100,000",120421.0,2.40,10/09/2020
BSMT,,65829QDR2,State of North Carolina,4.00,05/01/2034,06/27/2019,05/01/2029,AA+/Aa1,"100,000",120152.0,2.40,10/09/2020
