Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
CGW,030420103,AWK ,"471,656","73,460,422.00",9.945,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
CGW,98419M100,XYL ,"580,915","52,625,089.85",7.124,Xylem Inc/NY,Common Stock,Industrials,10/09/2020
CGW,235851102,DHR ,"203,677","46,043,222.62",6.233,Danaher Corp,Common Stock,Health Care,10/09/2020
CGW,B1WGG93,GEBN SW,"69,696","41,663,178.68",5.640,Geberit AG,Common Stock,Industrials,10/09/2020
CGW,0405207,HLMA LN,"1,219,090","38,790,358.08",5.251,Halma PLC,Common Stock,Information Technology,10/09/2020
CGW,45167R104,IEX ,"195,757","37,274,090.37",5.046,IDEX Corp,Common Stock,Industrials,10/09/2020
CGW,4031879,VIE FP,"1,457,944","32,296,631.22",4.372,Veolia Environnement SA,Common Stock,Utilities,10/09/2020
CGW,G7S00T104,PNR ,"542,235","26,889,433.65",3.640,Pentair PLC,Common Stock,Industrials,10/09/2020
CGW,29670G102,WTRG ,"641,284","26,703,065.76",3.615,Essential Utilities Inc,Common Stock,Utilities,10/09/2020
CGW,B51BMR7,AQN ,"1,557,227","24,387,802.65",3.301,Algonquin Power & Utilities Corp,Common Stock,Utilities,10/09/2020
CGW,B3B8D04,SEV FP,"1,259,269","23,655,424.51",3.202,Suez SA,Common Stock,Utilities,10/09/2020
CGW,B39J2M4,UU/ LN,"2,025,758","23,355,425.77",3.162,United Utilities Group PLC,Common Stock,Utilities,10/09/2020
CGW,B1FH8J7,SVT LN,"713,534","22,963,702.87",3.109,Severn Trent PLC,Common Stock,Utilities,10/09/2020
CGW,7332687,ALFA SS,"966,724","22,294,463.19",3.018,Alfa Laval AB,Common Stock,Industrials,10/09/2020
CGW,88162G103,TTEK ,"162,166","16,631,744.96",2.252,Tetra Tech Inc,Common Stock,Industrials,10/09/2020
CGW,B18V863,PNN LN,"1,250,814","16,485,696.30",2.232,Pennon Group PLC,Common Stock,Utilities,10/09/2020
CGW,4341783,FI-N SW,"13,188","14,110,885.16",1.910,Georg Fischer AG,Common Stock,Industrials,10/09/2020
CGW,6913168,270 HK,"8,521,231","13,479,950.72",1.825,Guangdong Investment Ltd,Common Stock,Utilities,10/09/2020
CGW,76169B102,RXN ,"393,439","12,570,376.05",1.702,Rexnord Corp,Common Stock,Industrials,10/09/2020
CGW,B1W8P14,AALB ,"310,358","12,224,853.11",1.655,Aalberts NV,Common Stock,Industrials,10/09/2020
CGW,00790R104,WMS ,"167,389","11,628,513.83",1.574,Advanced Drainage Systems Inc,Common Stock,Industrials,10/09/2020
CGW,6173401,021240 KS,"164,304","11,440,373.90",1.549,Coway Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
CGW,6497963,6370 JP,"344,891","10,935,448.87",1.480,Kurita Water Industries Ltd,Common Stock,Industrials,10/09/2020
CGW,942749102,WTS ,"89,072","9,570,786.40",1.296,Watts Water Technologies Inc,Common Stock,Industrials,10/09/2020
CGW,7598003,HER ,"2,346,070","8,448,333.28",1.144,Hera SpA,Common Stock,Utilities,10/09/2020
CGW,029899101,AWR ,"109,427","8,389,768.09",1.136,American States Water Co,Common Stock,Utilities,10/09/2020
CGW,20441A102,SBS ,"1,015,603","8,307,632.54",1.125,Cia de Saneamento Basico do Estado de Sao Paulo ADR,American Depository Receipt,Utilities,10/09/2020
CGW,B1WVF68,ANDR AV,"231,500","7,986,361.35",1.081,ANDRITZ AG,Common Stock,Industrials,10/09/2020
