Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
CQQQ,BMMV2K8,700 HK,"1,379,824","96,052,934.88",9.738,Tencent Holdings Ltd,Common Stock,Communication Services,10/09/2020
CQQQ,BGJW376,3690 HK,"2,639,238","91,947,053.24",9.322,Meituan Dianping,Common Stock,Consumer Discretionary,10/09/2020
CQQQ,056752108,BIDU ,"609,302","77,070,609.98",7.814,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
CQQQ,BDFBM13,981 HK,"25,585,075","61,007,630.40",6.185,Semiconductor Manufacturing International Corp,Common Stock,Information Technology,10/09/2020
CQQQ,B1YBT08,2382 HK,"3,611,132","58,616,448.36",5.943,Sunny Optical Technology Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,6327587,268 HK,"15,752,323","47,053,409.65",4.771,Kingdee International Software Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,36165L108,GDS ,"516,837","44,773,589.31",4.539,GDS Holdings Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
CQQQ,05278C107,ATHM ,"410,858","40,884,479.58",4.145,Autohome Inc ADR,American Depository Receipt,Communication Services,10/09/2020
CQQQ,88034P109,TME ,"2,325,758","33,770,006.16",3.424,Tencent Music Entertainment Group ADR,American Depository Receipt,Communication Services,10/09/2020
CQQQ,46591M109,YY ,"397,422","32,854,876.74",3.331,JOYY Inc ADR,American Depository Receipt,Communication Services,10/09/2020
CQQQ,BD5CPQ2,002415 C2,"4,866,007","27,650,649.72",2.803,Hangzhou Hikvision Digital Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BRTL411,601012 C1,"1,964,132","23,989,577.13",2.432,LONGi Green Energy Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,G81477104,SINA ,"415,248","17,672,954.88",1.792,SINA Corp/China,Common Stock,Communication Services,10/09/2020
CQQQ,948596101,WB ,"422,517","17,420,375.91",1.766,Weibo Corp ADR,American Depository Receipt,Communication Services,10/09/2020
CQQQ,60879B107,MOMO ,"1,153,521","17,279,744.58",1.752,Momo Inc ADR,American Depository Receipt,Communication Services,10/09/2020
CQQQ,6321954,696 HK,"6,936,593","14,732,333.44",1.494,TravelSky Technology Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CPL7,000725 C2,"17,632,474","13,656,979.73",1.385,BOE Technology Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BYP71J9,772 HK,"1,598,750","13,047,778.72",1.323,China Literature Ltd,Common Stock,Communication Services,10/09/2020
CQQQ,BP3R6C6,600588 C1,"1,691,604","10,456,464.54",1.060,Yonyou Network Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BRB3857,1347 HK,"2,884,195","10,327,212.24",1.047,Hua Hong Semiconductor Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CND5,002027 C2,"7,642,919","9,164,171.46",0.929,Focus Media Information Technology Co Ltd,Common Stock,Communication Services,10/09/2020
CQQQ,BP3R3R0,600703 C1,"2,332,415","8,855,513.11",0.898,Sanan Optoelectronics Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,68248T105,OCFT ,"376,618","8,168,844.42",0.828,OneConnect Financial Technology Co Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
CQQQ,BP3R6B5,600570 C1,"543,597","8,099,260.90",0.821,Hundsun Technologies Inc,Common Stock,Information Technology,10/09/2020
CQQQ,6835422,900926 CH,"2,212,610","8,064,963.45",0.818,Shanghai Baosight Software Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CK01,002410 C2,"616,725","6,988,760.00",0.709,Glodon Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CN46,300033 C2,"280,000","6,825,148.58",0.692,Hithink RoyalFlush Information Network Co Ltd,Common Stock,Financials,10/09/2020
CQQQ,BHWLWF8,603986 C1,"245,103","6,564,848.21",0.666,Gigadevice Semiconductor Beijing Inc,Common Stock,Information Technology,10/09/2020
CQQQ,BD5LQY4,002600 C2,"3,669,900","6,554,076.14",0.664,Lingyi iTech Guangdong Co,Common Stock,Information Technology,10/09/2020
CQQQ,BD5LYF1,002371 C2,"257,857","6,210,506.41",0.630,NAURA Technology Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CNN5,002230 C2,"1,144,750","6,059,909.59",0.614,Iflytek Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CL75,002049 C2,"316,000","5,628,854.43",0.571,Unigroup Guoxin Microelectronics Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CMT4,002129 C2,"1,579,325","5,551,643.65",0.563,Tianjin Zhonghuan Semiconductor Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BYMW733,3396 HK,"3,837,909","5,209,618.35",0.528,Legend Holdings Corp,Common Stock,Information Technology,10/09/2020
CQQQ,BK4XS11,300782 C2,"83,740","4,912,118.03",0.498,Maxscend Microelectronics Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CGD6,002414 C2,"828,879","4,368,044.30",0.443,Wuhan Guide Infrared Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BP3RC39,600183 C1,"1,185,219","4,323,400.41",0.438,Shengyi Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CLT7,300408 C2,"907,590","4,140,709.55",0.420,Chaozhou Three-Circle Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BKDQ800,002938 C2,"429,856","3,767,330.54",0.382,Avary Holding Shenzhen Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CKJ0,000066 C2,"1,524,746","3,735,953.60",0.379,China Greatwall Technology Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BHQPSR0,300661 C2,"80,950","3,710,072.69",0.376,SG Micro Corp,Common Stock,Information Technology,10/09/2020
CQQQ,BZ0D207,603019 C1,"605,300","3,506,280.74",0.355,Dawning Information Industry Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CLB9,000977 C2,"750,458","3,498,716.86",0.355,Inspur Electronic Information Industry Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CMX8,002153 C2,"556,103","3,379,507.93",0.343,Beijing Shiji Information Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CKZ6,300253 C2,"1,111,129","3,293,484.53",0.334,Winning Health Technology Group Co Ltd,Common Stock,Health Care,10/09/2020
CQQQ,BP3R949,600536 C1,"257,500","3,254,371.66",0.330,China National Software & Service Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CLK8,002456 C2,"1,412,573","3,181,271.69",0.323,OFILM Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BP3RCN9,600845 C1,"274,193","3,042,640.94",0.308,Shanghai Baosight Software Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5C9M6,002185 C2,"1,426,800","2,956,162.47",0.300,Tianshui Huatian Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,6001096,200725 CH,"6,963,439","2,758,402.56",0.280,BOE Technology Group Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CG03,300496 C2,"196,700","2,736,168.28",0.277,Thunder Software Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CJ48,300383 C2,"803,500","2,732,309.31",0.277,Beijing Sinnet Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CBG4,000938 C2,"691,358","2,666,079.60",0.270,Unisplendour Corp Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5C7Z5,002463 C2,"898,100","2,585,798.14",0.262,WUS Printed Circuit Kunshan Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CKS9,002008 C2,"496,100","2,542,681.53",0.258,Han's Laser Technology Industry Group Co Ltd,Common Stock,Industrials,10/09/2020
CQQQ,BD5CNL3,002065 C2,"1,622,300","2,537,222.40",0.257,DHC Software Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CDW4,000021 C2,"766,117","2,461,406.33",0.250,Shenzhen Kaifa Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BKDQ8D3,300724 C2,"149,418","2,445,899.91",0.248,Shenzhen SC New Energy Technology Corp,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CKM3,000050 C2,"1,066,527","2,427,354.90",0.246,Tianma Microelectronics Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BHQPS70,300454 C2,"75,505","2,375,128.61",0.241,Sangfor Technologies Inc,Common Stock,Information Technology,10/09/2020
CQQQ,BYW5QT1,603160 C1,"93,300","2,272,430.40",0.230,Shenzhen Goodix Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CN02,300168 C2,"618,384","2,199,533.78",0.223,Wonders Information Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD73L76,002212 C2,"603,300","2,138,692.52",0.217,Nanyang Topsec Technologies Group Inc,Common Stock,Industrials,10/09/2020
CQQQ,BD5M001,002156 C2,"600,700","2,078,475.51",0.211,TongFu Microelectronics Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CG47,300115 C2,"473,700","1,826,020.82",0.185,Shenzhen Everwin Precision Technology Co Ltd,Common Stock,Information Technology,10/09/2020
CQQQ,BD5CD79,300212 C2,"338,500","1,815,094.51",0.184,Beijing E-Hualu Information Technology Co Ltd,Common Stock,Information Technology,10/09/2020
