Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
CSD,707569109,PENN ,"84,434","5,462,879.80",8.770,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
CSD,513272104,LW ,"72,581","5,313,655.01",8.531,Lamb Weston Holdings Inc,Common Stock,Consumer Staples,10/09/2020
CSD,22052L104,CTVA ,"155,063","5,183,756.09",8.322,Corteva Inc,Common Stock,Materials,10/09/2020
CSD,14448C104,CARR ,"147,909","4,767,107.07",7.653,Carrier Global Corp,Common Stock,Industrials,10/09/2020
CSD,68902V107,OTIS ,"71,786","4,691,215.10",7.532,Otis Worldwide Corp,Common Stock,Industrials,10/09/2020
CSD,449253103,IAA ,"79,513","4,565,636.46",7.330,IAA Inc,Common Stock,Industrials,10/09/2020
CSD,260557103,DOW ,"90,524","4,468,264.64",7.174,Dow Inc,Common Stock,Materials,10/09/2020
CSD,98311A105,WH ,"55,301","2,873,992.97",4.614,Wyndham Hotels & Resorts Inc,Common Stock,Consumer Discretionary,10/09/2020
CSD,35905A109,FTDR ,"50,711","2,136,454.43",3.430,frontdoor Inc,Common Stock,Consumer Discretionary,10/09/2020
CSD,294600101,ETRN ,"241,315","2,027,046.00",3.254,Equitrans Midstream Corp,Common Stock,Energy,10/09/2020
CSD,G6700G107,NVT ,"100,872","1,970,030.16",3.163,nVent Electric PLC,Common Stock,Industrials,10/09/2020
CSD,46590V100,JBGS ,"66,712","1,842,585.44",2.958,JBG SMITH Properties,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CSD,10922N103,BHF ,"55,219","1,690,253.59",2.714,Brighthouse Financial Inc,Common Stock,Financials,10/09/2020
CSD,715347100,PRSP ,"81,113","1,548,447.17",2.486,Perspecta Inc,Common Stock,Information Technology,10/09/2020
CSD,700517105,PK ,"139,857","1,509,057.03",2.423,Park Hotels & Resorts Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CSD,22304C100,CVET ,"58,268","1,499,235.64",2.407,Covetrus Inc,Common Stock,Health Care,10/09/2020
CSD,013872106,AA ,"110,366","1,381,782.32",2.218,Alcoa Corp,Common Stock,Materials,10/09/2020
CSD,039653100,ACA ,"28,695","1,342,065.15",2.155,Arcosa Inc,Common Stock,Industrials,10/09/2020
CSD,G0084W101,ADNT ,"55,730","1,209,898.30",1.942,Adient PLC,Common Stock,Consumer Discretionary,10/09/2020
CSD,43283X105,HGV ,"50,503","1,152,983.49",1.851,Hilton Grand Vacations Inc,Common Stock,Consumer Discretionary,10/09/2020
CSD,92336X109,VNE ,"55,645","980,464.90",1.574,Veoneer Inc,Common Stock,Consumer Discretionary,10/09/2020
CSD,15872M104,CHX ,"110,306","951,940.78",1.528,ChampionX Corp,Common Stock,Energy,10/09/2020
CSD,76118Y104,REZI ,"73,270","892,428.60",1.433,Resideo Technologies Inc,Common Stock,Industrials,10/09/2020
CSD,50050N103,KTB ,"27,797","764,139.53",1.227,Kontoor Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
CSD,55826T102,MSGE ,"10,414","723,460.58",1.161,Madison Square Garden Entertainment Corp,Common Stock,Communication Services,10/09/2020
CSD,206787103,CNDT ,"100,602","362,167.20",0.581,Conduent Inc,Common Stock,Information Technology,10/09/2020
CSD,14575E105,CARS ,"39,890","345,447.40",0.555,Cars.com Inc,Common Stock,Communication Services,10/09/2020
CSD,92214X106,VREX ,"23,185","313,461.20",0.503,Varex Imaging Corp,Common Stock,Health Care,10/09/2020
CSD,825252885,AGPXX ,"187,991","187,991.41",0.302,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
CSD,21872L104,CPLG ,"23,131","129,764.91",0.208,CorePoint Lodging Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
