Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
CUT,460146103,IP ,"101,481","4,330,194.27",5.476,International Paper Co,Common Stock,Materials,10/09/2020
CUT,5051252,UPM FH,"131,359","4,059,875.19",5.134,UPM-Kymmene Oyj,Common Stock,Materials,10/09/2020
CUT,053611109,AVY ,"30,556","3,987,558.00",5.042,Avery Dennison Corp,Common Stock,Materials,10/09/2020
CUT,695156109,PKG ,"34,774","3,925,984.60",4.964,Packaging Corp of America,Common Stock,Materials,10/09/2020
CUT,B1CRLC4,MNDI LN,"178,025","3,835,404.19",4.850,Mondi PLC,Common Stock,Materials,10/09/2020
CUT,962166104,WY ,"126,807","3,717,981.24",4.701,Weyerhaeuser Co,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CUT,G0250X107,AMCR ,"325,386","3,715,908.12",4.699,Amcor PLC,Common Stock,Materials,10/09/2020
CUT,96145D105,WRK ,"95,054","3,593,041.20",4.543,Westrock Co,Common Stock,Materials,10/09/2020
CUT,5072673,STERV FH,"213,293","3,578,327.26",4.525,Stora Enso Oyj,Common Stock,Materials,10/09/2020
CUT,B1RR828,SKG ,"83,095","3,402,660.03",4.303,Smurfit Kappa Group PLC,Common Stock,Materials,10/09/2020
CUT,B1VVGZ5,SCAB SS,"222,136","3,143,982.34",3.976,Svenska Cellulosa AB SCA,Common Stock,Materials,10/09/2020
CUT,81211K100,SEE ,"57,073","2,435,875.64",3.080,Sealed Air Corp,Common Stock,Materials,10/09/2020
CUT,B02GKC7,SUZB3 ,"274,453","2,430,413.35",3.073,Suzano SA,Common Stock,Materials,10/09/2020
CUT,0822011,SMDS LN,"503,187","1,996,137.93",2.524,DS Smith PLC,Common Stock,Materials,10/09/2020
CUT,835495102,SON ,"36,785","1,955,122.75",2.472,Sonoco Products Co,Common Stock,Materials,10/09/2020
CUT,BD5GN60,SIGN SW,"93,876","1,953,304.51",2.470,SIG Combibloc Group AG,Common Stock,Materials,10/09/2020
CUT,4447476,HUH1V FH,"35,559","1,814,041.79",2.294,Huhtamaki Oyj,Common Stock,Materials,10/09/2020
CUT,388689101,GPK ,"102,410","1,476,752.20",1.867,Graphic Packaging Holding Co,Common Stock,Materials,10/09/2020
CUT,6657701,3861 JP,"316,160","1,457,289.48",1.843,Oji Holdings Corp,Common Stock,Materials,10/09/2020
CUT,754907103,RYN ,"49,985","1,427,571.60",1.805,Rayonier Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CUT,BDQQ1Q5,HOLMB SS,"36,449","1,426,542.88",1.804,Holmen AB,Common Stock,Materials,10/09/2020
CUT,546347105,LPX ,"41,139","1,303,694.91",1.649,Louisiana-Pacific Corp,Common Stock,Materials,10/09/2020
CUT,737630103,PCH ,"24,548","1,144,182.28",1.447,PotlatchDeltic Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CUT,BJ0K6Z9,KLBN11 ,"252,834","1,105,990.09",1.399,Klabin SA,Unit			     ,Materials,10/09/2020
CUT,7240371,BILL SS,"64,891","1,104,846.54",1.397,BillerudKorsnas AB,Common Stock,Materials,10/09/2020
CUT,2951098,WFT ,"19,472","912,928.36",1.154,West Fraser Timber Co Ltd,Common Stock,Materials,10/09/2020
CUT,2196015,CMPC ,"412,473","854,351.22",1.080,Empresas CMPC SA,Common Stock,Materials,10/09/2020
CUT,2809777,SJ ,"22,266","778,280.15",0.984,Stella-Jones Inc,Common Stock,Materials,10/09/2020
CUT,B0WC2B8,2689 HK,"601,834","772,672.22",0.977,Nine Dragons Paper Holdings Ltd,Common Stock,Materials,10/09/2020
CUT,BH4TCW7,ORA ,"353,937","647,194.29",0.818,Orora Ltd,Common Stock,Materials,10/09/2020
CUT,09739D100,BCC ,"14,371","626,719.31",0.792,Boise Cascade Co,Common Stock,Materials,10/09/2020
CUT,6462422,INKP IJ,"1,002,932","603,806.00",0.764,Indah Kiat Pulp & Paper Corp Tbk PT,Common Stock,Materials,10/09/2020
CUT,5071432,METSB FH,"65,018","586,870.22",0.742,Metsa Board Oyj,Common Stock,Materials,10/09/2020
CUT,2641441,OSB ,"17,934","561,184.21",0.710,Norbord Inc,Common Stock,Materials,10/09/2020
CUT,257559203,UFS ,"20,236","559,120.68",0.707,Domtar Corp,Common Stock,Materials,10/09/2020
