Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
CVY,02005N100,ALLY ,"50,171","1,397,262.35",1.241,Ally Financial Inc,Common Stock,Financials,10/09/2020
CVY,691543102,OXLC ,"296,555","1,387,877.40",1.233,Oxford Lane Capital Corp,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
CVY,67420T206,OMP ,"186,313","1,341,453.60",1.192,Oasis Midstream Partners LP,Partnership Interest			     ,Energy,10/09/2020
CVY,226344208,CEQP ,"91,637","1,337,900.20",1.189,Crestwood Equity Partners LP,Partnership Interest			     ,Energy,10/09/2020
CVY,87165B103,SYF ,"45,760","1,319,718.40",1.173,Synchrony Financial,Common Stock,Financials,10/09/2020
CVY,25746U133,DCUE,"12,067","1,266,069.64",1.125,Dominion Energy Inc,Convertible Preferred Stock,Utilities,10/09/2020
CVY,258622109,DSL ,"77,063","1,263,833.20",1.123,DoubleLine Income Solutions Fund,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
CVY,04686J309,ATH C,"45,734","1,259,057.02",1.119,Athene Holding Ltd,Preferred Stock			     ,Financials,10/09/2020
CVY,90290N109,USAC ,"115,938","1,244,014.74",1.105,USA Compression Partners LP,Partnership Interest			     ,Energy,10/09/2020
CVY,94988U151,WFC Z,"48,876","1,236,562.80",1.099,Wells Fargo & Co,Preferred Stock			     ,Financials,10/09/2020
CVY,03076C106,AMP ,"7,184","1,223,722.56",1.087,Ameriprise Financial Inc,Common Stock,Financials,10/09/2020
CVY,89832Q745,TFC O,"44,271","1,219,666.05",1.084,Truist Financial Corp,Preferred Stock			     ,Financials,10/09/2020
CVY,15189T107,CNP ,"56,967","1,217,384.79",1.082,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
CVY,949746804,WFC L,888,"1,207,564.56",1.073,Wells Fargo & Co,Convertible Preferred Stock,Financials,10/09/2020
CVY,30225T102,EXR ,"10,576","1,198,789.60",1.065,Extra Space Storage Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CVY,458140100,INTC ,"22,579","1,192,622.78",1.060,Intel Corp,Common Stock,Information Technology,10/09/2020
CVY,001055102,AFL ,"30,695","1,169,479.50",1.039,Aflac Inc,Common Stock,Financials,10/09/2020
CVY,21870Q105,COR ,"9,148","1,163,534.12",1.034,CoreSite Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CVY,92556H206,VIAC ,"40,115","1,159,925.23",1.031,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
CVY,59156R108,MET ,"29,196","1,152,658.08",1.024,MetLife Inc,Common Stock,Financials,10/09/2020
CVY,064058100,BK ,"30,552","1,151,810.40",1.023,Bank of New York Mellon Corp/The,Common Stock,Financials,10/09/2020
CVY,09255P107,HYT ,"103,265","1,147,274.15",1.019,BlackRock Corporate High Yield Fund Inc,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
