Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
CZA,744573106,PEG ,"81,128","4,669,727.68",2.096,Public Service Enterprise Group Inc,Common Stock,Utilities,10/09/2020
CZA,40434L105,HPQ ,"240,601","4,660,441.37",2.092,HP Inc,Common Stock,Information Technology,10/09/2020
CZA,030420103,AWK ,"29,384","4,576,558.00",2.054,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
CZA,806857108,SLB ,"276,203","4,482,774.69",2.012,Schlumberger NV,Common Stock,Energy,10/09/2020
CZA,761152107,RMD ,"24,643","4,340,125.16",1.948,ResMed Inc,Common Stock,Health Care,10/09/2020
CZA,22052L104,CTVA ,"129,314","4,322,967.02",1.940,Corteva Inc,Common Stock,Materials,10/09/2020
CZA,031100100,AME ,"40,125","4,290,967.50",1.926,AMETEK Inc,Common Stock,Industrials,10/09/2020
CZA,58155Q103,MCK ,"28,105","4,252,005.45",1.908,McKesson Corp,Common Stock,Health Care,10/09/2020
CZA,N31738102,FCAU ,"339,236","4,237,057.64",1.902,Fiat Chrysler Automobiles NV,Common Stock,Consumer Discretionary,10/09/2020
CZA,969457100,WMB ,"213,087","4,138,149.54",1.857,Williams Cos Inc/The,Common Stock,Energy,10/09/2020
CZA,67077M108,NTR ,"100,766","4,132,413.66",1.855,Nutrien Ltd,Common Stock,Materials,10/09/2020
CZA,171340102,CHD ,"40,637","3,769,488.12",1.692,Church & Dwight Co Inc,Common Stock,Consumer Staples,10/09/2020
CZA,281020107,EIX ,"63,663","3,570,857.67",1.603,Edison International,Common Stock,Utilities,10/09/2020
CZA,G25839104,CCEP ,"88,683","3,567,717.09",1.601,Coca-Cola European Partners PLC,Common Stock,Consumer Staples,10/09/2020
CZA,363576109,AJG ,"32,759","3,555,989.45",1.596,Arthur J Gallagher & Co,Common Stock,Financials,10/09/2020
CZA,29364G103,ETR ,"33,305","3,525,334.25",1.582,Entergy Corp,Common Stock,Utilities,10/09/2020
CZA,631103108,NDAQ ,"27,422","3,429,395.32",1.539,Nasdaq Inc,Common Stock,Financials,10/09/2020
CZA,H2906T109,GRMN ,"33,290","3,289,717.80",1.477,Garmin Ltd,Common Stock,Consumer Discretionary,10/09/2020
CZA,50540R409,LH ,"16,684","3,266,059.84",1.466,Laboratory Corp of America Holdings,Common Stock,Health Care,10/09/2020
CZA,349553107,FTS ,"77,023","3,218,791.17",1.445,Fortis Inc/Canada,Common Stock,Utilities,10/09/2020
CZA,12514G108,CDW ,"24,133","3,040,516.67",1.365,CDW Corp/DE,Common Stock,Information Technology,10/09/2020
CZA,316773100,FITB ,"127,830","2,988,665.40",1.341,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
CZA,89400J107,TRU ,"33,470","2,986,193.40",1.340,TransUnion,Common Stock,Industrials,10/09/2020
CZA,05351W103,AGR ,"52,321","2,889,688.83",1.297,Avangrid Inc,Common Stock,Utilities,10/09/2020
CZA,260003108,DOV ,"25,249","2,855,156.92",1.281,Dover Corp,Common Stock,Industrials,10/09/2020
CZA,62944T105,NVR ,642,"2,824,164.42",1.268,NVR Inc,Common Stock,Consumer Discretionary,10/09/2020
CZA,670346105,NUE ,"55,693","2,721,159.98",1.221,Nucor Corp,Common Stock,Materials,10/09/2020
CZA,574599106,MAS ,"46,348","2,663,619.56",1.196,Masco Corp,Common Stock,Industrials,10/09/2020
CZA,42250P103,PEAK ,"90,495","2,590,871.85",1.163,Healthpeak Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,150870103,CE ,"21,532","2,537,330.88",1.139,Celanese Corp,Common Stock,Materials,10/09/2020
CZA,45167R104,IEX ,"13,319","2,536,070.79",1.138,IDEX Corp,Common Stock,Industrials,10/09/2020
CZA,49741E100,KL ,"49,525","2,534,194.25",1.137,Kirkland Lake Gold Ltd,Common Stock,Materials,10/09/2020
CZA,264411505,DRE ,"63,436","2,526,021.52",1.134,Duke Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,302491303,FMC ,"23,065","2,491,481.30",1.118,FMC Corp,Common Stock,Materials,10/09/2020
CZA,297178105,ESS ,"11,466","2,470,349.70",1.109,Essex Property Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,55261F104,MTB ,"24,273","2,460,554.01",1.104,M&T Bank Corp,Common Stock,Financials,10/09/2020
CZA,416515104,HIG ,"63,262","2,442,545.82",1.096,Hartford Financial Services Group Inc/The,Common Stock,Financials,10/09/2020
CZA,866674104,SUI ,"16,463","2,438,828.82",1.095,Sun Communities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,682680103,OKE ,"83,025","2,411,876.25",1.083,ONEOK Inc,Common Stock,Energy,10/09/2020
CZA,14149Y108,CAH ,"49,900","2,396,697.00",1.076,Cardinal Health Inc,Common Stock,Health Care,10/09/2020
CZA,493267108,KEY ,"178,962","2,347,981.44",1.054,KeyCorp,Common Stock,Financials,10/09/2020
CZA,018802108,LNT ,"42,069","2,302,857.06",1.034,Alliant Energy Corp,Common Stock,Utilities,10/09/2020
CZA,469814107,J ,"23,003","2,284,657.96",1.025,Jacobs Engineering Group Inc,Common Stock,Industrials,10/09/2020
CZA,G0450A105,ACGL ,"71,403","2,251,336.59",1.010,Arch Capital Group Ltd,Common Stock,Financials,10/09/2020
CZA,896239100,TRMB ,"43,803","2,250,598.14",1.010,Trimble Inc,Common Stock,Information Technology,10/09/2020
CZA,706327103,PBA ,"99,593","2,215,944.25",0.995,Pembina Pipeline Corp,Common Stock,Energy,10/09/2020
CZA,368736104,GNRC ,"10,777","2,214,996.81",0.994,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
CZA,525327102,LDOS ,"23,632","2,147,439.84",0.964,Leidos Holdings Inc,Common Stock,Information Technology,10/09/2020
CZA,159864107,CRL ,"8,543","2,072,275.51",0.930,Charles River Laboratories International Inc,Common Stock,Health Care,10/09/2020
CZA,655663102,NDSN ,"10,297","2,071,653.43",0.930,Nordson Corp,Common Stock,Industrials,10/09/2020
CZA,74251V102,PFG ,"48,441","2,057,289.27",0.923,Principal Financial Group Inc,Common Stock,Financials,10/09/2020
CZA,366651107,IT ,"15,807","1,998,004.80",0.897,Gartner Inc,Common Stock,Information Technology,10/09/2020
CZA,29472R108,ELS ,"30,646","1,987,393.10",0.892,Equity LifeStyle Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,084423102,WRB ,"31,257","1,969,816.14",0.884,W R Berkley Corp,Common Stock,Financials,10/09/2020
CZA,053611109,AVY ,"14,900","1,944,450.00",0.873,Avery Dennison Corp,Common Stock,Materials,10/09/2020
CZA,749685103,RPM ,"22,287","1,944,317.88",0.873,RPM International Inc,Common Stock,Materials,10/09/2020
CZA,099502106,BAH ,"23,337","1,894,030.92",0.850,Booz Allen Hamilton Holding Corp,Common Stock,Information Technology,10/09/2020
CZA,228368106,CCK ,"23,004","1,878,276.60",0.843,Crown Holdings Inc,Common Stock,Materials,10/09/2020
CZA,G4705A100,ICLR ,"8,805","1,866,395.85",0.838,ICON PLC,Common Stock,Health Care,10/09/2020
CZA,384109104,GGG ,"28,573","1,844,387.15",0.828,Graco Inc,Common Stock,Industrials,10/09/2020
CZA,913903100,UHS ,"16,136","1,802,875.28",0.809,Universal Health Services Inc,Common Stock,Health Care,10/09/2020
CZA,891092108,TTC ,"18,227","1,597,778.82",0.717,Toro Co/The,Common Stock,Industrials,10/09/2020
CZA,133131102,CPT ,"16,281","1,568,185.92",0.704,Camden Property Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,126117100,CNA ,"48,901","1,514,952.98",0.680,CNA Financial Corp,Common Stock,Financials,10/09/2020
CZA,723484101,PNW ,"18,240","1,505,894.40",0.676,Pinnacle West Capital Corp,Common Stock,Utilities,10/09/2020
CZA,521865204,LEA ,"11,368","1,472,610.72",0.661,Lear Corp,Common Stock,Consumer Discretionary,10/09/2020
CZA,G7S00T104,PNR ,"29,156","1,445,846.04",0.649,Pentair PLC,Common Stock,Industrials,10/09/2020
CZA,780287108,RGLD ,"11,641","1,414,265.09",0.635,Royal Gold Inc,Common Stock,Materials,10/09/2020
CZA,G3223R108,RE ,"6,878","1,409,577.32",0.633,Everest Re Group Ltd,Common Stock,Financials,10/09/2020
CZA,36467J108,GLPI ,"36,349","1,391,439.72",0.625,Gaming and Leisure Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,690742101,OC ,"18,510","1,387,139.40",0.623,Owens Corning,Common Stock,Industrials,10/09/2020
CZA,443510607,HUBB ,"9,563","1,377,837.04",0.618,Hubbell Inc,Common Stock,Industrials,10/09/2020
CZA,608190104,MHK ,"12,971","1,352,097.04",0.607,Mohawk Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
CZA,784117103,SEIC ,"24,374","1,345,444.80",0.604,SEI Investments Co,Common Stock,Financials,10/09/2020
CZA,G8060N102,ST ,"27,860","1,330,036.40",0.597,Sensata Technologies Holding PLC,Common Stock,Industrials,10/09/2020
CZA,038336103,ATR ,"11,231","1,311,893.11",0.589,AptarGroup Inc,Common Stock,Materials,10/09/2020
CZA,G3922B107,G ,"32,864","1,294,841.60",0.581,Genpact Ltd,Common Stock,Information Technology,10/09/2020
CZA,16359R103,CHE ,"2,679","1,283,160.63",0.576,Chemed Corp,Common Stock,Health Care,10/09/2020
CZA,69354M108,PRAH ,"11,480","1,280,020.00",0.575,PRA Health Sciences Inc,Common Stock,Health Care,10/09/2020
CZA,817565104,SCI ,"28,434","1,277,823.96",0.574,Service Corp International/US,Common Stock,Consumer Discretionary,10/09/2020
CZA,759509102,RS ,"11,242","1,256,293.50",0.564,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
CZA,278265103,EV ,"20,290","1,223,689.90",0.549,Eaton Vance Corp,Common Stock,Financials,10/09/2020
CZA,25659T107,DLB ,"17,077","1,169,774.50",0.525,Dolby Laboratories Inc,Common Stock,Information Technology,10/09/2020
CZA,257651109,DCI ,"22,801","1,163,079.01",0.522,Donaldson Co Inc,Common Stock,Industrials,10/09/2020
CZA,00090Q103,ADT ,"137,863","1,149,777.42",0.516,ADT Inc,Common Stock,Industrials,10/09/2020
CZA,83417Q105,SWI ,"52,588","1,133,797.28",0.509,SolarWinds Corp,Common Stock,Information Technology,10/09/2020
CZA,76169C100,REXR ,"21,392","1,098,907.04",0.493,Rexford Industrial Realty Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,116794108,BRKR ,"25,632","1,080,132.48",0.485,Bruker Corp,Common Stock,Health Care,10/09/2020
CZA,001084102,AGCO ,"13,352","1,075,770.64",0.483,AGCO Corp,Common Stock,Industrials,10/09/2020
CZA,670837103,OGE ,"33,443","1,070,844.86",0.481,OGE Energy Corp,Common Stock,Utilities,10/09/2020
CZA,431475102,HRC ,"11,376","1,017,696.96",0.457,Hill-Rom Holdings Inc,Common Stock,Health Care,10/09/2020
CZA,45073V108,ITT ,"15,644","1,005,127.00",0.451,ITT Inc,Common Stock,Industrials,10/09/2020
CZA,277276101,EGP ,"6,880","1,000,696.00",0.449,EastGroup Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,447011107,HUN ,"40,394","988,845.12",0.444,Huntsman Corp,Common Stock,Materials,10/09/2020
CZA,835495102,SON ,"17,689","940,170.35",0.422,Sonoco Products Co,Common Stock,Materials,10/09/2020
CZA,88162G103,TTEK ,"9,078","931,039.68",0.418,Tetra Tech Inc,Common Stock,Industrials,10/09/2020
CZA,127190304,CACI ,"4,305","918,859.20",0.412,CACI International Inc,Common Stock,Information Technology,10/09/2020
CZA,85254J102,STAG ,"26,646","868,659.60",0.390,STAG Industrial Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
CZA,552690109,MDU ,"35,064","815,939.28",0.366,MDU Resources Group Inc,Common Stock,Utilities,10/09/2020
CZA,80689H102,SNDR ,"30,809","767,452.19",0.344,Schneider National Inc,Common Stock,Industrials,10/09/2020
CZA,825252885,AGPXX ,"116,933","116,932.64",0.052,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
