Fund Ticker,Security Identifier,Identifier,Shares,Weight,Name,Contract Expiry Date,Sector,$ Value,Date
DBE,825252885,AGPXX ,"23,095,931.01",43.881,STIT - Government & Agency Portfolio,,Collateral,"23,095,931.01",10/09/2020
DBE,XBZ0,,264.00,24.852,NYMEX Reformulated Gasoline Blendstock for Oxygen Blending R,11/30/2020,Energy,"13,080,513.60",10/09/2020
DBE,CLH1,,296.00,23.564,NYMEX Light Sweet Crude Oil Future,02/22/2021,Energy,"12,402,400.00",10/09/2020
DBE,COF1,,279.00,22.963,ICE Brent Crude Oil Future,11/30/2020,Energy,"12,086,280.00",10/09/2020
DBE,46138G888,CLTL ,"95,200.00",19.130,Invesco Treasury Collateral ETF,,Collateral,"10,068,352.00",10/09/2020
DBE,9127963K3,,"10,000,000.00",18.997,United States Treasury Bill,12/17/2020,Collateral,"9,998,510.40",10/09/2020
DBE,HOM1,,165.00,16.638,NYMEX NY Harbor ULSD Futures,05/28/2021,Energy,"8,756,748.00",10/09/2020
DBE,NGK21,,225.00,11.987,NYMEX Henry Hub Natural Gas Futures,04/28/2021,Energy,"6,309,000.00",10/09/2020
DBE,9127962Z1,,"5,000,000.00",9.499,United States Treasury Bill,11/12/2020,Collateral,"4,999,666.65",10/09/2020
DBE,912796TU3,,"5,000,000.00",9.499,United States Treasury Bill,12/03/2020,Collateral,"4,999,397.90",10/09/2020
