Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
DEF,983919101,XLNX ,"26,347","3,186,406.18",1.172,Xilinx Inc,Common Stock,Information Technology,10/09/2020
DEF,902252105,TYL ,"8,027","3,124,750.56",1.149,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
DEF,654106103,NKE ,"23,020","3,015,159.60",1.109,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
DEF,714046109,PKI ,"23,142","3,001,054.56",1.104,PerkinElmer Inc,Common Stock,Health Care,10/09/2020
DEF,26441C204,DUK ,"32,022","2,987,652.60",1.099,Duke Energy Corp,Common Stock,Utilities,10/09/2020
DEF,235851102,DHR ,"13,094","2,960,029.64",1.089,Danaher Corp,Common Stock,Health Care,10/09/2020
DEF,256677105,DG ,"13,392","2,959,364.16",1.089,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
DEF,883556102,TMO ,"6,309","2,931,792.30",1.078,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
DEF,058498106,BLL ,"32,404","2,924,785.04",1.076,Ball Corp,Common Stock,Materials,10/09/2020
DEF,955306105,WST ,"9,703","2,894,210.84",1.065,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
DEF,911312106,UPS ,"16,551","2,891,294.19",1.064,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
DEF,74834L100,DGX ,"24,698","2,881,515.66",1.060,Quest Diagnostics Inc,Common Stock,Health Care,10/09/2020
DEF,053015103,ADP ,"19,217","2,879,667.45",1.059,Automatic Data Processing Inc,Common Stock,Information Technology,10/09/2020
DEF,871607107,SNPS ,"12,847","2,862,568.54",1.053,Synopsys Inc,Common Stock,Information Technology,10/09/2020
DEF,68389X105,ORCL ,"46,427","2,839,011.05",1.044,Oracle Corp,Common Stock,Information Technology,10/09/2020
DEF,127387108,CDNS ,"25,345","2,836,865.85",1.043,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
DEF,040413106,ANET ,"12,452","2,834,199.72",1.042,Arista Networks Inc,Common Stock,Information Technology,10/09/2020
DEF,30040W108,ES ,"30,737","2,833,644.03",1.042,Eversource Energy,Common Stock,Utilities,10/09/2020
DEF,469814107,J ,"28,500","2,830,620.00",1.041,Jacobs Engineering Group Inc,Common Stock,Industrials,10/09/2020
DEF,65339F101,NEE ,"9,344","2,830,391.04",1.041,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
DEF,253868103,DLR ,"17,872","2,829,852.48",1.041,Digital Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
DEF,45168D104,IDXX ,"7,051","2,824,983.15",1.039,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
DEF,907818108,UNP ,"13,716","2,822,478.48",1.038,Union Pacific Corp,Common Stock,Industrials,10/09/2020
DEF,22160K105,COST ,"7,638","2,821,935.48",1.038,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
DEF,134429109,CPB ,"58,003","2,811,405.41",1.034,Campbell Soup Co,Common Stock,Consumer Staples,10/09/2020
DEF,032095101,APH ,"24,699","2,803,089.51",1.031,Amphenol Corp,Common Stock,Information Technology,10/09/2020
DEF,892356106,TSCO ,"18,629","2,793,045.97",1.027,Tractor Supply Co,Common Stock,Consumer Discretionary,10/09/2020
DEF,743315103,PGR ,"27,935","2,790,147.80",1.026,Progressive Corp/The,Common Stock,Financials,10/09/2020
DEF,03662Q105,ANSS ,"8,238","2,774,723.16",1.021,ANSYS Inc,Common Stock,Information Technology,10/09/2020
DEF,92343E102,VRSN ,"13,199","2,765,982.44",1.017,VeriSign Inc,Common Stock,Information Technology,10/09/2020
DEF,459200101,IBM ,"21,629","2,763,969.91",1.017,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
DEF,G51502105,JCI ,"64,170","2,757,384.90",1.014,Johnson Controls International plc,Common Stock,Industrials,10/09/2020
DEF,580135101,MCD ,"12,260","2,756,415.80",1.014,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
DEF,98978V103,ZTS ,"16,643","2,753,251.49",1.013,Zoetis Inc,Common Stock,Health Care,10/09/2020
DEF,205887102,CAG ,"73,651","2,748,655.32",1.011,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
DEF,461202103,INTU ,"8,031","2,745,076.11",1.010,Intuit Inc,Common Stock,Information Technology,10/09/2020
DEF,57636Q104,MA ,"7,786","2,743,708.54",1.009,Mastercard Inc,Common Stock,Information Technology,10/09/2020
DEF,22822V101,CCI ,"16,393","2,743,532.48",1.009,Crown Castle International Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
DEF,16119P108,CHTR ,"4,316","2,743,422.24",1.009,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
DEF,002824100,ABT ,"24,995","2,740,701.75",1.008,Abbott Laboratories,Common Stock,Health Care,10/09/2020
DEF,278642103,EBAY ,"49,357","2,736,845.65",1.007,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
DEF,742718109,PG ,"19,139","2,735,345.88",1.006,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
DEF,776696106,ROP ,"6,600","2,734,974.00",1.006,Roper Technologies Inc,Common Stock,Industrials,10/09/2020
DEF,872590104,TMUS ,"23,301","2,731,576.23",1.005,T-Mobile US Inc,Common Stock,Communication Services,10/09/2020
DEF,00971T101,AKAM ,"24,270","2,731,103.10",1.005,Akamai Technologies Inc,Common Stock,Information Technology,10/09/2020
DEF,302130109,EXPD ,"29,532","2,730,528.72",1.004,Expeditors International of Washington Inc,Common Stock,Industrials,10/09/2020
DEF,532457108,LLY ,"17,404","2,730,339.52",1.004,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
DEF,11133T103,BR ,"19,333","2,722,859.72",1.002,Broadridge Financial Solutions Inc,Common Stock,Information Technology,10/09/2020
DEF,370334104,GIS ,"43,969","2,720,362.03",1.001,General Mills Inc,Common Stock,Consumer Staples,10/09/2020
DEF,G0403H108,AON ,"12,986","2,716,541.34",0.999,Aon PLC,Common Stock,Financials,10/09/2020
DEF,92532F100,VRTX ,"10,052","2,713,537.40",0.998,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
DEF,426281101,JKHY ,"16,458","2,707,176.42",0.996,Jack Henry & Associates Inc,Common Stock,Information Technology,10/09/2020
DEF,988498101,YUM ,"28,243","2,696,924.07",0.992,Yum! Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
DEF,594918104,MSFT ,"12,486","2,694,603.66",0.991,Microsoft Corp,Common Stock,Information Technology,10/09/2020
DEF,931142103,WMT ,"18,858","2,692,545.24",0.990,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
DEF,92939U106,WEC ,"27,049","2,689,752.56",0.989,WEC Energy Group Inc,Common Stock,Utilities,10/09/2020
DEF,717081103,PFE ,"73,104","2,689,496.16",0.989,Pfizer Inc,Common Stock,Health Care,10/09/2020
DEF,92826C839,V ,"12,925","2,670,822.00",0.982,Visa Inc,Common Stock,Information Technology,10/09/2020
DEF,478160104,JNJ ,"17,668","2,667,337.96",0.981,Johnson & Johnson,Common Stock,Health Care,10/09/2020
DEF,G96629103,WLTW ,"12,604","2,664,989.76",0.980,Willis Towers Watson PLC,Common Stock,Financials,10/09/2020
DEF,03073E105,ABC ,"27,495","2,663,165.70",0.980,AmerisourceBergen Corp,Common Stock,Health Care,10/09/2020
DEF,20030N101,CMCSA ,"59,301","2,659,649.85",0.978,Comcast Corp,Common Stock,Communication Services,10/09/2020
DEF,494368103,KMB ,"17,417","2,655,918.33",0.977,Kimberly-Clark Corp,Common Stock,Consumer Staples,10/09/2020
DEF,78410G104,SBAC ,"8,438","2,654,847.94",0.977,SBA Communications Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
DEF,824348106,SHW ,"3,798","2,652,523.20",0.976,Sherwin-Williams Co/The,Common Stock,Materials,10/09/2020
DEF,45866F104,ICE ,"26,133","2,649,624.87",0.975,Intercontinental Exchange Inc,Common Stock,Financials,10/09/2020
DEF,023135106,AMZN ,805,"2,645,753.25",0.973,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
DEF,539830109,LMT ,"6,847","2,642,462.71",0.972,Lockheed Martin Corp,Common Stock,Industrials,10/09/2020
DEF,126650100,CVS ,"44,423","2,638,726.20",0.971,CVS Health Corp,Common Stock,Health Care,10/09/2020
DEF,23918K108,DVA ,"29,975","2,633,603.50",0.969,DaVita Inc,Common Stock,Health Care,10/09/2020
