Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
DJD,260557103,DOW ,"130,891","6,460,779.76",7.939,Dow Inc,Common Stock,Materials,10/09/2020
DJD,166764100,CVX ,"83,195","6,156,430.00",7.565,Chevron Corp,Common Stock,Energy,10/09/2020
DJD,459200101,IBM ,"45,765","5,848,309.35",7.186,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
DJD,931427108,WBA ,"148,994","5,414,441.96",6.653,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
DJD,92343V104,VZ ,"72,986","4,330,259.38",5.321,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
DJD,88579Y101,MMM ,"22,832","3,865,457.60",4.750,3M Co,Common Stock,Industrials,10/09/2020
DJD,46625H100,JPM ,"37,395","3,784,374.00",4.650,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
DJD,17275R102,CSCO ,"89,968","3,585,224.80",4.405,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
DJD,191216100,KO ,"68,193","3,464,886.33",4.257,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
DJD,89417E109,TRV ,"27,090","3,137,834.70",3.856,Travelers Cos Inc/The,Common Stock,Financials,10/09/2020
DJD,149123101,CAT ,"19,735","3,136,680.90",3.854,Caterpillar Inc,Common Stock,Industrials,10/09/2020
DJD,458140100,INTC ,"55,120","2,911,438.40",3.577,Intel Corp,Common Stock,Information Technology,10/09/2020
DJD,58933Y105,MRK ,"35,513","2,853,824.68",3.507,Merck & Co Inc,Common Stock,Health Care,10/09/2020
DJD,478160104,JNJ ,"18,684","2,820,723.48",3.466,Johnson & Johnson,Common Stock,Health Care,10/09/2020
DJD,38141G104,GS ,"12,736","2,643,229.44",3.248,Goldman Sachs Group Inc/The,Common Stock,Financials,10/09/2020
DJD,031162100,AMGN ,"10,891","2,577,899.70",3.168,Amgen Inc,Common Stock,Health Care,10/09/2020
DJD,580135101,MCD ,"11,264","2,532,485.12",3.112,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
DJD,742718109,PG ,"17,354","2,480,233.68",3.048,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
DJD,438516106,HON ,"13,698","2,388,657.24",2.935,Honeywell International Inc,Common Stock,Industrials,10/09/2020
DJD,437076102,HD ,"7,987","2,283,643.04",2.806,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
DJD,025816109,AXP ,"17,174","1,826,283.16",2.244,American Express Co,Common Stock,Financials,10/09/2020
DJD,91324P102,UNH ,"5,563","1,823,773.92",2.241,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
DJD,931142103,WMT ,"11,931","1,703,508.18",2.093,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
DJD,654106103,NKE ,"7,784","1,019,548.32",1.253,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
DJD,594918104,MSFT ,"4,648","1,003,084.88",1.233,Microsoft Corp,Common Stock,Information Technology,10/09/2020
DJD,037833100,AAPL ,"5,950","695,971.50",0.855,Apple Inc,Common Stock,Information Technology,10/09/2020
DJD,92826C839,V ,"2,957","611,034.48",0.751,Visa Inc,Common Stock,Information Technology,10/09/2020
DJD,825252885,AGPXX ,"25,321","25,321.03",0.031,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
