Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
DWAS,37954A204,GMRE ,"286,580","4,115,288.80",1.570,Global Medical REIT Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
DWAS,229050307,CYRX ,"80,984","3,973,075.04",1.516,CryoPort Inc,Common Stock,Health Care,10/09/2020
DWAS,690370101,OSTK ,"44,885","3,735,778.55",1.425,Overstock.com Inc,Common Stock,Consumer Discretionary,10/09/2020
DWAS,72919P202,PLUG ,"199,094","3,669,302.42",1.400,Plug Power Inc,Common Stock,Industrials,10/09/2020
DWAS,358039105,FRPT ,"28,661","3,488,330.31",1.331,Freshpet Inc,Common Stock,Consumer Staples,10/09/2020
DWAS,359664109,FLGT ,"79,042","3,477,848.00",1.327,Fulgent Genetics Inc,Common Stock,Health Care,10/09/2020
DWAS,59045L106,MRSN ,"164,411","3,201,082.17",1.221,Mersana Therapeutics Inc,Common Stock,Health Care,10/09/2020
DWAS,63910B102,NLS ,"140,495","3,104,939.50",1.185,Nautilus Inc,Common Stock,Consumer Discretionary,10/09/2020
DWAS,28225C806,EGAN ,"179,310","3,042,890.70",1.161,eGain Corp,Common Stock,Information Technology,10/09/2020
DWAS,42805E306,HSKA ,"28,199","3,026,598.67",1.155,Heska Corp,Common Stock,Health Care,10/09/2020
DWAS,147448104,CWST ,"49,827","2,977,163.25",1.136,Casella Waste Systems Inc,Common Stock,Industrials,10/09/2020
DWAS,98138J206,WKHS ,"106,096","2,840,189.92",1.084,Workhorse Group Inc,Common Stock,Consumer Discretionary,10/09/2020
DWAS,899896104,TUP ,"123,492","2,737,817.64",1.045,Tupperware Brands Corp,Common Stock,Consumer Discretionary,10/09/2020
DWAS,682095104,OFLX ,"15,613","2,654,366.13",1.013,Omega Flex Inc,Common Stock,Industrials,10/09/2020
DWAS,14427M107,PRTS ,"239,759","2,615,770.69",0.998,CarParts.com Inc,Common Stock,Consumer Discretionary,10/09/2020
DWAS,093712107,BE ,"112,523","2,579,027.16",0.984,Bloom Energy Corp,Common Stock,Industrials,10/09/2020
DWAS,15117B202,CLDX ,"148,523","2,544,198.99",0.971,Celldex Therapeutics Inc,Common Stock,Health Care,10/09/2020
DWAS,45685K102,INFU ,"185,925","2,528,580.00",0.965,InfuSystem Holdings Inc,Common Stock,Health Care,10/09/2020
DWAS,749397105,RCM ,"142,371","2,522,814.12",0.963,R1 RCM Inc,Common Stock,Health Care,10/09/2020
DWAS,05988J103,BAND ,"13,377","2,382,711.24",0.909,Bandwidth Inc,Common Stock,Communication Services,10/09/2020
DWAS,28238P109,EHTH ,"27,321","2,350,698.84",0.897,eHealth Inc,Common Stock,Financials,10/09/2020
DWAS,81750R102,MCRB ,"73,743","2,345,027.40",0.895,Seres Therapeutics Inc,Common Stock,Health Care,10/09/2020
DWAS,852312305,STAA ,"38,479","2,234,475.53",0.853,Staar Surgical Co,Common Stock,Health Care,10/09/2020
DWAS,92337F107,VCYT ,"51,774","2,146,550.04",0.819,Veracyte Inc,Common Stock,Health Care,10/09/2020
DWAS,258278100,DORM ,"21,070","1,958,667.20",0.747,Dorman Products Inc,Common Stock,Consumer Discretionary,10/09/2020
DWAS,46583P102,ISEE ,"315,306","1,932,825.78",0.737,IVERIC bio Inc,Common Stock,Health Care,10/09/2020
DWAS,25400W102,APPS ,"52,983","1,930,170.69",0.736,Digital Turbine Inc,Common Stock,Information Technology,10/09/2020
DWAS,30212W100,EXPI ,"32,385","1,910,391.15",0.729,eXp World Holdings Inc,Common Stock,Real Estate,10/09/2020
DWAS,38046C109,GOGO ,"173,257","1,907,559.57",0.728,Gogo Inc,Common Stock,Communication Services,10/09/2020
DWAS,75972A301,REGI ,"28,986","1,833,944.22",0.700,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
DWAS,02361E108,AMRC ,"48,477","1,831,461.06",0.699,Ameresco Inc,Common Stock,Industrials,10/09/2020
DWAS,98379L100,XPEL ,"64,627","1,810,202.27",0.691,XPEL Inc,Common Stock,Consumer Discretionary,10/09/2020
DWAS,690732102,OMI ,"64,070","1,688,885.20",0.644,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
DWAS,00108J109,ACMR ,"22,215","1,676,121.75",0.639,ACM Research Inc,Common Stock,Information Technology,10/09/2020
DWAS,23257D103,CBAY ,"206,601","1,634,213.91",0.624,Cymabay Therapeutics Inc,Common Stock,Health Care,10/09/2020
DWAS,457730109,INSP ,"11,619","1,510,470.00",0.576,Inspire Medical Systems Inc,Common Stock,Health Care,10/09/2020
DWAS,10501E201,BCLI ,"84,154","1,476,902.70",0.563,BrainStorm Cell Therapeutics Inc,Common Stock,Health Care,10/09/2020
