Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EELV,6287841,2412 TT,"1,024,222","3,837,842.55",1.388,Chunghwa Telecom Co Ltd,Common Stock,Communication Services,10/09/2020
EELV,2967084,ELEKTRA* M,"47,447","2,689,211.83",0.973,Grupo Elektra SAB DE CV,Common Stock,Financials,10/09/2020
EELV,6290496,3045 TT,"751,162","2,537,125.65",0.918,Taiwan Mobile Co Ltd,Common Stock,Communication Services,10/09/2020
EELV,6421854,4904 TT,"1,056,993","2,254,800.50",0.816,Far EasTone Telecommunications Co Ltd,Common Stock,Communication Services,10/09/2020
EELV,6704986,2912 TT,"232,000","2,223,848.86",0.804,President Chain Store Corp,Common Stock,Consumer Staples,10/09/2020
EELV,6190950,2002 TT,"2,841,140","2,045,018.68",0.740,China Steel Corp,Common Stock,Materials,10/09/2020
EELV,6444066,2886 TT,"2,035,777","1,986,885.43",0.719,Mega Financial Holding Co Ltd,Common Stock,Financials,10/09/2020
EELV,6425663,2882 TT,"1,446,000","1,937,979.71",0.701,Cathay Financial Holding Co Ltd,Common Stock,Financials,10/09/2020
EELV,6869971,2812 TT,"4,933,536","1,883,029.01",0.681,Taichung Commercial Bank Co Ltd,Common Stock,Financials,10/09/2020
EELV,6225744,2324 TT,"2,844,000","1,868,639.55",0.676,Compal Electronics Inc,Common Stock,Information Technology,10/09/2020
EELV,G21515104,CBPO ,"16,283","1,832,814.48",0.663,China Biologic Products Holdings Inc,Common Stock,Health Care,10/09/2020
EELV,B73XCZ3,5880 TT,"2,629,930","1,819,655.98",0.658,Taiwan Cooperative Financial Holding Co Ltd,Common Stock,Financials,10/09/2020
EELV,6681669,PEP ,"387,600","1,797,429.40",0.650,PPB Group Bhd,Common Stock,Consumer Staples,10/09/2020
EELV,6411877,2880 TT,"2,893,345","1,795,166.82",0.649,Hua Nan Financial Holdings Co Ltd,Common Stock,Financials,10/09/2020
EELV,6187855,2801 TT,"2,892,047","1,769,159.78",0.640,Chang Hwa Commercial Bank Ltd,Common Stock,Financials,10/09/2020
EELV,6556325,MAY ,"985,092","1,762,495.36",0.638,Malayan Banking Bhd,Common Stock,Financials,10/09/2020
EELV,B0VR7W0,MARK QD,"1,519,726","1,752,213.61",0.634,Masraf Al Rayan QSC,Common Stock,Financials,10/09/2020
EELV,B12M7Q5,STC AB,"62,433","1,731,013.60",0.626,Saudi Telecom Co,Common Stock,Communication Services,10/09/2020
EELV,6348588,1434 TT,"1,556,000","1,730,154.41",0.626,Formosa Taffeta Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
EELV,6700393,1216 TT,"780,181","1,715,968.53",0.621,Uni-President Enterprises Corp,Common Stock,Consumer Staples,10/09/2020
EELV,6086242,DIGI ,"1,696,763","1,702,506.40",0.616,DiGi.Com Bhd,Common Stock,Communication Services,10/09/2020
EELV,B01FLR7,2318 HK,"161,773","1,686,603.11",0.610,Ping An Insurance Group Co of China Ltd,Common Stock,Financials,10/09/2020
EELV,6713982,QIBK QD,"367,827","1,682,043.27",0.608,Qatar Islamic Bank SAQ,Common Stock,Financials,10/09/2020
EELV,6109439,1722 TT,"952,000","1,675,764.23",0.606,Taiwan Fertilizer Co Ltd,Common Stock,Materials,10/09/2020
EELV,6411673,2881 TT,"1,165,875","1,668,206.24",0.603,Fubon Financial Holding Co Ltd,Common Stock,Financials,10/09/2020
EELV,6431756,2883 TT,"5,557,472","1,665,943.71",0.603,China Development Financial Holding Corp,Common Stock,Financials,10/09/2020
EELV,6580119,2892 TT,"2,287,995","1,658,834.26",0.600,First Financial Holding Co Ltd,Common Stock,Financials,10/09/2020
EELV,6758422,2915 TT,"728,000","1,654,487.78",0.599,Ruentex Industries Ltd,Common Stock,Consumer Discretionary,10/09/2020
EELV,B0P6L87,3702 TT,"1,192,937","1,652,872.03",0.598,WPG Holdings Ltd,Common Stock,Information Technology,10/09/2020
