Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EEMO,6889106,2330 TT,"34,973","552,224.51",9.488,Taiwan Semiconductor Manufacturing Co Ltd,Common Stock,Information Technology,10/09/2020
EEMO,BGJW376,3690 HK,"15,414","537,000.41",9.226,Meituan Dianping,Common Stock,Consumer Discretionary,10/09/2020
EEMO,01609W102,BABA ,"1,771","530,839.54",9.121,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,BMMV2K8,700 HK,"7,427","517,011.70",8.883,Tencent Holdings Ltd,Common Stock,Communication Services,10/09/2020
EEMO,6771720,005930 KS,"8,301","429,715.76",7.383,Samsung Electronics Co Ltd,Common Stock,Information Technology,10/09/2020
EEMO,6099626,RIL ,"7,016","214,230.44",3.681,Reliance Industries Ltd,Common Stock,Energy,10/09/2020
EEMO,47215P106,JD ,"2,414","192,613.06",3.309,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,6372480,2454 TT,"5,151","120,295.93",2.067,MediaTek Inc,Common Stock,Information Technology,10/09/2020
EEMO,722304102,PDD ,"1,503","119,548.62",2.054,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,6560393,035420 KS,439,"114,579.67",1.969,NAVER Corp,Common Stock,Communication Services,10/09/2020
EEMO,874080104,TAL ,"1,291","102,479.58",1.761,TAL Education Group ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,64110W102,NTES ,"1,045","94,677.00",1.627,NetEase Inc ADR,American Depository Receipt,Communication Services,10/09/2020
EEMO,6194037,035720 KS,257,"84,459.57",1.451,Kakao Corp,Common Stock,Communication Services,10/09/2020
EEMO,BG0ZMJ9,1810 HK,"25,761","69,637.35",1.196,Xiaomi Corp,Common Stock,Information Technology,10/09/2020
EEMO,6773812,005935 KS,"1,504","67,424.06",1.158,Samsung Electronics Co Ltd,Preference			     ,Information Technology,10/09/2020
EEMO,BZ3C3R5,2269 HK,"2,386","62,374.26",1.072,Wuxi Biologics Cayman Inc,Common Stock,Health Care,10/09/2020
EEMO,62914V106,NIO ,"2,560","54,963.20",0.944,NIO Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,6346913,051910 KS,91,"54,603.95",0.938,LG Chem Ltd,Common Stock,Materials,10/09/2020
EEMO,36257Y109,GSX ,446,"51,089.30",0.878,GSX Techedu Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,B0C5YV1,068270 KS,201,"45,663.99",0.785,Celltrion Inc,Common Stock,Health Care,10/09/2020
EEMO,B05L892,TOPG ,"20,497","43,660.20",0.750,Top Glove Corp Bhd,Common Stock,Health Care,10/09/2020
EEMO,6261674,HUVR ,"1,347","39,402.67",0.677,Hindustan Unilever Ltd,Common Stock,Consumer Staples,10/09/2020
EEMO,6771645,006400 KS,97,"37,429.00",0.643,Samsung SDI Co Ltd,Common Stock,Information Technology,10/09/2020
EEMO,BYNJCV6,207940 KS,57,"35,339.26",0.607,Samsung Biologics Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,2945422,WEGE3 ,"2,520","35,057.94",0.602,WEG SA,Common Stock,Industrials,10/09/2020
EEMO,6916628,2303 TT,"30,934","34,719.75",0.597,United Microelectronics Corp,Common Stock,Information Technology,10/09/2020
EEMO,BG36ZK1,B3SA3 ,"3,370","33,354.63",0.573,B3 SA - Brasil Bolsa Balcao,Common Stock,Financials,10/09/2020
EEMO,6280215,GFI ,"2,487","32,600.98",0.560,Gold Fields Ltd,Common Stock,Materials,10/09/2020
EEMO,98980A105,ZTO ,"1,082","32,362.62",0.556,ZTO Express Cayman Inc ADR,American Depository Receipt,Industrials,10/09/2020
EEMO,B2QPJK5,HART ,"7,677","32,296.86",0.555,Hartalega Holdings Bhd,Common Stock,Health Care,10/09/2020
EEMO,BDQZP48,6098 HK,"4,774","32,278.19",0.555,Country Garden Services Holdings Co Ltd,Common Stock,Industrials,10/09/2020
EEMO,BDFBM13,981 HK,"13,299","31,711.48",0.545,Semiconductor Manufacturing International Corp,Common Stock,Information Technology,10/09/2020
EEMO,B4975P9,MGLU3 ,"1,631","28,960.34",0.498,Magazine Luiza SA,Common Stock,Consumer Discretionary,10/09/2020
EEMO,B5B1TX2,GMKN RM,113,"28,692.66",0.493,MMC Norilsk Nickel PJSC,Common Stock,Materials,10/09/2020
EEMO,B57R0L9,PLZL RM,129,"28,588.19",0.491,Polyus PJSC,Common Stock,Materials,10/09/2020
EEMO,6442327,BHARTI ,"4,627","26,897.26",0.462,Bharti Airtel Ltd,Common Stock,Communication Services,10/09/2020
EEMO,090040106,BILI ,546,"26,437.32",0.454,Bilibili Inc ADR,American Depository Receipt,Communication Services,10/09/2020
EEMO,6565655,ANG ,890,"24,808.15",0.426,AngloGold Ashanti Ltd,Common Stock,Materials,10/09/2020
EEMO,6327587,268 HK,"8,302","24,798.72",0.426,Kingdee International Software Group Co Ltd,Common Stock,Information Technology,10/09/2020
EEMO,B679Q36,096530 KS,96,"24,723.17",0.425,Seegene Inc,Common Stock,Health Care,10/09/2020
EEMO,6260734,2308 TT,"3,508","23,599.43",0.405,Delta Electronics Inc,Common Stock,Information Technology,10/09/2020
EEMO,6264189,036570 KS,35,"22,792.11",0.392,NCSoft Corp,Common Stock,Communication Services,10/09/2020
EEMO,6410959,DRRD ,319,"22,473.27",0.386,Dr Reddy's Laboratories Ltd,Common Stock,Health Care,10/09/2020
EEMO,B00XSF9,1177 HK,"19,757","21,592.35",0.371,Sino Biopharmaceutical Ltd,Common Stock,Health Care,10/09/2020
EEMO,92763W103,VIPS ,"1,269","19,796.40",0.340,Vipshop Holdings Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
EEMO,36165L108,GDS ,220,"19,058.60",0.327,GDS Holdings Ltd ADR,American Depository Receipt,Information Technology,10/09/2020
EEMO,6742340,1066 HK,"8,696","18,110.00",0.311,Shandong Weigao Group Medical Polymer Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,B1V7L36,SUCB ,"7,739","17,850.59",0.307,Supermax Corp Bhd,Common Stock,Health Care,10/09/2020
EEMO,BD9GZX7,1579 HK,"1,138","17,840.79",0.307,Yihai International Holding Ltd,Common Stock,Consumer Staples,10/09/2020
EEMO,BGQYNN1,968 HK,"9,954","17,544.61",0.301,Xinyi Solar Holdings Ltd,Common Stock,Information Technology,10/09/2020
EEMO,BDRYVB3,1833 HK,"1,376","17,399.63",0.299,Ping An Healthcare and Technology Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,B6T5S47,POLY LN,765,"16,988.43",0.292,Polymetal International PLC,Common Stock,Materials,10/09/2020
EEMO,BYZ6DH8,091990 KS,207,"16,279.99",0.280,Celltrion Healthcare Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,6141011,2382 TT,"6,199","16,184.08",0.278,Quanta Computer Inc,Common Stock,Information Technology,10/09/2020
EEMO,BL0L913,SSW ,"5,261","16,156.41",0.278,Sibanye Stillwater Ltd,Common Stock,Materials,10/09/2020
EEMO,6051422,2379 TT,"1,186","15,729.83",0.270,Realtek Semiconductor Corp,Common Stock,Information Technology,10/09/2020
EEMO,BSTJWN0,196170 KS,100,"15,703.45",0.270,Alteogen Inc,Common Stock,Health Care,10/09/2020
EEMO,6806116,019170 KS,127,"15,417.30",0.265,Shin Poong Pharmaceutical Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,B56KLY9,960 HK,"2,672","15,135.49",0.260,Longfor Group Holdings Ltd,Common Stock,Real Estate,10/09/2020
EEMO,6972459,291 HK,"2,462","14,898.97",0.256,China Resources Beer Holdings Co Ltd,Common Stock,Consumer Staples,10/09/2020
EEMO,7302215,CDR ,147,"14,713.62",0.253,CD Projekt SA,Common Stock,Communication Services,10/09/2020
EEMO,6128605,NEST ,67,"14,687.06",0.252,Nestle India Ltd,Common Stock,Consumer Staples,10/09/2020
EEMO,BGR6KX5,1801 HK,"1,829","14,336.91",0.246,Innovent Biologics Inc,Common Stock,Health Care,10/09/2020
EEMO,B1FFT76,IMP ,"1,434","13,904.29",0.239,Impala Platinum Holdings Ltd,Common Stock,Materials,10/09/2020
EEMO,6417165,2207 TT,608,"13,881.28",0.238,Hotai Motor Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
EEMO,98887Q104,ZLAB ,149,"13,857.00",0.238,Zai Lab Ltd ADR,American Depository Receipt,Health Care,10/09/2020
EEMO,6346333,3034 TT,"1,379","13,554.95",0.233,Novatek Microelectronics Corp,Common Stock,Information Technology,10/09/2020
EEMO,-UAE Dirham-,-UAE Dirha,"49,271","13,413.89",0.230,Cash/Receivables/Payables,Currency,Cash,10/09/2020
EEMO,BGHH0L6,2359 HK,907,"13,329.89",0.229,WuXi AppTec Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,6080396,914 HK,"1,928","13,259.58",0.228,Anhui Conch Cement Co Ltd,Common Stock,Materials,10/09/2020
EEMO,BD6H7M6,ADANIGR ,"1,391","13,006.69",0.223,Adani Green Energy Ltd,Common Stock,Utilities,10/09/2020
EEMO,6602518,DIVI ,292,"12,734.71",0.219,Divi's Laboratories Ltd,Common Stock,Health Care,10/09/2020
EEMO,B27WRM3,3888 HK,"2,344","12,476.05",0.214,Kingsoft Corp Ltd,Common Stock,Information Technology,10/09/2020
EEMO,6771689,009150 KS,102,"12,426.62",0.214,Samsung Electro-Mechanics Co Ltd,Common Stock,Information Technology,10/09/2020
EEMO,B676TW7,853 HK,"2,889","12,152.36",0.209,Microport Scientific Corp,Common Stock,Health Care,10/09/2020
EEMO,BH7HM06,586 HK,"2,608","12,080.85",0.208,China Conch Venture Holdings Ltd,Common Stock,Industrials,10/09/2020
EEMO,B606XG6,4743 TT,978,"11,914.36",0.205,Oneness Biotech Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,B05NXN7,868 HK,"5,430","11,770.76",0.202,Xinyi Glass Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
EEMO,B0Y91C1,3323 HK,"8,566","11,052.83",0.190,China National Building Material Co Ltd,Common Stock,Materials,10/09/2020
EEMO,BGSQG47,BRIT ,213,"10,905.82",0.187,Britannia Industries Ltd,Common Stock,Consumer Staples,10/09/2020
EEMO,B633D97,881 HK,"1,638","10,705.05",0.184,Zhongsheng Group Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
EEMO,BF2RZ42,285130 KS,35,"10,591.81",0.182,SK Chemicals Co Ltd,Common Stock,Materials,10/09/2020
EEMO,B1LH3Y1,BTOW3 ,653,"10,517.42",0.181,B2W Cia Digital,Common Stock,Consumer Discretionary,10/09/2020
EEMO,B7VY430,VVAR3 ,"3,071","10,505.84",0.181,Via Varejo S/A,Common Stock,Consumer Discretionary,10/09/2020
EEMO,6869937,1101 TT,"7,228","10,367.46",0.178,Taiwan Cement Corp,Common Stock,Materials,10/09/2020
EEMO,6517407,028300 KS,122,"10,346.07",0.178,HLB Inc,Common Stock,Consumer Discretionary,10/09/2020
EEMO,BJYKB72,3692 HK,"2,042","10,144.06",0.174,Hansoh Pharmaceutical Group Co Ltd,Common Stock,Health Care,10/09/2020
EEMO,6984380,2327 TT,794,"10,046.43",0.173,Yageo Corp,Common Stock,Information Technology,10/09/2020
EEMO,B0DD1H9,KRI ,"5,688","9,943.00",0.171,Kossan Rubber Industries,Common Stock,Health Care,10/09/2020
EEMO,B16YNS1,813 HK,"2,417","9,933.03",0.171,Shimao Group Holdings Ltd,Common Stock,Real Estate,10/09/2020
EEMO,B6RV676,4966 TT,245,"9,692.74",0.167,Parade Technologies Ltd,Common Stock,Information Technology,10/09/2020
EEMO,B7FQV64,RADL3 ,"2,096","9,574.41",0.165,Raia Drogasil SA,Common Stock,Consumer Staples,10/09/2020
