Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EQAL,77543R102,ROKU ,"10,566","2,366,255.70",0.502,Roku Inc,Common Stock,Communication Services,10/09/2020
EQAL,90353W103,UI ,"11,041","2,091,054.99",0.443,Ubiquiti Inc,Common Stock,Information Technology,10/09/2020
EQAL,55024U109,LITE ,"23,978","1,983,939.72",0.421,Lumentum Holdings Inc,Common Stock,Information Technology,10/09/2020
EQAL,166764100,CVX ,"26,627","1,970,398.00",0.418,Chevron Corp,Common Stock,Energy,10/09/2020
EQAL,620076307,MSI ,"11,207","1,869,103.46",0.396,Motorola Solutions Inc,Common Stock,Information Technology,10/09/2020
EQAL,20337X109,COMM ,"189,918","1,828,910.34",0.388,CommScope Holding Co Inc,Common Stock,Information Technology,10/09/2020
EQAL,530307305,LBRDK ,"12,270","1,806,880.20",0.383,Liberty Broadband Corp,Common Stock,Communication Services,10/09/2020
EQAL,36164V305,GLIBA ,"21,335","1,804,727.65",0.383,GCI Liberty Inc,Common Stock,Communication Services,10/09/2020
EQAL,171779309,CIEN ,"41,512","1,786,261.36",0.379,Ciena Corp,Common Stock,Information Technology,10/09/2020
EQAL,16119P108,CHTR ,"2,789","1,772,799.96",0.376,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
EQAL,872590104,TMUS ,"15,081","1,767,945.63",0.375,T-Mobile US Inc,Common Stock,Communication Services,10/09/2020
EQAL,12685J105,CABO ,944,"1,733,051.84",0.367,Cable One Inc,Common Stock,Communication Services,10/09/2020
EQAL,02156K103,ATUS ,"63,572","1,729,158.40",0.367,Altice USA Inc,Common Stock,Communication Services,10/09/2020
EQAL,20030N101,CMCSA ,"38,269","1,716,364.65",0.364,Comcast Corp,Common Stock,Communication Services,10/09/2020
EQAL,29355A107,ENPH ,"15,681","1,712,051.58",0.363,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
EQAL,92552V100,VSAT ,"47,710","1,699,430.20",0.360,ViaSat Inc,Common Stock,Information Technology,10/09/2020
EQAL,17275R102,CSCO ,"42,571","1,696,454.35",0.360,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
EQAL,83417M104,SEDG ,"5,544","1,692,860.40",0.359,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
EQAL,92343V104,VZ ,"28,299","1,678,979.67",0.356,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
EQAL,502431109,LHX ,"9,552","1,675,898.40",0.355,L3Harris Technologies Inc,Common Stock,Industrials,10/09/2020
EQAL,278768106,SATS ,"61,751","1,673,452.10",0.355,EchoStar Corp,Common Stock,Information Technology,10/09/2020
EQAL,48203R104,JNPR ,"73,725","1,670,608.50",0.354,Juniper Networks Inc,Common Stock,Information Technology,10/09/2020
EQAL,00206R102,T ,"58,272","1,650,263.04",0.350,AT&T Inc,Common Stock,Communication Services,10/09/2020
EQAL,156700106,LUMN ,"159,679","1,614,354.69",0.342,CenturyLink Inc,Common Stock,Communication Services,10/09/2020
EQAL,911684108,USM ,"48,615","1,515,329.55",0.321,United States Cellular Corp,Common Stock,Communication Services,10/09/2020
EQAL,680665205,OLN ,"96,787","1,487,616.19",0.315,Olin Corp,Common Stock,Materials,10/09/2020
EQAL,879433829,TDS ,"77,419","1,474,831.95",0.313,Telephone and Data Systems Inc,Common Stock,Communication Services,10/09/2020
EQAL,25470M109,DISH ,"52,493","1,434,633.69",0.304,DISH Network Corp,Common Stock,Communication Services,10/09/2020
EQAL,384313508,EAF ,"177,968","1,299,166.40",0.275,GrafTech International Ltd,Common Stock,Industrials,10/09/2020
EQAL,98212B103,WPX ,"238,866","1,242,103.20",0.263,WPX Energy Inc,Common Stock,Energy,10/09/2020
EQAL,N53745100,LYB ,"15,401","1,229,615.84",0.261,LyondellBasell Industries NV,Common Stock,Materials,10/09/2020
EQAL,053611109,AVY ,"9,417","1,228,918.50",0.261,Avery Dennison Corp,Common Stock,Materials,10/09/2020
EQAL,460146103,IP ,"28,778","1,227,957.26",0.260,International Paper Co,Common Stock,Materials,10/09/2020
EQAL,858119100,STLD ,"37,600","1,225,008.00",0.260,Steel Dynamics Inc,Common Stock,Materials,10/09/2020
EQAL,150870103,CE ,"10,395","1,224,946.80",0.260,Celanese Corp,Common Stock,Materials,10/09/2020
EQAL,163851108,CC ,"53,252","1,224,263.48",0.260,Chemours Co/The,Common Stock,Materials,10/09/2020
EQAL,960413102,WLK ,"17,599","1,215,738.92",0.258,Westlake Chemical Corp,Common Stock,Materials,10/09/2020
EQAL,61945C103,MOS ,"61,663","1,215,377.73",0.258,Mosaic Co/The,Common Stock,Materials,10/09/2020
EQAL,277432100,EMN ,"13,921","1,199,433.36",0.254,Eastman Chemical Co,Common Stock,Materials,10/09/2020
EQAL,887389104,TKR ,"19,772","1,197,194.60",0.254,Timken Co/The,Common Stock,Industrials,10/09/2020
EQAL,35671D857,FCX ,"69,291","1,193,883.93",0.253,Freeport-McMoRan Inc,Common Stock,Materials,10/09/2020
EQAL,447011107,HUN ,"48,348","1,183,559.04",0.251,Huntsman Corp,Common Stock,Materials,10/09/2020
EQAL,69331C108,PCG ,"109,565","1,178,919.40",0.250,PG&E Corp,Common Stock,Utilities,10/09/2020
EQAL,25179M103,DVN ,"116,873","1,176,911.11",0.250,Devon Energy Corp,Common Stock,Energy,10/09/2020
EQAL,670346105,NUE ,"24,073","1,176,206.78",0.249,Nucor Corp,Common Stock,Materials,10/09/2020
EQAL,127055101,CBT ,"28,824","1,172,560.32",0.249,Cabot Corp,Common Stock,Materials,10/09/2020
EQAL,759509102,RS ,"10,490","1,172,257.50",0.249,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
EQAL,336433107,FSLR ,"14,831","1,168,831.11",0.248,First Solar Inc,Common Stock,Information Technology,10/09/2020
EQAL,87612G101,TRGP ,"69,576","1,166,789.52",0.247,Targa Resources Corp,Common Stock,Energy,10/09/2020
EQAL,28618M106,ESI ,"94,934","1,159,144.14",0.246,Element Solutions Inc,Common Stock,Materials,10/09/2020
EQAL,311900104,FAST ,"24,856","1,159,035.28",0.246,Fastenal Co,Common Stock,Industrials,10/09/2020
EQAL,682680103,OKE ,"39,825","1,156,916.25",0.245,ONEOK Inc,Common Stock,Energy,10/09/2020
EQAL,91336L107,UNVR ,"63,937","1,156,620.33",0.245,Univar Solutions Inc,Common Stock,Industrials,10/09/2020
EQAL,84265V105,SCCO ,"24,025","1,155,122.00",0.245,Southern Copper Corp,Common Stock,Materials,10/09/2020
EQAL,723484101,PNW ,"13,812","1,140,318.72",0.242,Pinnacle West Capital Corp,Common Stock,Utilities,10/09/2020
