Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EQWL,31428X106,FDX ,"2,585","701,956.75",1.129,FedEx Corp,Common Stock,Industrials,10/09/2020
EQWL,369604103,GE ,"101,174","692,030.16",1.113,General Electric Co,Common Stock,Industrials,10/09/2020
EQWL,842587107,SO ,"11,627","682,969.98",1.098,Southern Co/The,Common Stock,Utilities,10/09/2020
EQWL,09247X101,BLK ,"1,112","680,065.84",1.094,BlackRock Inc,Common Stock,Financials,10/09/2020
EQWL,67066G104,NVDA ,"1,231","677,677.81",1.090,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
EQWL,14040H105,COF ,"8,470","676,583.60",1.088,Capital One Financial Corp,Common Stock,Financials,10/09/2020
EQWL,26441C204,DUK ,"7,248","676,238.40",1.088,Duke Energy Corp,Common Stock,Utilities,10/09/2020
EQWL,64110L106,NFLX ,"1,249","673,760.56",1.084,Netflix Inc,Common Stock,Communication Services,10/09/2020
EQWL,654106103,NKE ,"5,100","667,998.00",1.074,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
EQWL,87612E106,TGT ,"4,076","667,281.96",1.073,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
EQWL,747525103,QCOM ,"5,307","662,685.09",1.066,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
EQWL,882508104,TXN ,"4,391","662,645.81",1.066,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
EQWL,235851102,DHR ,"2,923","660,773.38",1.063,Danaher Corp,Common Stock,Health Care,10/09/2020
EQWL,911312106,UPS ,"3,769","658,406.61",1.059,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
EQWL,79466L302,CRM ,"2,463","655,108.74",1.054,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
EQWL,30161N101,EXC ,"16,711","655,071.20",1.054,Exelon Corp,Common Stock,Utilities,10/09/2020
EQWL,91324P102,UNH ,"1,997","654,696.48",1.053,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
EQWL,22160K105,COST ,"1,766","652,466.36",1.049,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
EQWL,65339F101,NEE ,"2,153","652,165.23",1.049,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
EQWL,68389X105,ORCL ,"10,561","645,805.15",1.039,Oracle Corp,Common Stock,Information Technology,10/09/2020
EQWL,883556102,TMO ,"1,389","645,468.30",1.038,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
EQWL,70450Y103,PYPL ,"3,271","645,270.17",1.038,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
EQWL,458140100,INTC ,"12,215","645,196.30",1.038,Intel Corp,Common Stock,Information Technology,10/09/2020
EQWL,548661107,LOW ,"3,719","644,242.37",1.036,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
EQWL,00724F101,ADBE ,"1,278","641,760.48",1.032,Adobe Inc,Common Stock,Information Technology,10/09/2020
EQWL,902973304,USB ,"16,324","639,411.08",1.028,US Bancorp,Common Stock,Financials,10/09/2020
EQWL,09062X103,BIIB ,"2,231","639,270.74",1.028,Biogen Inc,Common Stock,Health Care,10/09/2020
EQWL,57636Q104,MA ,"1,814","639,235.46",1.028,Mastercard Inc,Common Stock,Information Technology,10/09/2020
EQWL,16119P108,CHTR ,"1,001","636,275.64",1.023,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
EQWL,828806109,SPG ,"9,382","635,349.04",1.022,Simon Property Group Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EQWL,20825C104,COP ,"18,084","635,290.92",1.022,ConocoPhillips,Common Stock,Energy,10/09/2020
EQWL,023135106,AMZN ,193,"634,323.45",1.020,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
EQWL,532457108,LLY ,"4,043","634,265.84",1.020,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
EQWL,674599105,OXY ,"58,586","633,900.52",1.019,Occidental Petroleum Corp,Common Stock,Energy,10/09/2020
EQWL,594918104,MSFT ,"2,935","633,402.35",1.019,Microsoft Corp,Common Stock,Information Technology,10/09/2020
EQWL,37045V100,GM ,"19,657","632,169.12",1.017,General Motors Co,Common Stock,Consumer Discretionary,10/09/2020
EQWL,855244109,SBUX ,"7,022","632,050.22",1.017,Starbucks Corp,Common Stock,Consumer Discretionary,10/09/2020
EQWL,026874784,AIG ,"21,083","631,435.85",1.016,American International Group Inc,Common Stock,Financials,10/09/2020
