Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EWCO,90184L102,TWTR ,"23,686","1,087,187.40",5.314,Twitter Inc,Common Stock,Communication Services,10/09/2020
EWCO,64110L106,NFLX ,"1,913","1,031,948.72",5.044,Netflix Inc,Common Stock,Communication Services,10/09/2020
EWCO,460690100,IPG ,"53,301","978,606.36",4.784,Interpublic Group of Cos Inc/The,Common Stock,Communication Services,10/09/2020
EWCO,16119P108,CHTR ,"1,533","974,436.12",4.763,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
EWCO,874054109,TTWO ,"6,006","970,809.84",4.746,Take-Two Interactive Software Inc,Common Stock,Communication Services,10/09/2020
EWCO,872590104,TMUS ,"8,264","968,788.72",4.736,T-Mobile US Inc,Common Stock,Communication Services,10/09/2020
EWCO,285512109,EA ,"7,317","932,551.65",4.559,Electronic Arts Inc,Common Stock,Communication Services,10/09/2020
EWCO,20030N101,CMCSA ,"20,643","925,838.55",4.526,Comcast Corp,Common Stock,Communication Services,10/09/2020
EWCO,00507V109,ATVI ,"11,827","924,989.67",4.522,Activision Blizzard Inc,Common Stock,Communication Services,10/09/2020
EWCO,681919106,OMC ,"17,624","924,731.28",4.520,Omnicom Group Inc,Common Stock,Communication Services,10/09/2020
EWCO,538034109,LYV ,"16,138","917,122.54",4.483,Live Nation Entertainment Inc,Common Stock,Communication Services,10/09/2020
EWCO,92343V104,VZ ,"15,423","915,046.59",4.473,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
EWCO,30303M102,FB ,"3,458","914,468.10",4.470,Facebook Inc,Common Stock,Communication Services,10/09/2020
EWCO,92556H206,VIAC ,"31,493","910,620.10",4.451,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
EWCO,00206R102,T ,"31,797","900,491.04",4.402,AT&T Inc,Common Stock,Communication Services,10/09/2020
EWCO,156700106,LUMN ,"86,583","875,354.13",4.279,CenturyLink Inc,Common Stock,Communication Services,10/09/2020
EWCO,254687106,DIS ,"6,999","874,735.02",4.276,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
EWCO,25470M109,DISH ,"28,721","784,944.93",3.837,DISH Network Corp,Common Stock,Communication Services,10/09/2020
EWCO,65249B109,NWSA ,"46,635","664,315.58",3.247,News Corp,Common Stock,Communication Services,10/09/2020
EWCO,35137L105,FOXA ,"22,371","653,009.49",3.192,Fox Corp,Common Stock,Communication Services,10/09/2020
EWCO,25470F302,DISCK ,"28,603","571,058.90",2.792,Discovery Inc,Common Stock,Communication Services,10/09/2020
EWCO,02079K305,GOOGL ,308,"465,218.60",2.274,Alphabet Inc,Common Stock,Communication Services,10/09/2020
EWCO,02079K107,GOOG ,300,"454,566.00",2.222,Alphabet Inc,Common Stock,Communication Services,10/09/2020
EWCO,25470F104,DISCA ,"14,468","321,768.32",1.573,Discovery Inc,Common Stock,Communication Services,10/09/2020
EWCO,35137L204,FOX ,"10,398","303,621.60",1.484,Fox Corp,Common Stock,Communication Services,10/09/2020
EWCO,65249B208,NWS ,"14,604","206,719.62",1.011,News Corp,Common Stock,Communication Services,10/09/2020
EWCO,825252885,AGPXX ,"3,963","3,962.92",0.019,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
EWCO,CASHUSD00,-CASH-,96,96.17,0.000,Cash/Receivables/Payables,Currency,Cash,10/09/2020
