Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EWMC,80874P109,SGMS ,"9,143","306,930.51",0.413,Scientific Games Corp,Common Stock,Consumer Discretionary,10/09/2020
EWMC,74838J101,QDEL ,"1,076","299,181.80",0.403,Quidel Corp,Common Stock,Health Care,10/09/2020
EWMC,29355A107,ENPH ,"2,664","290,855.52",0.391,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
EWMC,83417M104,SEDG ,943,"287,945.05",0.388,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
EWMC,278265103,EV ,"4,539","273,747.09",0.368,Eaton Vance Corp,Common Stock,Financials,10/09/2020
EWMC,G4474Y214,JHG ,"9,029","248,929.53",0.335,Janus Henderson Group PLC,Common Stock,Financials,10/09/2020
EWMC,600544100,MLHR ,"7,644","242,697.00",0.327,Herman Miller Inc,Common Stock,Industrials,10/09/2020
EWMC,04280A100,ARWR ,"5,223","240,519.15",0.324,Arrowhead Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
EWMC,680665205,OLN ,"15,242","234,269.54",0.315,Olin Corp,Common Stock,Materials,10/09/2020
EWMC,70438V106,PCTY ,"1,263","232,316.22",0.313,Paylocity Holding Corp,Common Stock,Information Technology,10/09/2020
EWMC,609839105,MPWR ,732,"230,916.72",0.311,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
EWMC,86771W105,RUN ,"3,104","221,718.72",0.298,Sunrun Inc,Common Stock,Industrials,10/09/2020
EWMC,880779103,TEX ,"8,936","218,753.28",0.294,Terex Corp,Common Stock,Industrials,10/09/2020
EWMC,05350V106,AVNS ,"5,588","216,423.24",0.291,Avanos Medical Inc,Common Stock,Health Care,10/09/2020
EWMC,902104108,IIVI ,"4,753","215,881.26",0.291,II-VI Inc,Common Stock,Information Technology,10/09/2020
EWMC,981811102,WOR ,"4,494","214,948.02",0.289,Worthington Industries Inc,Common Stock,Materials,10/09/2020
EWMC,172755100,CRUS ,"2,987","214,884.78",0.289,Cirrus Logic Inc,Common Stock,Information Technology,10/09/2020
EWMC,243537107,DECK ,854,"214,533.34",0.289,Deckers Outdoor Corp,Common Stock,Consumer Discretionary,10/09/2020
EWMC,237266101,DAR ,"5,028","212,935.80",0.287,Darling Ingredients Inc,Common Stock,Consumer Staples,10/09/2020
EWMC,91347P105,OLED ,"1,050","212,310.00",0.286,Universal Display Corp,Common Stock,Information Technology,10/09/2020
EWMC,004498101,ACIW ,"7,034","211,582.72",0.285,ACI Worldwide Inc,Common Stock,Information Technology,10/09/2020
