Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EWRE,78440X101,SLG ,"13,259","682,042.96",3.582,SL Green Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,29444U700,EQIX ,793,"657,674.55",3.454,Equinix Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,253868103,DLR ,"4,075","645,235.50",3.389,Digital Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,264411505,DRE ,"15,971","635,965.22",3.340,Duke Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,59522J103,MAA ,"5,119","633,015.54",3.324,Mid-America Apartment Communities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,74340W103,PLD ,"5,921","633,014.11",3.324,Prologis Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,12504L109,CBRE ,"12,648","631,135.20",3.314,CBRE Group Inc,Common Stock,Real Estate,10/09/2020
EWRE,74460D109,PSA ,"2,690","629,486.90",3.306,Public Storage,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,053484101,AVB ,"3,959","626,868.06",3.292,AvalonBay Communities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,929042109,VNO ,"17,648","626,856.96",3.292,Vornado Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,828806109,SPG ,"9,249","626,342.28",3.289,Simon Property Group Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,22822V101,CCI ,"3,741","626,093.76",3.288,Crown Castle International Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,902653104,UDR ,"17,627","625,229.69",3.283,UDR Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,03748R754,AIV ,"16,962","623,523.12",3.274,Apartment Investment and Management Co,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,015271109,ARE ,"3,747","618,817.05",3.250,Alexandria Real Estate Equities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,44107P104,HST ,"53,310","617,329.80",3.242,Host Hotels & Resorts Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,78410G104,SBAC ,"1,948","612,899.24",3.219,SBA Communications Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,962166104,WY ,"20,870","611,908.40",3.213,Weyerhaeuser Co,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,42250P103,PEAK ,"21,274","609,074.62",3.199,Healthpeak Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,758849103,REG ,"15,372","608,423.76",3.195,Regency Centers Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,92276F100,VTR ,"13,544","605,010.48",3.177,Ventas Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,30225T102,EXR ,"5,336","604,835.60",3.176,Extra Space Storage Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,29476L107,EQR ,"10,853","604,077.98",3.172,Equity Residential,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,313747206,FRT ,"7,691","602,820.58",3.166,Federal Realty Investment Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,297178105,ESS ,"2,783","599,597.35",3.149,Essex Property Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,756109104,O ,"9,365","591,774.35",3.108,Realty Income Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,49446R109,KIM ,"50,887","591,306.94",3.105,Kimco Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,101121101,BXP ,"7,131","590,304.18",3.100,Boston Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,03027X100,AMT ,"2,375","581,115.00",3.052,American Tower Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,95040Q104,WELL ,"10,079","567,548.49",2.981,Welltower Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,46284V101,IRM ,"19,897","562,090.25",2.952,Iron Mountain Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
EWRE,CASHUSD00,-CASH-,"-39,593","-39,592.78",-0.208,Cash/Receivables/Payables,Currency,Cash,10/09/2020
