Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
EWSC,36467W109,GME ,"5,953","71,555.06",0.306,GameStop Corp,Common Stock,Consumer Discretionary,10/09/2020
EWSC,075896100,BBBY ,"3,012","64,637.52",0.277,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,G30401106,ENDP ,"12,947","64,476.06",0.276,Endo International PLC,Common Stock,Health Care,10/09/2020
EWSC,690732102,OMI ,"2,309","60,865.24",0.261,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
EWSC,75972A301,REGI ,879,"55,614.33",0.238,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
EWSC,50077C106,KRA ,"2,103","53,268.99",0.228,Kraton Corp,Common Stock,Materials,10/09/2020
EWSC,53635B107,LQDT ,"4,840","53,240.00",0.228,Liquidity Services Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,428567101,HIBB ,956,"52,962.40",0.227,Hibbett Sports Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,00163U106,AMAG ,"3,966","52,866.78",0.226,AMAG Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
EWSC,398905109,GPI ,412,"51,343.44",0.220,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,229669106,CUB ,850,"51,059.50",0.219,Cubic Corp,Common Stock,Industrials,10/09/2020
EWSC,025676206,AEL ,"1,591","49,591.47",0.212,American Equity Investment Life Holding Co,Common Stock,Financials,10/09/2020
EWSC,68554V108,OSUR ,"3,206","49,308.28",0.211,OraSure Technologies Inc,Common Stock,Health Care,10/09/2020
EWSC,89679E300,TBK ,"1,239","48,667.92",0.208,Triumph Bancorp Inc,Common Stock,Financials,10/09/2020
EWSC,25787G100,DFIN ,"3,351","48,086.85",0.206,Donnelley Financial Solutions Inc,Common Stock,Financials,10/09/2020
EWSC,22304C100,CVET ,"1,867","48,037.91",0.206,Covetrus Inc,Common Stock,Health Care,10/09/2020
EWSC,57686G105,MATX ,935,"48,030.95",0.206,Matson Inc,Common Stock,Industrials,10/09/2020
EWSC,G4740B105,ICHR ,"1,822","47,699.96",0.204,Ichor Holdings Ltd,Common Stock,Information Technology,10/09/2020
EWSC,53814L108,LTHM ,"4,171","47,674.53",0.204,Livent Corp,Common Stock,Materials,10/09/2020
EWSC,254543101,DIOD ,751,"47,665.97",0.204,Diodes Inc,Common Stock,Information Technology,10/09/2020
EWSC,18538R103,CLW ,"1,175","47,564.00",0.204,Clearwater Paper Corp,Common Stock,Materials,10/09/2020
EWSC,037598109,APOG ,"1,860","47,337.00",0.203,Apogee Enterprises Inc,Common Stock,Industrials,10/09/2020
EWSC,346375108,FORM ,"1,616","46,993.28",0.201,FormFactor Inc,Common Stock,Information Technology,10/09/2020
EWSC,88554D205,DDD ,"6,945","46,462.05",0.199,3D Systems Corp,Common Stock,Information Technology,10/09/2020
EWSC,39304D102,GDOT ,732,"46,364.88",0.199,Green Dot Corp,Common Stock,Financials,10/09/2020
EWSC,898202106,TRUP ,515,"46,339.70",0.198,Trupanion Inc,Common Stock,Financials,10/09/2020
EWSC,03475V101,ANGO ,"3,984","46,294.08",0.198,AngioDynamics Inc,Common Stock,Health Care,10/09/2020
EWSC,98986M103,ZYXI ,"2,340","46,168.20",0.198,Zynex Inc,Common Stock,Health Care,10/09/2020
EWSC,90385V107,UCTT ,"1,886","45,905.24",0.197,Ultra Clean Holdings Inc,Common Stock,Information Technology,10/09/2020
EWSC,92214X106,VREX ,"3,388","45,805.76",0.196,Varex Imaging Corp,Common Stock,Health Care,10/09/2020
EWSC,784635104,SPXC ,905,"45,521.50",0.195,SPX Corp,Common Stock,Industrials,10/09/2020
EWSC,45780R101,IBP ,383,"45,465.93",0.195,Installed Building Products Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,847215100,SPTN ,"2,112","45,386.88",0.194,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
EWSC,269796108,EGRX ,979,"45,376.65",0.194,Eagle Pharmaceuticals Inc/DE,Common Stock,Health Care,10/09/2020
EWSC,852857200,STMP ,172,"45,327.16",0.194,Stamps.com Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,516012101,LCI ,"6,520","45,248.80",0.194,Lannett Co Inc,Common Stock,Health Care,10/09/2020
EWSC,845467109,SWN ,"15,493","45,239.56",0.194,Southwestern Energy Co,Common Stock,Energy,10/09/2020
EWSC,87874R100,TTGT ,914,"45,188.16",0.194,TechTarget Inc,Common Stock,Communication Services,10/09/2020
EWSC,790148100,JOE ,"1,704","45,156.00",0.193,St Joe Co/The,Common Stock,Real Estate,10/09/2020
EWSC,461203101,IVC ,"5,395","45,102.20",0.193,Invacare Corp,Common Stock,Health Care,10/09/2020
EWSC,589584101,VIVO ,"2,391","45,046.44",0.193,Meridian Bioscience Inc,Common Stock,Health Care,10/09/2020
EWSC,185899101,CLF ,"5,962","45,013.10",0.193,Cleveland-Cliffs Inc,Common Stock,Materials,10/09/2020
EWSC,929566107,WNC ,"3,269","44,981.44",0.193,Wabash National Corp,Common Stock,Industrials,10/09/2020
EWSC,83125X103,SNBR ,809,"44,899.50",0.192,Sleep Number Corp,Common Stock,Consumer Discretionary,10/09/2020
EWSC,59100U108,CASH ,"2,027","44,695.35",0.191,Meta Financial Group Inc,Common Stock,Financials,10/09/2020
EWSC,393657101,GBX ,"1,323","44,624.79",0.191,Greenbrier Cos Inc/The,Common Stock,Industrials,10/09/2020
EWSC,114340102,BRKS ,848,"44,562.40",0.191,Brooks Automation Inc,Common Stock,Information Technology,10/09/2020
EWSC,30227H106,EXTN ,"8,930","44,560.70",0.191,Exterran Corp,Common Stock,Energy,10/09/2020
EWSC,703343103,PATK ,695,"44,549.50",0.191,Patrick Industries Inc,Common Stock,Industrials,10/09/2020
EWSC,257867200,RRD ,"31,801","44,521.40",0.191,RR Donnelley & Sons Co,Common Stock,Industrials,10/09/2020
EWSC,68287N100,OSPN ,"1,785","44,375.10",0.190,OneSpan Inc,Common Stock,Information Technology,10/09/2020
EWSC,192576106,COHU ,"2,252","44,341.88",0.190,Cohu Inc,Common Stock,Information Technology,10/09/2020
EWSC,208242107,CONN ,"3,547","44,231.09",0.189,Conn's Inc,Common Stock,Consumer Discretionary,10/09/2020
EWSC,03823U102,AAOI ,"3,738","44,220.54",0.189,Applied Optoelectronics Inc,Common Stock,Information Technology,10/09/2020
EWSC,12739A100,CADE ,"4,177","44,192.66",0.189,Cadence BanCorp,Common Stock,Financials,10/09/2020
EWSC,683344105,ONTO ,"1,280","44,108.80",0.189,Onto Innovation Inc,Common Stock,Information Technology,10/09/2020
EWSC,227483104,CCRN ,"6,057","44,034.39",0.189,Cross Country Healthcare Inc,Common Stock,Health Care,10/09/2020
EWSC,97717P104,WETF ,"11,086","44,011.42",0.189,WisdomTree Investments Inc,Common Stock,Financials,10/09/2020
EWSC,55405W104,MYRG ,"1,021","43,994.89",0.188,MYR Group Inc,Common Stock,Industrials,10/09/2020
EWSC,87484T108,TALO ,"6,338","43,985.72",0.188,Talos Energy Inc,Common Stock,Energy,10/09/2020
