Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IDHD,0454492,IMB LN,"22,718","399,820.78",2.441,Imperial Brands PLC,Common Stock,Consumer Staples,10/09/2020
IDHD,6152529,CEN ,"56,573","295,724.89",1.806,Contact Energy Ltd,Common Stock,Utilities,10/09/2020
IDHD,5650422,NTGY ,"13,425","283,118.09",1.729,Naturgy Energy Group SA,Common Stock,Utilities,10/09/2020
IDHD,6474535,2914 JP,"13,461","255,065.28",1.557,Japan Tobacco Inc,Common Stock,Consumer Staples,10/09/2020
IDHD,B89YH96,US ,"93,723","244,711.04",1.494,UnipolSai Assicurazioni SpA,Common Stock,Financials,10/09/2020
IDHD,6603737,CD SP,"208,120","222,950.02",1.361,ComfortDelGro Corp Ltd,Common Stock,Industrials,10/09/2020
IDHD,BPXR7J0,AST ,"153,729","219,993.16",1.343,AusNet Services,Common Stock,Utilities,10/09/2020
IDHD,6867748,19 HK,"44,838","218,692.32",1.335,Swire Pacific Ltd,Common Stock,Real Estate,10/09/2020
IDHD,5579550,FORTUM FH,"9,606","207,743.49",1.268,Fortum Oyj,Common Stock,Utilities,10/09/2020
IDHD,6596785,8058 JP,"8,590","207,442.95",1.267,Mitsubishi Corp,Common Stock,Industrials,10/09/2020
IDHD,5271782,ELE ,"7,442","204,949.59",1.251,Endesa SA,Common Stock,Utilities,10/09/2020
IDHD,6858946,8053 JP,"17,161","204,817.77",1.251,Sumitomo Corp,Common Stock,Industrials,10/09/2020
IDHD,6435327,6 HK,"37,916","200,586.58",1.225,Power Assets Holdings Ltd,Common Stock,Utilities,10/09/2020
IDHD,6123451,CCL ,"27,624","199,652.50",1.219,Coca-Cola Amatil Ltd,Common Stock,Consumer Staples,10/09/2020
IDHD,B02PY22,ST SP,"123,782","198,446.26",1.212,Singapore Telecommunications Ltd,Common Stock,Communication Services,10/09/2020
IDHD,BYT8165,7182 JP,"25,667","198,232.66",1.210,Japan Post Bank Co Ltd,Common Stock,Financials,10/09/2020
IDHD,5978384,TELIA SS,"45,491","197,089.37",1.203,Telia Co AB,Common Stock,Communication Services,10/09/2020
IDHD,6563024,8316 JP,"6,904","195,968.92",1.197,Sumitomo Mitsui Financial Group Inc,Common Stock,Financials,10/09/2020
IDHD,BYT8143,6178 JP,"28,105","195,036.54",1.191,Japan Post Holdings Co Ltd,Common Stock,Financials,10/09/2020
IDHD,6175203,DBS SP,"12,298","191,254.77",1.168,DBS Group Holdings Ltd,Common Stock,Financials,10/09/2020
