Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IDHQ,7123870,NESN SW,"43,478","5,181,879.43",5.056,Nestle SA,Common Stock,Consumer Staples,10/09/2020
IDHQ,7110388,ROG SW,"13,762","4,842,436.77",4.725,Roche Holding AG,Common Stock,Health Care,10/09/2020
IDHQ,7103065,NOVN SW,"54,678","4,837,476.66",4.720,Novartis AG,Common Stock,Health Care,10/09/2020
IDHQ,B929F46,ASML ,"10,111","3,919,362.65",3.824,ASML Holding NV,Common Stock,Information Technology,10/09/2020
IDHQ,BHC8X90,NOVOB DC,"47,897","3,450,515.30",3.367,Novo Nordisk A/S,Common Stock,Health Care,10/09/2020
IDHQ,B1527V7,UNA ,"37,442","2,331,228.07",2.275,Unilever NV,Common Stock,Consumer Staples,10/09/2020
IDHQ,6185495,CSL ,"10,594","2,261,210.64",2.206,CSL Ltd,Common Stock,Health Care,10/09/2020
IDHQ,0237400,DGE LN,"62,145","2,180,146.53",2.127,Diageo PLC,Common Stock,Consumer Staples,10/09/2020
IDHQ,6144690,BHP ,"77,203","2,041,108.43",1.992,BHP Group Ltd,Common Stock,Materials,10/09/2020
IDHQ,2180632,CNR ,"16,361","1,799,093.40",1.755,Canadian National Railway Co,Common Stock,Industrials,10/09/2020
IDHQ,4057808,OR FP,"4,851","1,618,493.94",1.579,L'Oreal SA,Common Stock,Consumer Staples,10/09/2020
IDHQ,0718875,RIO LN,"24,052","1,500,771.42",1.464,Rio Tinto PLC,Common Stock,Materials,10/09/2020
IDHQ,B0J7D91,4568 JP,"53,148","1,454,018.20",1.419,Daiichi Sankyo Co Ltd,Common Stock,Health Care,10/09/2020
IDHQ,6639550,7974 JP,"2,539","1,396,924.61",1.363,Nintendo Co Ltd,Common Stock,Communication Services,10/09/2020
IDHQ,BQRRZ00,6098 JP,"31,787","1,293,683.22",1.262,Recruit Holdings Co Ltd,Common Stock,Industrials,10/09/2020
IDHQ,6267359,388 HK,"25,068","1,203,256.23",1.174,Hong Kong Exchanges & Clearing Ltd,Common Stock,Financials,10/09/2020
IDHQ,6895675,8035 JP,"4,443","1,195,537.27",1.167,Tokyo Electron Ltd,Common Stock,Information Technology,10/09/2020
IDHQ,6441506,7741 JP,"10,158","1,169,100.19",1.141,Hoya Corp,Common Stock,Health Care,10/09/2020
IDHQ,2793115,CP ,"3,723","1,168,133.95",1.140,Canadian Pacific Railway Ltd,Common Stock,Industrials,10/09/2020
IDHQ,5086577,BAS ,"17,903","1,164,177.88",1.136,BASF SE,Common Stock,Materials,10/09/2020
IDHQ,6250724,6367 JP,"6,251","1,135,362.17",1.108,Daikin Industries Ltd,Common Stock,Industrials,10/09/2020
IDHQ,B2B0DG9,REL LN,"50,108","1,102,657.51",1.076,RELX PLC,Common Stock,Industrials,10/09/2020
IDHQ,B09M9D2,KNEBV FH,"12,368","1,074,870.91",1.049,Kone Oyj,Common Stock,Industrials,10/09/2020
IDHQ,BZ1HM42,ADYEN ,534,"1,074,727.85",1.049,Adyen NV,Common Stock,Information Technology,10/09/2020
IDHQ,6129277,9437 JP,"28,719","1,053,569.09",1.028,NTT DOCOMO Inc,Common Stock,Communication Services,10/09/2020
IDHQ,6948836,WES ,"30,473","1,023,692.50",0.999,Wesfarmers Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,6332439,9983 JP,"1,437","941,452.27",0.919,Fast Retailing Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,5253973,RMS FP,909,"817,910.77",0.798,Hermes International,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,6763965,6273 JP,"1,452","798,184.28",0.779,SMC Corp/Japan,Common Stock,Industrials,10/09/2020
IDHQ,B19NLV4,EXPN LN,"19,977","770,154.80",0.751,Experian PLC,Common Stock,Industrials,10/09/2020
IDHQ,6981239,WOW ,"27,961","763,084.94",0.745,Woolworths Group Ltd,Common Stock,Consumer Staples,10/09/2020
IDHQ,2011646,ATD/B ,"21,844","752,386.89",0.734,Alimentation Couche-Tard Inc,Common Stock,Consumer Staples,10/09/2020
IDHQ,BD97BN2,ATCOA SS,"14,906","724,321.64",0.707,Atlas Copco AB,Common Stock,Industrials,10/09/2020
IDHQ,B058TZ6,SAF FP,"6,799","712,176.89",0.695,Safran SA,Common Stock,Industrials,10/09/2020
IDHQ,6196408,4519 JP,"16,349","710,873.17",0.694,Chugai Pharmaceutical Co Ltd,Common Stock,Health Care,10/09/2020
IDHQ,B1WGG93,GEBN SW,"1,181","705,983.33",0.689,Geberit AG,Common Stock,Industrials,10/09/2020
IDHQ,6513126,8766 JP,"15,243","688,030.55",0.671,Tokio Marine Holdings Inc,Common Stock,Financials,10/09/2020
IDHQ,6086253,FMG ,"54,143","663,285.05",0.647,Fortescue Metals Group Ltd,Common Stock,Materials,10/09/2020
IDHQ,BD6G507,RACE ,"3,610","660,440.23",0.644,Ferrari NV,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,6985383,4503 JP,"46,150","655,416.90",0.640,Astellas Pharma Inc,Common Stock,Health Care,10/09/2020
IDHQ,B8FMRX8,COLOB DC,"4,154","647,309.82",0.632,Coloplast A/S,Common Stock,Health Care,10/09/2020
IDHQ,BD6K457,CPG LN,"38,790","632,510.44",0.617,Compass Group PLC,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,5671519,WKL ,"7,359","632,074.58",0.617,Wolters Kluwer NV,Common Stock,Industrials,10/09/2020
IDHQ,6307200,4523 JP,"6,871","609,678.90",0.595,Eisai Co Ltd,Common Stock,Health Care,10/09/2020
IDHQ,6658801,7733 JP,"27,931","589,920.26",0.576,Olympus Corp,Common Stock,Health Care,10/09/2020
IDHQ,B06YV46,NESTE FH,"10,517","588,959.35",0.575,Neste Oyj,Common Stock,Energy,10/09/2020
IDHQ,B3MSM28,AMS ,"9,691","574,074.21",0.560,Amadeus IT Group SA,Common Stock,Information Technology,10/09/2020
IDHQ,BJVNSS4,FERG LN,"5,295","553,898.95",0.540,Ferguson PLC,Common Stock,Industrials,10/09/2020
IDHQ,B0FS5D6,3382 JP,"15,891","532,733.16",0.520,Seven & i Holdings Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDHQ,BJ2KSG2,AKZA ,"4,923","526,838.21",0.514,Akzo Nobel NV,Common Stock,Materials,10/09/2020
IDHQ,4768962,RWE ,"13,148","522,087.53",0.509,RWE AG,Common Stock,Utilities,10/09/2020
IDHQ,B119QG0,PGHN SW,530,"509,013.93",0.497,Partners Group Holding AG,Common Stock,Financials,10/09/2020
IDHQ,BF1K7P7,ESSITYB SS,"13,738","463,122.56",0.452,Essity AB,Common Stock,Consumer Staples,10/09/2020
IDHQ,6474535,2914 JP,"24,436","463,024.67",0.452,Japan Tobacco Inc,Common Stock,Consumer Staples,10/09/2020
IDHQ,B1FJ0C0,BXB ,"59,453","455,478.47",0.444,Brambles Ltd,Common Stock,Industrials,10/09/2020
IDHQ,0263494,BA/ LN,"69,380","449,367.81",0.438,BAE Systems PLC,Common Stock,Industrials,10/09/2020
IDHQ,M22465104,CHKP ,"3,542","443,387.56",0.433,Check Point Software Technologies Ltd,Common Stock,Information Technology,10/09/2020
IDHQ,B1VQ252,SAND SS,"20,865","423,856.66",0.414,Sandvik AB,Common Stock,Industrials,10/09/2020
IDHQ,6390921,4307 JP,"13,566","413,444.89",0.403,Nomura Research Institute Ltd,Common Stock,Information Technology,10/09/2020
IDHQ,6791591,9735 JP,"4,670","412,832.33",0.403,Secom Co Ltd,Common Stock,Industrials,10/09/2020
IDHQ,6644800,9843 JP,"2,000","410,108.37",0.400,Nitori Holdings Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,6637101,NCM ,"17,864","403,604.39",0.394,Newcrest Mining Ltd,Common Stock,Materials,10/09/2020
IDHQ,6659428,6645 JP,"5,124","393,799.44",0.384,Omron Corp,Common Stock,Information Technology,10/09/2020
IDHQ,B0C5YV1,068270 KS,"1,728","392,574.03",0.383,Celltrion Inc,Common Stock,Health Care,10/09/2020
IDHQ,6804682,4507 JP,"7,493","391,759.33",0.382,Shionogi & Co Ltd,Common Stock,Health Care,10/09/2020
IDHQ,6804820,7309 JP,"1,900","381,600.49",0.372,Shimano Inc,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,0560399,LGEN LN,"147,832","381,133.37",0.372,Legal & General Group PLC,Common Stock,Financials,10/09/2020
IDHQ,B601QS4,8750 JP,"24,222","368,528.38",0.360,Dai-ichi Life Holdings Inc,Common Stock,Financials,10/09/2020
IDHQ,B798FW0,NZYMB DC,"5,675","365,315.32",0.356,Novozymes A/S,Common Stock,Materials,10/09/2020
IDHQ,6660107,4528 JP,"11,474","360,547.82",0.352,Ono Pharmaceutical Co Ltd,Common Stock,Health Care,10/09/2020
IDHQ,4824778,SGSN SW,133,"355,950.42",0.347,SGS SA,Common Stock,Industrials,10/09/2020
IDHQ,0216238,AV/ LN,"92,605","355,928.80",0.347,Aviva PLC,Common Stock,Financials,10/09/2020
IDHQ,6465874,27 HK,"52,929","355,817.16",0.347,Galaxy Entertainment Group Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,6916781,UOB SP,"24,690","354,785.94",0.346,United Overseas Bank Ltd,Common Stock,Financials,10/09/2020
IDHQ,6253983,ALL ,"15,842","352,768.58",0.344,Aristocrat Leisure Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,B0JDQD4,7832 JP,"4,758","351,800.63",0.343,Bandai Namco Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,5051252,UPM FH,"11,008","340,221.12",0.332,UPM-Kymmene Oyj,Common Stock,Materials,10/09/2020
IDHQ,3163836,ITRK LN,"4,214","338,938.92",0.331,Intertek Group PLC,Common Stock,Industrials,10/09/2020
IDHQ,5687431,HMB SS,"18,256","336,170.11",0.328,Hennes & Mauritz AB,Common Stock,Consumer Discretionary,10/09/2020
IDHQ,BJ2L575,GIB/A ,"4,854","335,967.98",0.328,CGI Inc,Common Stock,Information Technology,10/09/2020
IDHQ,6340250,FPH ,"14,558","334,933.65",0.327,Fisher & Paykel Healthcare Corp Ltd,Common Stock,Health Care,10/09/2020
IDHQ,6743882,8697 JP,"12,309","326,321.60",0.318,Japan Exchange Group Inc,Common Stock,Financials,10/09/2020
IDHQ,4169219,CARLB DC,"2,308","326,089.61",0.318,Carlsberg AS,Common Stock,Consumer Staples,10/09/2020
IDHQ,B62G7K6,8630 JP,"9,141","325,478.61",0.318,Sompo Holdings Inc,Common Stock,Financials,10/09/2020
IDHQ,B082RF1,RTO LN,"45,934","323,004.17",0.315,Rentokil Initial PLC,Common Stock,Industrials,10/09/2020
IDHQ,6129222,ASX ,"5,374","319,580.40",0.312,ASX Ltd,Common Stock,Financials,10/09/2020
IDHQ,6869302,6762 JP,"2,680","306,416.17",0.299,TDK Corp,Common Stock,Information Technology,10/09/2020
IDHQ,BD4G349,KL ,"5,821","297,686.68",0.290,Kirkland Lake Gold Ltd,Common Stock,Materials,10/09/2020
IDHQ,BJFFLV0,CRDA LN,"3,600","295,543.38",0.288,Croda International PLC,Common Stock,Materials,10/09/2020
IDHQ,B573M11,CHR DC,"2,675","277,553.68",0.271,Chr Hansen Holding A/S,Common Stock,Materials,10/09/2020
