Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IDLB,6499323,011780 KS,165,"20,173.42",0.214,Kumho Petrochemical Co Ltd,Common Stock,Materials,10/09/2020
IDLB,6129277,9437 JP,506,"18,562.83",0.197,NTT DOCOMO Inc,Common Stock,Communication Services,10/09/2020
IDLB,B1DN466,2127 JP,300,"18,200.75",0.193,Nihon M&A Center Inc,Common Stock,Industrials,10/09/2020
IDLB,6804035,8227 JP,182,"18,138.85",0.192,Shimamura Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDLB,6440020,011170 KS,91,"18,069.80",0.192,Lotte Chemical Corp,Common Stock,Materials,10/09/2020
IDLB,6294498,2678 JP,400,"17,831.62",0.189,ASKUL Corp,Common Stock,Consumer Discretionary,10/09/2020
IDLB,5962280,LISP SW,2,"17,593.51",0.187,Chocoladefabriken Lindt & Spruengli AG,Common Stock,Consumer Staples,10/09/2020
IDLB,5910609,RAA ,21,"17,516.17",0.186,Rational AG,Common Stock,Industrials,10/09/2020
IDLB,B0LC9F2,BALDB SS,328,"17,479.60",0.185,Fastighets AB Balder,Common Stock,Real Estate,10/09/2020
IDLB,B60DR09,3635 JP,354,"17,389.24",0.184,Koei Tecmo Holdings Co Ltd,Common Stock,Communication Services,10/09/2020
IDLB,B234WN9,DIA ,77,"17,102.66",0.181,DiaSorin SpA,Common Stock,Health Care,10/09/2020
IDLB,6152529,CEN ,"3,268","17,082.87",0.181,Contact Energy Ltd,Common Stock,Utilities,10/09/2020
IDLB,6036548,7518 JP,362,"17,028.44",0.181,NET One Systems Co Ltd,Common Stock,Information Technology,10/09/2020
IDLB,6895222,9533 JP,345,"16,947.14",0.180,Toho Gas Co Ltd,Common Stock,Utilities,10/09/2020
IDLB,B3FF8W8,6465 JP,200,"16,904.07",0.179,Hoshizaki Corp,Common Stock,Industrials,10/09/2020
IDLB,6173694,9697 JP,293,"16,805.45",0.178,Capcom Co Ltd,Common Stock,Communication Services,10/09/2020
IDLB,6602648,2264 JP,325,"16,764.47",0.178,Morinaga Milk Industry Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,B1BK209,RRTL ,410,"16,760.04",0.178,RTL Group SA,Common Stock,Communication Services,10/09/2020
IDLB,6894898,4186 JP,300,"16,610.67",0.176,Tokyo Ohka Kogyo Co Ltd,Common Stock,Materials,10/09/2020
IDLB,B1XQXC4,WHC ,"21,975","16,597.15",0.176,Whitehaven Coal Ltd,Common Stock,Energy,10/09/2020
IDLB,6640400,6701 JP,289,"16,521.32",0.175,NEC Corp,Common Stock,Information Technology,10/09/2020
IDLB,B682TF7,139480 KS,128,"16,482.12",0.175,E-MART Inc,Common Stock,Consumer Staples,10/09/2020
IDLB,6093231,030000 KS,863,"16,463.04",0.175,Cheil Worldwide Inc,Common Stock,Communication Services,10/09/2020
IDLB,6821807,SOL ,881,"16,440.70",0.174,WASHINGTON H SOUL PATTINSON AND COMPANY LTD,Common Stock,Energy,10/09/2020
IDLB,6497112,000120 KS,103,"16,433.56",0.174,CJ Logistics Corp,Common Stock,Industrials,10/09/2020
IDLB,B05NXN7,868 HK,"7,581","16,433.55",0.174,Xinyi Glass Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDLB,B0JDQD4,7832 JP,222,"16,414.41",0.174,Bandai Namco Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
IDLB,5922961,AFX ,119,"16,280.61",0.173,Carl Zeiss Meditec AG,Common Stock,Health Care,10/09/2020
IDLB,BJXSCH4,EVO SS,189,"16,260.70",0.172,Evolution Gaming Group AB,Common Stock,Consumer Discretionary,10/09/2020
IDLB,6717456,NST ,"1,409","16,242.76",0.172,Northern Star Resources Ltd,Common Stock,Materials,10/09/2020
IDLB,4490005,KESKOB FH,612,"16,239.64",0.172,Kesko Oyj,Common Stock,Consumer Staples,10/09/2020
IDLB,BZ3C3Q4,BKIA ,"11,560","16,156.89",0.171,Bankia SA,Common Stock,Financials,10/09/2020
IDLB,6390921,4307 JP,530,"16,152.57",0.171,Nomura Research Institute Ltd,Common Stock,Information Technology,10/09/2020
IDLB,6356848,2607 JP,496,"16,149.16",0.171,Fuji Oil Holdings Inc,Common Stock,Consumer Staples,10/09/2020
IDLB,0732358,RSW LN,211,"16,112.65",0.171,Renishaw PLC,Common Stock,Information Technology,10/09/2020
IDLB,BZ1HM42,ADYEN ,8,"16,100.79",0.171,Adyen NV,Common Stock,Information Technology,10/09/2020
IDLB,6714509,2809 JP,734,"16,096.52",0.171,Kewpie Corp,Common Stock,Consumer Staples,10/09/2020
IDLB,6985543,6845 JP,400,"16,052.25",0.170,Azbil Corp,Common Stock,Information Technology,10/09/2020
IDLB,6250025,6383 JP,153,"16,030.57",0.170,Daifuku Co Ltd,Common Stock,Industrials,10/09/2020
IDLB,BJK6DZ6,7337 JP,"2,761","16,019.05",0.170,Hirogin Holdings Inc,Common Stock,Financials,10/09/2020
IDLB,6928560,303 HK,"2,397","15,990.21",0.170,VTech Holdings Ltd,Common Stock,Information Technology,10/09/2020
IDLB,B1GHR88,3064 JP,300,"15,985.99",0.170,MonotaRO Co Ltd,Common Stock,Industrials,10/09/2020
IDLB,6810429,83 HK,"12,550","15,950.54",0.169,Sino Land Co Ltd,Common Stock,Real Estate,10/09/2020
IDLB,BF0LBX7,BIM FP,96,"15,946.73",0.169,BioMerieux,Common Stock,Health Care,10/09/2020
IDLB,BFFY885,9143 JP,298,"15,907.62",0.169,SG Holdings Co Ltd,Common Stock,Industrials,10/09/2020
IDLB,6544687,2327 JP,520,"15,872.41",0.168,NS Solutions Corp,Common Stock,Information Technology,10/09/2020
IDLB,6642688,8056 JP,475,"15,870.05",0.168,Nihon Unisys Ltd,Common Stock,Information Technology,10/09/2020
IDLB,6455789,2593 JP,227,"15,834.46",0.168,Ito En Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,6640507,4612 JP,157,"15,825.56",0.168,Nippon Paint Holdings Co Ltd,Common Stock,Materials,10/09/2020
IDLB,B0FS5D6,3382 JP,472,"15,823.43",0.168,Seven & i Holdings Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,6906919,4540 JP,500,"15,806.16",0.168,Tsumura & Co,Common Stock,Health Care,10/09/2020
IDLB,B3ZC078,2270 JP,666,"15,802.96",0.168,Megmilk Snow Brand Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,6496506,7984 JP,"1,241","15,774.58",0.167,Kokuyo Co Ltd,Common Stock,Industrials,10/09/2020
IDLB,6172453,8060 JP,824,"15,730.52",0.167,Canon Marketing Japan Inc,Common Stock,Information Technology,10/09/2020
IDLB,BYY3DX6,GRF ,523,"15,706.97",0.167,Grifols SA,Common Stock,Health Care,10/09/2020
IDLB,BRS2KY0,018260 KS,102,"15,654.89",0.166,Samsung SDS Co Ltd,Common Stock,Information Technology,10/09/2020
IDLB,6658801,7733 JP,740,"15,629.27",0.166,Olympus Corp,Common Stock,Health Care,10/09/2020
IDLB,6329947,7947 JP,402,"15,618.85",0.166,FP Corp,Common Stock,Materials,10/09/2020
IDLB,6450267,000660 KS,217,"15,598.79",0.165,SK Hynix Inc,Common Stock,Information Technology,10/09/2020
IDLB,B1RR840,SKG LN,380,"15,598.12",0.165,Smurfit Kappa Group PLC,Common Stock,Materials,10/09/2020
IDLB,B249GC0,3088 JP,400,"15,597.94",0.165,Matsumotokiyoshi Holdings Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,6927590,345 HK,"3,819","15,596.20",0.165,Vitasoy International Holdings Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,6168838,SAR ,"3,620","15,593.48",0.165,Saracen Mineral Holdings Ltd,Common Stock,Materials,10/09/2020
IDLB,B2PLYM1,2175 JP,500,"15,522.22",0.165,SMS Co Ltd,Common Stock,Industrials,10/09/2020
IDLB,6220501,4751 JP,248,"15,515.40",0.165,CyberAgent Inc,Common Stock,Communication Services,10/09/2020
IDLB,B0XP0T0,CAST SS,654,"15,514.03",0.165,Castellum AB,Common Stock,Real Estate,10/09/2020
IDLB,4409205,FIE ,187,"15,509.36",0.165,Fielmann AG,Common Stock,Consumer Discretionary,10/09/2020
IDLB,6654586,071050 KS,248,"15,504.70",0.164,Korea Investment Holdings Co Ltd,Common Stock,Financials,10/09/2020
IDLB,B07Q2V5,GLPG ,106,"15,497.66",0.164,Galapagos NV,Common Stock,Health Care,10/09/2020
IDLB,6010906,2802 JP,772,"15,468.50",0.164,Ajinomoto Co Inc,Common Stock,Consumer Staples,10/09/2020
IDLB,6490995,6861 JP,33,"15,466.94",0.164,Keyence Corp,Common Stock,Information Technology,10/09/2020
IDLB,BH0W286,636 HK,"7,890","15,433.76",0.164,Kerry Logistics Network Ltd,Common Stock,Industrials,10/09/2020
IDLB,4661607,VER AV,251,"15,420.28",0.164,Verbund AG,Common Stock,Utilities,10/09/2020
IDLB,5978384,TELIA SS,"3,556","15,406.34",0.163,Telia Co AB,Common Stock,Communication Services,10/09/2020
IDLB,6410700,HARL ,"2,040","15,401.92",0.163,Harel Insurance Investments & Financial Services Ltd,Common Stock,Financials,10/09/2020
IDLB,6605993,026960 KS,651,"15,382.40",0.163,Dongsuh Cos Inc,Common Stock,Consumer Staples,10/09/2020
IDLB,4741844,MRK ,99,"15,322.22",0.163,Merck KGaA,Common Stock,Health Care,10/09/2020
IDLB,6499969,1959 JP,527,"15,312.95",0.162,Kyudenko Corp,Common Stock,Industrials,10/09/2020
IDLB,6441506,7741 JP,133,"15,307.18",0.162,Hoya Corp,Common Stock,Health Care,10/09/2020
IDLB,6149457,4967 JP,154,"15,304.53",0.162,Kobayashi Pharmaceutical Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,B02RK08,6460 JP,"1,253","15,298.57",0.162,Sega Sammy Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
IDLB,6602604,2201 JP,383,"15,297.52",0.162,Morinaga & Co Ltd/Japan,Common Stock,Consumer Staples,10/09/2020
IDLB,4501093,GN DC,189,"15,271.82",0.162,GN Store Nord A/S,Common Stock,Health Care,10/09/2020
IDLB,BBD7Q84,2587 JP,403,"15,257.21",0.162,Suntory Beverage & Food Ltd,Common Stock,Consumer Staples,10/09/2020
IDLB,B1CRLC4,MNDI LN,708,"15,253.29",0.162,Mondi PLC,Common Stock,Materials,10/09/2020
IDLB,BYT16L4,ORSTED DC,96,"15,239.91",0.162,Orsted A/S,Common Stock,Utilities,10/09/2020
IDLB,6640563,4516 JP,200,"15,238.28",0.162,Nippon Shinyaku Co Ltd,Common Stock,Health Care,10/09/2020
IDLB,B14NJ71,AMP ,404,"15,230.82",0.162,Amplifon SpA,Common Stock,Health Care,10/09/2020
IDLB,BZ0P4R4,INW ,"1,388","15,226.02",0.162,Infrastrutture Wireless Italiane SpA,Common Stock,Communication Services,10/09/2020
IDLB,6267058,4768 JP,300,"15,219.35",0.161,Otsuka Corp,Common Stock,Information Technology,10/09/2020
IDLB,6397580,8952 JP,3,"15,190.95",0.161,Japan Real Estate Investment Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
IDLB,4741714,RCO FP,83,"15,179.73",0.161,Remy Cointreau SA,Common Stock,Consumer Staples,10/09/2020
IDLB,6405870,6965 JP,300,"15,162.56",0.161,Hamamatsu Photonics KK,Common Stock,Information Technology,10/09/2020
IDLB,B1TK234,9412 JP,"3,550","15,153.57",0.161,SKY PERFECT JSAT HOLDINGS INC,Common Stock,Communication Services,10/09/2020
IDLB,BYWH8S0,HFG ,274,"15,137.01",0.161,HelloFresh SE,Common Stock,Consumer Discretionary,10/09/2020
IDLB,6883807,6869 JP,156,"15,134.16",0.161,Sysmex Corp,Common Stock,Health Care,10/09/2020
IDLB,6428907,4530 JP,300,"15,134.16",0.161,Hisamitsu Pharmaceutical Co Inc,Common Stock,Health Care,10/09/2020
