Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IDLV,BJ3WDZ1,2638 HK,"7,672,385","7,860,431.47",0.969,HK Electric Investments & HK Electric Investments Ltd,STAPLED	 		     ,Utilities,10/09/2020
IDLV,6129277,9437 JP,"173,662","6,370,866.61",0.785,NTT DOCOMO Inc,Common Stock,Communication Services,10/09/2020
IDLV,6195900,9504 JP,"434,804","5,514,527.09",0.680,Chugoku Electric Power Co Inc/The,Common Stock,Utilities,10/09/2020
IDLV,BF5M0K5,9434 JP,"470,404","5,329,360.54",0.657,SoftBank Corp,Common Stock,Communication Services,10/09/2020
IDLV,BPXR7J0,AST ,"3,617,409","5,176,676.14",0.638,AusNet Services,Common Stock,Utilities,10/09/2020
IDLV,6097017,2 HK,"540,674","5,092,767.40",0.628,CLP Holdings Ltd,Common Stock,Utilities,10/09/2020
IDLV,7123870,NESN SW,"42,646","5,082,718.39",0.626,Nestle SA,Common Stock,Consumer Staples,10/09/2020
IDLV,6474535,2914 JP,"261,675","4,958,339.41",0.611,Japan Tobacco Inc,Common Stock,Consumer Staples,10/09/2020
IDLV,6985543,6845 JP,"123,031","4,937,309.55",0.608,Azbil Corp,Common Stock,Information Technology,10/09/2020
IDLV,6714509,2809 JP,"224,253","4,917,838.26",0.606,Kewpie Corp,Common Stock,Consumer Staples,10/09/2020
IDLV,B11TCY0,SCHP SW,"18,044","4,868,733.14",0.600,Schindler Holding AG,Common Stock,Industrials,10/09/2020
IDLV,6371863,2702 JP,"99,184","4,843,968.01",0.597,McDonald's Holdings Co Japan Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDLV,BZB1Y59,3938 JP,"94,074","4,808,098.05",0.593,LINE Corp,Common Stock,Communication Services,10/09/2020
IDLV,B60DQV3,2269 JP,"64,695","4,739,381.00",0.584,MEIJI Holdings Co Ltd,Common Stock,Consumer Staples,10/09/2020
IDLV,2583952,MRU ,"97,578","4,710,815.78",0.581,Metro Inc/CN,Common Stock,Consumer Staples,10/09/2020
IDLV,B09M9D2,KNEBV FH,"53,926","4,686,569.24",0.578,Kone Oyj,Common Stock,Industrials,10/09/2020
IDLV,BHC8X90,NOVOB DC,"64,429","4,641,485.92",0.572,Novo Nordisk A/S,Common Stock,Health Care,10/09/2020
IDLV,B0F9V20,OCBC SP,"723,220","4,589,752.72",0.566,Oversea-Chinese Banking Corp Ltd,Common Stock,Financials,10/09/2020
IDLV,7103065,NOVN SW,"51,695","4,573,564.44",0.564,Novartis AG,Common Stock,Health Care,10/09/2020
IDLV,5980613,GIVN SW,"1,044","4,565,567.62",0.563,Givaudan SA,Common Stock,Materials,10/09/2020
IDLV,6596785,8058 JP,"188,633","4,555,365.10",0.561,Mitsubishi Corp,Common Stock,Industrials,10/09/2020
IDLV,6436557,3 HK,"3,151,889","4,554,958.59",0.561,Hong Kong & China Gas Co Ltd,Common Stock,Utilities,10/09/2020
IDLV,6304115,STRS ,"157,281","4,549,623.60",0.561,Strauss Group Ltd,Common Stock,Consumer Staples,10/09/2020
IDLV,B2Q4CS1,8725 JP,"169,369","4,539,804.16",0.559,MS&AD Insurance Group Holdings Inc,Common Stock,Financials,10/09/2020
IDLV,6435327,6 HK,"848,697","4,489,851.94",0.553,Power Assets Holdings Ltd,Common Stock,Utilities,10/09/2020
IDLV,5076705,HEN3 ,"40,516","4,467,961.98",0.551,Henkel AG & Co KGaA,Preference			     ,Consumer Staples,10/09/2020
IDLV,BJFFLV0,CRDA LN,"54,120","4,443,002.07",0.548,Croda International PLC,Common Stock,Materials,10/09/2020
IDLV,5533976,SCMN SW,"8,179","4,432,646.59",0.546,Swisscom AG,Common Stock,Communication Services,10/09/2020
IDLV,6490995,6861 JP,"9,446","4,427,295.63",0.546,Keyence Corp,Common Stock,Information Technology,10/09/2020
IDLV,6916781,UOB SP,"306,453","4,403,613.35",0.543,United Overseas Bank Ltd,Common Stock,Financials,10/09/2020
IDLV,5107401,BEI ,"37,910","4,401,837.86",0.542,Beiersdorf AG,Common Stock,Consumer Staples,10/09/2020
IDLV,6641373,9432 JP,"202,580","4,399,411.39",0.542,Nippon Telegraph & Telephone Corp,Common Stock,Communication Services,10/09/2020
IDLV,6171494,4732 JP,"236,617","4,398,426.84",0.542,USS Co Ltd,Common Stock,Consumer Discretionary,10/09/2020
IDLV,6906919,4540 JP,"138,226","4,369,644.98",0.539,Tsumura & Co,Common Stock,Health Care,10/09/2020
IDLV,B1527V7,UNA ,"70,100","4,364,592.91",0.538,Unilever NV,Common Stock,Consumer Staples,10/09/2020
IDLV,B02PY22,ST SP,"2,713,627","4,350,464.03",0.536,Singapore Telecommunications Ltd,Common Stock,Communication Services,10/09/2020
IDLV,6428725,6806 JP,"31,463","4,344,755.76",0.535,Hirose Electric Co Ltd,Common Stock,Information Technology,10/09/2020
IDLV,6791591,9735 JP,"49,145","4,344,463.58",0.535,Secom Co Ltd,Common Stock,Industrials,10/09/2020
IDLV,6619864,9048 JP,"160,160","4,341,472.15",0.535,Nagoya Railroad Co Ltd,Common Stock,Industrials,10/09/2020
IDLV,6916844,UOL SP,"867,224","4,331,154.55",0.534,UOL Group Ltd,Common Stock,Real Estate,10/09/2020
IDLV,B0YZ0Z5,DWNI ,"81,987","4,321,080.21",0.533,Deutsche Wohnen SE,Common Stock,Real Estate,10/09/2020
IDLV,B0HZL93,DSM ,"25,115","4,302,454.58",0.530,Koninklijke DSM NV,Common Stock,Materials,10/09/2020
IDLV,7110388,ROG SW,"12,223","4,300,908.63",0.530,Roche Holding AG,Common Stock,Health Care,10/09/2020
IDLV,4824778,SGSN SW,"1,605","4,295,491.94",0.529,SGS SA,Common Stock,Industrials,10/09/2020
