Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
IDMO,BX865C7,SHOP ,"13,621","14,919,685.01",4.645,Shopify Inc,Common Stock,Information Technology,10/09/2020
IDMO,7110388,ROG SW,"42,218","14,855,253.26",4.625,Roche Holding AG,Common Stock,Health Care,10/09/2020
IDMO,B929F46,ASML ,"31,296","12,131,379.06",3.777,ASML Holding NV,Common Stock,Information Technology,10/09/2020
IDMO,BHC8X90,NOVOB DC,"120,385","8,672,574.20",2.700,Novo Nordisk A/S,Common Stock,Health Care,10/09/2020
IDMO,0989529,AZN LN,"78,375","8,581,684.00",2.672,AstraZeneca PLC,Common Stock,Health Care,10/09/2020
IDMO,BZ1HM42,ADYEN ,"3,802","7,651,901.31",2.382,Adyen NV,Common Stock,Information Technology,10/09/2020
IDMO,6490995,6861 JP,"15,258","7,151,352.61",2.226,Keyence Corp,Common Stock,Information Technology,10/09/2020
IDMO,5671735,SAN FP,"67,507","6,883,749.13",2.143,Sanofi,Common Stock,Health Care,10/09/2020
IDMO,6821506,6758 JP,"87,991","6,547,586.41",2.038,Sony Corp,Common Stock,Consumer Discretionary,10/09/2020
IDMO,81141R100,SE ,"36,994","6,367,407.28",1.982,Sea Ltd ADR,American Depository Receipt,Communication Services,10/09/2020
IDMO,7333378,LONN SW,"7,942","4,853,880.00",1.511,Lonza Group AG,Common Stock,Health Care,10/09/2020
IDMO,B288C92,IBE ,"379,758","4,845,580.32",1.508,Iberdrola SA,Common Stock,Utilities,10/09/2020
IDMO,2024644,ABX ,"165,319","4,633,135.93",1.442,Barrick Gold Corp,Common Stock,Materials,10/09/2020
IDMO,B1YXBJ7,AI FP,"28,874","4,555,813.68",1.418,Air Liquide SA,Common Stock,Materials,10/09/2020
IDMO,6267359,388 HK,"94,888","4,554,594.62",1.418,Hong Kong Exchanges & Clearing Ltd,Common Stock,Financials,10/09/2020
IDMO,B24CGK7,RB/ LN,"46,608","4,496,328.40",1.400,Reckitt Benckiser Group PLC,Common Stock,Consumer Staples,10/09/2020
IDMO,7144569,ENEL ,"458,340","4,074,287.36",1.268,Enel SpA,Common Stock,Utilities,10/09/2020
IDMO,6250724,6367 JP,"22,155","4,023,987.98",1.253,Daikin Industries Ltd,Common Stock,Industrials,10/09/2020
